e162c6e897439c629e5e815905f311a3dea9d64ef5104839b78735ed7fc541a0,5b6b031e24ae3852f4c13be038f55654cdbcb628af8e43015164606af02ce200,82ae0923ba3c2fe061fc71e521abf9a730ae6c70d346739a87fad6f7312333ad,4881273620226e1335c74e6402e407b12a49731fbb0cc8d4337ae58ad6dcde87,e6d10834eb9cf35f6f01b1ed07cfc11e6a82c7cd955140a4213fe36f49b34431,bfe4a8b348e5a5d56784e4ae42a786ae54982e0fa7d3f49f776e6ee90974bf28,a720e178b57c18e4946dc8be23d6cbb42c0a3f82f0a4dabe23611485c56a1d57,9ae6c14821325edf907c1bb5f4a79d4f30c8afe72729d3157339e770677e68ce,7887859df03d2e9554cb9453e7ce0dca26d11d18735cd861df40e646fc382417,aeaea2129ece2a7bf6238bd13f4a0d53a67f1398709cd2fd23e16ba30d48afa4,0ce98d349def67a98ba8604de2f55de68899efd2e1a0720d8a9c764c407b8ed0,74cbb960878eb9dec6272d606c34c809ec6b5a1759c87d87fb121ab8109ab8e8
"0","0","2","vo_minigame_1005_nikki02_003","vo_minigame_1005","0","2","0","0","0","15","1020015"
"0.895","0","1","0","0","125","2","0","0","5","16","1020016"
"0","1.311","4","0","0","0","2","0","1","0","17","1020017"
"1.114","0","1","0","0","265","2","125","0","5","18","1020018"
"0","1.181","4","0","0","0","2","0","1","0","19","1020019"
"0.497","0","1","0","0","340","2","265","0","5","20","1020020"
"0","0.497","4","0","0","0","2","0","1","0","21","1020021"
"1.37","0","1","0","0","189","2","0","0","6","22","1020022"
"0","2.407","4","0","0","0","2","0","1","0","23","1020023"
"0","0","2","vo_minigame_1005_nikki02_004","vo_minigame_1005","0","2","0","0","0","24","1020024"
"1.616","0","1","0","0","195","2","0","0","7","25","1020025"
"0","2.035","4","0","0","0","2","0","1","0","26","1020026"
"0.951","0","1","0","0","295","2","195","0","7","27","1020027"
"0","1.322","4","0","0","0","2","0","1","0","28","1020028"
"1.924","0","1","0","0","258","2","0","0","8","29","1020029"
"0","2.98","4","0","0","0","2","0","1","0","30","1020030"
"0","0","2","vo_minigame_1005_nikki02_005","vo_minigame_1005","0","2","0","0","0","31","1020031"
"0.93","0","1","0","0","114","2","0","0","9","32","1020032"
"0","1.24","4","0","0","0","2","0","1","0","33","1020033"
"0.879","0","1","0","0","257","2","114","0","9","34","1020034"
"0","1.877","4","0","0","0","2","0","1","0","35","1020035"
"0","0","2","vo_minigame_1005_nikki02_006","vo_minigame_1005","0","2","0","0","0","36","1020036"
"1.148","0","1","0","0","144","2","0","0","10","37","1020037"
"0","1.541","4","0","0","0","2","0","1","0","38","1020038"
"1.145","0","1","0","0","307","2","144","0","10","39","1020039"
"0","2.645","4","0","0","0","2","0","1","0","40","1020040"
"0","1","4","0","0","0","3","0","3","0","1","1030001"
"0","0","2","vo_minigame_1005_nikki03_000","vo_minigame_1005","0","3","0","0","0","2","1030002"
"2.61","0","1","0","0","332","3","0","0","1","3","1030003"
"0","3.007","4","0","0","0","3","0","1","0","4","1030004"
"1.47","0","1","0","0","233","3","0","0","2","5","1030005"
"0","2.171","4","0","0","0","3","0","1","0","6","1030006"
"0","0","2","vo_minigame_1005_nikki03_001","vo_minigame_1005","0","3","0","0","0","7","1030007"
"2.1","0","1","0","0","322","3","0","0","3","8","1030008"
"0","2.579","4","0","0","0","3","0","1","0","9","1030009"
"2.298","0","1","0","0","349","3","0","0","4","10","1030010"
"0","3.18","4","0","0","0","3","0","1","0","11","1030011"
"0","0","2","vo_minigame_1005_nikki03_002","vo_minigame_1005","0","3","0","0","0","12","1030012"
"1.262","0","1","0","0","173","3","0","0","5","13","1030013"
"0","1.993","4","0","0","0","3","0","1","0","14","1030014"
"0","0","2","vo_minigame_1005_nikki03_003","vo_minigame_1005","0","3","0","0","0","15","1030015"
"0.373","0","1","0","0","243","3","173","0","5","16","1030016"
"0","0.69","4","0","0","0","3","0","1","0","17","1030017"
"1.045","0","1","0","0","362","3","243","0","5","18","1030018"
"0","2.131","4","0","0","0","3","0","1","0","19","1030019"
"0","0","2","vo_minigame_1005_nikki03_004","vo_minigame_1005","0","3","0","0","0","20","1030020"
"2.147","0","1","0","0","289","3","0","0","6","21","1030021"
"0","2.618","4","0","0","0","3","0","1","0","22","1030022"
"1.445","0","1","0","0","202","3","0","0","7","23","1030023"
"0","2.552","4","0","0","0","3","0","1","0","24","1030024"
"0","0","2","vo_minigame_1005_nikki03_005","vo_minigame_1005","0","3","0","0","0","25","1030025"
"0.876","0","1","0","0","123","3","0","0","8","26","1030026"
"0","1.252","4","0","0","0","3","0","1","0","27","1030027"
"1.306","0","1","0","0","324","3","123","0","8","28","1030028"
"0","1.507","4","0","0","0","3","0","1","0","29","1030029"
"1.319","0","1","0","0","186","3","0","0","9","30","1030030"
"0","2.549","4","0","0","0","3","0","1","0","31","1030031"
"0","0","2","vo_minigame_1005_nikki03_006","vo_minigame_1005","0","3","0","0","0","32","1030032"
"2.728","0","1","0","0","383","3","0","0","10","33","1030033"
"0","3.023","4","0","0","0","3","0","1","0","34","1030034"
"0.91","0","1","0","0","123","3","0","0","11","35","1030035"
"0","1.977","4","0","0","0","3","0","1","0","36","1030036"
"0","0","2","vo_minigame_1005_nikki03_007","vo_minigame_1005","0","3","0","0","0","37","1030037"
"0.558","0","1","0","0","208","3","123","0","11","38","1030038"
"0","0.973","4","0","0","0","3","0","1","0","39","1030039"
"1.35","0","1","0","0","392","3","208","0","11","40","1030040"
"0","2.103","4","0","0","0","3","0","1","0","41","1030041"
"0","0","2","vo_minigame_1005_nikki03_008","vo_minigame_1005","0","3","0","0","0","42","1030042"
"0.935","0","1","0","0","150","3","0","0","12","43","1030043"
"0","2.435","4","0","0","0","3","0","1","0","44","1030044"
"0","1","4","0","0","0","4","0","3","0","1","1040001"
"0","0","2","vo_minigame_1005_nikki04_000","vo_minigame_1005","0","4","0","0","0","2","1040002"
"1.597","0","1","0","0","222","4","0","0","1","3","1040003"
"0","1.881","4","0","0","0","4","0","1","0","4","1040004"
"1.46","0","1","0","0","239","4","0","0","2","5","1040005"
"0","2.457","4","0","0","0","4","0","1","0","6","1040006"
"0","0","2","vo_minigame_1005_nikki04_001","vo_minigame_1005","0","4","0","0","0","7","1040007"
"1.208","0","1","0","0","171","4","0","0","3","8","1040008"
"0","1.578","4","0","0","0","4","0","1","0","9","1040009"
"0.673","0","1","0","0","270","4","171","0","3","10","1040010"
"0","1.009","4","0","0","0","4","0","1","0","11","1040011"
"0.65","0","1","0","0","352","4","270","0","3","12","1040012"
"0","0.729","4","0","0","0","4","0","1","0","13","1040013"
"0.976","0","1","0","0","166","4","0","0","4","14","1040014"
"0","1.993","4","0","0","0","4","0","1","0","15","1040015"
"0","0","2","vo_minigame_1005_nikki04_002","vo_minigame_1005","0","4","0","0","0","16","1040016"
"0.396","0","1","0","0","220","4","166","0","4","17","1040017"
"0","0.864","4","0","0","0","4","0","1","0","18","1040018"
"0.74","0","1","0","0","352","4","220","0","4","19","1040019"
"0","1.855","4","0","0","0","4","0","1","0","20","1040020"
"0","0","2","vo_minigame_1005_nikki04_003","vo_minigame_1005","0","4","0","0","0","21","1040021"
"0.437","0","1","0","0","52","4","0","0","5","22","1040022"
"0","0.497","4","0","0","0","4","0","1","0","23","1040023"
"1.776","0","1","0","0","289","4","52","0","5","24","1040024"
"0","2.233","4","0","0","0","4","0","1","0","25","1040025"
"1.29","0","1","0","0","153","4","0","0","6","26","1040026"
"0","1.638","4","0","0","0","4","0","1","0","27","1040027"
"1.137","0","1","0","0","329","4","153","0","6","28","1040028"
"0","2.3","4","0","0","0","4","0","1","0","29","1040029"
"0","0","2","vo_minigame_1005_nikki04_004","vo_minigame_1005","0","4","0","0","0","30","1040030"
"0.336","0","1","0","0","55","4","0","0","7","31","1040031"
"0","0.826","4","0","0","0","4","0","1","0","32","1040032"
"1.223","0","1","0","0","252","4","55","0","7","33","1040033"
"0","1.223","4","0","0","0","4","0","1","0","34","1040034"
"0.994","0","1","0","0","179","4","0","0","8","35","1040035"
"0","1.487","4","0","0","0","4","0","1","0","36","1040036"
"0.89","0","1","0","0","312","4","179","0","8","37","1040037"
"0","1.567","4","0","0","0","4","0","1","0","38","1040038"
"0","0","2","vo_minigame_1005_nikki04_005","vo_minigame_1005","0","4","0","0","0","39","1040039"
"0.74","0","1","0","0","151","4","0","0","9","40","1040040"
"0","1.731","4","0","0","0","4","0","1","0","41","1040041"
"0","0","2","vo_minigame_1005_nikki04_006","vo_minigame_1005","0","4","0","0","0","42","1040042"
"1.937","0","1","0","0","278","4","0","0","10","43","1040043"
"0","2.435","4","0","0","0","4","0","1","0","44","1040044"
"0.822","0","1","0","0","126","4","0","0","11","45","1040045"
"0","1.376","4","0","0","0","4","0","1","0","46","1040046"
"0.576","0","1","0","0","199","4","126","0","11","47","1040047"
"0","0.923","4","0","0","0","4","0","1","0","48","1040048"
"0.785","0","1","0","0","353","4","199","0","11","49","1040049"
"0","2.285","4","0","0","0","4","0","1","0","50","1040050"
"0","1","4","0","0","0","5","0","3","0","1","1050001"
"0","0","2","vo_minigame_1005_nikki05_000","vo_minigame_1005","0","5","0","0","0","2","1050002"
"1.419","0","1","0","0","183","5","0","0","1","3","1050003"
"0","1.662","4","0","0","0","5","0","1","0","4","1050004"
"1.614","0","1","0","0","265","5","0","0","2","5","1050005"
"0","2.394","4","0","0","0","5","0","1","0","6","1050006"
"0","0","2","vo_minigame_1005_nikki05_001","vo_minigame_1005","0","5","0","0","0","7","1050007"
"2.658","0","1","0","0","394","5","0","0","3","8","1050008"
"0","3.202","4","0","0","0","5","0","1","0","9","1050009"
"0","0","2","vo_minigame_1005_nikki05_002","vo_minigame_1005","0","5","0","0","0","10","1050010"
"1.745","0","1","0","0","298","5","0","0","4","11","1050011"
"0","2.545","4","0","0","0","5","0","1","0","12","1050012"
"0","0","2","vo_minigame_1005_nikki05_003","vo_minigame_1005","0","5","0","0","0","13","1050013"
"0.964","0","1","0","0","115","5","0","0","5","14","1050014"
"0","1.34","4","0","0","0","5","0","1","0","15","1050015"
"1.919","0","1","0","0","394","5","115","0","5","16","1050016"
"0","2.719","4","0","0","0","5","0","1","0","17","1050017"
"0","0","2","vo_minigame_1005_nikki05_004","vo_minigame_1005","0","5","0","0","0","18","1050018"
"0.434","0","1","0","0","60","5","0","0","6","19","1050019"
"0","0.903","4","0","0","0","5","0","1","0","20","1050020"
"1.262","0","1","0","0","250","5","60","0","6","21","1050021"
"0","1.758","4","0","0","0","5","0","1","0","22","1050022"
"2.473","0","1","0","0","309","5","0","0","7","23","1050023"
"0","3.315","4","0","0","0","5","0","1","0","24","1050024"
"0","0","2","vo_minigame_1005_nikki05_005","vo_minigame_1005","0","5","0","0","0","25","1050025"
"0.509","0","1","0","0","82","5","0","0","8","26","1050026"
"0","0.988","4","0","0","0","5","0","1","0","27","1050027"
"1.775","0","1","0","0","364","5","82","0","8","28","1050028"
"0","2.507","4","0","0","0","5","0","1","0","29","1050029"
"0","0","2","vo_minigame_1005_nikki05_006","vo_minigame_1005","0","5","0","0","0","30","1050030"
"1.139","0","1","0","0","201","5","0","0","9","31","1050031"
"0","2.066","4","0","0","0","5","0","1","0","32","1050032"
"0","0","2","vo_minigame_1005_nikki05_007","vo_minigame_1005","0","5","0","0","0","33","1050033"
"0.665","0","1","0","0","94","5","0","0","10","34","1050034"
"0","1.144","4","0","0","0","5","0","1","0","35","1050035"
"1.389","0","1","0","0","271","5","94","0","10","36","1050036"
"0","1.789","4","0","0","0","5","0","1","0","37","1050037"
"0.823","0","1","0","0","376","5","271","0","10","38","1050038"
"0","2.023","4","0","0","0","5","0","1","0","39","1050039"
