e90bf4509d901cd144119d488f01d8359486f62744af363e9332e50ac22374ba,515edb19c174f673aa4b34f3fc1adbdd41bca7ed282994c2daa7611ddf4c75f1,3044d9b0c0422ca5074c60aabe49cc08612fd779500a2e11bfb8c8bbdb08067f,a628e28da344c1dc18e41084b9bfb101ad0268acb9adbe147858ae0c610795e0,9a0adad6efda7fb74c376905418802739aa5739a886bfbd64fb60284883dcd61,8d2d3f6c3df4c0c7952192bc8f73f1d2266a23202a424271bf57ae86ba573463,318b4131f9d3bf2dbc175aac59489bc0931bc44e23eb95f89169428dcbe13986,819207483dcf2d0816f9b9e81615a033596865175c9a9ecbfc1e0fbaed443196,a1b113de3b1f24fa6d7374c9f4e3e97152eeed6cf712bd4b96a9ff22e292af9c,b76ea043dd2cc3388f867c5a876e949a894de672fc0db85470064c28f97ec135,f18d47cb6d791224bb6d9eb707e13076017329c29bc574f86af85a87478549ec
"2017","","91","","","0","2","","","",""
"2018","","3","1","","129811","2","","","drama_idle","0.2"
"2019","","3","1","","129911","2","","","drama_idle","0.2"
"3001","-224","1","100","167","1","3","1","drama_idle","129811","1.65"
"3002","-224","1","100","-49","1","3","0","drama_idle","129911","1.65"
"3003","","3","1","","129811","3","","","drama_idle","0.2"
"3004","","3","1","","129911","3","","","drama_talk_thinking","0.2"
"3005","","21","0","0","vo_minigame_1013","3","","","vo_minigame_1013_top_talk_3_000",""
"3006","0","11","5","1","129911","3","0","0.8","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","0"
"3007","","91","","","0","3","","","",""
"3008","","3","1","","129911","3","","","drama_idle_thinking","0.2"
"3009","1","3","0","drama_talk_sad_loop","129811","3","","","drama_talk_sad_in","0.2"
"3010","","21","0","0","vo_minigame_1013","3","","","vo_minigame_1013_top_talk_3_001",""
"3011","0","11","7","1","129811","3","0","0.5","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","0"
"3012","","91","","","0","3","","","",""
"3013","","3","1","","129811","3","","","drama_idle_sad","0.2"
"3014","1","3","0","drama_talk_arm_crossed_loop","129911","3","","","drama_talk_arm_crossed_in","0.2"
"3015","","21","0","0","vo_minigame_1013","3","","","vo_minigame_1013_top_talk_3_002",""
"3016","0","11","6","1","129911","3","0","0.3","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","0"
"3017","","91","","","0","3","","","",""
"3018","","3","1","","129811","3","","","drama_idle","0.2"
"3019","","3","1","","129911","3","","","drama_idle","0.2"
"4001","-224","1","100","167","1","4","1","drama_idle","129811","1.65"
"4002","-224","1","100","-49","1","4","0","drama_idle","129911","1.65"
"4003","","3","1","","129911","4","","","drama_idle","0.2"
"4004","1","3","0","drama_talk_doya_loop_shy","129811","4","","","drama_talk_doya_in_shy","0.2"
"4005","","21","0","0","vo_minigame_1013","4","","","vo_minigame_1013_top_talk_4_000",""
"4006","0","11","7","1","129811","4","0","0.3","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","0"
"4007","","91","","","0","4","","","",""
"4008","","3","1","","129811","4","","","drama_idle_doya_shy","0.2"
"4009","1","3","0","drama_talk_wish_loop","129911","4","","","drama_talk_wish_in","0.2"
"4010","","21","0","0","vo_minigame_1013","4","","","vo_minigame_1013_top_talk_4_001",""
"4011","0","11","5","1","129911","4","0","0.5","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","0"
"4012","","91","","","0","4","","","",""
"4013","","3","1","","129911","4","","","drama_idle_wish","0.2"
"4014","0","3","1","","129811","4","","","drama_idle_thinking_shy","0.2"
"4015","","21","0","0","vo_minigame_1013","4","","","vo_minigame_1013_top_talk_4_002",""
"4016","0","11","8","1","129811","4","0","0","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","0"
"4017","","91","","","0","4","","","",""
"4018","","3","1","","129911","4","","","drama_idle","0.2"
"4019","","3","1","","129811","4","","","drama_idle","0.2"
"5001","-224","1","100","167","1","5","1","drama_idle","129811","1.65"
"5002","-224","1","100","-49","1","5","0","drama_idle","129911","1.65"
"5003","","3","1","","129811","5","","","drama_idle","0.2"
"5004","","3","1","","129911","5","","","drama_talk_thinking","0.2"
"5005","","21","0","0","vo_minigame_1013","5","","","vo_minigame_1013_top_talk_5_000",""
"5006","0","11","6","1","129911","5","0","0.8","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","0"
"5007","","91","","","0","5","","","",""
"5008","","3","1","","129911","5","","","drama_idle_thinking","0.2"
"5009","1","3","0","drama_talk_wonder_loop","129811","5","","","drama_talk_wonder_in","0.2"
"5010","","21","0","0","vo_minigame_1013","5","","","vo_minigame_1013_top_talk_5_001",""
"5011","0","11","7","1","129811","5","0","0.3","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","0"
"5012","","91","","","0","5","","","",""
"5013","","3","1","","129811","5","","","drama_idle_wonder","0.2"
"5014","","3","1","","129911","5","","","drama_talk_memory","0.2"
"5015","","21","0","0","vo_minigame_1013","5","","","vo_minigame_1013_top_talk_5_002",""
"5016","0","11","5","1","129911","5","0","0.5","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","0"
"5017","","91","","","0","5","","","",""
"5018","","3","1","","129811","5","","","drama_idle","0.2"
"5019","","3","1","","129911","5","","","drama_idle","0.2"
"6001","-224","1","100","167","1","6","1","drama_idle","129811","1.65"
"6002","-224","1","100","-49","1","6","0","drama_idle","129911","1.65"
"6003","","3","1","","129911","6","","","drama_idle","0.2"
"6004","","3","1","","129811","6","","","drama_talk_thinking_shy","0.2"
"6005","","21","0","0","vo_minigame_1013","6","","","vo_minigame_1013_top_talk_6_000",""
"6006","0","11","8","1","129811","6","0","0.3","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","0"
"6007","","91","","","0","6","","","",""
"6008","","3","1","","129811","6","","","drama_idle_thinking_shy","0.2"
"6009","1","3","0","drama_talk_doubt_loop","129911","6","","","drama_talk_doubt_in","0.2"
"6010","","21","0","0","vo_minigame_1013","6","","","vo_minigame_1013_top_talk_6_001",""
"6011","0","11","6","1","129911","6","0","0.8","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","0"
"6012","","91","","","0","6","","","",""
"6013","","3","1","","129911","6","","","drama_idle_doubt","0.2"
"6014","1","3","0","drama_talk_surprise_loop_shy","129811","6","","","drama_talk_surprise_in_shy","0.2"
"6015","","21","0","0","vo_minigame_1013","6","","","vo_minigame_1013_top_talk_6_002",""
"6016","0","11","9","1","129811","6","0","0.3","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","0"
"6017","","91","","","0","6","","","",""
"6018","","3","1","","129911","6","","","drama_idle","0.2"
"6019","","3","1","","129811","6","","","drama_idle","0.2"
"7001","-224","1","100","167","1","7","1","drama_idle","129811","1.65"
"7002","-224","1","100","-49","1","7","0","drama_idle","129911","1.65"
"7003","","3","1","","129811","7","","","drama_idle","0.2"
"7004","1","3","0","drama_talk_arm_crossed_loop","129911","7","","","drama_talk_arm_crossed_in","0.2"
"7005","","21","0","0","vo_minigame_1013","7","","","vo_minigame_1013_top_talk_7_000",""
"7006","0","11","6","1","129911","7","0","0.3","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","0"
"7007","","91","","","0","7","","","",""
"7008","","3","1","","129911","7","","","drama_idle_arm_crossed","0.2"
"7009","1","3","0","drama_talk_guts2_loop","129811","7","","","drama_talk_guts2_in","0.2"
"7010","","21","0","0","vo_minigame_1013","7","","","vo_minigame_1013_top_talk_7_001",""
"7011","0","11","6","1","129811","7","0","0","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","0"
"7012","","91","","","0","7","","","",""
"7013","","3","1","","129811","7","","","drama_idle_guts2","0.2"
"7014","","3","1","","129911","7","","","drama_talk_thinking","0.2"
"7015","","21","0","0","vo_minigame_1013","7","","","vo_minigame_1013_top_talk_7_002",""
"7016","0","11","6","1","129911","7","0","0.5","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","0"
"7017","","91","","","0","7","","","",""
"7018","","3","1","","129811","7","","","drama_idle","0.2"
"7019","","3","1","","129911","7","","","drama_idle","0.2"
"8001","-224","1","100","167","1","8","1","drama_idle","129811","1.65"
"8002","-224","1","100","-49","1","8","0","drama_idle","129911","1.65"
"8003","","3","1","","129911","8","","","drama_idle","0.2"
"8004","1","3","0","drama_talk_doya_loop_smile","129811","8","","","drama_talk_doya_in_smile","0.2"
"8005","","21","0","0","vo_minigame_1013","8","","","vo_minigame_1013_top_talk_8_000",""
"8006","0","11","7","1","129811","8","0","0.3","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","0"
"8007","","91","","","0","8","","","",""
"8008","","3","1","","129811","8","","","drama_idle_doya_smile","0.2"
"8009","1","3","0","drama_talk_arm_crossed_loop","129911","8","","","drama_talk_arm_crossed_in","0.2"
"8010","","21","0","0","vo_minigame_1013","8","","","vo_minigame_1013_top_talk_8_001",""
"8011","0","11","5","1","129911","8","0","0.8","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","0"
"8012","","91","","","0","8","","","",""
"8013","","3","1","","129911","8","","","drama_idle_arm_crossed","0.2"
"8014","","3","1","","129811","8","","","drama_talk_anger","0.2"
"8015","","21","0","0","vo_minigame_1013","8","","","vo_minigame_1013_top_talk_8_002",""
"8016","0","11","7","1","129811","8","0","0.3","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","0"
"8017","","91","","","0","8","","","",""
"8018","","3","1","","129811","8","","","drama_idle","0.2"
"8019","","3","1","","129911","8","","","drama_idle","0.2"
"30001","-224","1","100","167","1","30","1","drama_idle","129811","1.65"
"30002","-224","1","100","-49","1","30","0","drama_idle","129911","1.65"
"30003","","3","1","","129811","30","","","drama_idle","0.2"
"30004","","3","1","","129911","30","","","drama_idle","0.2"
"30005","","93","","","0.5","30","","","0",""
"30006","","26","","","2","30","","","",""
"30007","0.9","121","1.2","1.2","-80","30","","","10","3"
"30008","","3","0","","129911","30","0.2","","drama_joy_eriko","0.2"
"30009","","140","0","","1","30","","","1",""
"31001","-224","1","100","167","1","31","1","drama_idle","129811","1.65"
"31002","-224","1","100","-49","1","31","0","drama_idle","129911","1.65"
"31003","","3","1","","129811","31","","","drama_idle","0.2"
"31004","","3","1","","129911","31","","","drama_idle","0.2"
"31005","","93","","","0.5","31","","","0",""
"31006","","26","","","2","31","","","",""
"31007","0.9","121","1.2","1.2","-80","31","","","10","3"
"31008","","3","0","","129811","31","0.2","","drama_joy_makoto","0.2"
"31009","","140","0","","1","31","","","2",""
"32001","28","5","1","320","0","32","1","drama_talk_1","1","0.28"
"32002","28","5","0","228","0","32","0","drama_talk_2","2","0.28"
"32003","64","5","90","45","0","32","1","drama_swing","3","0.26"
"32004","-23","5","91","-187","0","32","0","drama_streach","4","0.3"
"32005","","93","","","1","32","","","0",""
"32006","","3","0","","1","32","","","drama_joy","0.2"
"32007","","3","0","","2","32","","","drama_joy","0.2"
"32008","","3","0","","3","32","","","drama_joy","0.2"
"32009","","3","0","","4","32","","","drama_joy","0.2"
"32010","","93","","","1.5","32","","","0",""
"33001","28","5","1","320","0","33","1","drama_talk_1","1","0.28"
"33002","28","5","0","228","0","33","0","drama_talk_2","2","0.28"
"33003","64","5","90","45","0","33","1","drama_swing","3","0.26"
"33004","-23","5","91","-187","0","33","0","drama_streach","4","0.3"
