884600d3b816fb7654a0e2152109389896d944fc0b027dcb4a966d94c9586f58,abbea28ecf64718299fcbc0a74968667cde9592af856c7dafd20deb42be4fd7f,8fdb48ea2a2c062b0ecaca8c26fb8c3e11413ab17b40907f091d89fe7ce50ab3,8d5d1f8b9d788d43848cf085487d07efb8766c46279623e9c947411f345f519c,5ec6ea2caf8ddbca87d7e1cd00d52e420bc99b0889bf8e053f0f0b49a70213bf,48617d7960d4500cfa7c2e1762e24dc889cf8347f4b9b454d2a81dcc8f1f23f2,f5fc831dd3ec7eac0389f15c4e9ff4c6b1cf746ca6cf9f0972249882ed7f42e1,fa5546ca99e1c690b75cab34bec6213c3c3f3ae82272c91738d0cdbfc219d452,5e18e982c252e4ed0ac202ce63c4c736af925289edde1677301f4d2d63e08308,f389f189df0c5d794a033882d89f67182ddfbc277121deacf7e6a313459369be,adfc6b36cf286a4bf999d048d1bad26d46174747187c6950761b86c766684cd9
"0","2019/01/31 5:00:00","80001","0","0","0","15","8","2019/02/15 4:59:59","1st Anniversary カウントダウンログインボーナス","1"
"0","2020/01/31 5:00:00","80002","80002","4","0","15","4","2020/02/15 4:59:59","2nd Anniversary カウントダウンログインボーナス","0"
"0","2020/08/01 5:00:00","80003","0","0","0","15","8","2020/08/16 4:59:59","2.5 Year Anniversary カウントダウンログインボーナス","1"
"0","2021/01/30 5:00:00","80004","0","0","1","17","10","2021/02/16 4:59:59","3rd Anniversary カウントダウンログインボーナス","1"
"0","2021/08/01 5:00:00","80005","0","0","0","15","8","2021/08/16 4:59:59","3.5 Year Anniversary カウントダウンログインボーナス","1"
"0","2022/01/30 5:00:00","80006","0","0","1","17","10","2022/02/16 4:59:59","4th Anniversary カウントダウンログインボーナス","1"
"0","2022/08/01 5:00:00","80007","0","0","1","15","10","2022/08/16 4:59:59","4.5 Year Anniversary カウントダウンログインボーナス","1"
"0","2023/01/31 5:00:00","80008","0","0","1","16","10","2023/02/16 4:59:59","5th Anniversary カウントダウンログインボーナス","1"
"0","2023/08/01 5:00:00","80009","0","0","1","15","10","2023/08/16 4:59:59","5.5 Year Anniversary カウントダウンログインボーナス","1"
"0","2024/01/31 5:00:00","80010","0","0","1","16","10","2024/02/16 4:59:59","6th Anniversary カウントダウンログインボーナス","1"
"0","2024/08/01 5:00:00","80011","0","0","1","15","10","2024/08/16 4:59:59","6.5 Year Anniversary カウントダウンログインボーナス","1"
"0","2025/02/08 5:00:00","80012","0","0","1","8","10","2025/02/16 4:59:59","7th Year Anniversary カウントダウンログインボーナス","1"
