5da59963c79f7cb313c68a6e02710a4d390cf9b7bded78e3e640520972bec12a,c8249b16e27af1f1e3acf719adfae0d692f3da2337716a48729d431cae29fd31,2ad4f20cbe7d00009777c767c1419a2e838f6538adc93c050df2fb6d290ad962,8bb01470095292c95d340f2a9a0f332b7fa006f2cbe971c96e423fcf1d690ea6,1b125439b9e75dd04b052491af14a17c5d23e6aec1e792a975668250b94b33cc,f35eddb96dffab461e4da76d562ec5a7a89fc267952572dd11fae98790aca89c,2c6e66709149cb2a150c2b61916da614686dbfd43f831bf7180b12ad00c6189a,8cf16a3c655a630bcdec144011ff38f1dab6098303edfda481db990e86ef1bff,9f8b14b284cc359962c1107d5288912e368de2d110eda59f869b32ba00081cfa,fe0955749326b34db16290ed2e054e8279fe608fd2a9ce6ecd57021729331a24,9a3c61acc0d2e2e5a25ff406b5596c9ca51bc08934a79dcccf92e65b3a7430d7
"2","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","ストーリーへ","0","1007501","5048","イベントスペシャルエピソード","イベント「ハッピー・チェンジ・エンジェルズ」の\nエンディングを読むと、特別なエピソードが解放されます。","2021/09/30 11:59:59","2021/09/24 21:00:00","10075"
"3","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","ストーリーへ","0","1007502","5048","イベントスペシャルエピソード","イベント「ハッピー・チェンジ・エンジェルズ」で\nラフィからお手紙が届きました！","2021/09/30 11:59:59","2021/09/24 21:00:00","10075"
"5","","イベントへ","5082601","1008201","1004","集合写真追加","「みんなでおせちパーティー」に\n集合写真が追加されました。","2022/01/18 14:59:59","2022/01/14 21:00:00","10082"
"4","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","ストーリーへ","5056601","1008301","5056","イベントスペシャルエピソード","イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","2022/01/31 11:59:59","2022/01/25 21:00:00","10083"
"3","エクストラストーリーから\n特別なストーリーをご覧いただけます。","ストーリーへ","5061601","1008901","5061","イベントスペシャルエピソード","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","2022/03/25 14:59:59","2022/03/16 12:00:00","10089"
"5","","ストーリーへ","5061602","1008902","10089","イベントスペシャルエピソード","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","2022/03/25 14:59:59","2022/03/23 21:00:00","10089"
"3","エクストラストーリーから\n特別なストーリーをご覧いただけます。","ストーリーへ","5061601","1008903","5061","イベントスペシャルエピソード","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","2022/03/31 11:59:59","2022/03/25 15:00:00","10089"
"5","","ストーリーへ","5092601","1009201","10092","イベントスペシャルエピソード","イベント「エピソード・オブ・パイレーツ　海賊島の呪われし\n遺宝」のスペシャルエピソードが解放されました。","2022/05/18 14:59:59","2022/05/14 21:00:00","10092"
"5","","ストーリーへ","5100601","1010001","10100","イベントスペシャルエピソード","イベント「マホマホ・ミラクル・ジャーニー！　旅する少女と\n最果ての大樹」のスペシャルエピソードが解放されました。","2022/09/18 14:59:59","2022/09/14 21:00:00","10100"
"5","","イベントへ","5082601","1010901","1004","集合写真追加","「みんなでおせちパーティー」に\n集合写真が追加されました。","2023/01/25 14:59:59","2023/01/23 21:00:00","10109"
"5","","ストーリーへ","5092601","1011901","10119","イベントスペシャルエピソード","イベント「エピソード・オブ・パイレーツ　海賊島の呪われし\n遺宝」のスペシャルエピソードが解放されました。","2023/05/25 14:59:59","2023/05/23 21:00:00","10119"
"5","","ストーリーへ","5100601","1012701","10127","イベントスペシャルエピソード","イベント「マホマホ・ミラクル・ジャーニー！　旅する少女と\n最果ての大樹」のスペシャルエピソードが解放されました。","2023/09/27 14:59:59","2023/09/25 21:00:00","10127"
"4","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","ストーリーへ","5056601","2003201","5056","イベントスペシャルエピソード","イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","2022/01/31 11:59:59","2022/01/25 21:00:00","20032"
