83aaea29af1b1a670639dc7b749337332c00a287d23e67730e2ad2ff9b8316de,a6a4810df5a746d6c7a25e414391add2954156c6619fd5371e5e91f2b0c93ba9,ee3d69dbd54bc3c60432a8e1cfe647dd22fe556256d5f5828e8fa0d1841919b2,bc5defc47519fe3f6ee223fa17608a0b5d913cf5819d7e5e87eaa4e55f083727,6e4d0748d601726959c7e8652ee921c4d096eeef5d28a8a2f31c470d2a0a8f54,3c236d072b31d83b86a30a16ebf5f4ad0868e01218271b8b578b95da463ddc0f
"102","803100261","2146028","0","300418","105"
"113","803100261","2146029","1","300419","202"
"113","803100261","2146030","1","300420","202"
"113","803100262","2146031","1","300421","202"
"114","803100262","2146032","1","300422","203"
"102","803100262","2146033","0","300423","105"
"112","803100262","2146034","1","300424","208"
"110","803100262","2146035","1","300425","212"
"113","803100262","2146036","1","300426","202"
"113","803100262","2146037","1","300427","202"
"102","803100262","2146038","0","300428","105"
"100","803100264","2146051","0","300501","104"
"100","803100264","2146052","0","300502","104"
"100","803100264","2146053","0","300503","104"
"100","803100264","2146054","0","300504","104"
"102","803100264","2146055","0","300505","105"
"103","803100264","2146056","0","300506","106"
"100","803100264","2146057","0","300507","104"
"100","803100264","2146058","0","300508","104"
"102","803100264","2146059","0","300509","105"
"103","803100264","2146060","0","300510","106"
"100","803100265","2146061","0","300511","104"
"100","803100265","2146062","0","300512","104"
"100","803100265","2146063","0","300513","104"
"100","803100265","2146064","0","300514","104"
"102","803100265","2146065","0","300515","105"
"103","803100265","2146066","0","300516","106"
"100","803100265","2146067","0","300517","104"
"100","803100265","2146068","0","300518","104"
"102","803100265","2146069","0","300519","105"
"103","803100265","2146070","0","300520","106"
"100","803100266","2146071","0","300521","104"
"100","803100266","2146072","0","300522","104"
"113","803100266","2146073","1","300523","202"
"114","803100266","2146074","1","300524","203"
"100","803100266","2146075","0","300525","104"
"112","803100266","2146076","1","300526","208"
"110","803100266","2146077","1","300527","212"
"113","803100266","2146078","1","300528","202"
"114","803100266","2146079","1","300529","203"
"100","803100266","2146080","0","300530","104"
"114","803100268","2146091","1","300601","203"
"113","803100268","2146092","1","300602","202"
"102","803100268","2146093","0","300603","105"
"114","803100268","2146094","1","300604","203"
"103","803100268","2146095","0","300605","106"
"114","803100268","2146096","1","300606","203"
"111","803100268","2146097","1","300607","204"
"114","803100268","2146098","1","300608","203"
"113","803100268","2146099","1","300609","202"
"102","803100268","2146100","0","300610","105"
"114","803100269","2147011","1","300611","203"
"103","803100269","2147012","0","300612","106"
"114","803100269","2147013","1","300613","203"
"111","803100269","2147014","1","300614","204"
"110","803100269","2147015","1","300615","212"
"114","803100269","2147016","1","300616","203"
"102","803100269","2147017","0","300617","105"
"103","803100269","2147018","0","300618","106"
"111","803100270","2147021","1","300701","204"
"100","803100270","2147022","0","300702","104"
"101","803100270","2147023","0","300703","107"
"113","803100270","2147024","1","300704","202"
"114","803100270","2147025","1","300705","203"
"102","803100270","2147026","0","300706","105"
"112","803100270","2147027","1","300707","205"
"111","803100270","2147028","1","300708","204"
"100","803100270","2147029","0","300709","104"
"101","803100270","2147030","0","300710","107"
"113","803100271","2147031","1","300711","202"
"114","803100271","2147032","1","300712","203"
"102","803100271","2147033","0","300713","105"
"112","803100271","2147034","1","300714","205"
"107","803100271","2147035","0","300715","110"
"111","803100271","2147036","1","300716","204"
"100","803100271","2147037","0","300717","104"
"101","803100271","2147038","0","300718","107"
