78b784878141a09124c248247427be3461bf635a63039c9201ae84cf6b59b9de,7390c6b31c69e40dedbfb1fe2cd4bd426aa3d8298c2450b12190f3d7c1ccb93e,e588a31c41c3d16f58a94b9eb13e472d0ebef5008552f06ac1b21cfa5704c9e7,4ccf92e0e5af91b91779ad0def81a70e68a111b489ee264c92506f85907be4a6,42a7755fdfdf114a2c1fb86b8ceb467905937b4e0196f7694104b31c69a653d0
"25","92407120","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"26","92407120","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"27","92407120","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"28","92407120","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"29","92407120","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"30","92407130","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"31","92407130","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"32","92407130","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"33","92407130","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"34","92407130","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"35","92407130","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"36","92407130","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"37","92407140","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"38","92407140","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"39","92407140","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"40","92407140","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"41","92407140","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"42","92407140","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"43","92407140","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"44","92407210","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"45","92407210","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"46","92407210","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"47","92407210","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"48","92407210","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"49","92407210","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"50","92407210","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"51","92407210","energy_recover","バトル開始時、すべてのモンスターのＴＰを特大回復。","ＴＰ回復"
"52","92407220","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"53","92407220","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"54","92407220","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"55","92407220","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"56","92407220","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"57","92407220","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"58","92407220","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"59","92407230","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"60","92407230","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"61","92407230","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"62","92407230","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"63","92407230","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"64","92407230","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"65","92407230","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"66","92407240","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"67","92407240","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"68","92407240","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"69","92407240","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"70","92407240","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"71","92407240","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"72","92407240","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"73","92407310","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"74","92407310","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"75","92407310","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"76","92407310","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"77","92407310","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"78","92407310","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"79","92407310","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"80","92407320","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"81","92407320","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"82","92407320","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"83","92407320","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"84","92407320","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"85","92407320","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"86","92407320","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"87","92407330","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"88","92407330","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"89","92407330","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"90","92407330","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"91","92407330","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"92","92407330","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"93","92407330","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"94","92407340","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ"
"95","92407340","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"96","92407340","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"97","92407340","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"98","92407340","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"99","92407340","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"100","92407340","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"101","92408010","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"102","92408010","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"103","92408010","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"104","92408010","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"105","92408010","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"106","92408020","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"107","92408020","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"108","92408020","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"109","92408020","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"110","92408020","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"111","92408030","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"112","92408030","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"113","92408030","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"114","92408030","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"115","92408030","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"116","92408110","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"117","92408110","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"118","92408110","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"119","92408110","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"120","92408110","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"121","92408110","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"122","92408110","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"123","92408120","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"124","92408120","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"125","92408120","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"126","92408120","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"127","92408120","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"128","92408120","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"129","92408120","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"130","92408130","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"131","92408130","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"132","92408130","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"133","92408130","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"134","92408130","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"135","92408130","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"136","92408130","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"137","92408140","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"138","92408140","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"139","92408140","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"140","92408140","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"141","92408140","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"142","92408140","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"143","92408140","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"144","92408210","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"145","92408210","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"146","92408210","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"147","92408210","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"148","92408210","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"149","92408210","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"150","92408210","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"151","92408220","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"152","92408220","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"153","92408220","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"154","92408220","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"155","92408220","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"156","92408220","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"157","92408220","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"158","92408230","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"159","92408230","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"160","92408230","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"161","92408230","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"162","92408230","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"163","92408230","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"164","92408230","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"165","92408240","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"166","92408240","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"167","92408240","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"168","92408240","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"169","92408240","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"170","92408240","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"171","92408240","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"172","92408310","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"173","92408310","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"174","92408310","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"175","92408310","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"176","92408310","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"177","92408310","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"178","92408310","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
"179","92408320","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ"
"180","92408320","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ"
"181","92408320","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ"
"182","92408320","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット"
"183","92408320","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰"
"184","92408320","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与"
"185","92408320","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン"
