713df01d219197eaf0b5ed6eaa3479247628232d5cd9dc682622714abc616262,514e69c1660aa99d16e480918c09e1a455f63d94750ef614dcd04ef353243962,7efc024cf7098250aa86ee76cf02b716b5cacd84877f42217a69ed328d49f8e1,9d9e2301f831aef8a44be3c769dedfb17412c33bafb86a07e4ea3581aad9d08f,e868866c3b805bfa3e11817a5cd06db52f09da6a0e4b32dfb003c199f3dd255a,94a7386c5cf7515fcb2e1ceb9c4a029922569756e4c95502f6720ea9dbce3b7f,17efd74c181f072dd2fd5b9f7451a844cc03b8a37e3c93cd4d8dae08544c7b78,74c88efaaa35424adf7516f6ff4d882686185f95ebabbff367bf8a4bb303a09b
"167","1651","137","308","141","5","10","10"
"174","1661","175","282","-46","5","11","11"
"240","1741","222","-252","-11","6","1","1"
"245","1761","311","-19","-96","6","2","2"
"221","1771","261","-46","95","6","3","3"
"237","1781","166","152","83","6","4","4"
"229","1782","183","227","-100","6","5","5"
"183","1811","223","-249","-46","7","1","1"
"247","1881","337","-159","54","7","2","2"
"191","1921","202","30","-70","7","3","3"
"215","1941","176","173","0","7","4","4"
"236","1981","204","292","77","7","5","5"
"254","2001","209","-472","89","8","1","1"
"282","2031","250","-375","-77","8","2","2"
"223","2051","241","-280","110","8","3","3"
"270","2101","243","-148","-85","8","4","4"
"264","2131","274","3","74","8","5","5"
"302","2171","321","155","-36","8","6","6"
"277","2201","199","283","82","8","7","7"
"344","2271","349","374","0","8","8","8"
"301","2321","240","-275","-30","9","1","1"
"108","2361","106","-132","-115","9","2","2"
"108","2371","106","-132","-115","9","3","3"
"246","2381","202","-73","32","9","4","4"
"84","2411","114","-43","-140","9","5","5"
"84","2421","114","-43","-140","9","6","6"
"84","2461","86","50","65","9","8","7"
"84","2471","86","50","65","9","9","8"
"137","2481","185","80","-110","9","10","9"
"137","2491","185","80","-110","9","11","10"
"377","2521","301","131","24","9","7","11"
"305","2531","190","280","-50","9","12","12"
"145","2601","123","-527","-137","10","3","1"
"145","2611","123","-527","-137","10","4","2"
"295","2621","408","-379","35","10","1","3"
"192","2622","171","-299","103","10","2","4"
"244","2623","342","-138","-64","10","6","5"
"254","2701","224","-47","9","10","5","6"
"204","2781","253","131","-88","10","8","7"
"139","2791","110","89","23","10","9","8"
"139","2801","110","89","23","10","10","9"
"249","2811","292","275","42","10","7","10"
"151","2821","126","274","-120","10","11","11"
"151","2831","126","274","-120","10","12","12"
"316","2841","276","448","-17","10","13","13"
"203","2901","158","-292","-87","11","1","1"
"187","3011","256","-224","123","11","2","2"
"225","3031","144","-65","-80","11","3","3"
"214","3111","149","80","-84","11","4","4"
"194","3131","201","227","112","11","5","5"
"111","3141","161","159","-111","11","6","6"
"111","3151","161","159","-111","11","7","7"
"209","3171","166","307","-80","11","8","8"
"206","3211","364","-185","-106","12","3","1"
"277","3221","160","-304","34","12","1","2"
"275","3231","249","-107","45","12","2","3"
"233","3321","167","31","-46","12","5","4"
"130","3381","174","135","-122","12","7","5"
"130","3391","174","135","-122","12","8","6"
"223","3431","244","127","101","12","4","7"
"246","3441","235","254","-24","12","6","8"
"156","3461","167","303","-114","12","9","9"
"156","3471","167","303","-114","12","10","10"
"94","3491","108","338","152","12","11","11"
"94","3501","108","338","152","12","12","12"
"270","3531","210","-286","-48","13","3","1"
"103","3541","92","-310","144","13","2","2"
"219","3551","228","-152","-90","13","3","3"
"103","3561","94","-148","99","13","4","4"
"71","3571","110","-12","-157","13","5","5"
"274","3581","209","-5","-2","13","1","6"
"292","3691","219","141","-72","13","6","7"
"104","3701","88","146","143","13","7","8"
"135","3741","160","299","131","13","8","9"
"135","3751","160","299","131","13","9","10"
"268","3791","179","301","-82","13","10","11"
"286","3801","197","-470","6","14","2","1"
"89","3811","134","-520","-123","14","3","2"
"236","3821","204","-369","103","14","1","3"
"241","3861","176","-283","-74","14","5","4"
"236","3891","156","-151","-83","14","6","5"
"226","3911","219","-174","108","14","4","6"
"96","3921","107","-51","-130","14","10","7"
"251","3931","179","-5","50","14","9","8"
"102","3941","113","100","-106","14","11","9"
"317","3951","242","268","-41","14","12","10"
"240","3961","209","138","79","14","7","11"
"240","3971","209","138","79","14","8","12"
"93","4021","125","441","-125","14","14","13"
"279","4031","219","485","22","14","13","14"
