3af0e30cd0032d88a1d7826bbdf5eaf29d2db947aa79aa7cbb629320f88a6dbd,5612737fff68c3050834e5785ec87187b247a77db8e88c0b7ec9aed8fd233e5e,bbad94063436bc7562da9cb4b5625eaa77570b1653398279bbfbe076a666e500,6873cebfc9dc61228e826b4cdc4a1cf20556f1a2ec89ce6e88401b1c92d11add,0e5947e9b391ae8af40b28fdff1c792dcf10a596c1246219cd21f7f9c1cfecfe,4a01a80f5dbb81deedf70bebbc29ec46c9a3e5132296bbf33ce7c020b2ac8c37,7cf7c362c5aa06a1ee1f5beec27f3a25aa1ca05f3502c30c631831c2031fed6d,438f783c6253cbab5cd6615bfb4c975e3a09ff0da2d2daf0119046e4c9855e86,1f7988b18f531fd8c106b6390bb3458d95c168f5f5bacc11485d09ebb969a333
"0","21","0","0","3305011","200","0","0","3305001"
"0","21","0","0","3305012","200","0","0","3305002"
"0","21","0","0","3305013","200","0","0","3305003"
"0","21","0","0","3305014","200","0","0","3305004"
"0","21","0","0","3305015","200","0","0","3305005"
"0","21","0","0","3305016","200","0","0","3305006"
"26","20","15","0","1","2","0","30","3305011"
"29","20","8","0","1","2","0","15","3305012"
"30","20","0","0","1","2","0","0","3305013"
"29","20","-8","0","1","2","0","-15","3305014"
"26","20","-15","0","1","2","0","-30","3305015"
"180","10","0","1","30000","1","0","0","3305016"
"1","1","20","2","0","1","0","0","3305101"
"274","20","29","0","1","2","0","0","3402001"
"0","11","0","3","500000","2000","0","0","3402101"
"0","21","0","0","3403002","200","0","0","3403001"
"0","10","0","1","200000","1","0","0","3403002"
"0","4","0","3","0","0","0","0","4001001"
"0","1","0","3","99999","0","0","0","4001002"
"9","1","9","3","99999","9","9","9","4002001"
