85477d8b1f14c398a2a3ea20468501c4af32b8c1b3812a4f5fd3259437761135,7269b5c78f815a7fd810c28c24e04e7f610708fb7192dfa42db3a7930e06ddbe,843e8036f6ca7b82e31a2764a505acdc623659e7cebb2647775dbeba60fb722f,dd35ea0b3a17ca7c0008f9ff95435308d874cbd905b0505730843dd6a7a811fe,a428688bbae11cb8ceaadbb053d3579c5337a1d572a7a6b43520e1175e57631a,cb432587d9348df3d72202c6cb24d08ae4123acd66c49af1958ab99ea01b6a23,b96754452f3b917c9ae6369ab4506b66ea3ccaa83079e9ef6ff0800af24b189a,9ac7a74e3519bc439b5e0815a1376b5422141df3c84bc7e9af7a6f95d9facf24,2286b748a5eb3dafec0bd265bf143a3a1f258411a4cb8b436cb7e0b97d08ee10,cb6d20383a922a4c1c73d71c60ee7abdf00625d0b939ef2d2b780a5d47a58175,da9803ec9889e0321862406d3053f70e99f96f280df137edcd83174ec026dbb6
"1","1","122711","6","1","0.4","1","","1009801","0","1009801018"
"1","1","122811","6","1","0.4","1","","1009801","0","1009801019"
"1","1","122911","6","1","0.4","1","","1009801","0","1009801020"
"0","","2","93","","","","","1009801","","1009801021"
"lsv_talk_joy1","","122911","3","","0.2","1","","1009801","","1009801022"
"vo_lsv_0121","","vo_lsv","21","0","","0","","1009801","","1009801023"
"『みゅ～ちゃん　すくすく日記』♪\nはじまりはじまり～","1","122911","11","1","0","10","0","1009801","0","1009801024"
"","","0","91","","","","","1009801","","1009801025"
"lsv_idle_normal_joyR","","122911","3","","0.2","1","","1009801","","1009801026"
"lsv_talk_normal","","122711","3","","0.2","1","","1009801","","1009801027"
"vo_lsv_0122","","vo_lsv","21","0","","0","","1009801","","1009801028"
"この日記をみんなで書いて、\nみゅ～ちゃんとの思い出を\n作っていこうね。","1","122711","11","1","0","10","0","1009801","0","1009801029"
"","","0","91","","","","","1009801","","1009801030"
"lsv_idle_normal","","122711","3","","0.2","1","","1009801","","1009801031"
"lsv_idle_normal","","122911","3","","0.2","1","","1009801","","1009801032"
"lsv_talk_cool","1","122811","3","lsv_talk_cool_loop","0","0","","1009801","0.2","1009801033"
"vo_lsv_0123","","vo_lsv","21","0","","0","","1009801","","1009801034"
"それにしても…キョウカは\n日記もまじめだねー\n先生に見せるみたい！","1","122811","11","1","0","10","0","1009801","0","1009801035"
"","","0","91","","","","","1009801","","1009801036"
"lsv_talk_bitter","","122811","3","","0.2","1","","1009801","","1009801037"
"vo_lsv_0124","","vo_lsv","21","0","","0","","1009801","","1009801038"
"ミソギたちしか読まないんだし\nもっとふざけちゃっても\nいいのに～♪","1","122811","11","1","0","10","0","1009801","0","1009801039"
"","","0","91","","","","","1009801","","1009801040"
"lsv_idle_joy","","122811","3","","0.2","1","","1009801","","1009801041"
"lsv_talk_anger2","","122711","3","","0.2","1","","1009801","","1009801042"
"vo_lsv_0125","","vo_lsv","21","0","","0","","1009801","","1009801043"
"ふ、ふざけて書くなんて…！\n私にはできないよっ。","1","122711","11","1","0","10","0","1009801","0","1009801044"
"","","0","91","","","","","1009801","","1009801045"
"lsv_idle_anger2","","122711","3","","0.2","1","","1009801","","1009801046"
"lsv_talk_normal","","122911","3","","0.2","1","","1009801","","1009801047"
"vo_lsv_0126","","vo_lsv","21","0","","0","","1009801","","1009801048"
"大丈夫だよ～\nミミは、キョウカちゃんの\n日記もいいなって思うもん♪","1","122911","11","1","0","10","0","1009801","0","1009801049"
"","","0","91","","","","","1009801","","1009801050"
"lsv_idle_normal_joyR","","122911","3","","0.2","1","","1009801","","1009801051"
"lsv_talk_guts2_anger","1","122711","3","lsv_talk_guts2_anger_loop","0","0","","1009801","0.2","1009801052"
"vo_lsv_0127","","vo_lsv","21","0","","0","","1009801","","1009801053"
"と、とにかくっ！　この日記は\nみゅ～ちゃんのことを知って\nいくためにも書くんだよ？","1","122711","11","1","0","10","0","1009801","0","1009801054"
"","","0","91","","","","","1009801","","1009801055"
"lsv_talk_normal_worry","","122711","3","","0.2","1","","1009801","","1009801056"
"vo_lsv_0128","","vo_lsv","21","0","","0","","1009801","","1009801057"
"どんな生き物かわからないと\n育てるのも大変だし…\nそのこと、忘れないようにね？","1","122711","11","1","0","10","0","1009801","0","1009801058"
"","","0","91","","","","","1009801","","1009801059"
"lsv_idle_normal","","122711","3","","0.2","1","","1009801","","1009801060"
"lsv_hello","1","122811","3","lsv_idle_normal","0","0","","1009801","0.2","1009801061"
"lsv_hello","1","122911","3","lsv_idle_normal_joyR","0","0","","1009801","0.2","1009801062"
"vo_lsv_0129","","vo_lsv","21","0","","0","","1009801","","1009801063"
"はーい！","1","122811","11","1","0","10","0","1009801","0","1009801064"
"はーい！","1","122911","11","1","0","10","0","1009801","0","1009801065"
"","","0","91","","","","","1009801","","1009801066"
"lsv_idle_normal","","122711","3","","0.2","1","","1009801","","1009801067"
"lsv_talk_surprise","","122911","3","","0.2","1","","1009801","","1009801068"
"vo_lsv_0130","","vo_lsv","21","0","","0","","1009801","","1009801069"
"みゅ～ちゃんはふしぎだよね～\nはじめて会ったときは\nびっくりしちゃった！","1","122911","11","1","0","10","0","1009801","0","1009801070"
"","","0","91","","","","","1009801","","1009801071"
"lsv_idle_normal_suprise1","","122911","3","","0.2","1","","1009801","","1009801072"
"lsv_talk_cool","1","122811","3","lsv_talk_cool_loop","0","0","","1009801","0.2","1009801073"
"vo_lsv_0131","","vo_lsv","21","0","","0","","1009801","","1009801074"
"タマゴも石みたいだったしね！\nねっ、にいちゃんは、\nどんな生き物だと思う？","1","122811","11","1","0","10","0","1009801","0","1009801075"
"","","0","91","","","","","1009801","","1009801076"
"lsv_choice","1","122711","3","lsv_look_idle_normal","0","0","","1009801","0.2","1009801077"
"lsv_choice","1","122811","3","lsv_look_idle_normal","0","0","","1009801","0.2","1009801078"
"lsv_choice","1","122911","3","lsv_look_idle_normal","0","0","","1009801","0.2","1009801079"
"0","","0.1","93","","","","","1009801","","1009801080"
"-452","2","122711","2","0.33","","-235","","1009801","0.2","1009801081"
"420","2","122811","2","0.33","","-220","","1009801","0.2","1009801082"
"545","2","122911","2","0.33","","-250","","1009801","0.2","1009801083"
"0","","0","22","","0.2","1","","1009801","","1009801084"
"1009801088","","怪獣の赤ちゃん。","103","","","0","","1009801","","1009801085"
"1009801102","","おっきなナメクジ。","103","","","0","","1009801","","1009801086"
"1009801115","","毒のある生き物。","103","","","0","","1009801","","1009801087"
"lsv_choice","1","122711","3","lsv_idle_normal","0","0","","1009801","0.2","1009801088"
"lsv_choice","1","122811","3","lsv_idle_normal","0","0","","1009801","0.2","1009801089"
"lsv_choice","1","122911","3","lsv_idle_normal","0","0","","1009801","0.2","1009801090"
"0","","0.1","93","","","","","1009801","","1009801091"
"-200","2","122711","2","0.33","","-235","","1009801","0.2","1009801092"
"100","2","122811","2","0.33","","-220","","1009801","0.2","1009801093"
"270","2","122911","2","0.33","","-250","","1009801","0.2","1009801094"
"0","","0.7","93","","","","","1009801","","1009801095"
"lsv_talk_wish_joy","","122911","3","","0.2","1","","1009801","","1009801096"
"vo_lsv_0132","","vo_lsv","21","0","","0","","1009801","","1009801097"
"怪獣さんっ？\nきっと、おっきくなるね～♪\nお城よりもおっきくなるかな？","1","122911","11","1","0","10","0","1009801","0","1009801098"
"","","0","91","","","","","1009801","","1009801099"
"lsv_idle_normal","","122911","3","","0.2","1","","1009801","","1009801100"
"","","1009801129","101","","","","","1009801","","1009801101"
"lsv_choice","1","122711","3","lsv_idle_normal","0","0","","1009801","0.2","1009801102"
"lsv_choice","1","122811","3","lsv_idle_normal","0","0","","1009801","0.2","1009801103"
"lsv_choice","1","122911","3","lsv_idle_normal","0","0","","1009801","0.2","1009801104"
"0","","0.1","93","","","","","1009801","","1009801105"
"-200","2","122711","2","0.33","","-235","","1009801","0.2","1009801106"
"100","2","122811","2","0.33","","-220","","1009801","0.2","1009801107"
"270","2","122911","2","0.33","","-250","","1009801","0.2","1009801108"
"0","","0.7","93","","","","","1009801","","1009801109"
"lsv_talk_bitter_sad","","122811","3","","0.2","1","","1009801","","1009801110"
"vo_lsv_0133","","vo_lsv","21","0","","0","","1009801","","1009801111"
"えー、ナメクジ～？\nあんまりかっこよくないけど…\n塩は近づけないようにしとく？","1","122811","11","1","0","10","0","1009801","0","1009801112"
"","","0","91","","","","","1009801","","1009801113"
"","","1009801129","101","","","","","1009801","","1009801114"
"lsv_choice","1","122711","3","lsv_idle_normal","0","0","","1009801","0.2","1009801115"
"lsv_choice","1","122811","3","lsv_idle_normal","0","0","","1009801","0.2","1009801116"
"lsv_choice","1","122911","3","lsv_idle_normal","0","0","","1009801","0.2","1009801117"
"0","","0.1","93","","","","","1009801","","1009801118"
"-200","2","122711","2","0.33","","-235","","1009801","0.2","1009801119"
"100","2","122811","2","0.33","","-220","","1009801","0.2","1009801120"
"270","2","122911","2","0.33","","-250","","1009801","0.2","1009801121"
"0","","0.7","93","","","","","1009801","","1009801122"
"lsv_talk_normal_worry","","122711","3","","0.2","1","","1009801","","1009801123"
"vo_lsv_0134","","vo_lsv","21","0","","0","","1009801","","1009801124"
"みんなでナデナデしたから\nそれはありえませんよ。\nなにより…かわいいですし。","1","122711","11","1","0","10","0","1009801","0","1009801125"
"","","0","91","","","","","1009801","","1009801126"
"lsv_idle_normal","","122711","3","","0.2","1","","1009801","","1009801127"
"","","1009801129","101","","","","","1009801","","1009801128"
"","","0","91","","","","","1009801","","1009801129"
"lsv_talk_arm_crossed_joy","1","122811","3","lsv_talk_arm_crossed_loop_joy","0","0","","1009801","0.2","1009801130"
"vo_lsv_0135","","vo_lsv","21","0","","0","","1009801","","1009801131"
"まあ、なんにしてもさ？\n育ててみればわかるよ！\nということで、がんばろー！","1","122811","11","1","0","10","0","1009801","0","1009801132"
"","","0","91","","","","","1009801","","1009801133"
"lsv_handsup_joy","1","122811","3","lsv_idle_normal_joy","0","0","","1009801","0.2","1009801134"
"lsv_handsup_joy","1","122911","3","lsv_idle_normal_joy","0","0","","1009801","0.2","1009801135"
"lsv_handsup_joy2","1","122711","3","lsv_idle_normal_joy","0","0","","1009801","0.2","1009801136"
"vo_lsv_0136","","vo_lsv","21","0","","0","","1009801","","1009801137"
"おー！","1","122811","11","1","0","10","0","1009801","0","1009801138"
"おー！","1","122911","11","1","0","10","0","1009801","0","1009801139"
"おー！","1","122711","11","1","0","10","0","1009801","0","1009801140"
"","","0","91","","","","","1009801","","1009801141"
"0.2","","0","22","","","","","1009801","","1009801142"
"","","0.2","93","","","","","1009801","","1009801143"
"","","","102","","","","","1009801","","1009801144"
"7","0","122911","12","0","0","1","0","1009801","0","1009801145"
"lsv_talk_joy3","","122911","3","","0.2","1","","1009801","","1009801146"
"0","","3","93","","","","","1009801","","1009801147"
"lsv_idle_normal_joyR","","122911","3","","0.2","1","","1009801","","1009801148"
"6","0","122811","12","0","0","1","0","1009801","0","1009801149"
"lsv_talk_guts1","1","122811","3","lsv_talk_guts1_loop","0","0","","1009801","0.2","1009801150"
"0","","3","93","","","","","1009801","","1009801151"
"lsv_idle_joy","","122811","3","","0.2","1","","1009801","","1009801152"
"10","0","122711","12","0","0","1","0","1009801","0","1009801153"
"lsv_talk_joy1_normal","","122711","3","","0.2","1","","1009801","","1009801154"
"0","","3","93","","","","","1009801","","1009801155"
"lsv_idle_normal_joy","","122711","3","","0.2","1","","1009801","","1009801156"
"","","1009801145","101","","","","","1009801","","1009801157"
"1","0","333","6","1","1","1","","1009801","0","1009801158"
"1","","122711","4","","","","","1009801","","1009801159"
"lsv_run","","122711","3","","0.2","1","","1009801","","1009801160"
"-750","0","122711","2","0.8","","-235","","1009801","","1009801161"
"0","","122811","4","","","","","1009801","","1009801162"
"lsv_run","","122811","3","","0.2","1","","1009801","","1009801163"
"750","0","122811","2","0.8","","-220","","1009801","","1009801164"
"0","","122911","4","","","","","1009801","","1009801165"
"lsv_run","","122911","3","","0.2","1","","1009801","","1009801166"
"850","0","122911","2","0.8","","-250","","1009801","","1009801167"
"","","0.6","93","","","","","1009801","","1009801168"
"1","0","122711","6","1","0.2","1","","1009801","0","1009801169"
"1","0","122811","6","1","0.2","1","","1009801","0","1009801170"
"1","0","122911","6","1","0.2","1","","1009801","0","1009801171"
"","","0","91","","","","","1009801","","1009801172"
"122911","-235","1","1","-650","1.95","102","lsv_idle_normal","1009802","0","1009802001"
"122811","-220","1","1","650","1.95","100","lsv_idle_normal","1009802","1","1009802002"
"122711","-250","1","1","750","1.95","101","lsv_idle_normal","1009802","1","1009802003"
"333","0","1","5","0","1","0","lsv_white_loop","1009802","0","1009802004"
"1","0","333","6","1","0","1","","1009802","0","1009802005"
"1","0","122911","6","1","0","1","","1009802","0","1009802006"
"1","0","122811","6","1","0","1","","1009802","0","1009802007"
"1","0","122711","6","1","0","1","","1009802","0","1009802008"
"0","","1","93","","","","","1009802","","1009802009"
"1","0.4","333","6","1","0.8","1","","1009802","0","1009802010"
"lsv_walk","","122911","3","","0.2","1","","1009802","","1009802011"
"-200","0","122911","2","2","","-235","","1009802","","1009802012"
"1","1","122911","6","1","0.4","1","","1009802","0","1009802013"
"lsv_walk","","122811","3","","0.2","1","","1009802","","1009802014"
"100","0","122811","2","2","","-220","","1009802","","1009802015"
"1","1","122811","6","1","0.4","1","","1009802","0","1009802016"
"lsv_walk","","122711","3","","0.2","1","","1009802","","1009802017"
"270","0","122711","2","2","","-250","","1009802","","1009802018"
"1","1","122711","6","1","0.4","1","","1009802","0","1009802019"
"0","","2","93","","","","","1009802","","1009802020"
"lsv_idle_normal","","122911","3","","0.2","1","","1009802","","1009802021"
"lsv_idle_normal","","122811","3","","0.2","1","","1009802","","1009802022"
"lsv_idle_normal","","122711","3","","0.2","1","","1009802","","1009802023"
"0","","0.6","93","","","","","1009802","","1009802024"
"lsv_talk_sad_dead","","122811","3","","0.2","1","","1009802","","1009802025"
"vo_lsv_0221","","vo_lsv","21","0","","0","","1009802","","1009802026"
"もう一回海に行ってみたけど\nみゅ～ちゃんの家族は\n見つからなかったねー","1","122811","11","1","0","10","0","1009802","0","1009802027"
"","","0","91","","","","","1009802","","1009802028"
"lsv_idle_sad_talk1","","122811","3","","0.2","1","","1009802","","1009802029"
"lsv_talk_thinking_sadR","","122711","3","","0.2","1","","1009802","","1009802030"
"vo_lsv_0222","","vo_lsv","21","0","","0","","1009802","","1009802031"
"うん。それどころか、\nわからないことが\nますます増えちゃったね。","1","122711","11","1","0","10","0","1009802","0","1009802032"
"","","0","91","","","","","1009802","","1009802033"
"lsv_idle_normal_suprise1","","122711","3","","0.2","1","","1009802","","1009802034"
"lsv_idle_normal","","122811","3","","0.2","1","","1009802","","1009802035"
"lsv_talk_normal","","122911","3","","0.2","1","","1009802","","1009802036"
"vo_lsv_0223","","vo_lsv","21","0","","0","","1009802","","1009802037"
"でも、みゅ～ちゃんの\nごはんのことはわかったよ～\nミミたちと同じのでいいって♪","1","122911","11","1","0","10","0","1009802","0","1009802038"
"","","0","91","","","","","1009802","","1009802039"
"lsv_idle_normal_joyR","","122911","3","","0.2","1","","1009802","","1009802040"
"lsv_talk_normal","","122711","3","","0.2","1","","1009802","","1009802041"
"vo_lsv_0224","","vo_lsv","21","0","","0","","1009802","","1009802042"
"あ、確かにそうだね。\nそのことがわかったのは\nよかったと思う。","1","122711","11","1","0","10","0","1009802","0","1009802043"
"","","0","91","","","","","1009802","","1009802044"
"lsv_idle_normal","","122711","3","","0.2","1","","1009802","","1009802045"
"lsv_talk_surprise","","122911","3","","0.2","1","","1009802","","1009802046"
"vo_lsv_0225","","vo_lsv","21","0","","0","","1009802","","1009802047"
"みゅ～ちゃんは、どんな\nごはんが好きになるのかな～？\nおにいちゃんならわかる？","1","122911","11","1","0","10","0","1009802","0","1009802048"
"","","0","91","","","","","1009802","","1009802049"
"lsv_idle_surprise_talkjoy","","122911","3","","0.2","1","","1009802","","1009802050"
"lsv_choice","1","122911","3","lsv_look_idle_normal","0","0","","1009802","0.2","1009802051"
"lsv_choice","1","122811","3","lsv_look_idle_normal","0","0","","1009802","0.2","1009802052"
"lsv_choice","1","122711","3","lsv_look_idle_normal","0","0","","1009802","0.2","1009802053"
"0","","0.1","93","","","","","1009802","","1009802054"
"-452","2","122911","2","0.33","","-235","","1009802","0.2","1009802055"
"420","2","122811","2","0.33","","-220","","1009802","0.2","1009802056"
"545","2","122711","2","0.33","","-250","","1009802","0.2","1009802057"
"0","","0","22","","0.2","1","","1009802","","1009802058"
"1009802062","","ケーキ。","103","","","0","","1009802","","1009802059"
"1009802086","","リンゴ。","103","","","0","","1009802","","1009802060"
"1009802109","","パン。","103","","","0","","1009802","","1009802061"
"lsv_choice","1","122911","3","lsv_idle_normal","0","0","","1009802","0.2","1009802062"
"lsv_choice","1","122811","3","lsv_idle_normal","0","0","","1009802","0.2","1009802063"
"lsv_choice","1","122711","3","lsv_idle_normal","0","0","","1009802","0.2","1009802064"
"0","","0.1","93","","","","","1009802","","1009802065"
"-200","2","122911","2","0.33","","-235","","1009802","0.2","1009802066"
"100","2","122811","2","0.33","","-220","","1009802","0.2","1009802067"
"270","2","122711","2","0.33","","-250","","1009802","0.2","1009802068"
"0","","0.7","93","","","","","1009802","","1009802069"
"lsv_talk_joy3","","122911","3","","0.2","1","","1009802","","1009802070"
"vo_lsv_0226","","vo_lsv","21","0","","0","","1009802","","1009802071"
"ケーキ、おいしいもんね～\nミミもだ～い好きっ♪","1","122911","11","1","0","10","0","1009802","0","1009802072"
"","","0","91","","","","","1009802","","1009802073"
"lsv_idle_normal_joy","","122911","3","","0.2","1","","1009802","","1009802074"
"lsv_talk_wish_joy","","122811","3","","0.2","1","","1009802","","1009802075"
"vo_lsv_0227","","vo_lsv","21","0","","0","","1009802","","1009802076"
"ケーキ…それなら\nどのケーキが好きなのかも\n調べたほうがいいね、絶対！","1","122811","11","1","0","10","0","1009802","0","1009802077"
"","","0","91","","","","","1009802","","1009802078"
"lsv_idle_wish_joy","","122811","3","","0.2","1","","1009802","","1009802079"
"lsv_talk_doya_shy","1","122711","3","lsv_talk_doya_shy_loop","0","0","","1009802","0.2","1009802080"
"vo_lsv_0228","","vo_lsv","21","0","","0","","1009802","","1009802081"
"そう言って、いろんなケーキを\n食べたいだけなんじゃ…\nでも、私も賛成っ♪","1","122711","11","1","0","10","0","1009802","0","1009802082"
"","","0","91","","","","","1009802","","1009802083"
"lsv_idle_doya","","122711","3","","0.2","1","","1009802","","1009802084"
"","","1009802133","101","","","","","1009802","","1009802085"
"lsv_choice","1","122911","3","lsv_idle_normal","0","0","","1009802","0.2","1009802086"
"lsv_choice","1","122811","3","lsv_idle_normal","0","0","","1009802","0.2","1009802087"
"lsv_choice","1","122711","3","lsv_idle_normal","0","0","","1009802","0.2","1009802088"
"0","","0.1","93","","","","","1009802","","1009802089"
"-200","2","122911","2","0.33","","-235","","1009802","0.2","1009802090"
"100","2","122811","2","0.33","","-220","","1009802","0.2","1009802091"
"270","2","122711","2","0.33","","-250","","1009802","0.2","1009802092"
"0","","0.7","93","","","","","1009802","","1009802093"
"lsv_talk_thinking_joyR","","122711","3","","0.2","1","","1009802","","1009802094"
"vo_lsv_0229","","vo_lsv","21","0","","0","","1009802","","1009802095"
"リンゴ…くだものですか。\n健康的でいいと思います。","1","122711","11","1","0","10","0","1009802","0","1009802096"
"","","0","91","","","","","1009802","","1009802097"
"lsv_idle_normal_joy","","122711","3","","0.2","1","","1009802","","1009802098"
"lsv_talk_guts2_joy","1","122911","3","lsv_talk_guts2_joy_loop","0","0","","1009802","0.2","1009802099"
"vo_lsv_0230","","vo_lsv","21","0","","0","","1009802","","1009802100"
"ミミ、ウサギさんの形に\n切ったリンゴ好き～♪","1","122911","11","1","0","10","0","1009802","0","1009802101"
"","","0","91","","","","","1009802","","1009802102"
"lsv_idle_normal_joyR","","122911","3","","0.2","1","","1009802","","1009802103"
"lsv_talk_guts2","1","122811","3","lsv_talk_guts2_loop","0","0","","1009802","0.2","1009802104"
"vo_lsv_0231","","vo_lsv","21","0","","0","","1009802","","1009802105"
"ミソギたちも切ってあげよっ！\nむずかしそうだけど、\nきっとなんとかなるって！","1","122811","11","1","0","10","0","1009802","0","1009802106"
"","","0","91","","","","","1009802","","1009802107"
"","","1009802133","101","","","","","1009802","","1009802108"
"lsv_choice","1","122911","3","lsv_idle_normal","0","0","","1009802","0.2","1009802109"
"lsv_choice","1","122811","3","lsv_idle_normal","0","0","","1009802","0.2","1009802110"
"lsv_choice","1","122711","3","lsv_idle_normal","0","0","","1009802","0.2","1009802111"
"0","","0.1","93","","","","","1009802","","1009802112"
"-200","2","122911","2","0.33","","-235","","1009802","0.2","1009802113"
"100","2","122811","2","0.33","","-220","","1009802","0.2","1009802114"
"270","2","122711","2","0.33","","-250","","1009802","0.2","1009802115"
"0","","0.7","93","","","","","1009802","","1009802116"
"lsv_talk_normal_worry","","122811","3","","0.2","1","","1009802","","1009802117"
"vo_lsv_0232","","vo_lsv","21","0","","0","","1009802","","1009802118"
"パンかぁ…なんか普通だなー\nミソギたちも毎日食べてるし","1","122811","11","1","0","10","0","1009802","0","1009802119"
"","","0","91","","","","","1009802","","1009802120"
"lsv_idle_normal_suprise1","","122811","3","","0.2","1","","1009802","","1009802121"
"lsv_talk_normal","","122711","3","","0.2","1","","1009802","","1009802122"
"vo_lsv_0233","","vo_lsv","21","0","","0","","1009802","","1009802123"
"でも、嫌いだったら毎日は\n食べられないよ。\nそれに、アレンジもできるし。","1","122711","11","1","0","10","0","1009802","0","1009802124"
"","","0","91","","","","","1009802","","1009802125"
"lsv_idle_normal","","122711","3","","0.2","1","","1009802","","1009802126"
"lsv_talk_wish_joy","","122911","3","","0.2","1","","1009802","","1009802127"
"vo_lsv_0234","","vo_lsv","21","0","","0","","1009802","","1009802128"
"サンドイッチなら、\nミミたちにも作れるかも！\n作ってみよ～♪","1","122911","11","1","0","10","0","1009802","0","1009802129"
"","","0","91","","","","","1009802","","1009802130"
"lsv_idle_wish_joyR","","122911","3","","0.2","1","","1009802","","1009802131"
"","","1009802133","101","","","","","1009802","","1009802132"
"","","0","91","","","","","1009802","","1009802133"
"","","","102","","","","","1009802","","1009802134"
"0.2","","0","22","","","","","1009802","","1009802135"
"","","0.2","93","","","","","1009802","","1009802136"
"11","0","122811","12","0","0","1","0","1009802","0","1009802137"
"lsv_surprise3_kira","1","122811","3","lsv_surprise3_kira_loop","0.2","0","","1009802","0.2","1009802138"
"0","","3","93","","","","","1009802","","1009802139"
"lsv_idle_normal_joy","","122811","3","","0.2","1","","1009802","","1009802140"
"10","0","122711","12","0","0","1","0","1009802","0","1009802141"
"lsv_talk_joy3_dere","","122711","3","","0.2","1","","1009802","","1009802142"
"0","","3","93","","","","","1009802","","1009802143"
"lsv_idle_normal_joy","","122711","3","","0.2","1","","1009802","","1009802144"
"7","0","122911","12","0","0","1","0","1009802","0","1009802145"
"lsv_talk_memory","","122911","3","","0.2","1","","1009802","","1009802146"
"0","","3","93","","","","","1009802","","1009802147"
"lsv_idle_normal_joyR","","122911","3","","0.2","1","","1009802","","1009802148"
"","","1009802137","101","","","","","1009802","","1009802149"
"1","0","333","6","1","1","1","","1009802","0","1009802150"
"1","","122911","4","","","","","1009802","","1009802151"
"lsv_run","","122911","3","","0.2","1","","1009802","","1009802152"
"-750","0","122911","2","0.8","","-235","","1009802","","1009802153"
"0","","122811","4","","","","","1009802","","1009802154"
"lsv_run","","122811","3","","0.2","1","","1009802","","1009802155"
"750","0","122811","2","0.8","","-220","","1009802","","1009802156"
"0","","122711","4","","","","","1009802","","1009802157"
"lsv_run","","122711","3","","0.2","1","","1009802","","1009802158"
"850","0","122711","2","0.8","","-250","","1009802","","1009802159"
"","","0.6","93","","","","","1009802","","1009802160"
"1","0","122911","6","1","0.2","1","","1009802","0","1009802161"
"1","0","122811","6","1","0.2","1","","1009802","0","1009802162"
"1","0","122711","6","1","0.2","1","","1009802","0","1009802163"
"","","0","91","","","","","1009802","","1009802164"
"100411","-220","1","1","-700","1.95","101","lsv_idle_normal","1009803","0","1009803001"
"103611","-235","1","1","-550","1.95","100","lsv_idle_normal","1009803","0","1009803002"
"102011","-250","1","1","-800","1.95","102","lsv_idle_normal","1009803","0","1009803003"
"333","0","1","5","0","1","0","lsv_white_loop","1009803","0","1009803004"
"1","0","333","6","1","0","1","","1009803","0","1009803005"
"13","1.3","3","31","110","0","-630","","1009803","","1009803006"
"1","0","100411","6","1","0","1","","1009803","0","1009803007"
"1","0","103611","6","1","0","1","","1009803","0","1009803008"
"1","0","102011","6","1","0","1","","1009803","0","1009803009"
"0","","1","93","","","","","1009803","","1009803010"
"1","0.4","333","6","1","0.8","1","","1009803","0","1009803011"
"lsv_walk_glad","","100411","3","","0.2","1","","1009803","","1009803012"
"-100","0","100411","2","2","","-220","","1009803","","1009803013"
"1","1","100411","6","1","0.4","1","","1009803","0","1009803014"
"lsv_walk_glad2","","103611","3","","0.2","1","","1009803","","1009803015"
"100","0","103611","2","2.2","","-235","","1009803","","1009803016"
"1","1","103611","6","1","0.4","1","","1009803","0","1009803017"
"lsv_walk_glad","","102011","3","","0.2","1","","1009803","","1009803018"
"-270","0","102011","2","2","","-250","","1009803","","1009803019"
"1","1","102011","6","1","0.4","1","","1009803","0","1009803020"
"1","","13","32","","","","","1009803","","1009803021"
"-180","0","13","33","2","","110","","1009803","","1009803022"
"","","2","93","","","","","1009803","","1009803023"
"0","","13","32","","","","","1009803","","1009803024"
"lsv_idle_normal","","100411","3","","0.2","1","","1009803","","1009803025"
"lsv_idle_normal","","102011","3","","0.2","1","","1009803","","1009803026"
"","","0.2","93","","","","","1009803","","1009803027"
"1","","103611","4","","","","","1009803","","1009803028"
