0b9429bd2995aa0f1e27759c1fff2c3442b070612ea2561192bab6892ed6d331,1defc32c0c1c66f2fb8d9b8238cb0f3199dbfe402fe14fbd5ead0b7e4c6fb43f,2dc66d58d6309e51e09667bc103011831eadc318314473feb9a67907abb54b7f,eb2ce3af8a6353bec3951086d37238f65ccf8cae6e39167a13f2179120274cc8,61f2ff4b5686ef855a4bd3b3a6a50ecb3433f7d36a0401d67998416dd14122be
"183","5000000","12","100801","94002"
"184","2000","2","100802","90008"
"185","20","2","100803","25001"
"186","2500","2","100804","90008"
"187","30","2","100805","25001"
"188","300","8","100806","91002"
"189","1","2","100807","41000"
"190","5000000","12","100808","94002"
"191","1000000","12","100809","94002"
"192","1000000","12","100810","94002"
"193","1000000","12","100811","94002"
"194","400","2","100812","20004"
"195","300","2","100813","20004"
"196","200","2","100814","20004"
"197","1000000","12","100815","94002"
"198","1000000","12","100816","94002"
"199","1000000","12","100817","94002"
"200","400","2","100818","20004"
"201","300","2","100819","20004"
"202","200","2","100820","20004"
"203","1000000","12","100821","94002"
"204","1000000","12","100822","94002"
"205","1000000","12","100823","94002"
"206","400","2","100824","20004"
"207","300","2","100825","20004"
"208","200","2","100826","20004"
"209","5000000","12","100901","94002"
"210","2000","2","100902","90008"
"211","20","2","100903","25001"
"212","2500","2","100904","90008"
"213","30","2","100905","25001"
"214","300","8","100906","91002"
"215","1","2","100907","41000"
"216","5000000","12","100908","94002"
"217","1000000","12","100909","94002"
"218","1000000","12","100910","94002"
"219","1000000","12","100911","94002"
"220","400","2","100912","20004"
"221","300","2","100913","20004"
"222","200","2","100914","20004"
"223","1000000","12","100915","94002"
"224","1000000","12","100916","94002"
"225","1000000","12","100917","94002"
"226","400","2","100918","20004"
"227","300","2","100919","20004"
"228","200","2","100920","20004"
"229","1000000","12","100921","94002"
"230","1000000","12","100922","94002"
"231","1000000","12","100923","94002"
"232","400","2","100924","20004"
"233","300","2","100925","20004"
"234","200","2","100926","20004"
