3f39f92b18f7368a0c65f57ad1fe0955ab608213738507828a0dc4b51de259c7,56f39ec2b80bb585e37c74a1f593e7f1caf9bf941fce1991ddd7538a974d0e79,6ea61fe96be42c5eb12a513c86d7f8ac530db515740ccc6982b24af2566ac89b,676f589375a36651a783437b55aaac503a432ac83d58535bda037c3cb9b1b1e4,acb2b883072c108f3e735b71d3ce6a907620eeff7ea738f46176c04c009d83d4,fd730752a5835469eeecdfc79bea95f97354fb5cc3760c741f7f181fac3af8df,2c1e1c092f9e508f9e18a28eaeff805f4edeac51ff8cc70cc425a35aa9ec3f8a,be909172f74fbf68cbb6095f875836efcb64675476d826e87f125fd5430d1108,38f969f3e359654564acba971cf9ba792624a47553b7d606f5ffdbd6642c395e
"","6","36","144","","93001","21600","2","7"
"","6","38","152","","93001","21600","2","8"
"","6","40","160","","93001","21600","2","9"
"","6","42","168","","93001","21600","2","10"
"","6","44","176","","93001","21600","2","11"
"","6","46","184","","93001","21600","2","12"
"","6","48","192","","93001","21600","2","13"
"","6","50","200","","93001","21600","2","14"
"","6","52","208","","93001","21600","2","15"
"","6","54","216","","93001","21600","2","16"
"","6","56","224","","93001","21600","2","17"
"","6","58","232","","93001","21600","2","18"
"","6","60","240","","93001","21600","2","19"
"","6","62","248","","93001","21600","2","20"
"","6","64","256","","93001","21600","2","21"
"","6","66","264","","93001","21600","2","22"
"","6","68","272","","93001","21600","2","23"
"","6","70","280","","93001","21600","2","24"
"","6","72","288","","93001","21600","2","25"
"","6","74","296","","93001","21600","2","26"
"","6","76","304","","93001","21600","2","27"
"","6","78","312","","93001","21600","2","28"
"","6","80","320","","93001","21600","2","29"
"","6","82","328","","93001","21600","2","30"
"","6","84","336","","93001","21600","2","31"
"","6","85","340","","93001","21600","2","32"
"","6","86","344","","93001","21600","2","33"
"","6","87","348","","93001","21600","2","34"
"","6","88","352","","93001","21600","2","35"
"","6","89","356","","93001","21600","2","36"
"","6","90","360","","93001","21600","2","37"
"","6","91","364","","93001","21600","2","38"
"","6","92","368","","93001","21600","2","39"
"","6","93","372","","93001","21600","2","40"
"","2","1","3","","20001","14400","3","1"
"","2","1","5","","20001","9600","3","2"
"","2","1","7","","20001","7200","3","3"
"","2","1","10","","20001","5400","3","4"
"","2","1","15","","20001","3600","3","5"
"","2","1","6","","20002","9600","3","6"
"","2","1","8","","20002","7200","3","7"
"","2","1","12","","20002","4800","3","8"
"","2","1","16","","20002","3600","3","9"
"","2","1","20","","20002","2700","3","10"
"","2","1","6","","20003","10800","3","11"
"","2","1","8","","20003","9000","3","12"
"","2","1","12","","20003","7200","3","13"
"","2","1","16","","20003","5400","3","14"
"","2","1","20","","20003","3600","3","15"
"","2","1","30","","20003","2880","3","16"
"","2","1","7","","20004","12600","3","17"
"","2","1","8","","20004","11400","3","18"
"","2","1","9","","20004","10200","3","19"
"","2","1","10","","20004","9300","3","20"
"","2","1","10","","20004","8700","3","21"
"","2","1","13","","20004","6600","3","22"
"","2","1","14","","20004","6300","3","23"
"","2","1","15","","20004","6000","3","24"
"","2","1","15","","20004","5700","3","25"
"","2","1","16","","20004","5400","3","26"
"","2","1","17","","20004","5100","3","27"
"","2","1","18","","20004","4860","3","28"
"","2","1","19","","20004","4620","3","29"
"","2","1","20","","20004","4440","3","30"
"","2","1","21","","20004","4260","3","31"
"","2","1","22","","20004","4080","3","32"
"","2","1","22","","20004","3960","3","33"
"","2","1","23","","20004","3840","3","34"
"","2","1","24","","20004","3720","3","35"
"","2","1","24","","20004","3600","3","36"
"","2","1","25","","20004","3480","3","37"
"","2","1","26","","20004","3420","3","38"
"","2","1","26","","20004","3360","3","39"
"","2","1","27","","20004","3300","3","40"
"","12","3000","12000","","94002","21600","4","1"
"","12","4500","18000","","94002","21600","4","2"
"","12","6000","24000","","94002","21600","4","3"
"","12","7500","30000","","94002","21600","4","4"
"","12","10500","42000","","94002","21600","4","5"
"","12","13500","54000","","94002","21600","4","6"
"","12","16500","66000","","94002","21600","4","7"
"","12","21000","84000","","94002","21600","4","8"
"","12","25500","102000","","94002","21600","4","9"
"","12","30000","120000","","94002","21600","4","10"
"","12","36000","144000","","94002","21600","4","11"
"","12","42000","168000","","94002","21600","4","12"
"","12","48000","192000","","94002","21600","4","13"
"","12","55500","222000","","94002","21600","4","14"
"","12","63000","252000","","94002","21600","4","15"
"","12","70500","282000","","94002","21600","4","16"
"","12","79500","318000","","94002","21600","4","17"
"","12","88500","354000","","94002","21600","4","18"
"","12","97500","390000","","94002","21600","4","19"
"","12","108000","432000","","94002","21600","4","20"
"","12","118500","474000","","94002","21600","4","21"
"","12","129000","516000","","94002","21600","4","22"
"","12","140500","562000","","94002","21600","4","23"
"","12","150000","600000","","94002","21600","4","24"
"","12","160500","642000","","94002","21600","4","25"
"","12","171000","684000","","94002","21600","4","26"
"","12","181500","726000","","94002","21600","4","27"
"","12","192000","768000","","94002","21600","4","28"
"","12","202500","810000","","94002","21600","4","29"
"","12","213000","852000","","94002","21600","4","30"
"","12","223500","894000","","94002","21600","4","31"
"","12","230000","920000","","94002","21600","4","32"
"","12","235000","940000","","94002","21600","4","33"
"","12","240000","960000","","94002","21600","4","34"
"","12","245000","980000","","94002","21600","4","35"
"","12","250000","1000000","","94002","21600","4","36"
"","12","255000","1020000","","94002","21600","4","37"
"","12","260000","1040000","","94002","21600","4","38"
"","12","265000","1060000","","94002","21600","4","39"
"","12","270000","1080000","","94002","21600","4","40"
"","6","12","48","","93001","21600","5","1"
"","6","12","48","","93001","21600","6","1"
"","6","12","48","","93001","21600","7","1"
"","6","12","48","","93001","21600","8","1"
"","6","12","48","","93001","21600","11","1"
"","6","12","48","","93001","21600","12","1"
"","6","12","48","","93001","21600","19","1"
"14999999999","0","1","0","4999999999","0","0","23","0"
"","6","12","48","","93001","21600","25","1"
"","6","12","48","","93001","21600","28","1"
"","6","12","48","","93001","21600","30","1"
