2501fa31c4cb416fce0e4ed5dfa99d8bb3f740ec2f7f3d9920620406f66b5418,812de4da2ed7e2637864d0b6de97b2eb8e0afb8510123cba162bc87f0f819127,d7202a0ae2746e3ab2e4befb8776d169e7ecd6d352a8facfd855e86e1efea326,6f421a20b646823639e441ca34b74793652f57bdea64d36119decadcbe8fa77c,3733aa4b0fb2b33933a57aa4aa7e983c6e2c6eb191bb870a6f7aa0ff7bc8f7c1,6218e0567f209a7570257ed357ad85984c0913df2d8886b05812f8abd86d0453,cd6bc76e8bd898963b74985d9f2182f2cf48db7fa63b2b92b656b7e6b2d3dde3,06b90ce32f7c88dd3d375413cbe5cc3c9b765ba8ee234d76980817357d9dcdf1,caac846084acc71b6e0c55291eefeed9e7afe94f61a4cc491ff07385f00941ab,76107fdb2aa9f05b34c6a82a1a3ff03f0cfff8386159f4f00d30dfb194df5676,5d6c78679de37838d95c38181fe09c463cf30e79c86c22462ba1ef2cf993a486,fd6d111a2f1c48100a7d2c7e2d5822ca4407c162471ce6dd84a066f925504da8
"0.8","85","0","0","0","5154062","39","0","7","360","1","515406239"
"0","0","2","0","1","5154062","40","0","0","0","4","515406240"
"0","0","0","vo_abd","0","5154062","41","vo_abd_0108","0","0","2","515406241"
"2.63","0","0","0","0","5154062","42","0","8","415","1","515406242"
"0","0","2.63","0","1","5154062","43","0","0","0","4","515406243"
"0","0","0","vo_abd","0","5154062","44","vo_abd_0109","0","0","2","515406244"
"1","0","0","0","0","5154062","45","0","9","200","1","515406245"
"0","0","2","0","1","5154062","46","0","0","0","4","515406246"
"0.5","200","0","0","0","5154062","47","0","9","245","1","515406247"
"0","0","1.2","0","1","5154062","48","0","0","0","4","515406248"
"1.5","245","0","0","0","5154062","49","0","9","415","1","515406249"
"0","0","2.5","0","1","5154062","50","0","0","0","4","515406250"
"0","0","0","vo_abd","0","5154062","51","vo_abd_0110","0","0","2","515406251"
"0.2","0","0","0","0","5154062","52","0","10","35","1","515406252"
"0","0","0.6","0","1","5154062","53","0","0","0","4","515406253"
"1.3","35","0","0","0","5154062","54","0","10","400","1","515406254"
"0","0","2.3","0","1","5154062","55","0","0","0","4","515406255"
"0","0","0","vo_abd","0","5154062","56","vo_abd_0111","0","0","2","515406256"
"0.3","0","0","0","0","5154062","57","0","11","60","1","515406257"
"0","0","1.2","0","1","5154062","58","0","0","0","4","515406258"
"1","60","0","0","0","5154062","59","0","11","315","1","515406259"
"0","0","0.8","0","1","5154063","1","0","0","0","4","515406301"
"0","0","0","vo_abd","0","5154063","2","vo_abd_0201","0","0","2","515406302"
"1.5","0","0","0","0","5154063","3","0","1","350","1","515406303"
"0","0","2.25","0","1","5154063","4","0","0","0","4","515406304"
"0","0","0","vo_abd","0","5154063","5","vo_abd_0202","0","0","2","515406305"
"1.8","0","0","0","0","5154063","6","0","2","350","1","515406306"
"0","0","3","0","1","5154063","7","0","0","0","4","515406307"
"0","0","0","vo_abd","0","5154063","8","vo_abd_0203","0","0","2","515406308"
"1.5","0","0","0","0","5154063","9","0","3","315","1","515406309"
"0","0","1.8","0","1","5154063","10","0","0","0","4","515406310"
"0","0","0","vo_abd","0","5154063","11","vo_abd_0204","0","0","2","515406311"
"1.3","0","0","0","0","5154063","12","0","4","300","1","515406312"
"0","0","2.5","0","1","5154063","13","0","0","0","4","515406313"
"0","0","0","vo_abd","0","5154063","14","vo_abd_0205","0","0","2","515406314"
"1.5","0","0","0","0","5154063","15","0","5","360","1","515406315"
"0","0","2","0","1","5154063","16","0","0","0","4","515406316"
"0","0","0","vo_abd","0","5154063","17","vo_abd_0206","0","0","2","515406317"
"1.8","0","0","0","0","5154063","18","0","6","310","1","515406318"
"0","0","3","0","1","5154063","19","0","0","0","4","515406319"
"0","0","0","vo_abd","0","5154063","20","vo_abd_0207","0","0","2","515406320"
"1.2","0","0","0","0","5154063","21","0","8","245","1","515406321"
"0","0","1.6","0","1","5154063","22","0","0","0","4","515406322"
"0.45","245","0","0","0","5154063","23","0","8","400","1","515406323"
"0","0","0.45","0","1","5154063","24","0","0","0","4","515406324"
"0","0","0","vo_abd","0","5154063","25","vo_abd_0208","0","0","2","515406325"
"1.1","0","0","0","0","5154063","26","0","9","300","1","515406326"
"0","0","1.6","0","1","5154063","27","0","0","0","4","515406327"
"0","0","0","vo_abd","0","5154063","28","vo_abd_0209","0","0","2","515406328"
"0.5","0","0","0","0","5154063","29","0","10","280","1","515406329"
"0","0","0.5","0","1","5154063","30","0","0","0","4","515406330"
"0","0","0","vo_abd","0","5154063","31","vo_abd_0210","0","0","2","515406331"
"1","0","0","0","0","5154063","32","0","11","360","1","515406332"
"0","0","0.8","0","1","5154064","1","0","0","0","4","515406401"
"0","0","0","vo_abd","0","5154064","2","vo_abd_0301","0","0","2","515406402"
"2","0","0","0","0","5154064","3","0","1","330","1","515406403"
"0","0","2.8","0","1","5154064","4","0","0","0","4","515406404"
"0","0","0","vo_abd","0","5154064","5","vo_abd_0302","0","0","2","515406405"
"2","0","0","0","0","5154064","6","0","2","400","1","515406406"
"0","0","3.5","0","1","5154064","7","0","0","0","4","515406407"
"0","0","0","vo_abd","0","5154064","8","vo_abd_0303","0","0","2","515406408"
"2.8","0","0","0","0","5154064","9","0","3","425","1","515406409"
"0","0","3.5","0","1","5154064","10","0","0","0","4","515406410"
"0","0","0","vo_abd","0","5154064","11","vo_abd_0304","0","0","2","515406411"
"3","0","0","0","0","5154064","12","0","4","450","1","515406412"
"0","0","4","0","1","5154064","13","0","0","0","4","515406413"
"0","0","0","vo_abd","0","5154064","14","vo_abd_0305","0","0","2","515406414"
"0.2","0","0","0","0","5154064","15","0","5","35","1","515406415"
"0","0","1.05","0","1","5154064","16","0","0","0","4","515406416"
"2","45","0","0","0","5154064","17","0","5","420","1","515406417"
"0","0","3.5","0","1","5154064","18","0","0","0","4","515406418"
"0","0","0","vo_abd","0","5154064","19","vo_abd_0306","0","0","2","515406419"
"1","0","0","0","0","5154064","20","0","6","175","1","515406420"
"0","0","1.7","0","1","5154064","21","0","0","0","4","515406421"
"1","175","0","0","0","5154064","22","0","6","260","1","515406422"
"0","0","2.8","0","1","5154064","23","0","0","0","4","515406423"
"0.8","260","0","0","0","5154064","24","0","6","400","1","515406424"
"0","0","0.96","0","1","5154064","25","0","0","0","4","515406425"
"0","0","0","vo_abd","0","5154064","26","vo_abd_0307","0","0","2","515406426"
"1.5","0","0","0","0","5154064","27","0","7","245","1","515406427"
"0","0","1.7","0","1","5154064","28","0","0","0","4","515406428"
"0.8","245","0","0","0","5154064","29","0","7","400","1","515406429"
"0","0","2","0","1","5154064","30","0","0","0","4","515406430"
"0","0","0","vo_abd","0","5154064","31","vo_abd_0308","0","0","2","515406431"
"1","0","0","0","0","5154064","32","0","8","208","1","515406432"
"0","0","2","0","1","5154064","33","0","0","0","4","515406433"
"0.3","208","0","0","0","5154064","34","0","8","270","1","515406434"
"0","0","1.5","0","1","5154064","35","0","0","0","4","515406435"
"0.8","275","0","0","0","5154064","36","0","8","400","1","515406436"
"0","0","2","0","1","5154064","37","0","0","0","4","515406437"
"0","0","0","vo_abd","0","5154064","38","vo_abd_0309","0","0","2","515406438"
"2","0","0","0","0","5154064","39","0","9","300","1","515406439"
"0","0","2.65","0","1","5154064","40","0","0","0","4","515406440"
"1","300","0","0","0","5154064","41","0","9","425","1","515406441"
"0","0","2","0","1","5154064","42","0","0","0","4","515406442"
"0","0","0","vo_abd","0","5154064","43","vo_abd_0310","0","0","2","515406443"
"2.5","0","0","0","0","5154064","44","0","10","375","1","515406444"
"0","0","4","0","1","5154064","45","0","0","0","4","515406445"
"0","0","0","vo_abd","0","5154064","46","vo_abd_0311","0","0","2","515406446"
"1.2","0","0","0","0","5154064","47","0","11","165","1","515406447"
"0","0","2","0","1","5154064","48","0","0","0","4","515406448"
"1","165","0","0","0","5154064","49","0","11","295","1","515406449"
"0","0","2.5","0","1","5154064","50","0","0","0","4","515406450"
"0.5","295","0","0","0","5154064","51","0","11","400","1","515406451"
"0","0","0.8","0","1","5154065","1","0","0","0","4","515406501"
"0","0","0","vo_abd","0","5154065","2","vo_abd_0401","0","0","2","515406502"
"2","0","0","0","0","5154065","3","0","1","400","1","515406503"
"0","0","3.2","0","1","5154065","4","0","0","0","4","515406504"
"0","0","0","vo_abd","0","5154065","5","vo_abd_0402","0","0","2","515406505"
"2","0","0","0","0","5154065","6","0","2","400","1","515406506"
"0","0","3.7","0","1","5154065","7","0","0","0","4","515406507"
"0","0","0","vo_abd","0","5154065","8","vo_abd_0403","0","0","2","515406508"
"2","0","0","0","0","5154065","9","0","3","400","1","515406509"
"0","0","3","0","1","5154065","10","0","0","0","4","515406510"
"0","0","0","vo_abd","0","5154065","11","vo_abd_0404","0","0","2","515406511"
"1","0","0","0","0","5154065","12","0","4","155","1","515406512"
"0","0","1.15","0","1","5154065","13","0","0","0","4","515406513"
"1","155","0","0","0","5154065","14","0","4","425","1","515406514"
"0","0","2.5","0","1","5154065","15","0","0","0","4","515406515"
"0","0","0","vo_abd","0","5154065","16","vo_abd_0405","0","0","2","515406516"
"2.4","0","0","0","0","5154065","17","0","5","450","1","515406517"
"0","0","2.9","0","1","5154065","18","0","0","0","4","515406518"
"0","0","0","vo_abd","0","5154065","19","vo_abd_0407","0","0","2","515406519"
"1","0","0","0","0","5154065","20","0","6","300","1","515406520"
"0","0","1.5","0","1","5154065","21","0","0","0","4","515406521"
"0","0","0","vo_abd","0","5154065","22","vo_abd_0408","0","0","2","515406522"
"1","0","0","0","0","5154065","23","0","7","250","1","515406523"
"0","0","1","0","1","5154065","24","0","0","0","4","515406524"
"0","0","0","vo_abd","0","5154065","25","vo_abd_0409","0","0","2","515406525"
"1","0","0","0","0","5154065","26","0","8","250","1","515406526"
"0","0","2","0","1","5154065","27","0","0","0","4","515406527"
"0","0","0","vo_abd","0","5154065","28","vo_abd_0410","0","0","2","515406528"
"0.2","0","0","0","0","5154065","29","0","9","50","1","515406529"
"0","0","0.7","0","1","5154065","30","0","0","0","4","515406530"
"1.5","50","0","0","0","5154065","31","0","9","280","1","515406531"
"0","0","2.5","0","1","5154065","32","0","0","0","4","515406532"
"0","0","0","vo_abd","0","5154065","33","vo_abd_0411","0","0","2","515406533"
"0.2","0","0","0","0","5154065","34","0","10","35","1","515406534"
"0","0","1.08","0","1","5154065","35","0","0","0","4","515406535"
"0.3","35","0","0","0","5154065","36","0","10","107","1","515406536"
"0","0","0.9","0","1","5154065","37","0","0","0","4","515406537"
"1.5","107","0","0","0","5154065","38","0","10","425","1","515406538"
