47de4a54e9fda7915b65bee872e5de395beab5a49099da95ce5af2a8e5d10d58,3f329117c913d4efaff774ee224d80636baa6cc4ee594e8a70e6e7456ddd8479,414ece8334837df4a0b7bfb52010481f2b290c9b5cbcadbfdf5fb5ccbea05701,e7ec43cb1b2f2fb16c6e3fe82277b465645ac212a2e000dc56ccce29ee8d3065,b90ee87f7391a176efad76bac71547af1312555a12c902e1eb68e1377572cb14
"21","ボス魔法ダメージカット","74001304","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","boss_magic_cut"
"22","シャドウ2体追加","74001304","シズル（サマー）とクリスティーナのシャドウが追加される。","add_shadow"
"23","バトル時間制限","74001305","バトル時間が60秒になる。","limit_time"
"24","ボスUB強化","74001305","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance"
"25","開始時TP回復","74001305","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover"
"26","ボス魔法ダメージカット","74001305","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","boss_magic_cut"
"27","シャドウ2体追加","74001305","シズル（サマー）とクリスティーナのシャドウが追加される。","add_shadow"
"28","ボス物理ダメージカット","74001401","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","boss_physics_cut"
"29","ボス物理ダメージカット","74001402","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","boss_physics_cut"
"30","シャドウ1体追加","74001402","クウカ（オーエド）のシャドウが追加される。","add_shadow"
"31","開始時TP回復","74001403","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover"
"32","ボス物理ダメージカット","74001403","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","boss_physics_cut"
"33","シャドウ2体追加","74001403","クウカ（オーエド）とネネカのシャドウが追加される。","add_shadow"
"34","ボスUB強化","74001404","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance"
"35","開始時TP回復","74001404","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover"
"36","ボス物理ダメージカット","74001404","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","boss_physics_cut"
"37","シャドウ2体追加","74001404","クウカ（オーエド）とネネカのシャドウが追加される。","add_shadow"
"38","バトル時間制限","74001405","バトル時間が60秒になる。","limit_time"
"39","ボスUB強化","74001405","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance"
"40","開始時TP回復","74001405","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","energy_recover"
"41","ボス物理ダメージカット","74001405","バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。","boss_physics_cut"
"42","シャドウ2体追加","74001405","クウカ（オーエド）とネネカのシャドウが追加される。","add_shadow"
"43","開始時攻撃力アップ","74001502","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","boss_atk_up"
"44","編成キャラ数制限","74001503","編成可能キャラ数が4キャラになる。","limit_chara_num"
"45","開始時攻撃力アップ","74001503","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","boss_atk_up"
"46","編成キャラ数制限","74001504","編成可能キャラ数が4キャラになる。","limit_chara_num"
"47","ボスUB強化","74001504","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance"
"48","開始時攻撃力アップ","74001504","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","boss_atk_up"
"49","編成キャラ数制限","74001505","編成可能キャラ数が4キャラになる。","limit_chara_num"
"50","キャラ最大HPダウン","74001505","パーティキャラの最大HPが20％ダウンする。","max_hp_down"
"51","ボスUB強化","74001505","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance"
"52","開始時攻撃力アップ","74001505","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","boss_atk_up"
"53","シャドウ1体追加","74002102","カリンのシャドウが追加される。","add_shadow"
"54","シャドウ強化","74002103","ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。","star6_shadow"
"55","シャドウ1体追加","74002103","カリンのシャドウが追加される。","add_shadow"
"56","シャドウ強化","74002104","ミヤコ、ユカリ、アユミのシャドウが★6になる。","star6_shadow"
"57","シャドウ1体追加","74002104","カリンのシャドウが追加される。","add_shadow"
"58","シャドウ物理攻撃力アップ","74002105","すべてのシャドウの物理攻撃力が大幅に上昇する。","boss_atk_up"
"59","シャドウ強化","74002105","ミヤコ、ユカリ、アユミのシャドウが★6になる。","star6_shadow"
"60","シャドウ1体追加","74002105","カリンのシャドウが追加される。","add_shadow"
"61","シャドウ1体追加","74002202","カヤ（リベレイター）のシャドウが追加される。","add_shadow"
"62","シャドウ強化","74002203","ツムギ（ハロウィン）、マヒル（クリスマス）、ミツキ、カスミ（マジカル）のシャドウに専用装備が追加される。","star6_shadow"
"63","シャドウ1体追加","74002203","カヤ（リベレイター）のシャドウが追加される。","add_shadow"
"64","シャドウ強化","74002204","ミツキのシャドウが★6になる。ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加される。","star6_shadow"
"65","シャドウ1体追加","74002204","カヤ（リベレイター）のシャドウが追加される。","add_shadow"
"66","シャドウ魔法防御力アップ","74002205","すべてのシャドウの魔法防御力が大幅に上昇する。","boss_magic_def_up"
"67","シャドウ強化","74002205","ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加され、ミツキのシャドウが★6になる。","star6_shadow"
"68","シャドウ1体追加","74002205","カヤ（リベレイター）のシャドウが追加される。","add_shadow"
"69","シャドウ1体追加","74002302","ノゾミのシャドウが追加される。","add_shadow"
"70","シャドウ2体追加","74002303","ノゾミとキャル（プリンセス）のシャドウが追加される。","add_shadow"
"71","編成キャラ数制限","74002304","編成可能キャラ数が4キャラになる。","limit_chara_num"
"72","シャドウ強化","74002304","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","star6_shadow"
"73","シャドウ2体追加","74002304","ノゾミとキャル（プリンセス）のシャドウが追加される。","add_shadow"
"74","編成キャラ数制限","74002305","編成可能キャラ数が4キャラになる。","limit_chara_num"
"75","開始時物理防御力アップ","74002305","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","boss_def_up"
"76","開始時魔法防御力アップ","74002305","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","boss_magic_def_up"
"77","シャドウ強化","74002305","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","star6_shadow"
"78","シャドウ2体追加","74002305","ノゾミとキャル（プリンセス）のシャドウが追加される。","add_shadow"
"79","シャドウ1体追加","74002402","アヤネのシャドウが追加される。","add_shadow"
"80","シャドウ2体追加","74002403","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","add_shadow"
"81","編成キャラ数制限","74002404","編成可能キャラ数が4キャラになる。","limit_chara_num"
"82","シャドウ強化","74002404","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","star6_shadow"
"83","シャドウ2体追加","74002404","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","add_shadow"
"84","編成キャラ数制限","74002405","編成可能キャラ数が4キャラになる。","limit_chara_num"
"85","開始時物理防御力アップ","74002405","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","boss_def_up"
"86","開始時魔法防御力アップ","74002405","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","boss_magic_def_up"
"87","シャドウ強化","74002405","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","star6_shadow"
"88","シャドウ2体追加","74002405","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","add_shadow"
"89","バトル時間制限","74002502","バトル時間が70秒になる。","limit_time"
"90","バトル時間制限","74002503","バトル時間が60秒になる。","limit_time"
"91","バトル時間制限","74002504","バトル時間が60秒になる。","limit_time"
"92","ボスUB強化","74002504","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance"
"93","バトル時間制限","74002505","バトル時間が45秒になる。","limit_time"
"94","ボスUB強化","74002505","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance"
"95","シャドウ強化","74003102","カスミ、ハツネ、ユイ（プリンセス）のシャドウに専用装備が追加される。","star6_shadow"
"96","シャドウ1体追加","74003103","ユキのシャドウが追加される。","add_shadow"
"97","シャドウ強化","74003103","ハツネ、ユキのシャドウが★6になる。","star6_shadow"
"98","編成キャラ数制限","74003104","編成可能キャラ数が4キャラになる。","limit_chara_num"
"99","編成キャラ数制限","74003105","編成可能キャラ数が4キャラになる。","limit_chara_num"
"100","シャドウ最大ＨＰアップ","74003105","すべてのシャドウの最大ＨＰが大幅に上昇する。","max_hp_up"
"101","モンスター1体追加","74003202","カーズ・レリックが追加される。","add_shadow"
"102","シャドウ強化","74003203","アオイのシャドウが★6になる。","star6_shadow"
"103","開始時魔法ダメージカット","74003204","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。","boss_magic_cut"
"104","モンスター強化","74003204","カーズ・レリックのスキルが強化される。","boss_ub_enhance"
"105","開始時魔法ダメージカット","74003205","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。","boss_magic_cut"
"106","編成キャラ数制限","74003205","編成可能キャラ数が4キャラになる。","limit_chara_num"
"107","モンスター1体追加","74003302","ヒール・レリックが追加される。","add_shadow"
"108","シャドウ強化","74003303","キャル（ニューイヤー）のシャドウに専用装備が追加される。","star6_shadow"
"109","開始時物理ダメージカット","74003304","バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。","boss_physics_cut"
"110","モンスター強化","74003304","ヒール・レリックのスキルが強化される。","boss_ub_enhance"
"111","開始時物理ダメージカット","74003305","バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。","boss_physics_cut"
"112","編成キャラ数制限","74003305","編成可能キャラ数が4キャラになる。","limit_chara_num"
"113","ボス物理防御力（ダウン不可）アップ","74003402","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"114","ボス魔法防御力（ダウン不可）アップ","74003402","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"115","バトル時間制限","74003403","バトル時間が70秒になる。","limit_time"
"116","ボス物理防御力（ダウン不可）アップ","74003403","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"117","ボス魔法防御力（ダウン不可）アップ","74003403","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"118","バトル時間制限","74003404","バトル時間が70秒になる。","limit_time"
"119","ボスUB強化","74003404","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance"
"120","ボスＴＰダウンカット","74003404","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","boss_tp_down_cut"
"121","ボス物理防御力（ダウン不可）アップ","74003404","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"122","ボス魔法防御力（ダウン不可）アップ","74003404","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"123","バトル時間制限","74003405","バトル時間が50秒になる。","limit_time"
"124","ボスUB強化","74003405","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance"
"125","ボスＴＰダウンカット","74003405","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","boss_tp_down_cut"
"126","ボス物理防御力（ダウン不可）アップ","74003405","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"127","ボス魔法防御力（ダウン不可）アップ","74003405","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"128","ボス物理防御力（ダウン不可）アップ","74003502","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"129","ボス魔法防御力（ダウン不可）アップ","74003502","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"130","ボス物理防御力（ダウン不可）アップ","74003503","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"131","ボス魔法防御力（ダウン不可）アップ","74003503","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"132","モンスター1体追加","74003504","ルナポッドが追加される。","add_shadow"
"133","ボス物理防御力（ダウン不可）アップ","74003504","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"134","ボス魔法防御力（ダウン不可）アップ","74003504","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"135","シャドウ1体追加","74003505","カイザーインサイトのシャドウが追加される。","add_shadow"
"136","ボス物理防御力（ダウン不可）アップ","74003505","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"137","ボス魔法防御力（ダウン不可）アップ","74003505","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"138","シャドウ強化","74004102","イノリ、サレン、ヨリ、ユニのシャドウに専用装備が追加される。","star6_shadow"
"139","シャドウ1体追加","74004103","サレン（サマー）のシャドウが追加される。","add_shadow"
"140","シャドウ強化","74004103","サレン、ヨリのシャドウが★6になる。","star6_shadow"
"141","編成キャラ数制限","74004104","編成可能キャラ数が4キャラになる。","limit_chara_num"
"142","編成キャラ数制限","74004105","編成可能キャラ数が4キャラになる。","limit_chara_num"
"143","シャドウ最大ＨＰアップ","74004105","すべてのシャドウの最大ＨＰが大幅に上昇する。","max_hp_up"
"144","モンスター1体追加","74004202","シールド・レリックが追加される。","add_shadow"
"145","シャドウ強化","74004203","ネネカ（ニューイヤー）のシャドウに専用装備が追加される。","star6_shadow"
"146","モンスター強化","74004204","シールド・レリックのスキルが強化される。","boss_ub_enhance"
"147","開始時ＨＰ回復","74004204","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","hp_recover"
"148","開始時ＨＰ回復","74004205","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","hp_recover"
"149","開始時ＴＰ継続回復付与","74004205","バトル開始時、シールド・レリックのが味方全体に継続ＴＰ回復状態を付与する。","energy_recover"
"150","モンスター1体追加","74004302","アタック・レリックが追加される。","add_shadow"
"151","シャドウ強化","74004303","リマのシャドウが★6になる。","star6_shadow"
"152","モンスター強化","74004304","アタック・レリックのスキルが強化される。","boss_ub_enhance"
"153","開始時行動速度アップフィールド","74004305","バトル開始時、アタック・レリックが味方全体の行動速度を特大アップさせるフィールドを展開する。","boss_haste"
"154","キャラ最大HPダウン","74004402","パーティキャラの最大HPが20％ダウンする。","max_hp_down"
"155","バトル時間制限","74004403","バトル時間が75秒になる。","limit_time"
"156","キャラ最大HPダウン","74004403","パーティキャラの最大HPが20％ダウンする。","max_hp_down"
"157","バトル時間制限","74004404","バトル時間が75秒になる。","limit_time"
"158","編成キャラ数制限","74004404","編成可能キャラ数が4キャラになる。","limit_chara_num"
"159","キャラ最大HPダウン","74004404","パーティキャラの最大HPが20％ダウンする。","max_hp_down"
"160","バトル時間制限","74004405","バトル時間が60秒になる。","limit_time"
"161","編成キャラ数制限","74004405","編成可能キャラ数が4キャラになる。","limit_chara_num"
"162","キャラ最大HPダウン","74004405","パーティキャラの最大HPが20％ダウンする。","max_hp_down"
"163","キャラ最大HPダウン","74004502","パーティキャラの最大HPが20％ダウンする。","max_hp_down"
"164","ボスUB・スキル強化","74004503","ボスモンスターのユニオンバーストとスキルが強化される。","boss_ub_enhance"
"165","ボスＴＰダウンカット","74004503","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut"
"166","キャラ最大HPダウン","74004503","パーティキャラの最大HPが20％ダウンする。","max_hp_down"
"167","モンスター1体追加","74004504","ルナポッドが追加される。","add_shadow"
"168","ボスＴＰダウンカット","74004504","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut"
"169","キャラ最大HPダウン","74004504","パーティキャラの最大HPが20％ダウンする。","max_hp_down"
"170","シャドウ1体追加","74004505","アヤネのシャドウが追加される。","add_shadow"
"171","ボスＴＰダウンカット","74004505","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut"
"172","キャラ最大HPダウン","74004505","パーティキャラの最大HPが20％ダウンする。","max_hp_down"
"173","シャドウ強化","74005102","リマ、カヤ、イノリ、サレン（サマー）のシャドウに専用装備が追加される。","star6_shadow"
"174","シャドウ強化","74005103","リマ、カヤ、イノリのシャドウが★6になる。","star6_shadow"
"175","物理ダメージカット","74005103","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","boss_physics_cut"
"176","編成キャラ数制限","74005104","編成可能キャラ数が4キャラになる。","limit_chara_num"
"177","物理ダメージカット","74005104","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","boss_physics_cut"
"178","編成キャラ数制限","74005105","編成可能キャラ数が4キャラになる。","limit_chara_num"
"179","物理ダメージカット","74005105","バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。","boss_physics_cut"
"180","シャドウ強化","74005202","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。","star6_shadow"
"181","シャドウ強化","74005203","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。","star6_shadow"
"182","魔法ダメージカット","74005203","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","boss_magic_cut"
"183","編成キャラ数制限","74005204","編成可能キャラ数が4キャラになる。","limit_chara_num"
"184","魔法ダメージカット","74005204","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","boss_magic_cut"
"185","編成キャラ数制限","74005205","編成可能キャラ数が4キャラになる。","limit_chara_num"
"186","魔法ダメージカット","74005205","バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。","boss_magic_cut"
"187","ダメージ減衰","74005301","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"188","ＴＰ上昇上限付与","74005301","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"189","物理防御力（ダウン不可）アップ","74005301","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"190","魔法防御力（ダウン不可）アップ","74005301","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"191","ＨＰ吸収ダウン","74005301","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"192","モンスター追加","74005302","ゼラチナ、エルダークラウドが追加される。","add_shadow"
"193","ダメージ減衰","74005302","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"194","ＴＰ上昇上限付与","74005302","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"195","物理防御力（ダウン不可）アップ","74005302","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"196","魔法防御力（ダウン不可）アップ","74005302","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"197","ＨＰ吸収ダウン","74005302","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"198","モンスター追加","74005303","ユカリ、ホマレ（ニューイヤー）が追加される。","add_shadow"
"199","ダメージ減衰","74005303","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"200","ＴＰ上昇上限付与","74005303","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"201","物理防御力（ダウン不可）アップ","74005303","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"202","魔法防御力（ダウン不可）アップ","74005303","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"203","ＨＰ吸収ダウン","74005303","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"204","モンスター追加","74005304","ルナポッドが追加される。","add_shadow"
"205","ダメージ減衰","74005304","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"206","ＴＰ上昇上限付与","74005304","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"207","物理防御力（ダウン不可）アップ","74005304","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"208","魔法防御力（ダウン不可）アップ","74005304","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"209","ＨＰ吸収ダウン","74005304","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"210","バトル時間制限","74005305","バトル時間が60秒になる。","limit_time"
"211","ダメージ減衰","74005305","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"212","ＴＰ上昇上限付与","74005305","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"213","物理防御力（ダウン不可）アップ","74005305","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"214","魔法防御力（ダウン不可）アップ","74005305","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"215","ＨＰ吸収ダウン","74005305","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"216","ダメージ減衰","74005401","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"217","ＴＰ上昇上限付与","74005401","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"218","物理防御力（ダウン不可）アップ","74005401","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"219","魔法防御力（ダウン不可）アップ","74005401","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"220","ＨＰ吸収ダウン","74005401","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"221","モンスター追加","74005402","タートルタイラント、ホオズキムシが追加される。","add_shadow"
"222","ダメージ減衰","74005402","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"223","ＴＰ上昇上限付与","74005402","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"224","物理防御力（ダウン不可）アップ","74005402","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"225","魔法防御力（ダウン不可）アップ","74005402","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"226","ＨＰ吸収ダウン","74005402","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"227","モンスター追加","74005403","シズル（ノワール）、コッコロ（サマー）が追加される。","add_shadow"
"228","ダメージ減衰","74005403","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"229","ＴＰ上昇上限付与","74005403","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
"230","物理防御力（ダウン不可）アップ","74005403","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit"
"231","魔法防御力（ダウン不可）アップ","74005403","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit"
"232","ＨＰ吸収ダウン","74005403","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9"
"233","モンスター追加","74005404","ルナポッドが追加される。","add_shadow"
"234","ダメージ減衰","74005404","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18"
"235","ＴＰ上昇上限付与","74005404","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17"
