b55b04c4e4f874fdc8319da6f75fd12615e5e91db962a5ba01dfba125dbd6344,ad43fb271c0ba085b6047e12ff0962976dca15433a2dc2380b60761877bb1483,a02a9478f247239f3d6ceb737f8945fe3edadf8ab7e8940cab87c5809619558d,7c8ea924d0be2a214e9ba07f92133e78c5ddbf0a0f1b96e4c51e03a717ce4b24,6abe01d001a6afa30a0ba937250919e493d94febad6b1a99e868515a264bc569,3a3c69d492ae2b5244de5c4b2756ac80880600cb25aead49b0f67d81f233e855,0218e26935b5bc2b7d331043fa6844453aa8ca1ce91fc6be9ea003f4ba3e6f9b,6bc171b80edb9120cbfd259b1fc28e731928506e2fd15dd515f40e753ac86d38,3ad14e527985a270d3aec57808f2488d07c99e344e5ce55952eb45bbe9a1c590,b058af091bdc5e31388a9616e0f0eae2ce3ddf7290998c36897e6d0ff9981cca,9461460570656675056b4ee67f6ffc518451852072133503fd082338dc6d16fd
"5","","","5005","0","","","","","91",""
"5","sjr_talk_idle","","5006","122611","","","1","","3","0.2"
"6","122511","1","6001","1","40","-194","100","sjr_talk_idle","1","1.65"
"6","sjr_talk_arm_crossed_joy_look","0","6002","122511","sjr_talk_arm_crossed_look_loop","1","0","","3","0.2"
"6","vo_minigame_1010_top_talk_1_006","","6003","vo_minigame_1010","0","","0","","21",""
"6","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ","0","6004","122511","1","0","6","1","11","0"
"6","","","6005","0","","","","","91",""
"6","sjr_talk_idle","","6006","122511","","","1","","3","0.2"
"7","122511","1","7001","1","40","-194","100","sjr_talk_idle","1","1.65"
"7","sjr_talk_mouth_hidden2_shy","","7002","122511","","","1","","3","0.2"
"7","vo_minigame_1010_top_talk_1_007","","7003","vo_minigame_1010","0","","0","","21",""
"7","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…","0","7004","122511","1","0","6","1","11","0"
"7","","","7005","0","","","","","91",""
"7","sjr_talk_idle","","7006","122511","","","1","","3","0.2"
"8","122511","1","8001","1","40","-194","100","sjr_talk_idle","1","1.65"
"8","sjr_talk_mouth_hidden","","8002","122511","","","1","","3","0.2"
"8","vo_minigame_1010_top_talk_1_008","","8003","vo_minigame_1010","0","","0","","21",""
"8","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！","0","8004","122511","1","0","6","1","11","0"
"8","","","8005","0","","","","","91",""
"8","sjr_talk_idle","","8006","122511","","","1","","3","0.2"
"9","122511","1","9001","1","40","-194","100","sjr_talk_idle","1","1.65"
"9","sjr_talk_stepback_surprise","","9002","122511","","","1","","3","0.2"
"9","vo_minigame_1010_top_talk_1_009","","9003","vo_minigame_1010","0","","0","","21",""
"9","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな","0","9004","122511","1","0","6","1","11","0"
"9","","","9005","0","","","","","91",""
"9","sjr_talk_idle","","9006","122511","","","1","","3","0.2"
"10","122511","1","10001","1","40","-194","100","sjr_talk_idle","1","1.65"
"10","sjr_talk_thinking_blink","","10002","122511","","","1","","3","0.2"
"10","vo_minigame_1010_top_talk_1_010","","10003","vo_minigame_1010","0","","0","","21",""
"10","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か","0","10004","122511","1","0","5","1","11","0"
"10","","","10005","0","","","","","91",""
"10","sjr_talk_idle","","10006","122511","","","1","","3","0.2"
"11","122411","1","11001","1","40","-194","100","sjr_talk_idle","1","1.65"
"11","sjr_talk_eieio","0","11002","122411","sjr_talk_eieio_loop","1","0","","3","0.2"
"11","vo_minigame_1010_top_talk_1_011","","11003","vo_minigame_1010","0","","0","","21",""
"11","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！","0","11004","122411","1","0","6","1","11","0"
"11","","","11005","0","","","","","91",""
"11","sjr_talk_idle","","11006","122411","","","1","","3","0.2"
"12","122411","1","12001","1","40","-194","100","sjr_talk_idle","1","1.65"
"12","sjr_talk_arm_opened_wink","","12002","122411","","","1","","3","0.2"
"12","vo_minigame_1010_top_talk_1_012","","12003","vo_minigame_1010","0","","0","","21",""
"12","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！","0","12004","122411","1","0","6","1","11","0"
"12","","","12005","0","","","","","91",""
"12","sjr_talk_idle","","12006","122411","","","1","","3","0.2"
"13","122411","1","13001","1","40","-194","100","sjr_talk_idle","1","1.65"
"13","sjr_talk_doya","0","13002","122411","sjr_talk_doya_loop","1","0","","3","0.2"
"13","vo_minigame_1010_top_talk_1_013","","13003","vo_minigame_1010","0","","0","","21",""
"13","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪","0","13004","122411","1","0","8","1","11","0"
"13","","","13005","0","","","","","91",""
"13","sjr_talk_idle","","13006","122411","","","1","","3","0.2"
"14","122411","1","14001","1","40","-194","100","sjr_talk_idle","1","1.65"
"14","sjr_talk_watch_arm_opened","0","14002","122411","sjr_talk_swing_joy","1","0","","3","0.2"
"14","vo_minigame_1010_top_talk_1_014","","14003","vo_minigame_1010","0","","0","","21",""
"14","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！","0","14004","122411","1","0","7","1","11","0"
"14","","","14005","0","","","","","91",""
"14","sjr_talk_idle","","14006","122411","","","1","","3","0.2"
"15","122411","1","15001","1","40","-194","100","sjr_talk_idle","1","1.65"
"15","sjr_talk_wish_doya","","15002","122411","","","1","","3","0.2"
"15","vo_minigame_1010_top_talk_1_015","","15003","vo_minigame_1010","0","","0","","21",""
"15","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！","0","15004","122411","1","0","7","1","11","0"
"15","","","15005","0","","","","","91",""
"15","sjr_talk_idle","","15006","122411","","","1","","3","0.2"
"16","122611","1","16001","1","72","-194","100","sjr_talk_idle","1","1.65"
"16","122511","0","16002","1","-72","-194","100","sjr_talk_idle","1","1.65"
"16","sjr_talk_wish_doya","","16003","122611","","","1","","3","0.2"
"16","vo_minigame_1010_top_talk_2_001","","16004","vo_minigame_1010","0","","0","","21",""
"16","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから","0","16005","122611","1","0","5","1","11","0"
"16","","","16006","0","","","","","91",""
"16","sjr_talk_idle","","16007","122611","","","1","","3","0.2"
"16","sjr_talk_arm_crossed_normal_joy","0","16008","122511","sjr_talk_arm_crossed_joy_loop","1","0","","3","0.2"
"16","vo_minigame_1010_top_talk_2_002","","16009","vo_minigame_1010","0","","0","","21",""
"16","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう","0","16010","122511","1","0","6","0.5","11","0"
"16","","","16011","0","","","","","91",""
"16","sjr_talk_idle","","16012","122511","","","1","","3","0.2"
"17","122611","1","17001","1","72","-194","100","sjr_talk_idle","1","1.65"
"17","122511","0","17002","1","-72","-194","100","sjr_talk_idle","1","1.65"
"17","sjr_talk_worry_shy","","17003","122511","","","1","","3","0.2"
"17","vo_minigame_1010_top_talk_2_003","","17004","vo_minigame_1010","0","","0","","21",""
"17","ねぇユイ\n水着で走るのって\nちょっと…","0","17005","122511","1","0","6","0.5","11","0"
"17","","","17006","0","","","","","91",""
"17","sjr_talk_idle","","17007","122511","","","1","","3","0.2"
"17","sjr_talk_wish_shy","","17008","122611","","","1","","3","0.2"
"17","vo_minigame_1010_top_talk_2_004","","17009","vo_minigame_1010","0","","0","","21",""
"17","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！","0","17010","122611","1","0","5","0.5","11","0"
"17","","","17011","0","","","","","91",""
"17","sjr_talk_idle","","17012","122611","","","1","","3","0.2"
"17","sjr_talk_thinking_blink_light","0","17013","122511","sjr_talk_thinking_light","1","0","","3","0.2"
"17","vo_minigame_1010_top_talk_2_005","","17014","vo_minigame_1010","0","","0","","21",""
"17","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！","0","17015","122511","1","0","6","0.5","11","0"
"17","","","17016","0","","","","","91",""
"17","sjr_talk_idle","","17017","122511","","","1","","3","0.2"
"18","122611","1","18001","1","72","-194","100","sjr_talk_idle","1","1.65"
"18","122511","0","18002","1","-72","-194","100","sjr_talk_idle","1","1.65"
"18","sjr_talk_wish_surprise","","18003","122611","","","1","","3","0.2"
"18","vo_minigame_1010_top_talk_2_006","","18004","vo_minigame_1010","0","","0","","21",""
"18","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…","0","18005","122611","1","0","7","0.5","11","0"
"18","","","18006","0","","","","","91",""
"18","sjr_talk_idle","","18007","122611","","","1","","3","0.2"
"18","sjr_talk_arm_crossed_normal2","0","18008","122511","sjr_talk_arm_crossed_normal2_loop","1","0","","3","0.2"
"18","vo_minigame_1010_top_talk_2_007","","18009","vo_minigame_1010","0","","0","","21",""
"18","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ","0","18010","122511","1","0","7","0.5","11","0"
"18","","","18011","0","","","","","91",""
"18","sjr_talk_idle","","18012","122511","","","1","","3","0.2"
"19","122611","1","19001","1","72","-194","100","sjr_talk_idle","1","1.65"
"19","122411","0","19002","1","-72","-194","100","sjr_talk_idle","1","1.65"
"19","sjr_talk_wave_hand","0","19003","122611","sjr_talk_idle_joy","1","0","","3","0.2"
"19","vo_minigame_1010_top_talk_2_008","","19004","vo_minigame_1010","0","","0","","21",""
"19","ヒヨリちゃん\n楽しんでる？","0","19005","122611","1","0","11","0.5","11","0"
"19","","","19006","0","","","","","91",""
"19","sjr_talk_idle","","19007","122611","","","1","","3","0.2"
"19","sjr_talk_fun","0","19008","122411","sjr_talk_swing_joy2","1","0","","3","0.2"
"19","vo_minigame_1010_top_talk_2_009","","19009","vo_minigame_1010","0","","0","","21",""
"19","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！","0","19010","122411","1","0","8","0.5","11","0"
"19","","","19011","0","","","","","91",""
"19","sjr_talk_idle","","19012","122411","","","1","","3","0.2"
"19","sjr_talk_laugh","","19013","122611","","","1","","3","0.2"
"19","vo_minigame_1010_top_talk_2_010","","19014","vo_minigame_1010","0","","0","","21",""
"19","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！","0","19015","122611","1","0","8","0.5","11","0"
"19","","","19016","0","","","","","91",""
"19","sjr_talk_idle","","19017","122611","","","1","","3","0.2"
"20","122611","1","20001","1","72","-194","100","sjr_talk_idle","1","1.65"
"20","122411","0","20002","1","-72","-194","100","sjr_talk_idle","1","1.65"
"20","sjr_talk_guts2","0","20003","122411","sjr_talk_guts2_loop","1","0","","3","0.2"
"20","vo_minigame_1010_top_talk_2_011","","20004","vo_minigame_1010","0","","0","","21",""
"20","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー","0","20005","122411","1","0","9","0.5","11","0"
"20","","","20006","0","","","","","91",""
"20","sjr_talk_idle","","20007","122411","","","1","","3","0.2"
"20","sjr_talk_mouth_hidden_dere_guru","0","20008","122611","sjr_talk_mouth_hidden_guru","1","0","","3","0.2"
"20","vo_minigame_1010_top_talk_2_012","","20009","vo_minigame_1010","0","","0","","21",""
"20","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…","0","20010","122611","1","0","5","0.5","11","0"
"20","","","20011","0","","","","","91",""
"20","sjr_talk_shock","0","20012","122411","sjr_talk_shock_loop","1","0","","3","0.2"
"20","vo_minigame_1010_top_talk_2_013","","20013","vo_minigame_1010","0","","0","","21",""
"20","わーっ！？\nユイちゃん！？\n目がグルグルだー！？","0","20014","122411","1","0","17","0.5","11","0"
"20","","","20015","0","","","","","91",""
"20","sjr_talk_idle","","20016","122611","","","1","","3","0.2"
"20","sjr_talk_idle","","20017","122411","","","1","","3","0.2"
"21","122611","1","21001","1","72","-194","100","sjr_talk_idle","1","1.65"
"21","122411","0","21002","1","-72","-194","100","sjr_talk_idle","1","1.65"
"21","sjr_talk_worry_sad","","21003","122611","","","1","","3","0.2"
"21","vo_minigame_1010_top_talk_2_014","","21004","vo_minigame_1010","0","","0","","21",""
"21","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？","0","21005","122611","1","0","9","0.5","11","0"
"21","","","21006","0","","","","","91",""
"21","sjr_talk_idle","","21007","122611","","","1","","3","0.2"
"21","sjr_talk_laugh_guts","0","21008","122411","sjr_talk_guts2_joy_loop","0","0","","3","0.2"
"21","vo_minigame_1010_top_talk_2_015","","21009","vo_minigame_1010","0","","0","","21",""
"21","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪","0","21010","122411","1","0","6","0.5","11","0"
"21","","","21011","0","","","","","91",""
"21","sjr_talk_idle","","21012","122411","","","1","","3","0.2"
"22","122511","1","22001","1","72","-194","100","sjr_talk_idle","1","1.65"
"22","122411","0","22002","1","-72","-194","100","sjr_talk_idle","1","1.65"
"22","sjr_talk_arm_crossed_normal","0","22003","122511","sjr_talk_arm_crossed_normal_loop","1","0","","3","0.2"
"22","vo_minigame_1010_top_talk_2_016","","22004","vo_minigame_1010","0","","0","","21",""
"22","相手がヒヨリとはいえ\n負けるつもりは\nないからね","0","22005","122511","1","0","7","0.5","11","0"
"22","","","22006","0","","","","","91",""
"22","sjr_talk_idle","","22007","122511","","","1","","3","0.2"
"22","sjr_talk_guts","0","22008","122411","sjr_talk_guts_loop","1","0","","3","0.2"
"22","vo_minigame_1010_top_talk_2_017","","22009","vo_minigame_1010","0","","0","","21",""
"22","レイさんが相手なら\nあたしだって\n全力全開だよ！","0","22010","122411","1","0","8","0.5","11","0"
"22","","","22011","0","","","","","91",""
"22","sjr_talk_idle","","22012","122411","","","1","","3","0.2"
"23","122511","1","23001","1","72","-194","100","sjr_talk_idle","1","1.65"
"23","122411","0","23002","1","-72","-194","100","sjr_talk_idle","1","1.65"
"23","sjr_talk_fun_eieio","0","23003","122411","sjr_talk_eieio_loop","1","0","","3","0.2"
"23","vo_minigame_1010_top_talk_2_018","","23004","vo_minigame_1010","0","","0","","21",""
"23","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！","0","23005","122411","1","0","5","0.5","11","0"
"23","","","23006","0","","","","","91",""
"23","sjr_talk_idle","","23007","122411","","","1","","3","0.2"
"23","sjr_talk_mouth_hidden_sad","","23008","122511","","","1","","3","0.2"
"23","vo_minigame_1010_top_talk_2_019","","23009","vo_minigame_1010","0","","0","","21",""
"23","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？","0","23010","122511","1","0","7","0.5","11","0"
"23","","","23011","0","","","","","91",""
"23","sjr_talk_idle","","23012","122511","","","1","","3","0.2"
"23","sjr_talk_arm_opened_joy_guru","0","23013","122411","sjr_talk_arm_opened_guru","1","0","","3","0.2"
"23","vo_minigame_1010_top_talk_2_020","","23014","vo_minigame_1010","0","","0","","21",""
"23","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？","0","23015","122411","1","0","5","0.5","11","0"
"23","","","23016","0","","","","","91",""
"23","sjr_talk_idle","","23017","122411","","","1","","3","0.2"
"24","122511","1","24001","1","72","-194","100","sjr_talk_idle","1","1.65"
"24","122411","0","24002","1","-72","-194","100","sjr_talk_idle","1","1.65"
"24","sjr_talk_mouth_hidden_sad","","24003","122411","","","1","","3","0.2"
"24","vo_minigame_1010_top_talk_2_021","","24004","vo_minigame_1010","0","","0","","21",""
"24","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…","0","24005","122411","1","0","7","1","11","0"
"24","","","24006","0","","","","","91",""
"24","sjr_talk_idle","","24007","122411","","","1","","3","0.2"
"24","sjr_talk_arm_crossed_normal_joy","0","24008","122511","sjr_talk_arm_crossed_joy_loop","0","0","","3","0.2"
"24","vo_minigame_1010_top_talk_2_022","","24009","vo_minigame_1010","0","","0","","21",""
"24","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね","0","24010","122511","1","0","5","0.5","11","0"
"24","","","24011","0","","","","","91",""
"24","sjr_talk_idle","","24012","122511","","","1","","3","0.2"
"24","sjr_talk_laugh","","24013","122411","","","1","","3","0.2"
"24","vo_minigame_1010_top_talk_2_023","","24014","vo_minigame_1010","0","","0","","21",""
"24","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪","0","24015","122411","1","0","7","0.5","11","0"
"24","","","24016","0","","","","","91",""
"24","sjr_talk_idle","","24017","122411","","","1","","3","0.2"
