d337cb16d04f411255794926d5ca7e37690c31e63549e97d74f9586e35a02b2c,e53b6741b89954802b339dfa3e1c9743995ffdd59e7cd2c3761f6fa170e47912,4549d552c30185a9aa67ff0375de4dc44b486e9bc20fd0e8854e5887e6cdb209,31a5c35cbe691c3d39316f946f669822bf94a60e752ac518d2fe53ee4e175146,9df3ab9449bcd00ccaae38854451af3757362d952f60984fed881a929bfb6851,752aa49c548121dfb203c12b448de5d2ee559a3b3ffb0c9feff63237aaebf9c0,21d5eb17a6d6d979dead111bf6ac582b914fd2115305e5ad62a5f8871bbfc624
"30","10049","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71049031","111201","[3C404E]ボスNORMAL討伐で解放！"
"31","10050","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71050031","114101","[3C404E]ボスNORMAL討伐で解放！"
"32","10053","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71053031","109801","[3C404E]ボスNORMAL討伐で解放！"
"33","10054","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71054033","114601","[3C404E]ボスNORMAL討伐で解放！"
"34","10055","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71055031","111601","[3C404E]ボスNORMAL討伐で解放！"
"35","10056","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71056032","114701","[3C404E]ボスNORMAL討伐で解放！"
"36","10057","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71057031","112101","[3C404E]ボスNORMAL討伐で解放！"
"37","10058","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71058032","115601","[3C404E]ボスNORMAL討伐で解放！"
"38","10060","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71060031","112301","[3C404E]ボスNORMAL討伐で解放！"
"39","10061","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71061032","115801","[3C404E]ボスNORMAL討伐で解放！"
"40","10062","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71062031","112601","[3C404E]ボスNORMAL討伐で解放！"
"41","10068","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71068032","116801","[3C404E]ボスNORMAL討伐で解放！"
"42","10069","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71069031","113001","[3C404E]ボスNORMAL討伐で解放！"
"43","10071","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71071031","113201","[3C404E]ボスNORMAL討伐で解放！"
"44","10072","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71072032","117401","[3C404E]ボスNORMAL討伐で解放！"
"45","10073","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71073031","113501","[3C404E]ボスNORMAL討伐で解放！"
"46","10076","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71076032","117801","[3C404E]ボスNORMAL討伐で解放！"
"47","10077","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71077031","114101","[3C404E]ボスNORMAL討伐で解放！"
"48","10080","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71080032","119201","[3C404E]ボスNORMAL討伐で解放！"
"49","10081","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71081033","114601","[3C404E]ボスNORMAL討伐で解放！"
"50","10082","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71082032","120801","[3C404E]ボスNORMAL討伐で解放！"
"51","10083","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71083032","114701","[3C404E]ボスNORMAL討伐で解放！"
"52","10085","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71085032","121201","[3C404E]ボスNORMAL討伐で解放！"
"53","10086","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71086032","115601","[3C404E]ボスNORMAL討伐で解放！"
"54","10089","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71089032","115801","[3C404E]ボスNORMAL討伐で解放！"
"55","10094","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71094032","122101","[3C404E]ボスNORMAL討伐で解放！"
"56","10095","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71095032","116801","[3C404E]ボスNORMAL討伐で解放！"
"57","10096","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71096032","122401","[3C404E]ボスNORMAL討伐で解放！"
"58","10098","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71098032","122801","[3C404E]ボスNORMAL討伐で解放！"
"59","10099","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71099032","117401","[3C404E]ボスNORMAL討伐で解放！"
"60","10102","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71102032","123501","[3C404E]ボスNORMAL討伐で解放！"
"61","10103","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71103032","117801","[3C404E]ボスNORMAL討伐で解放！"
"62","10106","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71106032","124101","[3C404E]ボスNORMAL討伐で解放！"
"63","10107","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71107032","119201","[3C404E]ボスNORMAL討伐で解放！"
"64","10108","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71108032","124701","[3C404E]ボスNORMAL討伐で解放！"
"65","10109","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71109032","120801","[3C404E]ボスNORMAL討伐で解放！"
"66","10110","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71110032","124901","[3C404E]ボスNORMAL討伐で解放！"
"67","10113","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71113032","121201","[3C404E]ボスNORMAL討伐で解放！"
"68","10118","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71118032","125701","[3C404E]ボスNORMAL討伐で解放！"
"69","10121","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71121032","122101","[3C404E]ボスNORMAL討伐で解放！"
"70","10122","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71122032","126701","[3C404E]ボスNORMAL討伐で解放！"
"71","10123","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71123032","122401","[3C404E]ボスNORMAL討伐で解放！"
"72","10124","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71124032","127001","[3C404E]ボスNORMAL討伐で解放！"
"73","10125","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71125032","122801","[3C404E]ボスNORMAL討伐で解放！"
"74","10129","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71129032","123501","[3C404E]ボスNORMAL討伐で解放！"
"75","10134","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71134032","128301","[3C404E]ボスNORMAL討伐で解放！"
"76","10133","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71133032","124101","[3C404E]ボスNORMAL討伐で解放！"
"77","10135","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71135032","124701","[3C404E]ボスNORMAL討伐で解放！"
"78","10136","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71136032","128801","[3C404E]ボスNORMAL討伐で解放！"
"79","10138","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71138032","124901","[3C404E]ボスNORMAL討伐で解放！"
"80","10145","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71145032","125701","[3C404E]ボスNORMAL討伐で解放！"
"82","10152","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71152032","131901","[3C404E]ボスNORMAL討伐で解放！"
"83","10149","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71149032","126701","[3C404E]ボスNORMAL討伐で解放！"
"84","10151","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71151032","127001","[3C404E]ボスNORMAL討伐で解放！"
"85","10153","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71153031","109801","[3C404E]ボスNORMAL討伐で解放！"
"86","10160","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71160032","133201","[3C404E]ボスNORMAL討伐で解放！"
"87","10163","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71163032","128301","[3C404E]ボスNORMAL討伐で解放！"
"88","10164","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","71164032","128801","[3C404E]ボスNORMAL討伐で解放！"
