a447d60b7e856471b15093f2879d8ef6031f46f0d5036b80c2c386e1c5f2e10b,bfa3c33633522fd465be38c65dc7a72d78ebdf70daba339db53e0a51571e4852,cdf7e1fdc29d470fa42603af3e8f3c0f985502c32716162bf70ee6b17c9f39f0,046d26206c34f54f8575817a378d5a0953628cfc7510a652324d50676efbb4a8,a3fdee8b2f4d9f988e84f5c5c1a7fab37b0cc81984ef4aaf00d70bfe0faa4da4,790dacdcb07609808958cef736869d7968b48d3d041c6d1b81d8076c6da373bf,987831ffb5e81a77f30a872d29ae085edab5d9e63d145e478e987ac0bf3adf79
"ツムギのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ツムギへの熱い思いがいっそう高まること間違いなし。","10401","2","0.675","ツムギのブロマイド","1.0875","7"
"ツムギのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","10402","2","0.675","ツムギのサマーブロマイド","1.0875","7"
"ツムギのハロウィン衣装のブロマイドセット。ハロウィンの時しか\n見られない貴重なショットの数々。甘いお菓子と悪戯、どっちも\n魅力的。ハッピーハロウィン！","10403","2","0.675","ツムギのハロウィンブロマイド","1.0875","7"
"ノゾミのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ノゾミへの熱い思いがいっそう高まること間違いなし。","10404","2","0.675","ノゾミのブロマイド","1.0875","7"
"ノゾミのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","10405","2","0.675","ノゾミのサマーブロマイド","1.0875","7"
"ノゾミのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","10406","2","0.675","ノゾミのクリスマスブロマイド","1.0875","7"
"チカのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、チカへの熱い思いがいっそう高まること間違いなし。","10407","2","0.675","チカのブロマイド","1.0875","7"
"チカのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","10408","2","0.675","チカのサマーブロマイド","1.0875","7"
"チカのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","10409","2","0.675","チカのクリスマスブロマイド","1.0875","7"
"ツムギのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","10501","3","1.0125","ツムギのリストバンド","0.665625","8"
"ノゾミのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","10502","3","1.0125","ノゾミのリストバンド","0.665625","8"
"チカのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","10503","3","1.0125","チカのリストバンド","0.665625","8"
"ツムギの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","10601","3","0.470703125","ツムギのポスター","0.365234375","10"
"ノゾミの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","10602","3","0.470703125","ノゾミのポスター","0.365234375","10"
"チカの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","10603","3","0.470703125","チカのポスター","0.365234375","11"
"メンバー３人が写った大迫力の大型ポスター。部屋に貼っておけば\nおはようからおやすみまで、いつでも彼女たちの笑顔に会える。\n今日も明日も頑張ろう！","10604","3","0.470703125","カルミナのポスター","0.365234375","11"
"イベント会場でのみ入手できるサマーライブ限定デザインの会員\nカード。会場でしか手に入らないためプレミア度高め。真のファン\nならぜひともゲットしたい。","10701","3","0.53125","会場限定会員カード","0.953125","8"
"ツムギのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","10801","2","0.4609375","ツムギのマフラータオル","0.443359375","12"
"ノゾミのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","10802","2","0.4609375","ノゾミのマフラータオル","0.443359375","12"
"チカのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","10803","2","0.4609375","チカのマフラータオル","0.443359375","13"
"カルミナのサマーライブデザインのマフラータオル。汎用性の高い\n定番アイテム。ライブの汗で濡れた肌を拭くことはもちろん、応援\nグッズとして使うことも可能。","10804","2","0.4609375","カルミナのマフラータオル","0.443359375","13"
"ツムギの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","10901","1","0.459375","ツムギの応援うちわ","0.33046875","9"
"ノゾミの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","10902","1","0.459375","ノゾミの応援うちわ","0.33046875","9"
"チカの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","10903","1","0.459375","チカの応援うちわ","0.33046875","9"
"カルミナの公式応援うちわ。シンプルなデザインのため、普段使い\nにも最適な一品。いつでもどこでも彼女たちを応援できるぞ。","10904","1","0.459375","カルミナの応援うちわ","0.33046875","9"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","11001","1","0.8671875","ツムギのステッカー","0.671875","5"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","11002","1","0.8671875","ノゾミのステッカー","0.671875","5"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","11003","1","0.8671875","チカのステッカー","0.671875","5"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","11101","1","0.975","ツムギの缶バッジ","0.975","5"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","11102","1","0.975","ノゾミの缶バッジ","0.975","5"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","11103","1","0.975","チカの缶バッジ","0.975","5"
"ライブで一緒に盛り上がるための必携アイテム。いろんな色に切り\n替えができ、場面や曲で使い分けることが可能。カラフルにライブ\nを盛り上げよう。","11201","2","0.49609375","カルミナライブのペンライト","0.39453125","9"
"ツムギがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","11301","2","0.671875","ツムギのマグカップ","0.65625","8"
"ノゾミがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","11302","2","0.671875","ノゾミのマグカップ","0.65625","8"
"チカがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","11303","2","0.671875","チカのマグカップ","0.65625","8"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のツムギが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","11401","1","0.6328125","ツムギのペナント","0.984375","4"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のノゾミが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","11402","1","0.640625","ノゾミのペナント","0.984375","4"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のチカが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","11403","1","0.6328125","チカのペナント","0.984375","4"
"ポップでキュートに描かれたツムギのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","11501","1","1.21875","ツムギのピンバッジ","1.21875","3"
"サマー衣装のツムギがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のツムギの表情\nが魅力的な一品。","11502","1","1.21875","ツムギのサマーピンバッジ","1.21875","3"
"ポップでキュートに描かれたノゾミのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","11503","1","1.21875","ノゾミのピンバッジ","1.21875","3"
"サマー衣装のノゾミがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のノゾミの表情\nが魅力的な一品。","11504","1","1.21875","ノゾミのサマーピンバッジ","1.21875","3"
"ポップでキュートに描かれたチカのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","11505","1","1.21875","チカのピンバッジ","1.21875","3"
"サマー衣装のチカがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のチカの表情\nが魅力的な一品。","11506","1","1.21875","チカのサマーピンバッジ","1.21875","3"
"ツムギ・オンステージ！ツムギがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","11601","1","0.75","ツムギのボトルキャップ","0.625","6"
"サマー衣装のツムギが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","11602","1","0.75","ツムギのサマーボトルキャップ","0.625","6"
"ノゾミ・オンステージ！ノゾミがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","11603","1","0.75","ノゾミのボトルキャップ","0.625","6"
"サマー衣装のノゾミが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","11604","1","0.75","ノゾミのサマーボトルキャップ","0.625","6"
"チカ・オンステージ！チカがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","11605","1","0.75","チカのボトルキャップ","0.625","6"
"サマー衣装のチカが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","11606","1","0.75","チカのサマーボトルキャップ","0.625","6"
"ツムギのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","11701","1","0.8828125","ツムギのミニタペストリー","0.890625","4"
"ノゾミのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","11702","1","0.8828125","ノゾミのミニタペストリー","0.890625","4"
"チカのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","11703","1","0.8828125","チカのミニタペストリー","0.890625","4"
