08b5465e0e5c5a6b2b2b8a4ab7f0eb5dfbe63a7ced21ddbbde08053e0169c7da,ae432381ea499c126480f6484844fd424aa6d7dd238ad9e5a6d9b711c5ef7a46,31173a3e2a24673d578474c6b237b9a63a5b15199d5f94a3268d0d3ae3b3097e,a99987f82c00fd825bf3d2fc78cd77edc140c0377b5d5e513d98effd23b18eb3,94d3367c36324799bf12e57281ca32a259deb0aed67b0ef986c50a46e1f6d3eb,f6f1b9cafe62a0028ccb80db7b2633ea0d61d4eeeecd68f4725a0457a39e6a58,3f260b722d40b94fa92240134ba2ded7ff6ac20cc1c19f61fa792acbd90f944b,8bd79242e5e8b859ac5f7ed9e301cebf41ffeb540331af308539dc2cc1e94ff1,09b167e7e123509b09e86d757ee45fef4a18f32b548f021b4ed807b0bba34348,d522f5fd287219de73f4d600a040841e1d953d6edcb472dabf5aab2d6e15e7fa,b52e4e97c0d66806ab8d886619f91e55a82cebba14663e7471bd5c5222aaab97
"","","91","0","1010801","","","","","","1010801078"
"dsb_talk_arm_crossed_Ex10","0.5","3","2","1010801","0.5","","0","1","dsb_talk_arm_crossed_Ex10_loop","1010801079"
"vo_dsb_1013","","21","vo_dsb_1010801","1010801","","","0","","0","1010801080"
"くっくっく……\nこの勝負、もらったですよー！\nあーっはっはっはっは！","0","11","2","1010801","0","0.2","10","1","1","1010801081"
"1","","93","5.6","1010801","","","","","","1010801082"
"dsb_ahaha_in","0.5","3","2","1010801","0","","0","1","dsb_ahaha_loop","1010801083"
"","","91","1010801081","1010801","","","","","","1010801084"
"1","","32","40","1010801","","","","","","1010801085"
"0","","93","1.5","1010801","","","","","","1010801086"
"dsb_inori_dizzy","0","3","2","1010801","","","1","","","1010801087"
"dsb_idle_normal","0","3","1","1010801","","","1","","","1010801088"
"0","","93","0.5","1010801","","","","","","1010801089"
"0","","22","0","1010801","","","","","","1010801090"
"0","","93","1","1010801","","","","","","1010801091"
"dsb_smile4","0.5","3","1","1010801","0.2","","0","1","dsb_talk_joy3","1010801092"
"vo_dsb_1014","","21","vo_dsb_1010801","1010801","","","0","","0","1010801093"
"うーん♪\nようやくあったまってきた～\nね、イノリちゃん？","0","11","1","1010801","0","0.2","10","1","1","1010801094"
"","","91","0","1010801","","","","","","1010801095"
"dsb_idle_normal","0.5","3","1","1010801","","","1","","","1010801096"
"vo_dsb_1015","","21","vo_dsb_1010801","1010801","","","0","","0","1010801097"
"ぴ……\nぴぃいいい……\nゆでドラゴン族になっちまうです～っ！","0","11","2","1010801","0","0.2","10","1","1","1010801098"
"","","91","0","1010801","","","","","","1010801099"
"0","","22","0","1010801","","","","","","1010801100"
"se_10044200_get_out_water","","23","se_10044200","1010801","","","0","","","1010801101"
"dsb_inori_stand_up_in","0.2","3","2","1010801","0.2","","0","1","dsb_inori_stand_up_loop","1010801102"
"dsb_smile2","0.3","3","1","1010801","0.2","","0","1","dsb_idle_normal","1010801103"
"0","","93","0.3","1010801","","","","","","1010801104"
"se_adv_emote_sweat_02","","23","se_adv_emote_sweat_02","1010801","","","0","","","1010801105"
"2","0","12","2","1010801","0","0","1.4","0","0","1010801106"
"10","0","12","1","1010801","0","0","1.4","0","0","1010801107"
"0","","93","2.5","1010801","","","","","","1010801108"
"1","2","5","12","1010802","0","dsb_idle_normal","70","-345","-165","1010802001"
"2","2","5","6","1010802","1","dsb_idle_normal","70","-345","165","1010802002"
"1","1","31","1","1010802","","","0","1","0","1010802003"
"3","1","31","3","1010802","","","0","1","0","1010802004"
"4","1","31","4","1010802","","","0","1","0","1010802005"
"10","1","31","16","1010802","","","0","1","0","1010802006"
"20","1","31","26","1010802","","","0","1","0","1010802007"
"30","1","31","36","1010802","","","155","1","-168","1010802008"
"31","1","31","36","1010802","","","-155","1","-168","1010802009"
"170","","13","1","1010802","","","","","","1010802010"
"170","","13","2","1010802","","","","","","1010802011"
"","","91","0","1010802","","","","","","1010802012"
"se_10044200_cmn_amb","","23","se_10044200","1010802","","","1","","","1010802013"
"se_10044200_cmn_steam","","23","se_10044200","1010802","","","0","","","1010802014"
"0","","93","6","1010802","","","","","","1010802015"
"se_10044200_hotspring_06","","23","se_10044200","1010802","","","1","","","1010802016"
"0","","93","1.5","1010802","","","","","","1010802017"
"dsb_smile3_joy","0.5","3","2","1010802","0.5","","0","1","dsb_talk_joy1","1010802018"
"vo_dsb_2001","","21","vo_dsb_1010802","1010802","","","0","","0","1010802019"
"やっばー！　おフロ、ひっろ～い☆\n温泉きちゃった感まじパない！\nそれにミサトっちにも会えるとか\nちょーウケるし！　アガる～♪","0","11","2","1010802","0","0.2","10","1","1","1010802020"
"","","91","0","1010802","","","","","","1010802021"
"dsb_idle_joy1","0.5","3","2","1010802","","","1","","","1010802022"
"dsb_talk_normal_joy","0.5","3","1","1010802","","","1","","","1010802023"
"vo_dsb_2002","","21","vo_dsb_1010802","1010802","","","0","","0","1010802024"
"久しぶりね～、スズナちゃん♪\n今日の温泉はね\nお花のアロマ風呂にしてみたの。\n香りはいいし、お肌にもいいのよ～","0","11","1","1010802","0","0.2","10","1","1","1010802025"
"","","91","0","1010802","","","","","","1010802026"
"dsb_idle_normal","0.5","3","1","1010802","","","1","","","1010802027"
"dsb_surprise2","0.5","3","2","1010802","0.5","","0","1","dsb_talk_surprise1_2","1010802028"
"vo_dsb_2003","","21","vo_dsb_1010802","1010802","","","0","","0","1010802029"
"やばば、温泉天才じゃん！\nビヨーにもいいとかビビる！\nここ教えてくれた\nちゃんイオに感謝じゃん♪","0","11","2","1010802","0","0.2","10","1","1","1010802030"
"1","","93","6.5","1010802","","","","","","1010802031"
"dsb_talk_joy3","0.5","3","2","1010802","","","1","","","1010802032"
"","","91","1010802030","1010802","","","","","","1010802033"
"dsb_talk_guts2_doya","0.3","3","2","1010802","0.5","","0","1","dsb_talk_guts2_doya_loop","1010802034"
"vo_dsb_2004","","21","vo_dsb_1010802","1010802","","","0","","0","1010802035"
"よーし！\nじゃあいーっぱい入ってー\nお肌ツヤッツヤにしてー\nヒデサイびっくりさせちゃおーっと☆","0","11","2","1010802","0","0.2","10","1","1","1010802036"
"","","91","0","1010802","","","","","","1010802037"
"dsb_talk_worry_normal2","0.5","3","2","1010802","","","1","","","1010802038"
"vo_dsb_2005","","21","vo_dsb_1010802","1010802","","","0","","0","1010802039"
"あ、そーだ！\nびっくりっていったらさー？\nここももっとすごそー感\n出しちゃってもいんじゃない？","0","11","2","1010802","0","0.2","10","1","1","1010802040"
"","","91","0","1010802","","","","","","1010802041"
"dsb_idle_normal","0.5","3","2","1010802","","","1","","","1010802042"
"dsb_talk_surprise1","0.5","3","1","1010802","","","1","","","1010802043"
"vo_dsb_2006","","21","vo_dsb_1010802","1010802","","","0","","0","1010802044"
"すごそー感？","0","11","1","1010802","0","0.2","10","1","1","1010802045"
"","","91","0","1010802","","","","","","1010802046"
"dsb_idle_wish_normal","0.2","3","1","1010802","","","1","","","1010802047"
"dsb_talk_surprise1_normal2","0.5","3","2","1010802","","","1","","","1010802048"
"vo_dsb_2007","","21","vo_dsb_1010802","1010802","","","0","","0","1010802049"
"そそ！\nみんな一発でやばば！\nってわかるようにすんの！","0","11","2","1010802","0","0.2","10","1","1","1010802050"
"","","91","0","1010802","","","","","","1010802051"
"dsb_talk_surprise1_talkjoy2","0.5","3","2","1010802","","","1","","","1010802052"
"vo_dsb_2008","","21","vo_dsb_1010802","1010802","","","0","","0","1010802053"
"フンイキ変わるとバズるかもだし！\nめっちゃかわいいおフロだったら\nお客さんもジャンジャンだよ！","0","11","2","1010802","0","0.2","10","1","1","1010802054"
"","","91","0","1010802","","","","","","1010802055"
"dsb_idle_joy1","0.5","3","2","1010802","","","1","","","1010802056"
"dsb_talk_joy3","0.5","3","1","1010802","","","1","","","1010802057"
"vo_dsb_2009","","21","vo_dsb_1010802","1010802","","","0","","0","1010802058"
"かわいいお風呂……\n気になるわね～♪\nどんな感じになるのかしら？","0","11","1","1010802","0","0.2","10","1","1","1010802059"
"","","91","0","1010802","","","","","","1010802060"
"dsb_idle_sad_talkjoy2","0.5","3","1","1010802","","","1","","","1010802061"
"dsb_talk_worry_normal2","0.5","3","2","1010802","","","1","","","1010802062"
"vo_dsb_2010","","21","vo_dsb_1010802","1010802","","","0","","0","1010802063"
"んっとねー\nやっぱお花はもっと浮かせるっしょ！\nもちろんいろんなやつね！\nカラフルだったらビビビッとくるし♪","0","11","2","1010802","0","0.2","10","1","1","1010802064"
"","","91","0","1010802","","","","","","1010802065"
"dsb_idle_normal","0.5","3","2","1010802","","","1","","","1010802066"
"dsb_talk_memory","0.5","3","1","1010802","","","1","","","1010802067"
"vo_dsb_2011","","21","vo_dsb_1010802","1010802","","","0","","0","1010802068"
"まるで温泉のお花畑ね～♪\n色とりどりのお花に囲まれて\nお風呂に入れるなんて……うふふ♪\n想像するだけで気持ちが華やぐわ～","0","11","1","1010802","0","0.2","10","1","1","1010802069"
"","","91","0","1010802","","","","","","1010802070"
"dsb_talk_normal","0.5","3","1","1010802","","","1","","","1010802071"
"vo_dsb_2012","","21","vo_dsb_1010802","1010802","","","0","","0","1010802072"
"そうね、それだったら……\nお花の香りの相性もこだわりたいわね。\nあとは花言葉の意味も。","0","11","1","1010802","0","0.2","10","1","1","1010802073"
"","","91","0","1010802","","","","","","1010802074"
"dsb_idle_normal","0.5","3","1","1010802","","","1","","","1010802075"
"dsb_surprise","0.5","3","2","1010802","0.5","","0","1","dsb_talk_surprise1","1010802076"
"vo_dsb_2013","","21","vo_dsb_1010802","1010802","","","0","","0","1010802077"
"へ？\nハナコトバ？","0","11","2","1010802","0","0.2","10","1","1","1010802078"
"","","91","0","1010802","","","","","","1010802079"
"dsb_idle_surprise1","0.5","3","2","1010802","","","1","","","1010802080"
"dsb_talk_worry_normal2","0.5","3","1","1010802","","","1","","","1010802081"
"vo_dsb_2014","","21","vo_dsb_1010802","1010802","","","0","","0","1010802082"
"お花にはね、その一つ一つに\n意味があるの。\n誰かに贈るときには\n相手へのメッセージにもなるのよ～","0","11","1","1010802","0","0.2","10","1","1","1010802083"
"","","91","0","1010802","","","","","","1010802084"
"dsb_talk_wish_dere","0.3","3","1","1010802","","","1","","","1010802085"
"vo_dsb_2015","","21","vo_dsb_1010802","1010802","","","0","","0","1010802086"
"ちなみに今日のお花の意味は……\n『愛するあなたのために』\nうふふ、素敵でしょう♪","0","11","1","1010802","0","0.2","10","1","1","1010802087"
"","","91","0","1010802","","","","","","1010802088"
"dsb_idle_wish_normal","0.5","3","1","1010802","","","1","","","1010802089"
"dsb_talk_anger_shy2","0.5","3","2","1010802","","","1","","","1010802090"
"vo_dsb_2016","","21","vo_dsb_1010802","1010802","","","0","","0","1010802091"
"あ、愛する……！\nちょ、それまじ……？\nそんなの、ストレートで……\nなんか…………ズルじゃん。","0","11","2","1010802","0","0.2","10","1","1","1010802092"
"","","91","0","1010802","","","","","","1010802093"
"dsb_talk_sad2_dead","0.5","3","2","1010802","","","1","","","1010802094"
"vo_dsb_2017","","21","vo_dsb_1010802","1010802","","","0","","0","1010802095"
"えっと……\nバズり計画、ナシで。\n……あー、あつぅ。","0","11","2","1010802","0","0.2","10","1","1","1010802096"
"","","91","0","1010802","","","","","","1010802097"
"dsb_hot_dead_loop","0.2","3","2","1010802","","","1","","","1010802098"
"dsb_smile2_dere2","0.5","3","1","1010802","0.5","","0","1","dsb_talk_normal_dere2","1010802099"
"vo_dsb_2018","","21","vo_dsb_1010802","1010802","","","0","","0","1010802100"
"うふふ♪\nのぼせないように気をつけてね。","0","11","1","1010802","0","0.2","10","1","1","1010802101"
"","","91","0","1010802","","","","","","1010802102"
"0","","93","0.3","1010802","","","","","","1010802103"
"1","2","5","11","1010803","0","dsb_idle_normal","70","-345","-165","1010803001"
"2","2","5","2","1010803","1","dsb_idle_normal","70","-345","165","1010803002"
"1","1","31","1","1010803","","","0","1","0","1010803003"
"3","1","31","3","1010803","","","0","1","0","1010803004"
"4","1","31","4","1010803","","","0","1","0","1010803005"
"10","1","31","12","1010803","","","0","1","0","1010803006"
"20","1","31","22","1010803","","","0","1","0","1010803007"
"30","1","31","32","1010803","","","155","1","-168","1010803008"
"31","1","31","32","1010803","","","-155","1","-168","1010803009"
"170","","13","1","1010803","","","","","","1010803010"
"170","","13","2","1010803","","","","","","1010803011"
"","","91","0","1010803","","","","","","1010803012"
"se_10044200_cmn_amb","","23","se_10044200","1010803","","","1","","","1010803013"
"se_10044200_cmn_steam","","23","se_10044200","1010803","","","0","","","1010803014"
"0","","93","6.2","1010803","","","","","","1010803015"
"se_10044200_hotspring_02","","23","se_10044200","1010803","","","1","","","1010803016"
"0","","93","1.3","1010803","","","","","","1010803017"
"dsb_smile3_kyouka","0.5","3","2","1010803","0.5","","0","1","dsb_talk_anger_dere2","1010803018"
"vo_dsb_3001","","21","vo_dsb_1010803","1010803","","","0","","0","1010803019"
"わわっ……\nすごい、シュワシュワしてる……！\n本当にメロンソーダのお風呂に\n入っているみたい……♪","0","11","2","1010803","0","0.2","10","1","1","1010803020"
"","","91","0","1010803","","","","","","1010803021"
"dsb_idle_joy1_Ex2","0.5","3","2","1010803","","","1","","","1010803022"
"dsb_talk_normal_dere","0.5","3","1","1010803","","","1","","","1010803023"
"vo_dsb_3002","","21","vo_dsb_1010803","1010803","","","0","","0","1010803024"
"ふふふ、素敵でしょう？\n子どもたちが喜んでくれるような\n温泉にしたいと思って作ったの。","0","11","1","1010803","0","0.2","10","1","1","1010803025"
"","","91","0","1010803","","","","","","1010803026"
"dsb_idle_normal","0.5","3","1","1010803","","","1","","","1010803027"
"dsb_talk_surprise1","0.5","3","2","1010803","","","1","","","1010803028"
"vo_dsb_3003","","21","vo_dsb_1010803","1010803","","","0","","0","1010803029"
"そうだったんですか……","0","11","2","1010803","0","0.2","10","1","1","1010803030"
"","","91","0","1010803","","","","","","1010803031"
"dsb_idle_surprise1_look","0.5","3","2","1010803","","","1","","","1010803032"
"vo_dsb_3004","","21","vo_dsb_1010803","1010803","","","0","","0","1010803033"
"（なんだかあやしい人かと思ったけど\n本当はいい人なのかな……）","0","11","2","1010803","0","0.2","10","1","1","1010803034"
"","","91","0","1010803","","","","","","1010803035"
"dsb_talk_thinking","0.3","3","2","1010803","","","1","","","1010803036"
"vo_dsb_3005","","21","vo_dsb_1010803","1010803","","","0","","0","1010803037"
"たしかに子どもは喜びますね。\n……わ、私も思わず\n童心に帰ってしまいましたから。","0","11","2","1010803","0","0.2","10","1","1","1010803038"
"","","91","0","1010803","","","","","","1010803039"
"dsb_idle_arm_crossed","0.5","3","2","1010803","","","1","","","1010803040"
"dsb_talk_thinking_normal2","0.5","3","1","1010803","","","1","","","1010803041"
"vo_dsb_3006","","21","vo_dsb_1010803","1010803","","","0","","0","1010803042"
"童心……？\nああ、なるほど。\nそれはよかったわ♪","0","11","1","1010803","0","0.2","10","1","1","1010803043"
"","","91","0","1010803","","","","","","1010803044"
"dsb_idle_arm_crossed","0.5","3","1","1010803","","","1","","","1010803045"
"dsb_talk_sad2_Ex5","0.5","3","2","1010803","","","1","","","1010803046"
"0","","22","0","1010803","","","","","","1010803047"
"vo_dsb_3007","","21","vo_dsb_1010803","1010803","","","0","","0.9","1010803048"
"……何か引っかかることでも？","0","11","2","1010803","0","0.2","10","1","1","1010803049"
"","","91","0","1010803","","","","","","1010803050"
"dsb_idle_sad_blink","0.5","3","2","1010803","","","1","","","1010803051"
"dsb_talk_sad_dere","0.5","3","1","1010803","","","1","","","1010803052"
"vo_dsb_3008","","21","vo_dsb_1010803","1010803","","","0","","0","1010803053"
"いいえ、何も♪","0","11","1","1010803","0","0.2","10","1","1","1010803054"
"","","91","0","1010803","","","","","","1010803055"
"dsb_idle_normal","0.5","3","2","1010803","","","1","","","1010803056"
"dsb_talk_normal_joy","0.5","3","1","1010803","","","1","","","1010803057"
"vo_dsb_3009","","21","vo_dsb_1010803","1010803","","","0","","0","1010803058"
"ところで……\n童心に帰ると大きなお風呂で\n泳ぎたくなったりするわよね？\nキョウカちゃんはどう？","0","11","1","1010803","0","0.2","10","1","1","1010803059"
"","","91","0","1010803","","","","","","1010803060"
"dsb_idle_normal","0.5","3","1","1010803","","","1","","","1010803061"
"dsb_talk_tsun_shy","0.5","3","2","1010803","","","1","","","1010803062"
"vo_dsb_3010","","21","vo_dsb_1010803","1010803","","","0","","0","1010803063"
"泳ぐなんて……！\nしませんよ、そんなことっ！\nはしたないですし……","0","11","2","1010803","0","0.2","10","1","1","1010803064"
"","","91","0","1010803","","","","","","1010803065"
"dsb_idle_anger","0.5","3","2","1010803","","","1","","","1010803066"
"dsb_talk_normal","0.5","3","1","1010803","","","1","","","1010803067"
"vo_dsb_3011","","21","vo_dsb_1010803","1010803","","","0","","0","1010803068"
"はしたないなんて……\n今は私たち二人きりなのよ。\nメロンソーダの中で泳いだら\nきっと楽しいと思うけど……？","0","11","1","1010803","0","0.2","10","1","1","1010803069"
"","","91","0","1010803","","","","","","1010803070"
"dsb_idle_normal","0.5","3","1","1010803","","","1","","","1010803071"
"dsb_talk_surprise1_shy","0.5","3","2","1010803","","","1","","","1010803072"
"vo_dsb_3012","","21","vo_dsb_1010803","1010803","","","0","","0","1010803073"
"そ、それは……\n楽しそうですけど……\n私も少し泳げるようになりましたし……\nでも、マナー的に……う～ん……","0","11","2","1010803","0","0.2","10","1","1","1010803074"
"","","91","0","1010803","","","","","","1010803075"
"dsb_idle_surprise1_normal","0.5","3","2","1010803","","","1","","","1010803076"
"dsb_talk_thinking_joy","0.5","3","1","1010803","","","1","","","1010803077"
"0","","22","0","1010803","","","","","","1010803078"
"vo_dsb_3013","","21","vo_dsb_1010803","1010803","","","0","","0.9","1010803079"
"……ふふふ。\nじゃあ、私は泳いじゃおっかな～？","0","11","1","1010803","0","0.2","10","1","1","1010803080"
"","","91","0","1010803","","","","","","1010803081"
"dsb_idle_joy1","0.5","3","1","1010803","","","1","","","1010803082"
"dsb_surprise2","0.5","3","2","1010803","0.5","","0","1","dsb_talk_surprise1_2","1010803083"
"vo_dsb_3014","","21","vo_dsb_1010803","1010803","","","0","","0","1010803084"
"ええっ！？\nそんな、ズルいですっ。\nだったら……わ、私もっ！","0","11","2","1010803","0","0.2","10","1","1","1010803085"
"1","","93","3.5","1010803","","","","","","1010803086"
"dsb_talk_anger_shy2","0.5","3","2","1010803","","","1","","","1010803087"
"","","91","1010803085","1010803","","","","","","1010803088"
"0","","22","0","1010803","","","","","","1010803089"
"dsb_surprise_kyouka","0.2","3","2","1010803","","","1","","","1010803090"
"dsb_surprise_mitsuki","0.2","3","1","1010803","","","1","","","1010803091"
"0","","93","0.7","1010803","","","","","","1010803092"
"dsb_smile2_kyouka","0.3","3","2","1010803","0.2","","0","1","dsb_idle_normal_Ex1","1010803093"
"dsb_smile2_mitsuki2","0.3","3","1","1010803","0.2","","0","1","dsb_idle_normal","1010803094"
"0","","93","0.3","1010803","","","","","","1010803095"
"se_adv_emote_common_01","","23","se_adv_emote_common_01","1010803","","","0","","","1010803096"
"10","0","12","2","1010803","0","0","1.4","0","0","1010803097"
"10","0","12","1","1010803","0","0","1.4","0","0","1010803098"
"0","","93","2","1010803","","","","","","1010803099"
"124531","2","1","1","1010804","0","dsb_idle_normal","70","-219","-475","1010804001"
"2","2","5","7","1010804","1","dsb_idle_relax_Ex2","70","-360","0","1010804002"
"99","2","5","10","1010804","0","dsb_empty","71","-219","-345","1010804003"
"1","1","31","1","1010804","","","0","1","0","1010804004"
"3","1","31","3","1010804","","","0","1","0","1010804005"
"4","1","31","4","1010804","","","0","1","0","1010804006"
"10","1","31","17","1010804","","","0","1","0","1010804007"
"20","1","31","27","1010804","","","0","1","0","1010804008"
"30","1","31","37","1010804","","","-10","1","-183","1010804009"
"43","1","31","43","1010804","","","0","1","0","1010804010"
"44","0","31","44","1010804","","","130","1","0","1010804011"
"45","0","31","45","1010804","","","133","1","-141","1010804012"
"46","0","31","46","1010804","","","130","1","0","1010804013"
"47","0","31","47","1010804","","","142","1","-212","1010804014"
"48","0","31","48","1010804","","","142","1","-212","1010804015"
"170","","13","124531","1010804","","","","","","1010804016"
"170","","13","2","1010804","","","","","","1010804017"
"","","91","0","1010804","","","","","","1010804018"
"se_10044200_cmn_amb","","23","se_10044200","1010804","","","1","","","1010804019"
"se_10044200_cmn_steam","","23","se_10044200","1010804","","","0","","","1010804020"
"0","","93","6","1010804","","","","","","1010804021"
"se_10044200_hotspring_07","","23","se_10044200","1010804","","","1","","","1010804022"
"0","","93","1.5","1010804","","","","","","1010804023"
"dsb_idle_relax_blink","0.5","3","2","1010804","","","1","","","1010804024"
