be93ae6fa026fa43ac76fdd2e5e41fe164dca789b4ba816b9689cc7aa3b5927d,3ea2da44bffa99f198c35839946629dfe7e5a6059a1bf181878265189b0a5a66,ae3522220d44870478ee64d9018b8d8914111f4d0eefb861a86280afd75a6f9a,171ad7b9486c9b07d344f6ca3709c24d9b3b63e1fff31bd0ca9d0ebcc70906fc,993e97726e9e3ce22437bc2e9bbbcdb6f2642f7ad124d969c78adf945808a4f4,5c7e36ae57632ada0454e62f62fc4b150dd24e8f2f2484e2b0f40627bc673d6d
"74002204","550102407","550102406","550102409","550102408","550102410"
"74002205","550102507","550102506","550102509","550102508","550102510"
"74002301","550102113","550102112","0","550102111","0"
"74002302","550102213","550102212","0","550102211","0"
"74002303","550102313","550102312","0","550102311","0"
"74002304","550102413","550102412","0","550102411","0"
"74002305","550102513","550102512","0","550102511","0"
"74002401","550102114","550102115","0","550102116","0"
"74002402","550102214","550102215","0","550102216","0"
"74002403","550102314","550102315","0","550102316","0"
"74002404","550102414","550102415","0","550102416","0"
"74002405","550102514","550102515","0","550102516","0"
"74002501","0","550102117","0","0","0"
"74002502","0","550102217","0","0","0"
"74002503","0","550102317","0","0","0"
"74002504","0","550102417","0","0","0"
"74002505","0","550102517","0","0","0"
"74003101","550103103","550103101","550103102","550103104","0"
"74003102","550103203","550103201","550103202","550103204","0"
"74003103","550103303","550103301","550103302","550103304","550103305"
"74003104","550103403","550103401","550103402","550103404","550103405"
"74003105","550103503","550103501","550103502","550103504","550103505"
"74003201","550103106","550103105","550103108","550103107","0"
"74003202","550103206","550103205","550103208","550103207","550103209"
"74003203","550103307","550103306","550103309","550103308","550103310"
"74003204","550103407","550103406","550103409","550103408","550103410"
"74003205","550103507","550103506","550103509","550103508","550103510"
"74003301","550103110","550103109","550103112","550103111","0"
"74003302","550103211","550103210","550103213","550103212","550103214"
"74003303","550103312","550103311","550103314","550103313","550103315"
"74003304","550103412","550103411","550103414","550103413","550103415"
"74003305","550103512","550103511","550103514","550103513","550103515"
"74003401","0","550103113","0","0","0"
"74003402","0","550103215","0","0","0"
"74003403","0","550103316","0","0","0"
"74003404","0","550103416","0","0","0"
"74003405","0","550103516","0","0","0"
"74003501","0","550103114","0","0","0"
"74003502","0","550103216","0","0","0"
"74003503","0","550103317","0","0","0"
"74003504","550103421","550103417","0","0","0"
"74003505","550103517","550103522","0","550103521","0"
"74004101","550104102","550104101","550104104","550104103","0"
"74004102","550104202","550104201","550104204","550104203","0"
"74004103","550104302","550104301","550104304","550104303","550104305"
"74004104","550104402","550104401","550104404","550104403","550104405"
"74004105","550104502","550104501","550104504","550104503","550104505"
"74004201","550104106","550104105","550104108","550104107","0"
"74004202","550104206","550104205","550104208","550104207","550104209"
"74004203","550104307","550104306","550104309","550104308","550104310"
"74004204","550104407","550104406","550104409","550104408","550104410"
"74004205","550104507","550104506","550104509","550104508","550104510"
"74004301","550104110","550104109","550104111","550104112","0"
"74004302","550104211","550104210","550104212","550104213","550104214"
"74004303","550104312","550104311","550104313","550104314","550104315"
"74004304","550104412","550104411","550104413","550104414","550104415"
"74004305","550104512","550104511","550104513","550104514","550104515"
"74004401","0","550104113","0","0","0"
"74004402","0","550104215","0","0","0"
"74004403","0","550104316","0","0","0"
"74004404","0","550104416","0","0","0"
"74004405","0","550104516","0","0","0"
"74004501","0","550104117","0","0","0"
"74004502","0","550104219","0","0","0"
"74004503","0","550104320","0","0","0"
"74004504","550104421","550104420","0","0","0"
"74004505","550104520","550104522","0","550104521","0"
"74005101","550105102","550105101","550105104","550105103","550105105"
"74005102","550105202","550105201","550105204","550105203","550105205"
"74005103","550105302","550105301","550105304","550105303","550105305"
"74005104","550105402","550105401","550105404","550105403","550105405"
"74005105","550105502","550105501","550105504","550105503","550105505"
"74005201","550105107","550105106","550105109","550105108","550105110"
"74005202","550105207","550105206","550105209","550105208","550105210"
"74005203","550105308","550105307","550105310","550105309","550105311"
"74005204","550105408","550105407","550105410","550105409","550105411"
"74005205","550105508","550105507","550105510","550105509","550105511"
"74005301","0","550105111","0","0","0"
"74005302","550105212","550105211","0","550105213","0"
"74005303","550105314","550105313","0","550105315","0"
"74005304","550105414","550105413","550105415","550105416","0"
"74005305","550105514","550105513","550105515","550105516","0"
"74005401","0","550105116","0","0","0"
"74005402","550105219","550105218","0","550105220","0"
"74005403","550105321","550105320","0","550105322","0"
"74005404","550105422","550105421","550105423","550105424","0"
"74005405","550105522","550105521","550105523","550105524","0"
"74005501","0","550105118","0","0","0"
"74005502","550105223","550105222","0","550105224","0"
"74005503","550105325","550105324","0","550105326","0"
"74005504","550105427","550105426","550105428","550105429","0"
"74005505","550105527","550105526","550105528","550105529","0"
"74006101","550106102","550106101","550106104","550106103","550106105"
"74006102","550106202","550106201","550106204","550106203","550106205"
"74006103","550106302","550106301","550106304","550106303","550106305"
"74006104","550106402","550106401","550106404","550106403","550106405"
"74006105","550106502","550106501","550106504","550106503","550106505"
"74006201","550106107","550106106","550106109","550106108","550106110"
"74006202","550106207","550106206","550106209","550106208","550106210"
"74006203","550106307","550106306","550106309","550106308","550106310"
"74006204","550106408","550106407","550106410","550106409","550106411"
"74006205","550106508","550106507","550106510","550106509","550106511"
"74006301","550106113","550106112","550106115","550106114","550106111"
"74006302","550106213","550106212","550106215","550106214","550106211"
"74006303","550106313","550106312","550106315","550106314","550106311"
"74006304","0","550106413","0","0","0"
"74006305","0","550106513","0","0","0"
"74006401","0","550106116","0","0","0"
"74006402","0","550106217","0","0","0"
"74006403","0","550106317","0","0","0"
"74006404","550106417","550106416","550106419","550106418","550106415"
"74006405","0","550106515","0","0","0"
"74006501","0","550106118","0","0","0"
"74006502","0","550106220","0","0","0"
"74006503","0","550106320","0","0","0"
"74006504","0","550106422","0","0","0"
"74006505","0","550106518","0","0","0"
"74007101","550107112","550107111","550107114","550107113","550107115"
"74007102","550107212","550107211","550107214","550107213","550107215"
"74007103","550107312","550107311","550107314","550107313","550107315"
"74007104","550107412","550107411","550107414","550107413","550107415"
"74007105","550107512","550107511","550107514","550107513","550107515"
"74007201","550107122","550107121","550107124","550107123","550107125"
"74007202","550107222","550107221","550107224","550107223","550107225"
"74007203","550107322","550107321","550107324","550107323","550107325"
"74007204","550107422","550107421","550107424","550107423","550107425"
"74007205","550107522","550107521","550107524","550107523","550107525"
"74007301","550107132","550107131","550107134","550107133","550107135"
"74007302","550107232","550107231","550107234","550107233","550107235"
"74007303","550107332","550107331","550107334","550107333","550107335"
"74007304","550107432","550107431","550107434","550107433","550107435"
"74007305","550107532","550107531","550107534","550107533","550107535"
"74007401","0","550107141","0","0","0"
"74007402","0","550107241","0","0","0"
"74007403","0","550107341","0","0","0"
"74007404","0","550107441","0","0","0"
"74007405","0","550107541","0","0","0"
"74007501","0","550107151","0","0","0"
"74007502","0","550107251","0","0","0"
"74007503","0","550107351","0","0","0"
"74007504","550107452","550107451","0","0","0"
"74007505","550107551","550107553","0","550107552","0"
