40af7c2fe4104faaff4988caa0998d97d345bc007ad606fa0ca0a0a4a832a234,6b7aacd4a6b9ea694f1ffb4c718b915737517be31009e029a2db544c53fd87c7,8a548e7c891983c15885c17d224bfa1120f0c4cd067040dfdddb0338687a9e39,544a5ff7832ff65d688c5aecc1848550aced6e231006d879f2cf2eaa4abd29da,f11b348ffe811042ec8e3fa10c102b6ec9c8d605f308ec4efb60f01991c346d1,de099c9cd13a4d13c0afeb78d224553e639f7e8a692010cfb77336436020c77d,b2377c1eb8b2e9544241e2c19ad4ecceb792eec31e51d2f5eecc6ee7f57e4ba8
"840104602","840104605","840104604","840010461","840104601","840104603","196"
"840104702","840104705","840104704","840010471","840104701","840104703","197"
"840104802","840104805","840104804","840010481","840104801","840104803","198"
"840104902","840104905","840104904","840010491","840104901","840104903","199"
"0","0","0","840010501","840105001","0","200"
"850100102","850100105","850100104","850010011","850100101","850100103","201"
"850100202","850100205","850100204","850010021","850100201","850100203","202"
"850100302","850100305","850100304","850010031","850100301","850100303","203"
"850100402","850100405","850100404","850010041","850100401","850100403","204"
"850100502","850100505","850100504","850010051","850100501","850100503","205"
"850100602","850100605","850100604","850010061","850100601","850100603","206"
"850100702","850100705","850100704","850010071","850100701","850100703","207"
"850100802","850100805","850100804","850010081","850100801","850100803","208"
"850100902","850100905","850100904","850010091","850100901","850100903","209"
"0","0","0","850010101","850101001","0","210"
"850101102","850101105","850101104","850010111","850101101","850101103","211"
"850101202","850101205","850101204","850010121","850101201","850101203","212"
"850101302","850101305","850101304","850010131","850101301","850101303","213"
"850101402","850101405","850101404","850010141","850101401","850101403","214"
"850101502","850101505","850101504","850010151","850101501","850101503","215"
"850101602","850101605","850101604","850010161","850101601","850101603","216"
"850101702","850101705","850101704","850010171","850101701","850101703","217"
"850101802","850101805","850101804","850010181","850101801","850101803","218"
"850101902","850101905","850101904","850010191","850101901","850101903","219"
"0","0","0","850010201","850102001","0","220"
"850102102","850102105","850102104","850010211","850102101","850102103","221"
"850102202","850102205","850102204","850010221","850102201","850102203","222"
"850102302","850102305","850102304","850010231","850102301","850102303","223"
"850102402","850102405","850102404","850010241","850102401","850102403","224"
"850102502","850102505","850102504","850010251","850102501","850102503","225"
"850102602","850102605","850102604","850010261","850102601","850102603","226"
"850102702","850102705","850102704","850010271","850102701","850102703","227"
"850102802","850102805","850102804","850010281","850102801","850102803","228"
"850102902","850102905","850102904","850010291","850102901","850102903","229"
"0","0","0","850010301","850103001","0","230"
"850103102","850103105","850103104","850010311","850103101","850103103","231"
"850103202","850103205","850103204","850010321","850103201","850103203","232"
"850103302","850103305","850103304","850010331","850103301","850103303","233"
"850103402","850103405","850103404","850010341","850103401","850103403","234"
"850103502","850103505","850103504","850010351","850103501","850103503","235"
"850103602","850103605","850103604","850010361","850103601","850103603","236"
"850103702","850103705","850103704","850010371","850103701","850103703","237"
"850103802","850103805","850103804","850010381","850103801","850103803","238"
"850103902","850103905","850103904","850010391","850103901","850103903","239"
"0","0","0","850010401","850104001","0","240"
"850104102","850104105","850104104","850010411","850104101","850104103","241"
"850104202","850104205","850104204","850010421","850104201","850104203","242"
"850104302","850104305","850104304","850010431","850104301","850104303","243"
"850104402","850104405","850104404","850010441","850104401","850104403","244"
"850104502","850104505","850104504","850010451","850104501","850104503","245"
"850104602","850104605","850104604","850010461","850104601","850104603","246"
"850104702","850104705","850104704","850010471","850104701","850104703","247"
"850104802","850104805","850104804","850010481","850104801","850104803","248"
"850104902","850104905","850104904","850010491","850104901","850104903","249"
"0","0","0","850010501","850105001","0","250"
