2fd639571b1806b34b3aa08fa7918ea9a08ee27ea4bbf1a81b2e3fd2e9cce682,0cbe21f742d19c506656d1bcf8806ea38a03d1094d2140c9161a3a36da4625b0,d3506ec8f4454352fcfb00b4325d12bc12a7968b52c2a4321dae52939f9465e0,05f9b4b6ad1ff548d062859c64eb3ed335f39e35ae60e128781f89f53f77649b,6a867f9f6948d337423ad6eeeb026a593fcedbb7e93ca96b8efcfde8fda31d85,62077d51eb7b7786ef555ea3ec434b71bc6edbabfec41f328dc83b137df36534,01da65ab0519606124a01987817c256937571882c2274286de8b69ae0beee9ec,27e66fa5e49ec75789236b3adeff40a3938959a9c1a6dcc4442f4f306d377a4b,8ac5561436d3ac35f83d214f19484d30c2f5c39e50cd83920a8ebbbb95a40e8e,9b4c921cfdcf4233aa47fc2714b5d0e3a936a46d27401192b629fb4ffad2e350,11b5ddb64413e0f142276d1136865e4c5273cf0549d96b2430a526a2e297e250,592a12e1a848f4d92a483a53e0964bc72c3c2316848c5cd872882f1b6317fe9a
"2","0","0","0","0","39","0","vo_minigame_1005_nikki04_005","0","4","vo_minigame_1005","1040039"
"1","0.74","0","9","151","40","0","0","0","4","0","1040040"
"4","0","1.731","0","0","41","0","0","1","4","0","1040041"
"2","0","0","0","0","42","0","vo_minigame_1005_nikki04_006","0","4","vo_minigame_1005","1040042"
"1","1.937","0","10","278","43","0","0","0","4","0","1040043"
"4","0","2.435","0","0","44","0","0","1","4","0","1040044"
"1","0.822","0","11","126","45","0","0","0","4","0","1040045"
"4","0","1.376","0","0","46","0","0","1","4","0","1040046"
"1","0.576","0","11","199","47","126","0","0","4","0","1040047"
"4","0","0.923","0","0","48","0","0","1","4","0","1040048"
"1","0.785","0","11","353","49","199","0","0","4","0","1040049"
"4","0","2.285","0","0","50","0","0","1","4","0","1040050"
"4","0","1","0","0","1","0","0","3","5","0","1050001"
"2","0","0","0","0","2","0","vo_minigame_1005_nikki05_000","0","5","vo_minigame_1005","1050002"
"1","1.419","0","1","183","3","0","0","0","5","0","1050003"
"4","0","1.662","0","0","4","0","0","1","5","0","1050004"
"1","1.614","0","2","265","5","0","0","0","5","0","1050005"
"4","0","2.394","0","0","6","0","0","1","5","0","1050006"
"2","0","0","0","0","7","0","vo_minigame_1005_nikki05_001","0","5","vo_minigame_1005","1050007"
"1","2.658","0","3","394","8","0","0","0","5","0","1050008"
"4","0","3.202","0","0","9","0","0","1","5","0","1050009"
"2","0","0","0","0","10","0","vo_minigame_1005_nikki05_002","0","5","vo_minigame_1005","1050010"
"1","1.745","0","4","298","11","0","0","0","5","0","1050011"
"4","0","2.545","0","0","12","0","0","1","5","0","1050012"
"2","0","0","0","0","13","0","vo_minigame_1005_nikki05_003","0","5","vo_minigame_1005","1050013"
"1","0.964","0","5","115","14","0","0","0","5","0","1050014"
"4","0","1.34","0","0","15","0","0","1","5","0","1050015"
"1","1.919","0","5","394","16","115","0","0","5","0","1050016"
"4","0","2.719","0","0","17","0","0","1","5","0","1050017"
"2","0","0","0","0","18","0","vo_minigame_1005_nikki05_004","0","5","vo_minigame_1005","1050018"
"1","0.434","0","6","60","19","0","0","0","5","0","1050019"
"4","0","0.903","0","0","20","0","0","1","5","0","1050020"
"1","1.262","0","6","250","21","60","0","0","5","0","1050021"
"4","0","1.758","0","0","22","0","0","1","5","0","1050022"
"1","2.473","0","7","309","23","0","0","0","5","0","1050023"
"4","0","3.315","0","0","24","0","0","1","5","0","1050024"
"2","0","0","0","0","25","0","vo_minigame_1005_nikki05_005","0","5","vo_minigame_1005","1050025"
"1","0.509","0","8","82","26","0","0","0","5","0","1050026"
"4","0","0.988","0","0","27","0","0","1","5","0","1050027"
"1","1.775","0","8","364","28","82","0","0","5","0","1050028"
"4","0","2.507","0","0","29","0","0","1","5","0","1050029"
"2","0","0","0","0","30","0","vo_minigame_1005_nikki05_006","0","5","vo_minigame_1005","1050030"
"1","1.139","0","9","201","31","0","0","0","5","0","1050031"
"4","0","2.066","0","0","32","0","0","1","5","0","1050032"
"2","0","0","0","0","33","0","vo_minigame_1005_nikki05_007","0","5","vo_minigame_1005","1050033"
"1","0.665","0","10","94","34","0","0","0","5","0","1050034"
"4","0","1.144","0","0","35","0","0","1","5","0","1050035"
"1","1.389","0","10","271","36","94","0","0","5","0","1050036"
"4","0","1.789","0","0","37","0","0","1","5","0","1050037"
"1","0.823","0","10","376","38","271","0","0","5","0","1050038"
"4","0","2.023","0","0","39","0","0","1","5","0","1050039"
