13924a3a825784d6e1563b96e1f269b3b39eca6fed7c26fe6bcf64e13527cb2b,1872a4b047990565301cbe39f33be0c4d8154c3f9074ac3eb5c73a087be610b6,0b977135ae06ea6d0ecc2a68f30b47dbf64237c5b240254224682a66eded34ce,74d4bf5dc227c88edfb8d4e215ae48868ee2dd3a47d9af4964fbc132524c2af9,5c649b36111aa319cd5de5b1fa1b1a33dd8e3559ff5afa971c8e049c9671e9bd,73a810dbadd5cd25cb2bd8c2f03ecc8debf96d85f5c866c81e3fa2b6d7da5539,de60b55277820caf81cb9977b2dac9d0a294498cd3f1f0c16869c55cdb33b4c7,959d49e6efe9d600f1a0fe8cee5082728e38dcc5dc3d215682258b5f3ec78188,15e6de0a8cf9d94c0c763238aeebd0eef5253a1d3281db6f3f433b84db8d0b2f,0849622923dbd9dc68b0809bc6a78662a51699a9ae06417f5d865ab7e21b1159,961410978fc3eb8503f0529e5392d99245e67c1620b899d1c40a092099420efa
"","3","4814","0.2","1","wac_birthday_reaction_01","103611","0","wac_birthday_reaction_04","4814020","0.2"
"","93","4814","","","","0.3","","","4814021",""
"","3","4814","0.2","","wac_birthday_run_01","102011","1","","4814022",""
"","2","4814","","","0","102011","-70","3","4814023",""
"","93","4814","","","","2.5","","","4814024",""
"","32","4814","","","1","602","","","4814025",""
"","93","4814","","","","0.6","","","4814026",""
"","32","4814","","","0","600","","","4814027",""
"","32","4814","","","0","611","","","4814028",""
"","32","4814","","","0","604","","","4814029",""
"","32","4814","","","1","701","","","4814030",""
"","33","4814","","","0","901","0","0.01","4814031",""
"","3","4814","0.2","1","wac_birthday_blowout_02","102011","0","wac_birthday_wish_02","4814032","0.2"
"","2","4814","","","-200","102011","-330","0.01","4814033",""
"","3","4814","0.2","","wac_birthday_idle_doya","103611","1","","4814034",""
"","2","4814","","","180","103611","-320","0.01","4814035",""
"","3","4814","0.2","","wac_birthday_idle_kyapi","100411","1","","4814036",""
"","2","4814","","","320","100411","-340","0.01","4814037",""
"","93","4814","","","","0","","","4814038",""
"","32","4814","","","1","800","","","4814039",""
"","93","4814","","","","0.7","","","4814040",""
"","32","4814","","","1","702","","","4814041",""
"","93","4814","","","","0.5","","","4814042",""
"","23","4814","","","se_sys_login_birthday_blow_candle","se_common","0","","4814043",""
"","32","4814","","","0","701","","","4814044",""
"","93","4814","","","","0.4","","","4814045",""
"","23","4814","","","se_sys_login_birthday_cracker","se_common","0","","4814046",""
"","32","4814","","","1","700","","","4814047",""
"","23","4814","","","se_sys_login_birthday_calendar_applause","se_common","0","","4814048",""
"","3","4814","0.2","1","wac_birthday_clap","103611","0","wac_birthday_idle_doya","4814049","0.2"
"","93","4814","","","","0.1","","","4814050",""
"","3","4814","0.2","1","wac_birthday_clap","100411","0","wac_birthday_idle_kyapi","4814051","0.2"
"","93","4814","","","","2","","","4814052",""
"","131","4814","","","","1","","","4814053",""
"","21","4814","","","vo_wac_04814_000","vo_wac_04814","0","0","4814054",""
"0.5","11","4814","0","1","わあ～、ケーキだ～！\nお店屋さんで売ってるのより\nおっきい……！　すごいすごい♪","102011","10","1","4814055","0"
"","91","4814","","","","0","","","4814056",""
"","3","4814","0.2","","wac_birthday_idle_smile","102011","1","","4814057",""
"","3","4814","0.2","","wac_birthday_talk_doya","103611","1","","4814058",""
"","21","4814","","","vo_wac_04814_001","vo_wac_04814","0","0","4814059",""
"0.5","11","4814","0","1","こっそり作っておいたの！\nミソギがイタズラしてきて\n大変だったけど……\nミミ、お誕生日おめでとう♪","103611","10","1","4814060","0"
"","91","4814","","","","0","","","4814061",""
"","3","4814","0.2","","wac_birthday_idle_doya","103611","1","","4814062",""
"","3","4814","0.2","","wac_birthday_talk_smile","102011","1","","4814063",""
"","21","4814","","","vo_wac_04814_002","vo_wac_04814","0","0","4814064",""
"0.5","11","4814","0","1","えへへ、ふたりともありがとう～\nおとうさんとおかあさん、みんなからも\nケーキがもらえるなんて夢みたい……","102011","10","1","4814065","0"
"","91","4814","","","","0","","","4814066",""
"","3","4814","0.2","","wac_birthday_talk_kyapi","102011","1","","4814067",""
"","21","4814","","","vo_wac_04814_003","vo_wac_04814","0","0","4814068",""
"0.5","11","4814","0","1","ミミ、とっても幸せだよ～♪\nおにいちゃんもありがとう！\nみんなのお誕生日がきたら、ミミも\nぜ～ったいおいわいするからね♪","102011","10","1","4814069","0"
"","91","4814","","","","0","","","4814070",""
"","22","4814","","","","0","","","4814071",""
"","25","5014","","","bgm_M321_2C","bgm_M321","","","5014001",""
"wac_birthday_idle_normal","1","5014","2","-70","100211","1","250","-1000","5014002","0"
"wac_birthday_idle_normal","1","5014","2","-270","100311","1","256","230","5014003","1"
"wac_birthday_idle_smile","1","5014","2","-310","100111","1","257","410","5014004","1"
"","13","5014","","","300","100211","","","5014005",""
"","13","5014","","","300","100311","","","5014006",""
"","31","5014","1","1","600","600","0","0","5014007",""
"","31","5014","0","1","602","602","0","0","5014008",""
"","31","5014","0","1","603","603","0","0","5014009",""
"","31","5014","1","1","604","604","30","60","5014010",""
"","31","5014","1","1","611","611","0","0","5014011",""
"","31","5014","0","1","700","700","0","0","5014012",""
"","31","5014","0","1","701","701","0","0","5014013",""
"","31","5014","0","1","702","702","0","0","5014014",""
"","31","5014","0","1","800","800","0","0","5014015",""
"","31","5014","1","1","902","902","30","60","5014016",""
"","93","5014","","","","1","","","5014017",""
"","3","5014","0.2","1","wac_birthday_reaction_02","100111","0","wac_birthday_reaction_03","5014018","0.2"
"","93","5014","","","","0.1","","","5014019",""
"","3","5014","0.2","1","wac_birthday_reaction_01","100311","0","wac_birthday_reaction_04","5014020","0.2"
"","93","5014","","","","0.3","","","5014021",""
"","3","5014","0.2","","wac_birthday_run_01","100211","1","","5014022",""
"","2","5014","","","0","100211","-70","3","5014023",""
"","93","5014","","","","2.5","","","5014024",""
"","32","5014","","","1","602","","","5014025",""
"","93","5014","","","","0.6","","","5014026",""
"","32","5014","","","0","600","","","5014027",""
"","32","5014","","","0","611","","","5014028",""
"","32","5014","","","0","604","","","5014029",""
"","32","5014","","","1","701","","","5014030",""
"","33","5014","","","0","902","0","0.01","5014031",""
"","3","5014","0.2","1","wac_birthday_blowout_01","100211","0","wac_birthday_wish_04","5014032","0.2"
"","2","5014","","","-200","100211","-330","0.01","5014033",""
"","3","5014","0.2","","wac_birthday_idle_normal","100311","1","","5014034",""
"","2","5014","","","180","100311","-320","0.01","5014035",""
"","3","5014","0.2","","wac_birthday_idle_smile","100111","1","","5014036",""
"","2","5014","","","320","100111","-340","0.01","5014037",""
"","93","5014","","","","0","","","5014038",""
"","32","5014","","","1","800","","","5014039",""
"","93","5014","","","","0.7","","","5014040",""
"","32","5014","","","1","702","","","5014041",""
"","93","5014","","","","0.5","","","5014042",""
"","23","5014","","","se_sys_login_birthday_blow_candle","se_common","0","","5014043",""
"","32","5014","","","0","701","","","5014044",""
"","93","5014","","","","0.4","","","5014045",""
"","23","5014","","","se_sys_login_birthday_cracker","se_common","0","","5014046",""
"","32","5014","","","1","700","","","5014047",""
"","23","5014","","","se_sys_login_birthday_calendar_applause","se_common","0","","5014048",""
"","3","5014","0.2","1","wac_birthday_clap","100311","0","wac_birthday_idle_normal","5014049","0.2"
"","93","5014","","","","0.1","","","5014050",""
"","3","5014","0.2","1","wac_birthday_clap","100111","0","wac_birthday_idle_smile","5014051","0.2"
"","93","5014","","","","2","","","5014052",""
"","131","5014","","","","1","","","5014053",""
"","21","5014","","","vo_wac_05014_000","vo_wac_05014","0","0","5014054",""
"0.5","11","5014","0","1","この誕生日ケーキ、わたしにっ！？\nあっ、ありがとう……！\n……もしかしてこれ、\nふたりで手作りしてくれたの？","100211","10","1","5014055","0"
"","91","5014","","","","0","","","5014056",""
"","3","5014","0.2","","wac_birthday_idle_wish","100211","1","","5014057",""
"","3","5014","0.2","","wac_birthday_talk_normal","100311","1","","5014058",""
"","21","5014","","","vo_wac_05014_001","vo_wac_05014","0","0","5014059",""
"0.5","11","5014","0","1","うん。私とヒヨリで作ったんだ。\nユイにはいつだって助けられてるから\nせめてものお返しだよ。\n……誕生日おめでとう。ユイ。","100311","10","1","5014060","0"
"","91","5014","","","","0","","","5014061",""
"","3","5014","0.2","","wac_birthday_idle_normal","100311","1","","5014062",""
"","3","5014","0.2","","wac_birthday_talk_sad","100211","1","","5014063",""
"","21","5014","","","vo_wac_05014_002","vo_wac_05014","0","0","5014064",""
"0.5","11","5014","0","1","そ、そんな……わたしだって、いつも\n助けられてばっかりで……ご、ごめん！\nせっかくお祝いしてもらってるのに\nうれしくて泣いちゃいそう……！","100211","10","1","5014065","0"
"","91","5014","","","","0","","","5014066",""
"","3","5014","0.2","","wac_birthday_talk_smile","100211","1","","5014067",""
"","21","5014","","","vo_wac_05014_003","vo_wac_05014","0","0","5014068",""
"0.5","11","5014","0","1","騎士クンも、本当にありがとうね。\nみんなに祝福してもらえて\nわたし、最高に幸せだよ……！\n大事に味わって食べるね！","100211","10","1","5014069","0"
"","91","5014","","","","0","","","5014070",""
"","22","5014","","","","0","","","5014071",""
"","25","5214","","","bgm_M321_2C","bgm_M321","","","5214001",""
"wac_birthday_idle_normal","1","5214","2","-70","105511","1","250","-1000","5214002","0"
"wac_birthday_idle_doya","1","5214","2","-260","105311","1","256","170","5214003","1"
"wac_birthday_idle_normal","1","5214","2","-310","104511","1","259","270","5214004","1"
"wac_birthday_idle_wish","1","5214","2","-270","100811","1","257","410","5214005","1"
"wac_birthday_idle_kyapi","1","5214","2","-310","103011","1","258","510","5214006","1"
"","13","5214","","","300","105511","","","5214007",""
"","13","5214","","","300","105311","","","5214008",""
"","31","5214","1","1","600","600","0","0","5214009",""
"","31","5214","0","1","602","602","0","0","5214010",""
"","31","5214","0","1","603","603","0","0","5214011",""
"","31","5214","1","1","604","604","30","60","5214012",""
"","31","5214","1","1","611","611","0","0","5214013",""
"","31","5214","0","1","700","700","0","0","5214014",""
"","31","5214","0","1","701","701","0","0","5214015",""
"","31","5214","0","1","702","702","0","0","5214016",""
"","31","5214","0","1","800","800","0","0","5214017",""
"","31","5214","1","1","903","903","30","60","5214018",""
"","93","5214","","","","1","","","5214019",""
"","3","5214","0.2","1","wac_birthday_reaction_05","104511","0","wac_birthday_reaction_03","5214020","0.2"
"","3","5214","0.2","1","wac_birthday_reaction_01","105311","0","wac_birthday_reaction_03","5214021","0.2"
"","93","5214","","","","0.1","","","5214022",""
"","3","5214","0.2","1","wac_birthday_reaction_01","100811","0","wac_birthday_reaction_04","5214023","0.2"
"","3","5214","0.2","1","wac_birthday_reaction_02","103011","0","wac_birthday_reaction_03","5214024","0.2"
"","93","5214","","","","0.3","","","5214025",""
"","3","5214","0.2","","wac_birthday_run_01","105511","1","","5214026",""
"","2","5214","","","0","105511","-70","3","5214027",""
"","93","5214","","","","2.5","","","5214028",""
"","32","5214","","","1","602","","","5214029",""
"","93","5214","","","","0.6","","","5214030",""
"","32","5214","","","0","600","","","5214031",""
"","32","5214","","","0","611","","","5214032",""
"","32","5214","","","0","604","","","5214033",""
"","32","5214","","","1","701","","","5214034",""
"","33","5214","","","0","903","0","0.01","5214035",""
"","3","5214","0.2","1","wac_birthday_blowout_03","105511","0","wac_birthday_wish_04","5214036","0.2"
"","2","5214","","","-200","105511","-330","0.01","5214037",""
"","3","5214","0.2","","wac_birthday_idle_doya","105311","1","","5214038",""
"","2","5214","","","150","105311","-320","0.01","5214039",""
"","3","5214","0.2","","wac_birthday_idle_normal","104511","1","","5214040",""
"","2","5214","","","260","104511","-360","0.01","5214041",""
"","3","5214","0.2","","wac_birthday_idle_wish","100811","1","","5214042",""
"","2","5214","","","400","100811","-320","0.01","5214043",""
"","3","5214","0.2","","wac_birthday_idle_kyapi","103011","1","","5214044",""
"","2","5214","","","500","103011","-340","0.01","5214045",""
"","93","5214","","","","0","","","5214046",""
"","32","5214","","","1","800","","","5214047",""
"","93","5214","","","","0.7","","","5214048",""
"","32","5214","","","1","702","","","5214049",""
"","93","5214","","","","0.5","","","5214050",""
"","23","5214","","","se_sys_login_birthday_blow_candle","se_common","0","","5214051",""
"","32","5214","","","0","701","","","5214052",""
"","93","5214","","","","0.4","","","5214053",""
"","23","5214","","","se_sys_login_birthday_cracker","se_common","0","","5214054",""
"","32","5214","","","1","700","","","5214055",""
"","23","5214","","","se_sys_login_birthday_calendar_applause","se_common","0","","5214056",""
"","3","5214","0.2","1","wac_birthday_clap","105311","0","wac_birthday_idle_doya","5214057","0.2"
"","3","5214","0.2","1","wac_birthday_clap_to_wish","100811","0","wac_birthday_idle_wish","5214058","0.2"
"","93","5214","","","","0.1","","","5214059",""
"","3","5214","0.2","1","wac_birthday_clap","104511","0","wac_birthday_idle_normal","5214060","0.2"
"","93","5214","","","","0.1","","","5214061",""
"","3","5214","0.2","1","wac_birthday_clap","103011","0","wac_birthday_idle_kyapi","5214062","0.2"
"","93","5214","","","","2","","","5214063",""
"","131","5214","","","","1","","","5214064",""
"","21","5214","","","vo_wac_05214_000","vo_wac_05214","0","0","5214065",""
"0.5","11","5214","0","1","わぁ、お誕生日ケーキですか？\nおめでとうございます～\nいったい誰の……えっ、わ、私！？\n誕生日、覚えててくれたんですか……？","105511","10","1","5214066","0"
"","91","5214","","","","0","","","5214067",""
"","3","5214","0.2","","wac_birthday_idle_wish","105511","1","","5214068",""
"","3","5214","0.2","","wac_birthday_talk_smile","105311","1","","5214069",""
"","21","5214","","","vo_wac_05214_001","vo_wac_05214","0","0","5214070",""
"0.5","11","5214","0","1","忘れるはずがないだろう！\nアユミは我がギルドの数少ない良心……\nいや、重要な存在なのだからな！\n盛大に祝福させてくれ！　おめでとう！","105311","10","1","5214071","0"
"","91","5214","","","","0","","","5214072",""
"","3","5214","0.2","","wac_birthday_idle_doya","105311","1","","5214073",""
"","3","5214","0.2","","wac_birthday_talk_wish","105511","1","","5214074",""
"","21","5214","","","vo_wac_05214_002","vo_wac_05214","0","0","5214075",""
"0.5","11","5214","0","1","え、えっと……\nこれ、夢じゃないですよね？\nほっぺをつねっても……いひゃい！\nやっぱり夢じゃないれす！","105511","10","1","5214076","0"
"","91","5214","","","","0","","","5214077",""
"","3","5214","0.2","","wac_birthday_talk_smile","105511","1","","5214078",""
"","21","5214","","","vo_wac_05214_003","vo_wac_05214","0","0","5214079",""
"0.5","11","5214","0","1","うぅっ……あっ、ありがとうございます！\n先輩にもお祝いしてもらえて\nとってもうれしいです！\nえへへ、大切にいただきますね……♪","105511","10","1","5214080","0"
"","91","5214","","","","0","","","5214081",""
"","22","5214","","","","0","","","5214082",""
"","25","5514","","","bgm_M321_2C","bgm_M321","","","5514001",""
"wac_birthday_idle_normal","1","5514","2","-70","101611","1","250","-1000","5514002","0"
"wac_birthday_idle_normal","1","5514","2","-270","105011","1","256","230","5514003","1"
"wac_birthday_idle_smile","1","5514","2","-310","101811","1","257","410","5514004","1"
"","13","5514","","","300","101611","","","5514005",""
"","13","5514","","","300","105011","","","5514006",""
"","31","5514","1","1","600","600","0","0","5514007",""
"","31","5514","0","1","602","602","0","0","5514008",""
"","31","5514","0","1","603","603","0","0","5514009",""
"","31","5514","1","1","604","604","30","60","5514010",""
"","31","5514","1","1","611","611","0","0","5514011",""
"","31","5514","0","1","700","700","0","0","5514012",""
"","31","5514","0","1","701","701","0","0","5514013",""
"","31","5514","0","1","702","702","0","0","5514014",""
"","31","5514","0","1","800","800","0","0","5514015",""
"","31","5514","1","1","904","904","30","60","5514016",""
"","93","5514","","","","1","","","5514017",""
"","3","5514","0.2","1","wac_birthday_reaction_01","101811","0","wac_birthday_reaction_04","5514018","0.2"
"","93","5514","","","","0.1","","","5514019",""
"","3","5514","0.2","1","wac_birthday_reaction_05","105011","0","wac_birthday_reaction_03","5514020","0.2"
"","93","5514","","","","0.3","","","5514021",""
"","3","5514","0.2","","wac_birthday_run_01","101611","1","","5514022",""
"","2","5514","","","0","101611","-70","3","5514023",""
"","93","5514","","","","2.5","","","5514024",""
"","32","5514","","","1","602","","","5514025",""
"","93","5514","","","","0.6","","","5514026",""
"","32","5514","","","0","600","","","5514027",""
"","32","5514","","","0","611","","","5514028",""
"","32","5514","","","0","604","","","5514029",""
"","32","5514","","","1","701","","","5514030",""
"","33","5514","","","0","904","0","0.01","5514031",""
"","3","5514","0.2","1","wac_birthday_blowout_02","101611","0","wac_birthday_wish_03","5514032","0.2"
"","2","5514","","","-200","101611","-330","0.01","5514033",""
"","3","5514","0.2","","wac_birthday_idle_smile","105011","1","","5514034",""
"","2","5514","","","180","105011","-320","0.01","5514035",""
"","3","5514","0.2","","wac_birthday_idle_wish","101811","1","","5514036",""
"","2","5514","","","320","101811","-340","0.01","5514037",""
"","93","5514","","","","0","","","5514038",""
"","32","5514","","","1","800","","","5514039",""
"","93","5514","","","","0.7","","","5514040",""
"","32","5514","","","1","702","","","5514041",""
"","93","5514","","","","0.5","","","5514042",""
"","23","5514","","","se_sys_login_birthday_blow_candle","se_common","0","","5514043",""
"","32","5514","","","0","701","","","5514044",""
"","93","5514","","","","0.4","","","5514045",""
"","23","5514","","","se_sys_login_birthday_cracker","se_common","0","","5514046",""
"","32","5514","","","1","700","","","5514047",""
"","23","5514","","","se_sys_login_birthday_calendar_applause","se_common","0","","5514048",""
"","3","5514","0.2","1","wac_birthday_clap","105011","0","wac_birthday_idle_smile","5514049","0.2"
"","93","5514","","","","0.1","","","5514050",""
"","3","5514","0.2","1","wac_birthday_clap_to_wish","101811","0","wac_birthday_idle_wish","5514051","0.2"
"","93","5514","","","","2","","","5514052",""
"","131","5514","","","","1","","","5514053",""
"","21","5514","","","vo_wac_05514_000","vo_wac_05514","0","0","5514054",""
"0.5","11","5514","0","1","わわ、これってうちの誕生日ケーキ？\nこんなのあるなんて聞いてないし～！\nオニ感激なんだけど！？","101611","10","1","5514055","0"
"","91","5514","","","","0","","","5514056",""
"","3","5514","0.2","","wac_birthday_idle_kyapi","101611","1","","5514057",""
"","3","5514","0.2","","wac_birthday_talk_smile","105011","1","","5514058",""
"","21","5514","","","vo_wac_05514_001","vo_wac_05514","0","0","5514059",""
"0.5","11","5514","0","1","フフン、感謝しなさいよね～\nアタシとイオちゃんで徹夜して作っ……いや！\n大して苦労はしなかったけど！\nえっと……誕生日おめでと、スズナ。","105011","10","1","5514060","0"
"","91","5514","","","","0","","","5514061",""
"","3","5514","0.2","","wac_birthday_idle_smile","105011","1","","5514062",""
"","3","5514","0.2","","wac_birthday_talk_smile","101611","1","","5514063",""
"","21","5514","","","vo_wac_05514_002","vo_wac_05514","0","0","5514064",""
"0.5","11","5514","0","1","あはは、うん、ありがとっ！\nそれでミサキっちとちゃんイオ\n朝から甘～い匂いしてたんだね～","101611","10","1","5514065","0"
"","91","5514","","","","0","","","5514066",""
"","3","5514","0.2","","wac_birthday_talk_kyapi","101611","1","","5514067",""
"","21","5514","","","vo_wac_05514_003","vo_wac_05514","0","0","5514068",""
"0.5","11","5514","0","1","やっぱ持つべきものは\n友達だし……♪\nよーし、みんなでパーティーしよー！\nもちヒデサイも一緒だからね！","101611","10","1","5514069","0"
"","91","5514","","","","0","","","5514070",""
"","22","5514","","","","0","","","5514071",""
"","25","6214","","","bgm_M321_2C","bgm_M321","","","6214001",""
"wac_birthday_idle_normal","1","6214","2","-70","106731","1","250","-1000","6214002","0"
"wac_birthday_idle_doya","1","6214","2","-270","106611","1","256","230","6214003","1"
"wac_birthday_idle_normal","1","6214","2","-310","106511","1","257","410","6214004","1"
"","13","6214","","","300","106731","","","6214005",""
"","13","6214","","","300","106611","","","6214006",""
"","31","6214","1","1","600","600","0","0","6214007",""
"","31","6214","0","1","602","602","0","0","6214008",""
"","31","6214","0","1","603","603","0","0","6214009",""
"","31","6214","1","1","604","604","30","60","6214010",""
"","31","6214","1","1","611","611","0","0","6214011",""
"","31","6214","0","1","700","700","0","0","6214012",""
"","31","6214","0","1","701","701","0","0","6214013",""
"","31","6214","0","1","702","702","0","0","6214014",""
"","31","6214","0","1","800","800","0","0","6214015",""
"","31","6214","1","1","905","905","30","60","6214016",""
"","93","6214","","","","1","","","6214017",""
"","3","6214","0.2","1","wac_birthday_reaction_02","106511","0","wac_birthday_reaction_03","6214018","0.2"
"","93","6214","","","","0.1","","","6214019",""
"","3","6214","0.2","1","wac_birthday_reaction_01","106611","0","wac_birthday_reaction_03","6214020","0.2"
"","93","6214","","","","0.3","","","6214021",""
"","3","6214","0.2","","wac_birthday_run_01","106731","1","","6214022",""
"","2","6214","","","0","106731","-70","3","6214023",""
"","93","6214","","","","2.5","","","6214024",""
"","32","6214","","","1","602","","","6214025",""
"","93","6214","","","","0.6","","","6214026",""
"","32","6214","","","0","600","","","6214027",""
"","32","6214","","","0","611","","","6214028",""
