1c83232aa065f278877f684ad88e92842336fe56ab0e8753cf7580365ed23d2b,6b7d86639696f0a45db1c213d8561eb680bf9cee830a817f40c1bbb9857d14a0,5340af5c6da22205ebfb719e09c05fd21582a08db303257d16da2980710adc11,1752974406ea795057f16feb2ecc602eef513d1216d088137ce35b420c1df6b4,a614b3a9b7979772b08b21b55028454492b96bd067ae51e18497b31a86d4c687,bae405e4fe4f4332e72eea773c49b64a74748578b257b71e58f1792a0efdd114,61e369a8a7b6d9f2f8ab505705f5a8124272c0f672c35c6320395e311c5cb1e5,60bdeed774e1e84bc3aedba3fe9dbaeb2fcf097f4cf822c133bb8a985da7a801,c47c8ed81faebd962c5f864423d050fec6be92b89de2e7356d7c79490f686b2a
"新世代の","1","1","0","3","0","118","3","2"
"栄えある","1","1","0","3","0","119","3","2"
"異彩を放つ","1","1","0","3","0","120","3","2"
"いぶし銀の","1","1","0","3","0","121","3","2"
"天下の","1","1","0","3","0","122","3","2"
"レッツゴー","0","1","0","3","0","123","3","2"
"グッド","0","1","0","3","0","124","3","2"
"ホップ・ステップ・","0","1","1","3","0","125","3","2"
"伸びしろのある","0","1","2","3","0","126","3","2"
"ブロンズメダル","0","1","2","3","0","127","3","2"
"期待の","0","1","0","3","0","128","3","2"
"ジャンピング","0","1","2","3","0","129","3","2"
"新時代の","0","1","0","3","0","130","3","2"
"知る人ぞ知る","0","1","2","3","0","131","3","2"
