f3fef44affc7f27919ab0acb5a136ad44e218fcb4ef3dcb7f245c24931768ad0,50c725a8387b1ac778a6a0205462efe2885a1a449b219f8ca056d299e484e0f2,6bf4bd30a901cbf5892542c5e9a597e1e86ea7195b55f0a22a197cf4547c6701,e0f052c13f89c551c7df267d16d155dc9e1fa44f3e55d0f2eb42fbbdb66b9768,f84457148022885ae58aa48c15ab15e4281eee29bbc0e60bed6e13a7c7e40c6d,fdd89bb3a2580e2d8991a08e691b5e4f54c443e6029103fafcff374ac4e789ca,021fbc6f721ceae6a1231a695f510e6596be9ec8cdc06babf8aefce6a76a7fd4,7538ed11cd7e84391b701490d0be7daabc7a639097934dcce17baec8aa70f0d9,9b254b864b9c2413311115eda14d64b9f088da0979267c5512c50769de59fa7e,417bb4cd12a7b0be76396fd19a99b1c0c4cf529e85f6b5c8d862982fb56a106d,e59563454563bdb0397e935a43b54ffb8c5cbf7ca9d815626608ab33faeb819f,2500cfa072fd1311dada9bd0842c28658f6bb9a93f5cc7c8ec54abfe53656947,8feeb0ed7dc15375fac4ca7cdbc779d6774bee822f2b8e5011b9b2c9ebac3c7b,a3cc9ed946a3531edaadd8ed7f3b9a72eb4dc233ec016dd75a7276757b104d90
"1011501","0.84","10","1","10115101","0","10115","0.03","1","100000","-25","0.92","-50","-13"
"1011501","0.7","0","0","0","0","10115","0","2","100000","-25","0.8","-50","13"
"1011502","0.84","10","1","10115201","0","10115","0.03","1","100000","-25","0.92","-50","-13"
"1011502","0.7","0","0","0","0","10115","0","2","100000","-25","0.8","-50","13"
"1011503","0.84","10","1","10115301","0","10115","0.03","1","100000","-25","0.92","-50","-13"
"1011503","0.7","0","0","0","0","10115","0","2","100000","-25","0.8","-50","13"
"1011504","0.7","10","1","10115401","0","10115","0.03","1","100000","-30","0.92","-50","-17"
"1011504","0.6","0","0","0","0","10115","0","2","100000","-30","0.8","-50","30"
"1011505","0.7","10","1","0","0","10115","0.03","1","100000","-30","0.92","-50","-17"
"1011505","0.6","0","0","0","0","10115","0","2","100000","-30","0.8","-50","30"
"2004801","0.84","10","1","0","0","20048","0.03","1","100000","-25","0.92","-50","-13"
"2004801","0.7","0","0","0","0","20048","0","2","100000","-25","0.8","-50","13"
"2004802","0.84","10","1","0","0","20048","0.03","1","100000","-25","0.92","-50","-13"
"2004802","0.7","0","0","0","0","20048","0","2","100000","-25","0.8","-50","13"
"2004803","0.84","10","1","0","0","20048","0.03","1","100000","-25","0.92","-50","-13"
"2004803","0.7","0","0","0","0","20048","0","2","100000","-25","0.8","-50","13"
