3612e2ac627b58403492a56de9892ec93a4c2991c2c62b5c32165ed4ecbacece,2209f7e5606d0d27e176959d1e01a8d42e9e0c5d0ce4a8ff3ebd13a8a8815d81,dac29008328f87dbe2e179cbdfcb354199ac0bc8f5628abc1505fc5675b92045,07f1a4346edb0c441d187c3fa906a4c85a8058f8c2c742cd0fd4c52662a57acc,47a98c503fd8dd567ea024d781e83c86931348b482b91488e3994257576e26c8,aeab7289d439de61f2466ace51dd141324714307f7e128f5615cd47cd55a2896,5c550fbfa22b00f77db9c5f8a7acfcd342cdf60461c2de98279a65f90c319c20,28ef18e9d44f0c090869ec66fbe818a1696d0abfd9c0dd9e240b7a78ff352dbc
"srt_kaya_react_2,srt_kaya_waiting","1","srt_inori_select_2,srt_inori_idle","correct_030-correct_031,correct_035-correct_036","PLAYER_SELECT_PRECONNE2","","srt_dragon_select_2,srt_dragon_idle","ひらめいたです！\n「{0}」ですね！"
"","-1","","","PLAYER_SELECT_WAIT","","",""
"srt_kaya_react_3,srt_kaya_waiting","1","srt_inori_miss,srt_inori_thinking","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046","PLAYER_MISS","","srt_dragon_miss,srt_dragon_thinking","はうっ！ま、間違ったです…"
"srt_kaya_react_4","2","srt_inori_shock","out_070","PLAYER_SELECT_N","","","おいおい、「ん」がついてるじゃねえか……"
"srt_kaya_infever","1","srt_inori_thinking","rush","INFEVER","","srt_dragon_thinking","どんどんいくですよ！"
"","1","srt_inori_select_1","correct_028-correct_029,correct_037-correct_038","FEVER_SELECT1","","srt_dragon_select_1","「{0}」です！"
"","1","srt_inori_select_2","correct_030-correct_031,correct_035-correct_036","FEVER_SELECT2","","srt_dragon_select_2","「{0}」ですね！"
"","1","srt_inori_miss","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048","FEVER_MISS","","srt_dragon_miss","はうっ！ま、間違ったです…"
"srt_kaya_fever_damage","1","srt_inori_fever_attack","rush_attack","FEVER_DAMAGE","","srt_dragon_fever_attack","覚悟するです！"
"srt_kaya_lose","1","srt_inori_win_1","win_005-win_006,win_012-win_013","WIN_HP","","srt_dragon_win","あたしたちの勝ちですよ！！"
"","1","srt_inori_win_1","win_005-win_006,win_012-win_013","WIN_N","","srt_dragon_win","あたしたちの勝ちですよ！！"
"srt_kaya_win","1","srt_inori_lose","lose_017,lose_019,lose_023","LOSE_MISS","","srt_dragon_lose","あうぅ…あたしの負けです…"
"","1","","lose_017,lose_019,lose_023","LOSE_N","","srt_dragon_miss","あうぅ…あたしの負けです…"
"srt_kaya_win","1","srt_inori_lose","lose_025/lose_026-boss_emote_068,lose_021","TIMEUP","","srt_dragon_lose","じ、時間切れですか！？油断したです… "
"srt_kaya_win","1","srt_inori_lose","lose_017,lose_019,lose_023","LOSE_MISS2","","srt_dragon_lose","あうぅ…あたしの負けです…\n「{0}」があったです…"
"","1","","lose_017,lose_019,lose_023","LOSE_N2","","srt_dragon_miss","あうぅ…あたしの負けです…\n「{0}」があったです…"
"srt_kaya_win","1","srt_inori_lose","lose_025/lose_026-boss_emote_068,lose_021","TIMEUP2","","srt_dragon_lose","じ、時間切れですか！？油断したです… \n「{0}」があったです…"
