63b8f6b24dc28710c70510ee6fc4bcac256310f3b018d03b5bfa3e29b5dc8ba9,6aa24e1b56b1f82cf54fc8e61e490c4d9c3cdf0795fab43089cb9c78e7d60e10,9c86a245d833e7fc0d5cbf3e0ae7cdaf1f0f8cff9b243f1e936884f5289959a7,132fead58d86cd6e5879fd2ae2aba5e0ffbeeff8e2dce016c1444c06a9d7d397,a2b8544cba7ad0febe8a67ba8f75e31d444b879b9784dc15a75d15b036c59680,40f96a6d3df874fec20d42c8467eec946bf8a8f54208d3ab388a03df79ed7ee0,4b4735e9eccdb292fe8e8c2cb90c661035d270a9974d81b37d78e1cb1843efc4,140204f269b6a4a283727858f8ebc599d091d200c68c8e32d5800cf5815621a0,bd93cd43eb4a2ee4d20c6cc1556b0c7ad2c53ed4fc7b1f4b1eec6d655a36b45f,64b96a7f16de060f19fa522958364e6e2e9a61b7be8b7e71748188d1c438c6fe,3229de6002bee8129f8868fbe22d793d3052690a5553918459c5562ec0cd838b,628efc75680adf65141906ec7b475d38649f69df0b0909fd6274a3e0f31b387d,758f10ed33fc7c5b8b9cc5621c821b8b1b91e64e181e2bee31bd168f51f907e8
"F","0","0","1","1","H","0","0","0","G","3120001","J","0"
"ふうふ","1","0","0","1","ふさい","0","0","0","めおと","3120002","ふじん","0"
"無","1","1","0","1","講","0","0","0","礼","3120006","酒","0"
"天","1","1","0","1","山","0","0","0","王","3120007","四","0"
"絵","1","1","0","1","事","0","0","0","空","3120008","想","0"
"ナス","1","0","0","1","アスパラガス","0","0","0","トマト","3120010","カボチャ","0"
"新年","0","1","1","1","春","0","0","0","盆","3120011","夏","0"
"瓜","1","0","0","1","東","0","0","0","西","3120012","南","0"
"猫に小判","1","1","0","1","馬の耳に念仏","0","0","0","豚に真珠","3120013","鬼に金棒","0"
"自","0","1","0","1","傍","0","0","0","半","3120014","全","0"
"しい","1","1","1","0","がる","0","0","0","る","3120015","ろす","0"
"存じ上げる","0","1","0","1","申し上げる","0","0","0","いらっしゃる","3120016","なさる","0"
"ロリババア","1","0","0","1","クソエルフ","0","0","0","クソ猫","3121001","クソ眼鏡","0"
"オブジェクト","1","0","0","1","ミラー","0","0","0","クリエイション","3121002","アヴァロン","0"
"塩","1","0","0","1","暗","0","0","0","梅","3130001","倍","0"
"春","0","1","1","1","秋","0","0","0","夏","3130002","冬","0"
"前代未聞","1","0","0","1","五里夢中","0","0","0","四面楚歌","3130004","良妻嫌母","0"
"無我夢中","1","0","0","1","自我自賛","0","0","0","公明正大","3130005","一期一得","0"
"怪刀乱麻","1","1","0","1","危機一発","0","0","0","山止水明","3130006","単刀直入","0"
"以心伝心","1","1","0","1","意気消沈","0","0","0","三位一体","3130007","興味深々","0"
"朴","1","1","0","1","仁","0","0","0","念","3130010","温","0"
"土","1","1","0","1","場","0","0","0","壇","3130011","独","0"
"我","1","1","0","1","多","0","0","0","楽","3130013","雑","0"
"ちゅうじつ","1","0","0","1","りちぎ","0","0","0","まめ","3130014","ただみ","0"
"わかめ","1","0","0","1","たけのこ","0","0","0","もずく","3130016","たまねぎ","0"
"煉獄","1","0","0","1","戦記","0","0","0","血盟","3131001","冥空","0"
"エクスタシー","1","0","0","1","トリップ","0","0","0","トランス","3131002","妄想","0"
"トマト","1","1","0","1","キュウリ","0","0","0","ナス","3210001","ダイコン","0"
"肺","1","0","0","1","肝臓","0","0","0","腎臓","3210002","心臓","0"
"呼吸器","1","1","0","1","循環器","0","0","0","排出器","3210003","消火器","0"
"イカ","1","0","0","1","ナマコ","0","0","0","タコ","3210005","イソギンチャク","0"
"カンガルー","1","0","0","1","イノシシ","0","0","0","コアラ","3210006","ナマケモノ","0"
"マイマイ","1","0","0","1","モイモイ","0","0","0","でんでんむし","3210008","がんがんむし","0"
"モンキチョウ","1","0","0","1","モンアオチョウ","0","0","0","モンシロチョウ","3210009","モンアカチョウ","0"
"小指","1","0","0","1","人差し指","0","0","0","中指","3210010","親指","0"
"A型","1","0","0","1","C型","0","0","0","B型","3210011","D型","0"
"アサリ","1","0","0","1","ヤドカリ","0","0","0","ハマグリ","3210013","エビ","0"
"ウサギ","1","0","0","1","ライオン","0","0","0","ウマ","3210014","オオカミ","0"
"サイ","1","0","0","1","クマ","0","0","0","シカ","3210015","コアラ","0"
"スズナ","1","0","0","1","ミソギ","0","0","0","ハツネ","3211001","サレン","0"
"ホマレ","1","1","0","1","イノリ","0","0","0","カヤ","3211002","ミフユ","0"
"ムカデ","1","0","0","1","アリ","0","0","0","クモ","3220001","アメンボ","0"
"バッタ","1","0","0","1","カエル","0","0","0","ミミズ","3220002","ヒト","0"
"カワハギ","1","0","0","1","トビウオ","0","0","0","メバル","3220003","チョウチンアンコウ","0"
"グッピー","1","0","0","1","キンギョ","0","0","0","ベタ","3220006","メダカ","0"
"チューリップ","1","0","0","1","ヒマワリ","0","0","0","ヒヤシンス","3220007","タンポポ","0"
"セミ","1","1","0","1","シロナガス","0","0","0","マッコウ","3220009","ジンベエ","0"
"トキ","1","0","0","1","ツキノワグマ","0","0","0","タンチョウ","3220011","オコジョ","0"
"スイカ","1","1","0","1","イチゴ","0","0","0","メロン","3220012","リンゴ","0"
"水","1","1","0","1","二酸化炭素","0","0","0","光","3220013","酸素","0"
"アオミドロ","1","1","0","1","ボルボックス","0","0","0","ミジンコ","3220014","クツワムシ","0"
"チワワ","1","1","0","1","シーズー","0","0","0","パグ","3220015","ソマリ","0"
"アオムシ","1","0","0","1","フナムシ","0","0","0","イモムシ","3220016","ミドリムシ","0"
"モニカ","1","0","0","1","ユカリ","0","0","0","ミミ","3221001","キョウカ","0"
"トモ","1","1","0","1","モニカ","0","0","0","シオリ","3221002","ハツネ","0"
"牛","1","0","0","1","ねずみ","0","0","0","羊","3230001","獅子","0"
"ウミネコ","1","1","1","0","ライオン","0","0","0","ヤマネコ","3230004","トラ","0"
"象牙質","1","1","0","1","セメント質","0","0","0","エナメル質","3230005","神経質","0"
"コマドリ","1","1","0","1","オオルリ","0","0","0","ウグイス","3230006","エトピリカ","0"
"アネモネ咲き","1","1","0","1","一重咲き","0","0","0","カクタス咲き","3230007","ロゼッタ咲き","0"
"ワニ","1","0","0","1","イルカ","0","0","0","サンショウウオ","3230008","ニホンザル","0"
"モモンガ","1","0","0","1","コンドル","0","0","0","コウモリ","3230010","ミミズク","0"
"ムササビ","1","0","0","1","ペンギン","0","0","0","イルカ","3230011","ダチョウ","0"
"ヤモリ","1","1","1","0","コウモリ","0","0","0","イモリ","3230012","カタツムリ","0"
"アタマ","1","1","0","1","ハラ","0","0","0","ムネ","3230013","シリ","0"
"ツバメ","1","1","0","1","マナヅル","0","0","0","オオハクチョウ","3230014","スズメ","0"
"ヘビ","1","0","0","1","コウモリ","0","0","0","カメ","3230016","ヒト","0"
"コッコロ","1","0","0","1","ペコリーヌ","0","0","0","シェフィ","3231001","キャル","0"
"コッコロ","1","1","0","1","ホマレ","0","0","0","レイ","3231002","ラビリスタ","0"
"2","1","0","0","1","1","0","0","0","4","3310001","3","0"
"銀","1","0","0","1","銅","0","0","0","アルミニウム","3310003","金","0"
"メートル","1","1","0","1","インチ","0","0","0","尺","3310005","ファラッド","0"
"サイン","1","1","0","1","タンジェント","0","0","0","コサイン","3310006","ヒロイン","0"
"正方形","1","1","0","1","長方形","0","0","0","ひし形","3310007","おうぎ形","0"
"405","1","0","0","1","827","0","0","0","215","3310008","112","0"
"L","1","1","0","1","D","0","0","0","E","3310009","A","0"
"鉄","1","1","1","0","金","0","0","0","アルミニウム","3310010","銀","0"
"石けん水","1","0","0","1","蒸留水","0","0","0","水酸化ナトリウム水溶液","3310012","硝酸","0"
"赤","1","1","0","1","緑","0","0","0","藍","3310013","桃","0"
"6","1","0","0","1","4","0","0","0","5","3310014","3","0"
"10:6","0","1","0","1","15:9","0","0","0","4:1","3310015","12:8","0"
"ソルの塔","1","1","0","1","ランドソル","0","0","0","オーマ","3311001","キャッスル・オブ・パルフェ","0"
"ふぁんふぁんファーム","1","0","0","1","ソルの塔","0","0","0","キャッスル・オブ・パルフェ","3311002","オーマ","0"
"いわしぐも","1","1","0","1","うろこぐも","0","0","0","にゅうどうぐも","3320001","じょろうぐも","0"
"デネブ","1","1","0","1","ベガ","0","0","0","アルタイル","3320002","アンタレス","0"
"支点","1","1","0","1","作用点","0","0","0","力点","3320003","交点","0"
"伝導","1","1","0","1","放射","0","0","0","対流","3320004","反射","0"
"111","0","1","0","1","111111","0","0","0","11111","3320005","1111","0"
"赤","1","1","0","1","緑","0","0","0","青","3320007","黄","0"
"地球","1","1","0","1","海王星","0","0","0","天王星","3320008","冥王星","0"
"はくちょう座","1","0","0","1","こいぬ座","0","0","0","わし座","3320010","おおいぬ座","0"
"レモンの果汁","1","0","0","1","塩水","0","0","0","塩酸","3320011","アンモニア水","0"
"塩素","1","0","0","1","酸素","0","0","0","臭素","3320014","二酸化炭素","0"
"酸素と混ぜて燃やすと音が出る","1","0","0","1","水色である","0","0","0","最も軽い気体である","3320015","ツンとする臭いがある","0"
"3","1","0","0","1","1","0","0","0","2","3320016","0","0"
"リトルリリカル","1","0","0","1","メルクリウス財団","0","0","0","ルーセント学院","3321001","王宮騎士団","0"
"清涼効果","1","0","0","1","美肌効果","0","0","0","のど・鼻の保湿効果","3321002","保温効果","0"
"おおいぬ座","1","1","0","1","おおぐま座","0","0","0","おおかみ座","3330001","おおやぎ座","0"
"ベテルギウス","1","0","0","1","アルタイル","0","0","0","リゲル","3330002","シリウス","0"
"流紋岩","1","1","0","1","安山岩","0","0","0","玄武岩","3330003","閃緑岩","0"
"カルシウム","1","0","0","1","アルミニウム","0","0","0","マグネシウム","3330004","カリウム","0"
"酸素","1","0","0","1","二素","0","0","0","炭素","3330007","化素","0"
"10の2乗","1","0","0","1","ルート1000","0","0","0","2×2×5×5","3330010","6！","0"
"4＋5＋6","1","0","0","1","2×3×4","0","0","0","ルート225","3330011","112÷7","0"
"炭素","1","1","0","1","酸素","0","0","0","水素","3330012","窒素","0"
"塩酸","1","0","0","1","硫酸","0","0","0","硝酸","3330013","水酸化ナトリウム","0"
"雪","1","1","0","1","薄雲","0","0","0","霧","3330014","天気雨","0"
"フッ素","1","0","0","1","ケイ素","0","0","0","塩素","3330015","窒素","0"
"黒鉛","1","1","0","1","フラーレン","0","0","0","ダイヤモンド","3330016","オゾン","0"
"カスタリア樹林","1","0","0","1","ケレス森林","0","0","0","ペテロ大森林","3331001","イリス樹海","0"
"スィオネ樹林","1","1","0","1","イオカステ岩山","0","0","0","ヘリケ巨木","3331002","アルバ浜堤","0"
"風呂場","1","1","0","1","キッチン","0","0","0","トイレ","3410001","玄関","0"
"警察官","1","0","0","1","弁護士","0","0","0","消防士","3410002","警備員","0"
"雑誌","1","1","0","1","新聞紙","0","0","0","段ボール","3410003","蛍光灯","0"
"黄","1","0","0","1","オレンジ","0","0","0","緑","3410004","青","0"
"報告","1","0","0","1","放置","0","0","0","連絡","3410005","練習","0"
"赤","1","1","0","1","黄","0","0","0","青","3410006","紫","0"
"リデュース","1","1","0","1","リサイクル","0","0","0","リユース","3410007","リスタート","0"
"妻","1","1","0","1","孫","0","0","0","祖父","3410008","親友","0"
"みじん切り","1","1","0","1","輪切り","0","0","0","せん切り","3410010","指切り","0"
"納豆","1","1","0","1","豆乳","0","0","0","豆腐","3410011","豆板醤","0"
"ブラックペッパー","1","1","0","1","ピンクペッパー","0","0","0","ホワイトペッパー","3410013","レッドペッパー","0"
"ウーロン","1","1","0","1","ジャスミン","0","0","0","プーアル","3410015","ブルーマウンテン","0"
"ユイ","1","1","0","1","ヒヨリ","0","0","0","レイ","3411001","カオリ","0"
"ミミ","1","1","0","1","キョウカ","0","0","0","ミソギ","3411002","ユニ","0"
"石油","1","1","0","1","天然ガス","0","0","0","石炭","3420001","薪","0"
"司法","1","1","0","1","行政","0","0","0","立法","3420002","憲法","0"
"電気代","1","0","0","1","電車賃","0","0","0","水道代","3420003","新聞代","0"
"謹賀新年","1","1","0","1","迎春","0","0","0","賀正","3420004","惜春","0"
"ときどき雨","1","1","0","1","のち雨","0","0","0","一時雨","3420005","しばしば雨","0"
"単1","1","1","0","1","単5","0","0","0","単3","3420007","単7","0"
"マイナス","1","1","0","1","ボックス","0","0","0","プラス","3420009","スライス","0"
"絹ごし豆腐","1","1","0","1","高野豆腐","0","0","0","木綿豆腐","3420010","喉ごし豆腐","0"
"チーズ","1","1","0","1","ヨーグルト","0","0","0","バター","3420011","マヨネーズ","0"
"オムレツ","1","1","0","1","エッグベネディクト","0","0","0","スクランブルエッグ","3420012","カルパッチョ","0"
"うるち米","1","0","0","1","くち米","0","0","0","もち米","3420014","すだち米","0"
"うどん","1","1","0","1","ひやむぎ","0","0","0","スパゲッティ","3420015","そば","0"
"キャル","1","0","0","1","リノ","0","0","0","ニノン","3421001","エリコ","0"
"プレミアムガチャ","1","0","0","1","キャラバンガチャ","0","0","0","レアガチャ","3421002","おにぎりガチャ","0"
"E","1","0","0","1","G","0","0","0","Z","3430001","P","0"
"かあちゃん","1","1","0","1","ばあちゃん","0","0","0","じいちゃん","3430002","とうちゃん","0"
"居間","1","1","0","1","台所","0","0","0","キッチン","3430004","ベランダ","0"
"恵比寿","1","1","0","1","布袋","0","0","0","大黒天","3430005","達磨","0"
"地盤沈下","1","1","0","1","振動","0","0","0","騒音","3430007","インフルエンザ","0"
"車椅子","1","1","0","1","スロープ","0","0","0","歩行器","3430008","エスカレーター","0"
"生後半年","1","0","0","1","小学三年生","0","0","0","幼稚園児","3430009","中学三年生","0"
"酢","1","1","0","1","卵","0","0","0","油","3430010","牛乳","0"
"焼酎","1","1","0","1","ビール","0","0","0","ウィスキー","3430011","ワイン","0"
"醤油","1","0","0","1","背脂","0","0","0","酢","3430012","酒","0"
"スズナ","1","1","0","1","ナズナ","0","0","0","ハコベラ","3430013","ゴボウ","0"
"コーンフレーク","1","1","0","1","オートミール","0","0","0","グラノーラ","3430015","サラミ","0"
"譲れないサマーゲーム","1","0","0","1","フラッグは譲れない","0","0","0","サマーゲームの覇者","3431001","砂浜のプリンセス","0"
"渚の4番見習い","1","1","0","1","渚の不動の4番","0","0","0","渚のスラッガー","3431002","ぷうきちストライク","0"
"オセロ","1","1","0","1","チェス","0","0","0","囲碁","3510001","将棋","0"
"尺八","1","1","0","1","リコーダー","0","0","0","フルート","3510002","バイオリン","0"
"太鼓","1","1","0","1","尺八","0","0","0","クラリネット","3510003","インターネット","0"
"ポーン","1","1","0","1","ビショップ","0","0","0","クイーン","3510004","ジェネラル","0"
"王将","1","0","0","1","騎士","0","0","0","歩","3510005","塔","0"
"モノポリー","1","1","0","1","ダーツ","0","0","0","ツイスター","3510006","トランプ","0"
"3","1","1","0","1","1","0","0","0","4","3510007","2","0"
"ポン","1","1","0","1","カン","0","0","0","チー","3510008","ツモ","0"
"ファ","1","0","0","1","シ","0","0","0","ラ","3510009","ミ","0"
"バイオリン","1","0","0","1","パイプオルガン","0","0","0","コントラバス","3510013","フルート","0"
"タンバリン","1","1","0","1","トライアングル","0","0","0","ティンパニー","3510014","ベース","0"
"フルート","1","0","0","1","トランペット","0","0","0","ファゴット","3510015","チューバ","0"
"","1","0","0","1","","4","2","3","","3511001","","1"
"プリンセスオーブ","1","1","0","1","メモリーピース","0","0","0","ピュアメモリーピース","3511002","プリンセスハート","0"
"スティルメイト","1","0","0","1","キャスト","0","0","0","チェックメイト","3520001","ストレート","0"
"チンチロリン","1","1","0","1","麻雀","0","0","0","すごろく","3520002","花札","0"
"ブラッディマリー","1","0","0","1","スクリュードライバー","0","0","0","レッドアイ","3520003","ジントニック","0"
"ビオラ","1","1","0","1","チェロ","0","0","0","バイオリン","3520004","ギター","0"
"迷い箸","1","1","0","1","刺し箸","0","0","0","渡し箸","3520005","伏せ箸","0"
"歌舞伎","1","1","0","1","狂言","0","0","0","能","3520006","京劇","0"
"飛車","1","0","0","1","金","0","0","0","角","3520009","歩","0"
"アップライト","1","1","0","1","エレクトリック","0","0","0","グランド","3520010","グレート","0"
"桜","1","0","0","1","桃","0","0","0","梅","3520011","椿","0"
"C","1","0","0","1","K","0","0","0","D","3520012","Q","0"
"黒","1","1","0","1","灰色","0","0","0","白","3520015","赤","0"
"S","1","1","0","1","V","0","0","0","U","3520016","E","0"
"バニラ","1","0","0","1","チョコ","0","0","0","ミント","3521001","イチゴ","0"
"イチゴ","1","1","0","1","キウイ","0","0","0","ブドウ","3521002","メロン","0"
"奇数","1","1","0","1","1～12","0","0","0","赤","3530001","40","0"
"水腰","1","1","0","1","猫間","0","0","0","腰板","3530002","犬間","0"
"三味線","1","0","0","1","ギター","0","0","0","バラライカ","3530003","ベース","0"
"J","1","0","0","1","9","0","0","0","A","3530005","2","0"
"Carbon","1","0","0","1","Creative","0","0","0","Copy","3530006","Call","0"
"前座","1","1","0","1","真打","0","0","0","二ツ目","3530007","一ツ目","0"
"カット","1","1","0","1","カラット","0","0","0","カラー","3530008","カーボン","0"
"10000","1","1","0","1","1000","0","0","0","5000","3530010","2500","0"
"フルート","1","0","0","1","オーボエ","0","0","0","ピッコロ","3530011","クラリネット","0"
"ストレート","1","1","0","1","フルハウス","0","0","0","フラッシュ","3530012","スリーペア","0"
"ポーカー","1","1","0","1","スピード","0","0","0","ダウト","3530013","ヨット","0"
"猪","1","0","0","1","鯉","0","0","0","蝶","3530016","銀杏","0"
"うつっわに乗せて、ふーふーふー","1","1","1","0","あかっご泣いても、蓋とるな","0","0","0","はじっめ、ちょろちょろ","3531001","な～か、ぱっぱ","0"
"ゼリー入りあんこたい焼き","1","0","0","1","レインボーたい焼き","0","0","0","贅沢たい焼き","3531002","プラチナたい焼き","0"
"ダンス","1","1","1","0","平均台","0","0","0","鉄棒","3610003","吊り輪","0"
"ミトン","1","0","0","1","バット","0","0","0","ラケット","3610004","ミット","0"
"テニス","1","0","0","1","サッカー","0","0","0","野球","3610005","バスケットボール","0"
"アーチェリー","1","0","0","1","剣道","0","0","0","弓道","3610006","ラクロス","0"
"水泳","1","0","0","1","レスリング","0","0","0","スキー","3610007","柔道","0"
"バレーボール","1","1","0","1","テニス","0","0","0","バドミントン","3610008","バスケットボール","0"
"スキー","1","0","0","1","テニス","0","0","0","スケート","3610010","サーフィン","0"
"ゴールキーパー","1","1","1","0","ミッドフィルダー","0","0","0","フォワード","3610011","ディフェンダー","0"
"アイスホッケー","1","0","0","1","テニス","0","0","0","サッカー","3610012","野球","0"
"剣道","1","0","0","1","レスリング","0","0","0","フェンシング","3610013","スカイダイビング","0"
"レスリング","1","1","0","1","ボクシング","0","0","0","柔道","3610014","剣道","0"
"サーフィン","1","0","0","1","スカイダイビング","0","0","0","シュノーケリング","3610015","ボクシング","0"
"ラースドラゴン","1","1","0","1","ポセイドン・嵐撃の槍","0","0","0","黒月の守護像","3611001","ジャバウォック","0"
"ノゾミ","1","0","0","1","リマ","0","0","0","クウカ","3611002","ミヤコ","0"
"25m","1","0","0","1","100m","0","0","0","50m","3620001","15m","0"
"二刀流","1","0","0","1","足払い","0","0","0","突き","3620002","場外に出る","0"
"面","1","1","0","1","小手","0","0","0","胴","3620003","すね","0"
"背面跳び","1","1","0","1","はさみ跳び","0","0","0","ベリーロール","3620006","三段跳び","0"
"クリケット","1","1","0","1","ゼロワン","0","0","0","カウントアップ","3620007","カウントダウン","0"
"正三角形","0","1","1","0","正五角形","0","0","0","正四角形","3620008","正六角形","0"
"赤","1","0","0","1","黒","0","0","0","白","3620009","青","0"
"水泳","1","1","0","1","長距離走","0","0","0","自転車","3620010","砲丸投げ","0"
"ナインボール","1","0","0","1","ファイブボール","0","0","0","セブンボール","3620013","イレブンボール","0"
"ボディビル","1","1","1","0","スクワット","0","0","0","デッドリフト","3620014","ベンチプレス","0"
"ファースト","1","0","0","1","レフト","0","0","0","セカンド","3620015","ライト","0"
"グレコローマン","1","0","0","1","タッグ","0","0","0","フリースタイル","3620016","オールレンジ","0"
"ガーゴイル・マギ","1","0","0","1","ガーゴイル・バースト","0","0","0","マグスガーゴイル","3621001","ガーゴイル","0"
"モニカ","1","1","0","1","カリン","0","0","0","サレン（サマー）","3621002","アメス","0"
"1番","0","1","1","0","7番","0","0","0","5番","3630001","10番","0"
"クリケット","1","0","0","1","ブランケット","0","0","0","アルティメット","3630003","ロケット","0"
"バレーボール","1","1","1","0","バドミントン","0","0","0","卓球","3630004","テニス","0"
"一本背負い","0","0","1","1","一丁投げ","0","0","0","二本背負い","3630005","二丁投げ","0"
"大将","1","0","0","1","准将","0","0","0","副将","3630006","将軍","0"
"キャッチャー","1","0","0","1","セカンド","0","0","0","ファースト","3630007","サード","0"
"大関","1","1","0","1","小結","0","0","0","関脇","3630008","横綱","0"
"床","1","0","0","1","鉄棒","0","0","0","跳馬","3630010","平行棒","0"
"シェークハンド","1","0","0","1","グラップ","0","0","0","ペンホルダー","3630012","つまみ持ち","0"
"ポイントガード","1","0","0","1","リベロ","0","0","0","パワーフォワード","3630013","ディフェンダー","0"
"ランニングバック","1","1","0","1","ラインバッカー","0","0","0","センター","3630014","シューティングガード","0"
"リベロ","1","0","0","1","スパイカー","0","0","0","セッター","3630016","センターブロッカー","0"
"ターコイズ・ノア","1","0","0","1","ブルーブラッド","0","0","0","アクアスラッシャー","3631001","ガイアバルディッシュ","0"
"スプレッドアフェクション","1","1","0","1","レヴィアタンランス","0","0","0","タイフーン・ラブドリーム","3631002","覇海姫・竜征冥風裂波斬","0"
