5a68bb0218f939fefae1476071d3125d934f55337714962ded8cb3e49961b82b,c6720ed27bd2702cdfc3c65b6c36d2752e67e468e6cfe7946283a27b77ef1e7b,4a2b07729c52888ed0ad903a0bbed96cebe4e4b76d2c34815611e555b1f7dbe9,77a0c362593fe894ec8d1070541adaffc5ba4326a7859bb38361e5d1cbaf12e6,52ec6680aa6d697a10f42040ef9c00902d2772ef7adf43c9d5f5faa96abea922,249476620b7ffb5f071bd6fbbe1627e47e3756f785488cbba447881ae8cdcbb5,afd687c09618c88e3f1c2a7b20541cba8e6356e8a0c4116a0671f6bac75277a0,d602e02981373f3bb6058c487c3f469019deb723938e4f26d6efacd023ebbce4,a966f97655f472294c703a0c158f6d8b7b908d9335e9339e0e667dc672eabd3d,c62a3ecc5d4817126360e07c026a710506aa789017758f79c2e51ed8955cc2ef
"700","9360","4008","2100003","4009","2","29","7","1","4007"
"700","9360","4011","2100004","4012","2","29","3","1","4010"
"700","9360","4014","2100005","4015","2","29","5","1","4013"
"700","9360","4017","2100006","4018","2","29","7","1","4016"
"575","10590","4020","2100007","4021","2","30","3","1","4019"
"575","10590","4023","2100008","4024","2","30","5","1","4022"
"575","10590","4026","2100009","4027","2","30","7","1","4025"
"575","10590","4029","2100010","4030","2","30","3","1","4028"
"700","9360","5002","2200001","5003","2","33","3","2","5001"
"700","9360","5005","2200002","5006","2","33","5","2","5004"
"700","9360","5008","2200003","5009","2","33","7","2","5007"
"700","9360","5011","2200004","5012","2","33","3","2","5010"
"700","9360","5014","2200005","5015","2","33","5","2","5013"
"700","9360","5017","2200006","5018","2","33","7","2","5016"
"700","9360","5020","2200007","5021","2","33","3","2","5019"
"700","9360","5023","2200008","5024","2","33","5","2","5022"
"700","9360","5026","2200009","5027","2","33","7","2","5025"
"700","9360","5029","2200010","5030","2","33","3","2","5028"
"700","9360","5032","2200011","5033","2","33","5","2","5031"
"700","9360","5035","2200012","5036","2","33","7","2","5034"
"575","10590","5038","2200013","5039","2","34","3","2","5037"
"575","10590","5041","2200014","5042","2","34","5","2","5040"
"575","10590","5044","2200015","5045","2","34","7","2","5043"
"575","10590","5047","2200016","5048","2","34","3","2","5046"
"575","10590","5050","2200017","5051","2","34","5","2","5049"
"575","10590","5053","2200018","5054","2","34","7","2","5052"
"575","10590","5056","2200019","5057","2","34","5","2","5055"
"575","10590","5059","2200020","5060","2","34","7","2","5058"
"700","9360","6002","2300001","6003","2","33","3","3","6001"
"700","9360","6005","2300002","6006","2","33","5","3","6004"
"700","9360","6008","2300003","6009","2","33","7","3","6007"
"700","9360","6011","2300004","6012","2","33","3","3","6010"
"700","9360","6014","2300005","6015","2","33","5","3","6013"
"700","9360","6017","2300006","6018","2","33","7","3","6016"
"700","9360","6020","2300007","6021","2","33","3","3","6019"
"700","9360","6023","2300008","6024","2","33","5","3","6022"
"700","9360","6026","2300009","6027","2","33","7","3","6025"
"700","9360","6029","2300010","6030","2","33","3","3","6028"
"700","9360","6032","2300011","6033","2","33","5","3","6031"
"700","9360","6035","2300012","6036","2","33","7","3","6034"
"700","9360","6038","2300013","6039","2","33","3","3","6037"
"700","9360","6041","2300014","6042","2","33","5","3","6040"
"700","9360","6044","2300015","6045","2","33","7","3","6043"
"700","9360","6047","2300016","6048","2","33","3","3","6046"
"700","9360","6050","2300017","6051","2","33","5","3","6049"
"700","9360","6053","2300018","6054","2","33","7","3","6052"
"575","10590","6056","2300019","6057","2","34","3","3","6055"
"575","10590","6059","2300020","6060","2","34","5","3","6058"
"575","10590","6062","2300021","6063","2","34","7","3","6061"
"575","10590","6065","2300022","6066","2","34","3","3","6064"
"575","10590","6068","2300023","6069","2","34","5","3","6067"
"575","10590","6071","2300024","6072","2","34","7","3","6070"
"575","10590","6074","2300025","6075","2","34","3","3","6073"
"575","10590","6077","2300026","6078","2","34","5","3","6076"
"575","10590","6080","2300027","6081","2","34","7","3","6079"
"575","10590","6083","2300028","6084","2","34","3","3","6082"
"575","10590","6086","2300029","6087","2","34","5","3","6085"
"575","10590","6089","2300030","6090","2","34","7","3","6088"
"340","14280","7002","3100001","7003","3","39","1","1","7001"
"340","14280","7005","3100002","7006","3","39","1","1","7004"
"340","14280","7008","3100003","7009","3","39","1","1","7007"
"340","14280","7011","3100004","7012","3","39","1","1","7010"
"340","14280","7014","3100005","7015","3","39","1","1","7013"
"340","14280","7017","3100006","7018","3","39","1","1","7016"
"375","13050","7020","3100007","7021","3","36","1","1","7019"
"375","13050","7023","3100008","7024","3","36","1","1","7022"
"375","13050","7026","3100009","7027","3","36","1","1","7025"
"375","13050","7029","3100010","7030","3","36","1","1","7028"
"340","14280","8002","3200001","8003","3","41","1","2","8001"
"340","14280","8005","3200002","8006","3","41","1","2","8004"
"340","14280","8008","3200003","8009","3","41","1","2","8007"
"340","14280","8011","3200004","8012","3","41","1","2","8010"
"340","14280","8014","3200005","8015","3","41","1","2","8013"
"340","14280","8017","3200006","8018","3","41","1","2","8016"
"340","14280","8020","3200007","8021","3","41","1","2","8019"
"340","14280","8023","3200008","8024","3","41","1","2","8022"
"340","14280","8026","3200009","8027","3","41","1","2","8025"
"340","14280","8029","3200010","8030","3","41","1","2","8028"
"340","14280","8032","3200011","8033","3","41","1","2","8031"
"340","14280","8035","3200012","8036","3","41","1","2","8034"
"375","13050","8038","3200013","8039","3","38","1","2","8037"
"375","13050","8041","3200014","8042","3","38","1","2","8040"
"375","13050","8044","3200015","8045","3","38","1","2","8043"
"375","13050","8047","3200016","8048","3","38","1","2","8046"
"375","13050","8050","3200017","8051","3","38","1","2","8049"
"375","13050","8053","3200018","8054","3","38","1","2","8052"
"375","13050","8056","3200019","8057","3","38","1","2","8055"
"375","13050","8059","3200020","8060","3","38","1","2","8058"
"340","14280","9002","3300001","9003","3","40","1","3","9001"
"340","14280","9005","3300002","9006","3","40","1","3","9004"
"340","14280","9008","3300003","9009","3","40","1","3","9007"
"340","14280","9011","3300004","9012","3","40","1","3","9010"
"340","14280","9014","3300005","9015","3","40","1","3","9013"
"340","14280","9017","3300006","9018","3","40","1","3","9016"
"340","14280","9020","3300007","9021","3","40","1","3","9019"
"340","14280","9023","3300008","9024","3","40","1","3","9022"
"340","14280","9026","3300009","9027","3","40","1","3","9025"
"340","14280","9029","3300010","9030","3","40","1","3","9028"
"340","14280","9032","3300011","9033","3","40","1","3","9031"
"340","14280","9035","3300012","9036","3","40","1","3","9034"
"340","14280","9038","3300013","9039","3","40","1","3","9037"
"340","14280","9041","3300014","9042","3","40","1","3","9040"
"340","14280","9044","3300015","9045","3","40","1","3","9043"
"340","14280","9047","3300016","9048","3","40","1","3","9046"
"340","14280","9050","3300017","9051","3","40","1","3","9049"
"340","14280","9053","3300018","9054","3","40","1","3","9052"
"375","13050","9056","3300019","9057","3","39","1","3","9055"
"375","13050","9059","3300020","9060","3","39","1","3","9058"
"375","13050","9062","3300021","9063","3","39","1","3","9061"
"375","13050","9065","3300022","9066","3","39","1","3","9064"
"375","13050","9068","3300023","9069","3","39","1","3","9067"
"375","13050","9071","3300024","9072","3","39","1","3","9070"
"375","13050","9074","3300025","9075","3","39","1","3","9073"
"375","13050","9077","3300026","9078","3","39","1","3","9076"
"375","13050","9080","3300027","9081","3","39","1","3","9079"
"375","13050","9083","3300028","9084","3","39","1","3","9082"
"375","13050","9086","3300029","9087","3","39","1","3","9085"
"375","13050","9089","3300030","9090","3","39","1","3","9088"
