801094116738c27e593193268161b856f5da0e4b5e0df0e7b2e66c0807abf574,5af6ea4071abaab69aadec77ae3101c5760d296d9d7106782ad041261408a830,b179f7de9e4c7fd8b222fc96435b2437130de09977eeb1f62c476950e0a5a0fa,6893e5232289b1d4452808fc2757362f543e4f79d564b373592c8c065cc23600,e99c5c8636c2dd0392bd2cdc8a09e37053f1d7b638b67299dcb7d278528d0d34,cbbf9523f5d474a93c30a275bdbd1c7223f07248f468c8015cadfc22c063a7d5,16bb26098267c66e06bf018e8676663bc0201b1b3e550fbc44fae9c1ab65ddce,3046646e1c2a8567ec323f6eb8106084c414c28cf8429634934495fbf0ef3f61
"32","0","1","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","1","0","52022","1"
"33","0","1","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる","1","0","52023","1"
"34","0","1","【料理】次回移動時に3マス分多く進める","1","0","52024","1"
"35","0","10","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","2","0","52025","1"
"36","0","1","【料理】ダイスの目が必ず「5」になる","1","0","52027","1"
"37","0","1","【料理】ダイスの目が\n「1・2」のみになる","1","0","52028","1"
"38","0","1","【料理】ダイスの目が必ず「2」になる","1","0","52029","1"
"39","0","2","【料理】次のターン数のカウントをスキップする","3","0","52029","1"
"40","0","4","【イベント】マイルショップの全商品が20%以上割引される","3","0","8","2"
"41","0","11","【料理】「マイルマス」を「トレジャーマス」に変化させる","3","0","52030","1"
"42","0","1","【料理】ダイスの目が\n「1・6・6・6・8・8」になる","1","0","52031","1"
"43","0","10","【料理】移動時に料理マスをスキップできる","2","0","52032","1"
"44","0","8","【料理】移動時にマイルマスをスキップできる","1","0","52034","1"
"45","0","1","【料理】ダイスの目が1ターン目は必ず「12」に、2・3ターン目は必ず「1」になる","1","0","52036","1"
"46","0","6","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","2","0","52037","1"
"47","0","1","【料理】ダイスが2個に増える","1","0","52038","1"
"48","0","11","【料理】「マイルマス」を「ショップマス」に変化させる","3","0","52039","1"
"49","0","10","【料理】移動時にトレジャーマスをスキップできる","2","0","52040","1"
"50","0","1","【料理】ダイスの目が1ターン目は必ず「7」に、2ターン目は必ず「2」になる","1","0","52041","1"
"51","0","1","【料理】ダイスの目が\n「4・5・6」のみになる","1","0","52042","1"
"52","0","9","【料理】移動系カテゴリーの料理が食べられなくなる","1","0","52043","1"
"53","0","1","【料理】ダイスの目が\n「1・2・3」のみになる","1","0","52044","1"
"54","0","2","【料理】次のターン数のカウントをスキップする","3","0","52044","1"
"55","0","10","【料理】移動時に「ショップマス」「ミニゲームマス」「イベントマス」をスキップできる","2","0","52045","1"
"56","0","8","【料理】移動時にマイルマスをスキップできる","1","0","52046","1"
"57","0","1","【料理】ダイスが2個に増える","1","0","52047","1"
"1001","0","99","最大ｎマイルを入手する","1","0","1","3"
"1002","0","99","ダイスを1回振りなおせる","1","0","2","3"
"1003","0","99","ダイスを1回振りなおせる_有効ターン2","1","0","3","3"
"11001","0","126501","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1001","3"
"11002","0","105301","【仲間】最大1000マイルを入手する","1","0","1002","3"
"11003","0","126401","【仲間】料理を1つ入手する","1","0","1003","3"
"11004","0","100501","【仲間】ダイスの目を1回振りなおせる","1","0","1004","3"
"11005","0","101301","【仲間】ダイスの目を2回振りなおせる","1","0","1005","3"
"11006","0","104301","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","1006","3"
"11007","0","102701","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","1","0","1007","3"
"11008","0","100901","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1008","3"
"11009","0","105101","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1009","3"
"11010","0","101801","【仲間】最大1000マイルを入手する","1","0","1010","3"
"11011","0","129701","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","1011","3"
"11012","0","101601","【仲間】ダイスの目を1回振りなおせる","1","0","1012","3"
"11013","0","105601","【仲間】ダイスの目を2回振りなおせる","1","0","1013","3"
"11014","0","102001","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","1","0","1014","3"
"11015","0","129601","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1015","3"
"11016","0","100401","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","1","0","1016","3"
"11017","0","127701","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","1","0","1017","3"
"11018","0","127801","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","1","0","1018","3"
"11019","0","104801","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1019","3"
"11020","0","104701","【仲間】ダイスの目を2回振りなおせる","1","0","1020","3"
"11021","0","105001","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1021","3"
"11022","0","103201","【仲間】最大2000マイルを入手する","1","0","1022","3"
"11023","0","130901","【仲間】福引券を1枚入手する","1","0","1023","3"
"11024","0","102501","【仲間】料理を1つ入手する","1","0","1024","3"
"11025","0","100801","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","1025","3"
"11026","0","123301","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","1026","3"
"11027","0","104601","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1027","3"
"11028","0","118101","【仲間】ダイスの目を2回振りなおせる","1","0","1028","3"
"11029","0","103401","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1029","3"
"11030","0","118001","【仲間】最大2000マイルを入手する","1","0","1030","3"
"11031","0","102801","【仲間】福引券を1枚入手する","1","0","1031","3"
"11032","0","100201","【仲間】料理を1つ入手する","1","0","1032","3"
"11033","0","101201","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","1","0","1033","3"
"11034","0","118201","【仲間】ダイスの目を1回振りなおせる","1","0","1034","3"
"11035","0","106101","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1035","3"
"11036","0","103101","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","1036","3"
"11037","0","103301","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1037","3"
"11038","0","103601","【仲間】最大2000マイルを入手する","1","0","1038","3"
"11039","0","133001","【仲間】福引券を1枚入手する","1","0","1039","3"
"11040","0","133101","【仲間】料理を1つ入手する","1","0","1040","3"
"11041","0","106801","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","1041","3"
"11042","0","107101","【仲間】ダイスの目を1回振りなおせる","1","0","1042","3"
"11043","0","107001","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1043","3"
"11044","0","106501","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","1044","3"
"11045","0","111001","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1045","3"
"11046","0","134901","【仲間】最大2000マイルを入手する","1","0","1046","3"
"11047","0","105401","【仲間】福引券を1枚入手する","1","0","1047","3"
"11048","0","134701","【仲間】料理を1つ入手する","1","0","1048","3"
"11049","0","100101","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","1049","3"
"11050","0","100701","【仲間】ダイスの目を1回振りなおせる","1","0","1050","3"
"11051","0","103001","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1051","3"
"11052","0","101401","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","1","0","1052","3"
"11053","0","135901","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1053","3"
"11054","0","102601","【仲間】最大2000マイルを入手する","1","0","1054","3"
"11055","0","132401","【仲間】福引券を1枚入手する","1","0","1055","3"
"11056","0","135801","【仲間】料理を1つ入手する","1","0","1056","3"
"11057","0","100301","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","1057","3"
"11058","0","106701","【仲間】ダイスの目を1回振りなおせる","1","0","1058","3"
"11059","0","132301","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1059","3"
"11060","0","105201","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","1","0","1060","3"
"11061","0","102201","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1061","3"
"11062","0","100601","【仲間】最大2000マイルを入手する","1","0","1062","3"
"11063","0","136201","【仲間】福引券を1枚入手する","1","0","1063","3"
"11064","0","110901","【仲間】料理を1つ入手する","1","0","1064","3"
"11065","0","103801","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","1065","3"
"11066","0","101501","【仲間】ダイスの目を1回振りなおせる","1","0","1066","3"
"11067","0","102901","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1067","3"
"11068","0","101701","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","1","0","1068","3"
"11069","0","132501","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1069","3"
"11070","0","104201","【仲間】最大2000マイルを入手する","1","0","1070","3"
"11071","0","101101","【仲間】福引券を1枚入手する","1","0","1071","3"
"11072","0","104901","【仲間】料理を1つ入手する","1","0","1072","3"
"11073","0","101001","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","1073","3"
"11074","0","135601","【仲間】ダイスの目を1回振りなおせる","1","0","1074","3"
"11075","0","135501","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1075","3"
"11076","0","105501","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","1","0","1076","3"
"11077","0","122301","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1077","3"
"11078","0","133601","【仲間】最大2000マイルを入手する","1","0","1078","3"
"11079","0","102101","【仲間】福引券を1枚入手する","1","0","1079","3"
"11080","0","102301","【仲間】料理を1つ入手する","1","0","1080","3"
"11081","0","123001","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","1081","3"
"11082","0","104401","【仲間】ダイスの目を1回振りなおせる","1","0","1082","3"
"11083","0","103701","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1083","3"
"11084","0","106601","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","1","0","1084","3"
"11085","0","110801","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1085","3"
"11086","0","104001","【仲間】最大2000マイルを入手する","1","0","1086","3"
"11087","0","104501","【仲間】福引券を1枚入手する","1","0","1087","3"
"11088","0","136901","【仲間】料理を1つ入手する","1","0","1088","3"
"11089","0","140301","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","1089","3"
"11090","0","105701","【仲間】ダイスの目を1回振りなおせる","1","0","1090","3"
"11091","0","106301","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","1091","3"
"11092","0","111401","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","1","0","1092","3"
"11093","0","125601","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","1093","3"
"11094","0","109201","【仲間】最大2000マイルを入手する","1","0","1094","3"
"11095","0","109301","【仲間】福引券を1枚入手する","1","0","1095","3"
"11096","0","109401","【仲間】料理を1つ入手する","1","0","1096","3"
