b4fc70dc003bd91aae95730b28ca3c2532a6daecf3d1329e391997abb7b32221,731d42a905230cd7f3505c15ff7c11213d47d3bd6820f56c2f54c2ee8a1b2f9e,b641fa1d2f9485b17154d7182c586120c59c8cf9c8b305aad700ca189c2bad3b,bdfaf9dabff2fd869a50345da8e50834f5cda5e0c9533dffa359745b6962f6b9,ab1bb2851de4b8bb4740aff937b39bcbab1a63320a441f23f1992d3f82a69dae,6caf739b31f84a3e7120d7168b16d998522eef7e9f39430332e7ab148fd99fa4,8b29ce0d6a6e7ec60458a43be1cdbf33dc82168e27a0afa570ee4c37ebd75695,82198ab1631861735235afa8669bef726de41b67d8bd183308dee5cd117985ba,491b61e8a11c2ffaa662c94e9752465926e57afecb61bc90a3cc637507c8ab12,f3c82f6a675a9dbc603b71a37a752c1704a02ac4fe5dace20690beb56dd9093f,385a6afc2421680132cbbeb2ea09644fd465a58148c467f9674ba0190c3312aa
"1.6","130140010","","","0","","3014","93","","",""
"1000001","130140011","0","0.2","relief","","3014","3","","",""
"996","130140012","","","1","","3014","32","","",""
"1.7","130140013","","","0","","3014","93","","",""
"1000001","130140014","1","0","run_gatein","","3014","3","","",""
"1000001","130140015","-195","","450","","3014","2","0","1",""
"0.5","130140016","","","1","","3014","93","","",""
"1000001","130140017","1","0.4","1","","3014","6","0","1","0"
"0.4","130140018","","","0","","3014","93","","",""
"1","130140019","","","","","3014","113","","",""
"301501","130150001","345.4","0","301501","","3015","31","1","0",""
"301500","130150002","345.4","1","301500","","3015","31","1","0",""
"0","130150003","","","","","3015","91","","",""
"1.05","130150004","1.05","0","1.05","","3015","123","7.4","1.05",""
"1000001","130150005","0","0.2","wait_wakuwaku","","3015","3","","",""
"2","130150006","","","1","","3015","35","","",""
"5.4","130150007","","","0","","3015","93","","",""
"0.95","130150008","0.95","0","0.95","","3015","123","0.4","0.95",""
"1000001","130150009","0","0.2","glad","","3015","3","","",""
"301501","130150010","","","1","","3015","32","","",""
"996","130150011","","","1","","3015","32","","",""
"0.1","130150012","","","0","","3015","93","","",""
"2","130150013","","","0","","3015","32","","",""
"3","130150014","","","0","","3015","32","","",""
"1.5","130150015","","","0","","3015","93","","",""
"1000001","130150016","0","0.2","joy","","3015","3","","",""
"1.7","130150017","","","0","","3015","93","","",""
"1000001","130150018","1","0","run_gatein","","3015","3","","",""
"1000001","130150019","-195","","450","","3015","2","0","1",""
"0.5","130150020","","","1","","3015","93","","",""
"1000001","130150021","1","0.4","1","","3015","6","0","1","0"
"0.4","130150022","","","0","","3015","93","","",""
"1","130150023","","","","","3015","113","","",""
"6","130160001","345.4","0","6","","3016","31","1","0",""
"8","130160002","345.4","0","8","","3016","31","1","0",""
"301600","130160003","345.4","0","301600","","3016","31","1","-80",""
"301601","130160004","345.4","0","301601","","3016","31","1","0",""
"990002","130160005","345.4","1","990002","","3016","31","1","0",""
"0","130160006","","","","","3016","91","","",""
"1.05","130160007","1.05","0","1.05","","3016","123","7.4","1.05",""
"1000001","130160008","0","0.2","wait","","3016","3","","",""
"2","130160009","","","1","","3016","35","","",""
"5.4","130160010","","","0","","3016","93","","",""
"0.95","130160011","0.95","0","0.95","","3016","123","0.4","0.95",""
"8","130160012","","","1","","3016","32","","",""
"8","130160013","","","0","","3016","35","","",""
"301600","130160014","","","1","","3016","32","","",""
"6","130160015","","","1","","3016","32","","",""
"0.1","130160016","","","0","","3016","93","","",""
"2","130160017","","","0","","3016","32","","",""
"3","130160018","","","0","","3016","32","","",""
"1000001","130160019","0","0.1","glad","","3016","3","","",""
"se_travel","130160020","0","","se_travel_treasure_success_butterfly","","3016","23","","",""
"0.5","130160021","","","0","","3016","93","","",""
"8","130160022","","","1","","3016","35","","",""
"1.1","130160023","","","0","","3016","93","","",""
"301601","130160024","","","1","","3016","32","","",""
"996","130160025","","","1","","3016","32","","",""
"1000001","130160026","0","0.2","joy","","3016","3","","",""
"1.67","130160027","","","0","","3016","93","","",""
"1000001","130160028","1","0","run_gatein","","3016","3","","",""
"se_travel","130160029","0","","se_travel_treasure_cha_run","","3016","23","","",""
"1000001","130160030","-195","","450","","3016","2","0","1",""
"0.5","130160031","","","1","","3016","93","","",""
"1000001","130160032","1","0.4","1","","3016","6","0","1","0"
"0.4","130160033","","","0","","3016","93","","",""
"1","130160034","","","","","3016","113","","",""
"310000","130170001","345.4","0","310000","","3017","31","1","0",""
"310001","130170002","0","0","310001","","3017","31","1","0",""
"301700","130170003","345.4","0","301700","","3017","31","1","0",""
"301701","130170004","740","0","301701","","3017","31","1","-115",""
"301702","130170005","345.4","0","301702","","3017","31","1","0",""
"301703","130170006","345.4","0","301703","","3017","31","1","0",""
"5","130170007","100","0.44","15","empty","3017","5","-235","610","0"
"5","130170008","55","0.44","16","empty","3017","5","-235","610","0"
"0","130170009","","","","","3017","91","","",""
"1.05","130170010","1.05","0","1.05","","3017","123","7.4","1.05",""
"1000001","130170011","0","0.2","wait","","3017","3","","",""
"2","130170012","","","1","","3017","35","","",""
"5.4","130170013","","","0","","3017","93","","",""
"0.95","130170014","0.95","0","0.95","","3017","123","0.3","0.95",""
"310000","130170015","","","1","","3017","32","","",""
"310001","130170016","","","1","","3017","32","","",""
"0.2","130170017","","","0","","3017","93","","",""
"50","130170018","0.6","","50","","3017","122","","",""
"1000001","130170019","0","0.2","shock","","3017","3","","",""
"1.6","130170020","","","0","","3017","93","","",""
"301700","130170021","","","1","","3017","32","","",""
"1.2","130170022","","","0","","3017","93","","",""
"se_travel","130170023","0","","se_travel_treasure_croce_ui","","3017","23","","",""
"15","130170024","0","","punch","","3017","3","","",""
"16","130170025","0","","punch_B","","3017","3","","",""
"0.2","130170026","","","0","","3017","93","","",""
"1.05","130170027","1.05","11","1.05","","3017","123","0.1","1.05",""
"0.1","130170028","","","0","","3017","93","","",""
"0.95","130170029","0.95","0","0.95","","3017","123","0.3","0.95",""
"1","130170030","","","0","","3017","93","","",""
"se_travel","130170031","0","","se_travel_treasure_croce_door","","3017","23","","",""
"0.4","130170032","","","0","","3017","93","","",""
"301701","130170033","","","1","","3017","32","","",""
"0.9","130170034","","","0","","3017","93","","",""
"1.05","130170035","1.05","0","1.05","","3017","123","0","1.05",""
"75","130170036","0.6","","75","","3017","122","","",""
"301702","130170037","","","1","","3017","32","","",""
"0.4","130170038","","","0","","3017","93","","",""
"2","130170039","","","0","","3017","32","","",""
"310000","130170040","","","0","","3017","32","","",""
"0.4","130170041","","","0","","3017","93","","",""
"0.95","130170042","0.95","11","0.95","","3017","123","2","0.95",""
"0.2","130170043","","","0","","3017","93","","",""
"1000001","130170044","0","0.2","glad","","3017","3","","",""
"301703","130170045","","","1","","3017","32","","",""
"0.1","130170046","","","0","","3017","93","","",""
"996","130170047","","","1","","3017","32","","",""
"0.9","130170048","","","0","","3017","93","","",""
"1000001","130170049","0","0.2","joy","","3017","3","","",""
"1.7","130170050","","","0","","3017","93","","",""
"1000001","130170051","1","0","run_gatein","","3017","3","","",""
"se_travel","130170052","","","se_travel_treasure_cha_run","","3017","23","","",""
"1000001","130170053","-195","","450","","3017","2","0","1",""
"0.5","130170054","","","1","","3017","93","","",""
"1000001","130170055","1","0.4","1","","3017","6","0","1","0"
"0.4","130170056","","","0","","3017","93","","",""
"1","130170057","","","","","3017","113","","",""
"310000","131000001","345.4","0","310000","","3100","31","1","0",""
"310001","131000002","0","0","310001","","3100","31","1","0",""
"0","131000003","","","","","3100","91","","",""
"1.05","131000004","1.05","0","1.05","","3100","123","7.4","1.05",""
"1000001","131000005","0","0.2","wait","","3100","3","","",""
"2","131000006","","","1","","3100","35","","",""
"5.4","131000007","","","0","","3100","93","","",""
"0.95","131000008","0.95","0","0.95","","3100","123","0.3","0.95",""
"310000","131000009","","","1","","3100","32","","",""
"310001","131000010","","","1","","3100","32","","",""
"0.2","131000011","","","0","","3100","93","","",""
"50","131000012","0.6","","50","","3100","122","","",""
"1000001","131000013","0","0.2","shock","","3100","3","","",""
"1.6","131000014","","","0","","3100","93","","",""
"2","131000015","","","","","3100","113","","",""
"6","131110001","345.4","0","6","","3111","31","1","0",""
"7","131110002","345.4","0","7","","3111","31","1","0",""
"8","131110003","345.4","0","8","","3111","31","1","0",""
"3","131110004","55","1.3","13","appear","3111","5","0","8000","0"
"0","131110005","","","","","3111","91","","",""
"13","131110006","1","0","1","","3111","6","0","1","0"
"13","131110007","-250","","95","","3111","2","0","0",""
"1.05","131110008","1.05","0","1.05","","3111","123","7.4","1.05",""
"1000001","131110009","0","0.2","wait","","3111","3","","",""
"2","131110010","","","1","","3111","35","","",""
"4.9","131110011","","","0","","3111","93","","",""
"0.95","131110012","0.95","0","0.95","","3111","123","0.3","0.95",""
"se_travel","131110013","0","","se_travel_treasure_ghost_fail","","3111","23","","",""
"8","131110014","","","1","","3111","32","","",""
"8","131110015","","","0","","3111","35","","",""
"6","131110016","","","1","","3111","32","","",""
"0.1","131110017","","","0","","3111","93","","",""
"2","131110018","","","0","","3111","32","","",""
"3","131110019","","","0","","3111","32","","",""
"1000001","131110020","0","","dotEyes","","3111","3","","",""
"0.3","131110021","","","0","","3111","93","","",""
"13","131110022","0","","appear","","3111","3","","",""
"13","131110023","1","0","1","","3111","6","1","1","0"
"0.67","131110024","","","0","","3111","93","","",""
"1000001","131110025","0","","shock_jump","","3111","3","","",""
"1000001","131110026","-250","","70","","3111","2","0","1",""
"1.1","131110027","","","0","","3111","93","","",""
"1000001","131110028","1","","escape","","3111","3","","",""
"1000001","131110029","-250","","-350","","3111","2","0","1.2",""
"13","131110030","0","","march","","3111","3","","",""
"0.2","131110031","","","0","","3111","93","","",""
"7","131110032","","","1","","3111","32","","",""
"0.1","131110033","","","0","","3111","93","","",""
"6","131110034","","","0","","3111","32","","",""
"1.6","131110035","","","0","","3111","93","","",""
"2","131110036","","","","","3111","113","","",""
"1000001","131120001","1","0.2","idle","","3112","3","","",""
"301200","131120002","0","0","13","","3112","31","1","0",""
"101","131120003","0","0","14","","3112","31","1","0",""
"301205","131120004","0","0","15","","3112","31","1","0",""
"301206","131120005","130","0","16","","3112","31","1","-170",""
"6","131120006","345.4","0","18","","3112","31","1","0",""
"301201","131120007","345.4","0","20","","3112","31","1","0",""
"301202","131120008","345.4","0","21","","3112","31","1","0",""
"1","131120009","55","1","3","round_monster_walk","3112","5","-234","9340","0"
"0","131120010","","","","","3112","91","","",""
"3","131120011","1","0","1","","3112","6","0","1","0"
"3","131120012","-234","0","345","","3112","2","0","0","0"
"1.05","131120013","1.05","0","1.05","","3112","123","7.4","1.05","0"
"1000001","131120014","0","0.2","wait","","3112","3","","",""
"2","131120015","","","1","","3112","35","","",""
"4.3","131120016","","","0","","3112","93","","",""
"0.95","131120017","0.95","0","0.95","","3112","123","0.4","0.95",""
"21","131120018","","","1","","3112","32","","",""
"21","131120019","","","0","","3112","35","","",""
"se_travel","131120020","","","se_travel_treasure_monster_failure","","3112","23","","",""
"18","131120021","","","1","","3112","32","","",""
"0.1","131120022","","","0","","3112","93","","",""
"2","131120023","","","0","","3112","32","","",""
"3","131120024","1","0.3","1","","3112","6","1","1","0"
"13","131120025","","","1","","3112","32","","",""
"3","131120026","0","","round_monster_appear","","3112","3","","",""
"1000001","131120027","0","","back","","3112","3","","",""
"0.67","131120028","","","0","","3112","93","","",""
"3","131120029","0","0.2","round_monster_walk","","3112","3","","",""
"3","131120030","-234","0","220","","3112","2","0","1.4","0"
"20","131120031","","","1","","3112","32","","",""
"0.1","131120032","","","0","","3112","93","","",""
"18","131120033","","","0","","3112","32","","",""
"1","131120034","","","0","","3112","93","","",""
"3","131120035","0","0.3","round_monster_attack","","3112","3","","",""
"0.5","131120036","","","0","","3112","93","","",""
"15","131120037","","","1","","3112","32","","",""
"1000001","131120038","1","0.2","back_loop","","3112","3","","",""
"1","131120039","","","0","","3112","93","","",""
"16","131120040","","","1","","3112","32","","",""
"0","131120041","0.5","","50","","3112","122","","",""
"1000001","131120042","-250","","40","","3112","2","0","0",""
"1000001","131120043","0","0","shock_jump","","3112","3","","",""
