af7e6c43e2a3938f917b73bd1adbd51ac7a4cf16ef38e196356126a7f7c301e6,0308f0f6cb68fe6c1d2d0247444dc6507a8474a802ed85c89c77009a8a426a35,b59984b542ed14a75b84de290440272c95864f7ed2134092802867486b084a2e,eea115fd9d2ba3d56e4dc07d746aab4eac76fb8e988034b7a9424598617d79ba,f3d2704c13e66452789fab3ffbd2a869cebd32cfa411959f4ba2de47d05d8f65,a3493afe4cfe02b32846ade7fe65a5844d4d101552a764446dd381ec85551cd8
"スズナ（サマー）","500683","110001","海_ステージ","0","4"
"イオ（サマー）","500683","110101","海_ステージ","0","2"
"サレン（サマー）","500164","110301","マルジェン海岸_昼","0","2"
"マコト（サマー）","500710","110401","琉球風の海岸","0","6"
"カオリ（サマー）","500710","110501","琉球風の海岸","0","4"
"マホ（サマー）","500710","110601","琉球風の海岸","0","4"
"アオイ（編入生）","500730","110701","聖テレサ女学院_正門","0","2"
"クロエ","500730","110801","聖テレサ女学院_正門","0","2"
"チエル","500730","110901","聖テレサ女学院_正門","0","2"
"ユニ","500730","111001","聖テレサ女学院_正門","0","4"
"キョウカ（ハロウィン）","500811","111101","屋敷_メインホール","0","2"
"ミソギ（ハロウィン）","500811","111201","屋敷_メインホール","0","4"
"ミミ（ハロウィン）","500811","111301","屋敷_メインホール","0","4"
"ルナ","500175","111401","ミステリオン森林","0","4"
"クリスティーナ（クリスマス）","500038","111501","ランドソル_繁華街_クリスマス_夜","0","4"
"ノゾミ（クリスマス）","500038","111601","ランドソル_繁華街_クリスマス_夜","0","4"
"イリヤ（クリスマス）","500038","111701","ランドソル_繁華街_クリスマス_夜","0","4"
"ぺコリーヌ（ニューイヤー）","500910","111801","ランドソル_繁華街_駅伝","0","2"
"コッコロ（ニューイヤー）","500910","111901","ランドソル_繁華街_駅伝","0","2"
"キャル（ニューイヤー）","500910","112001","ランドソル_繁華街_駅伝","0","6"
"スズメ（ニューイヤー）","500910","112101","ランドソル_繁華街_駅伝","0","2"
"カスミ（マジカル）","500010","112201","ランドソル_市街地_昼","0","2"
"シオリ（マジカル）","500010","112301","ランドソル_市街地_昼","0","2"
"ウヅキ（デレマス）","500920","112401","ムーサの町_昼","0","4"
"リン（デレマス）","500920","112501","ムーサの町_昼","0","2"
"ミオ（デレマス）","500920","112601","ムーサの町_昼","0","4"
"リン（レンジャー）","500995","112701","牧場 昼","0","2"
"マヒル（レンジャー）","500995","112801","牧場 昼","0","2"
"リノ（ワンダー）","501000","112901","本の世界_平原","0","4"
"アユミ（ワンダー）","501000","113001","本の世界_平原","0","2"
"ルカ（サマー）","501030","113101","ウィッシュビーチ","0","6"
"アンナ（サマー）","501030","113201","ウィッシュビーチ","0","4"
"ナナカ（サマー）","501030","113301","ウィッシュビーチ","0","4"
"ハツネ（サマー）","501100","113401","ビーチグラウンド","0","4"
"ミサト（サマー）","501100","113501","ビーチグラウンド","0","4"
"ジュン（サマー）","500164","113601","マルジェン海岸_昼","0","2"
"アカリ（エンジェル）","500010","113701","ランドソル_市街地_昼","0","4"
"ヨリ（エンジェル）","500010","113801","ランドソル_市街地_昼","0","2"
"ツムギ（ハロウィン）","501130","113901","ハロウィンパーク_昼","0","4"
"レイ（ハロウィン）","501130","114001","ハロウィンパーク_昼","0","3"
"マツリ（ハロウィン）","501130","114101","ハロウィンパーク_昼","0","4"
"モニカ（マジカル）","500010","114201","ランドソル_市街地_昼","0","4"
"トモ（マジカル）","500010","114301","ランドソル_市街地_昼","0","2"
"アキノ（クリスマス）","500874","114401","舞台_クリスマス_昼","0","4"
"サレン（クリスマス）","500874","114501","舞台_クリスマス_昼","0","2"
"ユカリ（クリスマス）","500874","114601","舞台_クリスマス_昼","0","2"
"ムイミ（ニューイヤー）","501162","114701","オーマの町_昼","0","4"
"ネネカ（ニューイヤー）","501162","115001","オーマの町_昼","0","2"
"コッコロ（儀装束）","500140","115501","プラノ平原","0","4"
"ユイ（儀装束）","500140","115601","プラノ平原","0","17"
"カスミ（サマー）","500160","115701","マルジェン海岸_昼","0","4"
"リマ（シンデレラ）","500130","115801","エステレラ街道","0","4"
"マコト（シンデレラ）","500130","115901","エステレラ街道","0","4"
"マホ（シンデレラ）","500060","116001","自警団 拠点","0","4"
"クロエ（聖学祭）","500732","116201","聖テレサ女学院_正門_聖学祭","0","2"
"チエル（聖学祭）","500732","116301","聖テレサ女学院_正門_聖学祭","0","2"
"ユニ（聖学祭）","500732","116401","聖テレサ女学院_正門_聖学祭","0","4"
"イノリ（タイムトラベル）","500010","116501","ランドソル_市街地_昼","0","18"
"カヤ（タイムトラベル）","500010","116601","ランドソル_市街地_昼","0","4"
"アオイ（作業服）","501340","116701","おもちゃ工場","0","4"
"タマキ（作業服）","501340","116801","おもちゃ工場","0","4"
"ミフユ（作業服）","501340","116901","おもちゃ工場","0","2"
"エリコ（サマー）","500160","117001","マルジェン海岸_昼","0","4"
"シズル（サマー）","500160","117101","マルジェン海岸_昼","0","4"
"ノゾミ（サマー）","501363","117201","サマーフェス会場","0","4"
"チカ（サマー）","501363","117301","サマーフェス会場","0","2"
"ツムギ（サマー）","501363","117401","サマーフェス会場","0","4"
"ミツキ（オーエド）","501380","117501","オーエド_診察室_昼","0","6"
"ユキ（オーエド）","501380","117601","オーエド_診察室_昼","0","4"
"カオリ（ハロウィン）","505035","117701","ランドソル_繁華街_ハロウィン_夜","0","4"
"ニノン（ハロウィン）","505035","117801","ランドソル_繁華街_ハロウィン_夜","0","4"
"スズナ（ハロウィン）","505035","117901","ランドソル_繁華街_ハロウィン_夜","0","4"
"クレジッタ","501070","118001","ランドソル_王城周辺_執務室","0","4"
"ランファ","501040","118101","レイジ・レギオン拠点","0","4"
"ミソラ","501040","118201","レイジ・レギオン拠点","0","4"
"カリン","500371","118501","ランドソル_お役所","0","4"
"ネビア","500360","118601","美食殿_ギルドハウス","0","4"
"イオ（ノワール）","501450","119001","ノワールのアジト","0","4"
"クウカ（ノワール）","501450","119101","ノワールのアジト","0","4"
"マヒル（クリスマス）","500863","119201","牧場_雪_昼","0","4"
"リノ（クリスマス）","500036","119301","ランドソル_繁華街_クリスマス_昼","0","4"
"ミヤコ（クリスマス）","500038","119901","ランドソル_繁華街_クリスマス_夜","0","4"
"シズル（ノワール）","501450","120001","ノワールのアジト","0","2"
"シェフィ（ニューイヤー）","501480","120701","美食殿_ギルドハウス_外観_お正月","0","2"
"ルカ（ニューイヤー）","500560","120801","参道_昼","0","3"
"イリヤ（ニューイヤー）","500260","120901","古城","0","4"
"ぺコリーヌ（オーバーロード）","500361","121001","美食殿 ギルドハウス","0","3"
"キャル（オーバーロード）","500361","121101","美食殿 ギルドハウス","0","2"
"ラビリスタ（オーバーロード）","500341","121201","ラビリンスギルド拠点","0","3"
"クルミ（ステージ）","501510","121301","牧場_温泉施設_舞台","0","2"
"ミサキ（ステージ）","500354","121401","サレンディア救護院_物産展","0","2"
"アユミ（怪盗）","500012","121501","ランドソル_市街地_夜","0","18"
"イノリ（怪盗）","500892","121601","路地裏_夜","0","20"
"アンナ（パイレーツ）","500843","121901","船の甲板","0","2"
"シノブ（パイレーツ）","500843","122001","船の甲板","0","20"
"アオイ（キャンプ）","501590","122101","キャンプ場_昼","0","20"
"ユカリ（キャンプ）","501590","122201","キャンプ場_昼","0","2"
"ヴァンピィ","500140","122301","プラノ平原","0","4"
"ヒヨリ（サマー）","501610","122401","リゾートビーチ_昼","0","4"
"レイ（サマー）","501610","122501","リゾートビーチ_昼","0","2"
"ユイ（サマー）","501610","122601","リゾートビーチ_昼","0","6"
"キョウカ（サマー）","500285","122701","無人島","0","2"
"ミソギ（サマー）","500160","122801","マルジェン海岸_昼","0","4"
"ミミ（サマー）","500160","122901","マルジェン海岸_昼","0","4"
"アメス","500270","123001","ソルの塔_庭園","0","4"
"マホ（エクスプローラー）","500833","123101","密林_テント","0","4"
"アヤネ（エクスプローラー）","501850","123201","密林","0","4"
"ネア","501040","123301","レイジ・レギオン拠点","0","4"
"リン（ハロウィン）","501870","123501","舞台_コンテンツフェス_昼","0","2"
"トモ（ハロウィン）","501860","123601","ランドソル_繁華街_ハロウィン_フェス","0","2"
"ナナカ（ハロウィン）","501870","123701","舞台_コンテンツフェス_昼","0","4"
"クリスティーナ（ワイルド）","500170","123801","ミステリオン森林","0","2"
"マツリ（ワイルド）","500090","123901","ランドソル 王城入口","0","2"
"アカリ（クリスマス）","500036","124001","ランドソル_繁華街_クリスマス_昼","0","2"
"ヨリ（クリスマス）","500036","124101","ランドソル_繁華街_クリスマス_昼","0","2"
"ジュン（クリスマス）","500036","124201","ランドソル_繁華街_クリスマス_昼","0","2"
"ホマレ（ニューイヤー）","501890","124501","オーエド_温泉旅館_客室_昼","0","2"
"ミサト（ニューイヤー）","500553","124601","お正月神殿","0","4"
"ミツキ（ニューイヤー）","501890","124701","オーエド_温泉旅館_客室_昼","0","2"
"ノゾミ（リベレイター）","500033","124801","ランドソル_繁華街_祭_昼","0","2"
"カヤ（リベレイター）","500033","124901","ランドソル_繁華街_祭_昼","0","4"
"ムイミ（リベレイター）","500033","125001","ランドソル_繁華街_祭_昼","0","2"
"タマキ（カフェ）","501950","125101","ランドソル_飲食店内_猫カフェ_昼","0","4"
"モニカ（カフェ）","501950","125201","ランドソル_飲食店内_猫カフェ_昼","0","2"
"コッコロ（レンジャー）","501690","125301","平原_競技場_昼","0","2"
"シオリ（レンジャー）","501690","125401","平原_競技場_昼","0","20"
"ジータ（ウォーロック）","500033","125501","ランドソル_繁華街_祭_昼","0","4"
"ビカラ","500033","125601","ランドソル_繁華街_祭_昼","0","4"
"カリン（アルケミスト）","500371","125701","ランドソル_お役所","0","2"
"リリ（フォールン）","501670","125801","ジオ・テオゴニア_街道_昼","0","2"
"クリア（フォールン）","501670","126001","ジオ・テオゴニア_街道_昼","0","2"
"プレシア（フォールン）","501670","126101","ジオ・テオゴニア_街道_昼","0","2"
"イリヤ（儀装束）","501372","126201","滝壺_夜","0","20"
"ユキ（儀装束）","500040","126301","ランドソル ギルドハウス","0","4"
"クローチェ","501660","126401","ジオ・テオゴニア_平原_昼","0","4"
"ライラエル","501720","126501","ジオ・テオゴニア_キャッスル・オブ・パルフェ_玉座の間_昼","0","4"
"ネネカ（サマー）","500692","126601","海辺の店_夜","0","2"
"アキノ（サマー）","501030","126701","ウィッシュビーチ","0","4"
"ユカリ（サマー）","500280","126801","無人島","0","4"
"ランファ（サマー）","501030","126901","ウィッシュビーチ","0","2"
"クウカ（サマー）","500160","127001","マルジェン海岸_昼","0","4"
"シノブ（サマー）","500162","127101","マルジェン海岸_夜","0","4"
"キャル（編入生）","502030","127201","アンブローズ魔法学園_屋上_昼","0","2"
"スズナ（編入生）","502030","127301","アンブローズ魔法学園_屋上_昼","0","4"
"サレン（サラサリア）","502060","127501","砂漠の国の大通り_昼","0","2"
"ルカ（サラサリア）","501370","127601","滝壺_昼","0","3"
"リンド","501730","127701","ジオ・テオゴニア_キャッスル・オブ・パルフェ_大広間","0","20"
"ヴルム","501730","127801","ジオ・テオゴニア_キャッスル・オブ・パルフェ_大広間","0","4"
"ペコリーヌ（クリスマス）","500036","127901","ランドソル_繁華街_クリスマス_昼","0","2"
"クレジッタ（クリスマス）","500036","128001","ランドソル_繁華街_クリスマス_昼","0","2"
"イノリ（ニューイヤー）","500893","128301","路地裏_雪_昼","0","4"
"ハツネ（ニューイヤー）","501470","128401","ランドソル_繁華街_お正月_昼","0","4"
"カスミ（ニューイヤー）","501470","128501","ランドソル_繁華街_お正月_昼","0","18"
"ヒヨリ（アストラル）","500140","128701","プラノ平原","0","2"
"レイ（アストラル）","500140","128801","プラノ平原","0","3"
"ユイ（アストラル）","500140","128901","プラノ平原","0","2"
"エリス","500510","129001","花畑","0","2"
"ユニ（ウィンター）","502220","129301","メルクリゾート_プールエリア_昼","0","2"
"クロエ（ウィンター）","502220","129401","メルクリゾート_プールエリア_昼","0","2"
"チエル（ウィンター）","502220","129501","メルクリゾート_プールエリア_昼","0","2"
"アネモネ","502071","129601","ジオ・ゲヘナ_ジャングル_夜","0","2"
"ネフィ＝ネラ","502170","129701","ジオ・ゲヘナ_鬼岩城塞_王座の間_昼","0","2"
"マコト（コマンダー）","501680","129801","平原_昼","0","2"
"エリコ（コマンダー）","500030","129901","ランドソル 繁華街","0","4"
"ヤマト","501760","130001","バンディシャーク号_室内_居住部","0","3"
"ワカナ","501760","130101","バンディシャーク号_室内_居住部","0","4"
"フブキ","501760","130201","バンディシャーク号_室内_居住部","0","4"
"キョウカ（スプリング）","500020","130701","ランドソル_郊外","0","20"
"スズメ（スプリング）","500351","130801","サレンディア救護院_庭","0","2"
"クルル","502270","130901","グランドリームパーク_エントランス_昼","0","4"
"マホ（ドリームパーク）","502280","131001","グランドリームパーク_園内_昼","0","2"
"ネア（サマー）","501030","131101","ウィッシュビーチ","0","3"
"ミソラ（サマー）","500690","131201","海辺の店_昼","0","4"
"リリ（サマー）","500163","131601","海_パラソル_昼","0","2"
"アメス（サマー）","500160","131701","マルジェン海岸_昼","0","4"
"ホマレ（サマー）","500285","131801","無人島","0","2"
"エミリア（サマー）","501030","131901","ウィッシュビーチ","0","2"
"エキドナ（サマー）","500160","132001","マルジェン海岸_昼","0","2"
"レム（サマー）","500160","132101","マルジェン海岸_昼","0","2"
"ノゾミ（アルケミスト）","502360","132201","アルケス錬金堂_工房_昼","0","4"
"ルイズマリー","502360","132301","アルケス錬金堂_工房_昼","0","2"
"ソノ","502370","132501","アルケス錬金堂_店内_昼","0","2"
"ライラエル（クリスマス）","500038","132801","ランドソル_繁華街_クリスマス_夜","0","4"
"イオ（クリスマス）","500038","132901","ランドソル_繁華街_クリスマス_夜","0","2"
"グレイス","502290","133001","ジオ・ニヴルヘル_遺灰砂漠","0","4"
"ヴァイオレット","502460","133101","ジオ・ニヴルヘル_巨鯨城_ホール","0","2"
"モニカ（ニューイヤー）","501470","133201","ランドソル_繁華街_お正月_昼","0","4"
"サレン（ニューイヤー）","501470","133501","ランドソル_繁華街_お正月_昼","0","2"
"メドゥーサ","500110","133601","サレンディア救護院_広間_昼","0","2"
"ラビリスタ（アルファ）","500341","133701","ラビリンスギルド拠点","0","2"
"ネネカ（アルファ）","500260","133801","古城","0","2"
"クリスティーナ（アルファ）","500780","133901","ランドソル_繁華街_祭_壊れ_昼","0","4"
"フィオ","500130","134001","エステレラ街道","0","2"
"ランファ（儀装束）","501202","134301","コッコロの里_夜","0","2"
"チカ（儀装束）","501220","134401","コッコロの里_社の中_昼","0","2"
"クローチェ（エアリアル）","501670","134501","ジオ・テオゴニア_街道_昼","0","4"
"アオイ（パイロット）","500140","134601","プラノ平原","0","2"
"ホウオウ","502080","134701","ジオ・ゲヘナ_平原_昼","0","2"
"ヒヨリ（プリンセス）","500130","180101","エステレラ街道","0","2"
"ユイ（プリンセス）","500130","180201","エステレラ街道","0","4"
"レイ（プリンセス）","500130","180301","エステレラ街道","0","3"
"ぺコリーヌ（プリンセス）","500130","180401","エステレラ街道","0","4"
"コッコロ（プリンセス）","500130","180501","エステレラ街道","0","2"
"キャル（プリンセス）","500130","180601","エステレラ街道","0","18"
"ハツネ＆シオリ","501370","180701","滝壺_昼","0","2"
"ミソギ＆ミミ＆キョウカ","500194","180801","エルフの森_秘密基地","0","2"
"アキノ＆サレン","500140","180901","プラノ平原","0","2"
"アン＆グレア","500213","181001","中腹_昼","0","2"
"シズル＆リノ","500010","181101","ランドソル_市街地_昼","0","2"
"シェフィ（プリンセス）","500130","181201","エステレラ街道","0","2"
