ac0162aa0d3c634da77f46b3405f2216f2f83cb8729490bde7417c8a851a4aaf,225c7d1c76697fd763a33adfb28e3406302159ea0aaa59600ff5c720c58780ad,1e6480d371a6f07a1b27ad8d674892a2558500b701e19979b643483b9100f1c9,a501aa48a89d072ba2b6354993f159e768ecfebb2b6af119c3d89ca5f85e640e,4f8d87484fe151c35d9b68def19bff9d6b4580dcb44f51f1772ffc842a48e346,a6e542fe3b64de34b452f12d7a4c9fc16cd2cd21320683d249a6254b333a302e,df33a1797d3e060d8865d561ccdb953fc6d7d63c19ba629c22819f3bef1e1265
"チカのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、チカへの熱い思いがいっそう高まること間違いなし。","1.0875","チカのブロマイド","2","0.675","10407","7"
"チカのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","1.0875","チカのサマーブロマイド","2","0.675","10408","7"
"チカのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","1.0875","チカのクリスマスブロマイド","2","0.675","10409","7"
"ツムギのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","0.665625","ツムギのリストバンド","3","1.0125","10501","8"
"ノゾミのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","0.665625","ノゾミのリストバンド","3","1.0125","10502","8"
"チカのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","0.665625","チカのリストバンド","3","1.0125","10503","8"
"ツムギの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","0.365234375","ツムギのポスター","3","0.470703125","10601","10"
"ノゾミの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","0.365234375","ノゾミのポスター","3","0.470703125","10602","10"
"チカの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","0.365234375","チカのポスター","3","0.470703125","10603","11"
"メンバー３人が写った大迫力の大型ポスター。部屋に貼っておけば\nおはようからおやすみまで、いつでも彼女たちの笑顔に会える。\n今日も明日も頑張ろう！","0.365234375","カルミナのポスター","3","0.470703125","10604","11"
"イベント会場でのみ入手できるサマーライブ限定デザインの会員\nカード。会場でしか手に入らないためプレミア度高め。真のファン\nならぜひともゲットしたい。","0.953125","会場限定会員カード","3","0.53125","10701","8"
"ツムギのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","0.443359375","ツムギのマフラータオル","2","0.4609375","10801","12"
"ノゾミのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","0.443359375","ノゾミのマフラータオル","2","0.4609375","10802","12"
"チカのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","0.443359375","チカのマフラータオル","2","0.4609375","10803","13"
"カルミナのサマーライブデザインのマフラータオル。汎用性の高い\n定番アイテム。ライブの汗で濡れた肌を拭くことはもちろん、応援\nグッズとして使うことも可能。","0.443359375","カルミナのマフラータオル","2","0.4609375","10804","13"
"ツムギの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","0.33046875","ツムギの応援うちわ","1","0.459375","10901","9"
"ノゾミの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","0.33046875","ノゾミの応援うちわ","1","0.459375","10902","9"
"チカの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","0.33046875","チカの応援うちわ","1","0.459375","10903","9"
"カルミナの公式応援うちわ。シンプルなデザインのため、普段使い\nにも最適な一品。いつでもどこでも彼女たちを応援できるぞ。","0.33046875","カルミナの応援うちわ","1","0.459375","10904","9"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","0.671875","ツムギのステッカー","1","0.8671875","11001","5"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","0.671875","ノゾミのステッカー","1","0.8671875","11002","5"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","0.671875","チカのステッカー","1","0.8671875","11003","5"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","0.975","ツムギの缶バッジ","1","0.975","11101","5"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","0.975","ノゾミの缶バッジ","1","0.975","11102","5"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","0.975","チカの缶バッジ","1","0.975","11103","5"
"ライブで一緒に盛り上がるための必携アイテム。いろんな色に切り\n替えができ、場面や曲で使い分けることが可能。カラフルにライブ\nを盛り上げよう。","0.39453125","カルミナライブのペンライト","2","0.49609375","11201","9"
"ツムギがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","0.65625","ツムギのマグカップ","2","0.671875","11301","8"
"ノゾミがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","0.65625","ノゾミのマグカップ","2","0.671875","11302","8"
"チカがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","0.65625","チカのマグカップ","2","0.671875","11303","8"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のツムギが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","0.984375","ツムギのペナント","1","0.6328125","11401","4"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のノゾミが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","0.984375","ノゾミのペナント","1","0.640625","11402","4"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のチカが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","0.984375","チカのペナント","1","0.6328125","11403","4"
"ポップでキュートに描かれたツムギのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1.21875","ツムギのピンバッジ","1","1.21875","11501","3"
"サマー衣装のツムギがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のツムギの表情\nが魅力的な一品。","1.21875","ツムギのサマーピンバッジ","1","1.21875","11502","3"
"ポップでキュートに描かれたノゾミのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1.21875","ノゾミのピンバッジ","1","1.21875","11503","3"
"サマー衣装のノゾミがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のノゾミの表情\nが魅力的な一品。","1.21875","ノゾミのサマーピンバッジ","1","1.21875","11504","3"
"ポップでキュートに描かれたチカのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1.21875","チカのピンバッジ","1","1.21875","11505","3"
"サマー衣装のチカがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のチカの表情\nが魅力的な一品。","1.21875","チカのサマーピンバッジ","1","1.21875","11506","3"
"ツムギ・オンステージ！ツムギがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","0.625","ツムギのボトルキャップ","1","0.75","11601","6"
"サマー衣装のツムギが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","0.625","ツムギのサマーボトルキャップ","1","0.75","11602","6"
"ノゾミ・オンステージ！ノゾミがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","0.625","ノゾミのボトルキャップ","1","0.75","11603","6"
"サマー衣装のノゾミが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","0.625","ノゾミのサマーボトルキャップ","1","0.75","11604","6"
"チカ・オンステージ！チカがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","0.625","チカのボトルキャップ","1","0.75","11605","6"
"サマー衣装のチカが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","0.625","チカのサマーボトルキャップ","1","0.75","11606","6"
"ツムギのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","0.890625","ツムギのミニタペストリー","1","0.8828125","11701","4"
"ノゾミのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","0.890625","ノゾミのミニタペストリー","1","0.8828125","11702","4"
"チカのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","0.890625","チカのミニタペストリー","1","0.8828125","11703","4"
