0c9b2c2613f6a043dd1b4625a396fd8b899259a123f10299f10d85a48a09c076,e3bffd4f51abc1d5bcd1479efec395c1b9c8a2128a3233c8f83ddcc64c8160b8,070cff78793c224423d3c9ea31972fa8bf7478bf30ce25311c275c15ba0fa8f0,3f340bb1428263ee94e57eec3c373e78c227f6864e3b97636b442940fa71b288,5f6d4283710e3b713ecc2ee1958f2cdcffce0365d30b4920f177dd02e312803e,3331f5f38cdcdefe5f962377cf05542d37420fc2cd01e08d9ecc3c33c53ebe21,25e2f1b2d87d683d119541d4080570fdde22bcd54bac9206ddf0f98ba4f8292b,de8af9b9f3e2c84339038336304fa4c7639ba957fb1167761e13127f10998e92,7cf7cd8d59d555e5f233f1bf7c23d74fb77b61c6ad6d957ed9c6467c07e8e2aa,bff9ce1c29bbc514064c4e9049b0bbf1bbd21734dc1fa16fbacaf85fa73532b2,3cb86277a7895adfc86de055c1687fb3f7a97c7be2fda966f8aec414a950e7a0
"-505","","1.47","1.47","100","0","121","2","2201","","122010010"
"1000001","","1","","run_talk1","0.2","3","","2201","","122010011"
"1000001","","-240","1","100","","2","0","2201","","122010012"
"se_travel","","0","","se_travel_treasure_cha_run","","23","","2201","","122010013"
"1","","","","0","","93","","2201","","122010014"
"300000","","345.4","0","300000","0","31","1","3000","","130000001"
"0","","","","","","91","","3000","","130000002"
"1.05","","1.05","1.05","1.05","0","123","7.4","3000","","130000003"
"1000001","","0","","wait","0.2","3","","3000","","130000004"
"2","","","","1","","35","","3000","","130000005"
"4.9","","","","0","","93","","3000","","130000006"
"0.95","","0.95","0.95","0.95","0","123","0.4","3000","","130000007"
"300000","","","","1","","32","","3000","","130000008"
"0.1","","","","0","","93","","3000","","130000009"
"2","","","","0","","32","","3000","","130000010"
"0.1","","","","0","","93","","3000","","130000011"
"996","","","","1","","32","","3000","","130000012"
"1000001","","0","","joy_from_wait","0","3","","3000","","130000013"
"1.9","","","","0","","93","","3000","","130000014"
"1000001","","0","","glad_from_joy","0","3","","3000","","130000015"
"1.5","","","","0","","93","","3000","","130000016"
"1000001","","1","","run_gatein","0.2","3","","3000","","130000017"
"se_travel","","","","se_travel_treasure_cha_run","","23","","3000","","130000018"
"1000001","","-195","1","450","","2","0","3000","","130000019"
"0.5","","","","1","","93","","3000","","130000020"
"1000001","","1","1","1","0.4","6","0","3000","0","130000021"
"0.4","","","","0","","93","","3000","","130000022"
"1","","","","","","113","","3000","","130000023"
"300100","","345.4","0","300100","0","31","1","3001","","130010001"
"990001","","345.4","0","990001","1","31","1","3001","","130010002"
"0","","","","","","91","","3001","","130010003"
"1.05","","1.05","1.05","1.05","0","123","7.4","3001","","130010004"
"1000001","","0","","wait","0.2","3","","3001","","130010005"
"2","","","","1","","35","","3001","","130010006"
"5.4","","","","0","","93","","3001","","130010007"
"0.95","","0.95","0.95","0.95","0","123","0.4","3001","","130010008"
"1000001","","0","","glad","0.2","3","","3001","","130010009"
"300100","","","","1","","32","","3001","","130010010"
"996","","","","1","","32","","3001","","130010011"
"0.1","","","","0","","93","","3001","","130010012"
"2","","","","0","","32","","3001","","130010013"
"3","","","","0","","32","","3001","","130010014"
"1.5","","","","0","","93","","3001","","130010015"
"1000001","","0","","joy","0.2","3","","3001","","130010016"
"1.7","","","","0","","93","","3001","","130010017"
"1000001","","1","","run_gatein","0","3","","3001","","130010018"
"1000001","","-195","1","450","","2","0","3001","","130010019"
"0.5","","","","1","","93","","3001","","130010020"
"1000001","","1","1","1","0.4","6","0","3001","0","130010021"
"0.4","","","","0","","93","","3001","","130010022"
"1","","","","","","113","","3001","","130010023"
"300100","","345.4","0","300100","0","31","1","3002","","130020001"
"990002","","345.4","0","990002","1","31","1","3002","","130020002"
"0","","","","","","91","","3002","","130020003"
"1.05","","1.05","1.05","1.05","0","123","7.4","3002","","130020004"
"1000001","","0","","wait","0.2","3","","3002","","130020005"
"2","","","","1","","35","","3002","","130020006"
"5.4","","","","0","","93","","3002","","130020007"
"0.95","","0.95","0.95","0.95","0","123","0.4","3002","","130020008"
"1000001","","0","","glad","0.2","3","","3002","","130020009"
"300100","","","","1","","32","","3002","","130020010"
"996","","","","1","","32","","3002","","130020011"
"0.1","","","","0","","93","","3002","","130020012"
"2","","","","0","","32","","3002","","130020013"
"3","","","","0","","32","","3002","","130020014"
"1.5","","","","0","","93","","3002","","130020015"
"1000001","","0","","joy","0.2","3","","3002","","130020016"
"1.7","","","","0","","93","","3002","","130020017"
"1000001","","1","","run_gatein","0","3","","3002","","130020018"
"1000001","","-195","1","450","","2","0","3002","","130020019"
"0.5","","","","1","","93","","3002","","130020020"
"1000001","","1","1","1","0.4","6","0","3002","0","130020021"
"0.4","","","","0","","93","","3002","","130020022"
"1","","","","","","113","","3002","","130020023"
"6","","345.4","0","6","0","31","1","3011","","130110001"
"8","","345.4","0","8","0","31","1","3011","","130110002"
"301100","","345.4","0","301100","0","31","1","3011","","130110003"
"0","","","","","","91","","3011","","130110004"
"1.05","","1.05","1.05","1.05","0","123","7.4","3011","","130110005"
"1000001","","0","","wait","0.2","3","","3011","","130110006"
"2","","","","1","","35","","3011","","130110007"
"4.9","","","","0","","93","","3011","","130110008"
"0.95","","0.95","0.95","0.95","0","123","0.3","3011","","130110009"
"se_travel","","0","","se_travel_treasure_ghost_success","","23","","3011","","130110010"
"8","","","","1","","32","","3011","","130110011"
"8","","","","0","","35","","3011","","130110012"
"6","","","","1","","32","","3011","","130110013"
"0.1","","","","0","","93","","3011","","130110014"
"2","","","","0","","32","","3011","","130110015"
"3","","","","0","","32","","3011","","130110016"
"1000001","","0","","dotEyes","","3","","3011","","130110017"
"0.87","","","","0","","93","","3011","","130110018"
"1000001","","0","","glad","0.2","3","","3011","","130110019"
"301100","","","","1","","32","","3011","","130110020"
"8","","","","1","","35","","3011","","130110021"
"0.6","","","","0","","93","","3011","","130110022"
"996","","","","1","","32","","3011","","130110023"
"0.5","","","","0","","93","","3011","","130110024"
"1000001","","0","","joy","","3","","3011","","130110025"
"1.67","","","","0","","93","","3011","","130110026"
"1000001","","1","","run_gatein","0","3","","3011","","130110027"
"1000001","","-195","1","450","","2","0","3011","","130110028"
"0.5","","","","1","","93","","3011","","130110029"
"1000001","","1","1","1","0.4","6","0","3011","0","130110030"
"0.4","","","","0","","93","","3011","","130110031"
"1","","","","","","113","","3011","","130110032"
"1000001","","1","","idle","0.2","3","","3012","","130120001"
"301200","","0","0","13","0","31","1","3012","","130120002"
"101","","0","0","14","0","31","1","3012","","130120003"
"301204","","260","-150","16","0","31","1","3012","","130120004"
"301205","","0","0","17","0","31","1","3012","","130120005"
"6","","345.4","0","18","0","31","1","3012","","130120006"
"301201","","345.4","0","20","0","31","1","3012","","130120007"
"301202","","345.4","0","21","0","31","1","3012","","130120008"
"1","round_monster_walk","55","9340","3","1","5","-234","3012","0","130120009"
"0","","","","","","91","","3012","","130120010"
"3","","1","1","1","0","6","0","3012","0","130120011"
"3","","-234","0","345","0","2","0","3012","0","130120012"
"1.05","","1.05","1.05","1.05","0","123","7.4","3012","0","130120013"
"1000001","","0","","wait","0.2","3","","3012","","130120014"
"2","","","","1","","35","","3012","","130120015"
"301203","","0","0","15","0","31","1","3012","","130120016"
"2","<weapon>_run","57","9340","1000002","0.89","1","-250","3012","0","130120017"
"4.3","","","","0","","93","","3012","","130120018"
"0.95","","0.95","0.95","0.95","0","123","0.4","3012","","130120019"
"21","","","","1","","32","","3012","","130120020"
"21","","","","0","","35","","3012","","130120021"
"se_travel","","","","se_travel_treasure_success_monster_helper_1","","23","","3012","","130120022"
"18","","","","1","","32","","3012","","130120023"
"0.1","","","","0","","93","","3012","","130120024"
"2","","","","0","","32","","3012","","130120025"
"3","","1","1","1","0.3","6","1","3012","0","130120026"
"13","","","","1","","32","","3012","","130120027"
"3","","0","","round_monster_appear","","3","","3012","","130120028"
"1000001","","0","","back","","3","","3012","","130120029"
"0.67","","","","0","","93","","3012","","130120030"
"3","","0","","round_monster_walk","0.2","3","","3012","","130120031"
"3","","-234","1.4","220","","2","0","3012","","130120032"
"20","","","","1","","32","","3012","","130120033"
"0.1","","","","0","","93","","3012","","130120034"
"18","","","","0","","32","","3012","","130120035"
"0.5","","","","0","","93","","3012","","130120036"
"1000002","","","","1","","4","","3012","","130120037"
"1000002","","-240","0","1445","","2","0","3012","","130120038"
"0.5","","","","0","","93","","3012","","130120039"
"3","","0","","round_monster_attack","0.3","3","","3012","","130120040"
"0.5","","","","0","","93","","3012","","130120041"
"17","","","","1","","32","","3012","","130120042"
"1000001","","0","","back_loop","0.1","3","","3012","","130120043"
"0.5","","","","0","","93","","3012","","130120044"
"1000002","","-240","0","950","","2","0","3012","","130120045"
"1000002","","-240","0.16","650","","2","0","3012","","130120046"
"1000002","","0","","<weapon>_run","0.2","3","","3012","","130120047"
"0.16","","","","0","","93","","3012","","130120048"
"1000002","","0","","<weapon>_attack_skipQuest","0.2","3","","3012","","130120049"
"0.1","","","","0","","93","","3012","","130120050"
"3","","-234","0","280","","2","0","3012","","130120051"
"3","","","","1","","4","","3012","","130120052"
"3","","0","","round_monster_die","0.2","3","","3012","","130120053"
"16","","","","1","","32","","3012","","130120054"
"0.5","","","","0","","93","","3012","","130120055"
"1000001","","-240","0","20","","2","0","3012","","130120056"
"1000001","","0","","back_origin","0","3","","3012","","130120057"
"1000001","","0","","surprise","0.2","3","","3012","","130120058"
"1000002","","1","","<weapon>_idle","0.2","3","","3012","","130120059"
"0.66","","","","0","","93","","3012","","130120060"
"15","","","","1","","32","","3012","","130120061"
"996","","","","1","","32","","3012","","130120062"
"3","","1","1","1","0.6","6","0","3012","","130120063"
"1000001","","0","","joy_short","0.2","3","","3012","","130120064"
"18","","","","1","","32","","3012","","130120065"
"0.02","","","","0","","93","","3012","","130120066"
"20","","","","0","","32","","3012","","130120067"
"21","","","","0","","32","","3012","","130120068"
"1.5","","","","0","","93","","3012","","130120069"
"1000001","","0","","smile","0.2","3","","3012","","130120070"
"1000002","","1","","<weapon>_run","0","3","","3012","","130120071"
"1000002","","","","0","","4","","3012","","130120072"
"1000002","","-250","2","1500","","2","0","3012","","130120073"
"1","","","","0","","93","","3012","","130120074"
"1000002","","1","1","1","0.2","6","0","3012","","130120075"
"1000001","","1","","run_gatein","0.2","3","","3012","","130120076"
"1000001","","-200","1","360","","2","0","3012","","130120077"
"0.5","","","","0","","93","","3012","","130120078"
"1000001","","1","1","1","0.4","6","0","3012","","130120079"
"0.4","","","","0","","93","","3012","","130120080"
"1","","","","0","","113","","3012","","130120081"
"301300","","345.4","0","301300","0","31","1","3013","","130130001"
"0","","","","","","91","","3013","","130130002"
"1000001","","0","","wait_gradeUp","0.2","3","","3013","","130130003"
"301300","","","","1","","32","","3013","","130130004"
"0.1","","","","0","","93","","3013","","130130005"
"2","","","","0","","32","","3013","","130130006"
"0.8","","","","0","","93","","3013","","130130007"
"1.05","","1.05","1.05","1.05","0","123","0","3013","","130130008"
"5","","0.5","","5","","122","","3013","","130130009"
"1.1","","","","0","","93","","3013","","130130010"
"1.05","","1.05","1.05","1.05","0","123","0","3013","","130130011"
"10","","0.5","","10","","122","","3013","","130130012"
"0.8","","","","0","","93","","3013","","130130013"
"1000001","","0","","glad","0.2","3","","3013","","130130014"
"0.1","","","","0","","93","","3013","","130130015"
"0.907","","0.907","0.907","0.907","2","123","2","3013","","130130016"
"0.3","","","","0","","93","","3013","","130130017"
"996","","","","1","","32","","3013","","130130018"
"0.5","","","","0","","93","","3013","","130130019"
"1000001","","0","","joy","0.2","3","","3013","","130130020"
"1.7","","","","0","","93","","3013","","130130021"
"1000001","","1","","run_gatein","0","3","","3013","","130130022"
"1000001","","-195","1","450","","2","0","3013","","130130023"
"0.5","","","","1","","93","","3013","","130130024"
"1000001","","1","1","1","0.4","6","0","3013","0","130130025"
"0.4","","","","0","","93","","3013","","130130026"
"1","","","","","","113","","3013","","130130027"
"301400","","345.4","0","301400","0","31","1","3014","","130140001"
"0","","","","","","91","","3014","","130140002"
"1.05","","1.05","1.05","1.05","0","123","7.4","3014","","130140003"
"1000001","","0","","wait","0.2","3","","3014","","130140004"
"301400","","","","1","","32","","3014","","130140005"
"0.1","","","","0","","93","","3014","","130140006"
"2","","","","0","","32","","3014","","130140007"
"3.4","","","","0","","93","","3014","","130140008"
"0.95","","0.95","0.95","0.95","5","123","3.2","3014","","130140009"
"1.6","","","","0","","93","","3014","","130140010"
"1000001","","0","","relief","0.2","3","","3014","","130140011"
"996","","","","1","","32","","3014","","130140012"
"1.7","","","","0","","93","","3014","","130140013"
"1000001","","1","","run_gatein","0","3","","3014","","130140014"
"1000001","","-195","1","450","","2","0","3014","","130140015"
"0.5","","","","1","","93","","3014","","130140016"
"1000001","","1","1","1","0.4","6","0","3014","0","130140017"
"0.4","","","","0","","93","","3014","","130140018"
"1","","","","","","113","","3014","","130140019"
"301501","","345.4","0","301501","0","31","1","3015","","130150001"
"301500","","345.4","0","301500","1","31","1","3015","","130150002"
"0","","","","","","91","","3015","","130150003"
"1.05","","1.05","1.05","1.05","0","123","7.4","3015","","130150004"
"1000001","","0","","wait_wakuwaku","0.2","3","","3015","","130150005"
"2","","","","1","","35","","3015","","130150006"
"5.4","","","","0","","93","","3015","","130150007"
"0.95","","0.95","0.95","0.95","0","123","0.4","3015","","130150008"
"1000001","","0","","glad","0.2","3","","3015","","130150009"
"301501","","","","1","","32","","3015","","130150010"
"996","","","","1","","32","","3015","","130150011"
"0.1","","","","0","","93","","3015","","130150012"
"2","","","","0","","32","","3015","","130150013"
"3","","","","0","","32","","3015","","130150014"
"1.5","","","","0","","93","","3015","","130150015"
"1000001","","0","","joy","0.2","3","","3015","","130150016"
"1.7","","","","0","","93","","3015","","130150017"
"1000001","","1","","run_gatein","0","3","","3015","","130150018"
"1000001","","-195","1","450","","2","0","3015","","130150019"
"0.5","","","","1","","93","","3015","","130150020"
"1000001","","1","1","1","0.4","6","0","3015","0","130150021"
"0.4","","","","0","","93","","3015","","130150022"
"1","","","","","","113","","3015","","130150023"
"6","","345.4","0","6","0","31","1","3016","","130160001"
"8","","345.4","0","8","0","31","1","3016","","130160002"
"301600","","345.4","-80","301600","0","31","1","3016","","130160003"
"301601","","345.4","0","301601","0","31","1","3016","","130160004"
"990002","","345.4","0","990002","1","31","1","3016","","130160005"
"0","","","","","","91","","3016","","130160006"
"1.05","","1.05","1.05","1.05","0","123","7.4","3016","","130160007"
"1000001","","0","","wait","0.2","3","","3016","","130160008"
"2","","","","1","","35","","3016","","130160009"
"5.4","","","","0","","93","","3016","","130160010"
"0.95","","0.95","0.95","0.95","0","123","0.4","3016","","130160011"
"8","","","","1","","32","","3016","","130160012"
"8","","","","0","","35","","3016","","130160013"
"301600","","","","1","","32","","3016","","130160014"
"6","","","","1","","32","","3016","","130160015"
"0.1","","","","0","","93","","3016","","130160016"
"2","","","","0","","32","","3016","","130160017"
"3","","","","0","","32","","3016","","130160018"
"1000001","","0","","glad","0.1","3","","3016","","130160019"
"se_travel","","0","","se_travel_treasure_success_butterfly","","23","","3016","","130160020"
"0.5","","","","0","","93","","3016","","130160021"
"8","","","","1","","35","","3016","","130160022"
"1.1","","","","0","","93","","3016","","130160023"
"301601","","","","1","","32","","3016","","130160024"
"996","","","","1","","32","","3016","","130160025"
"1000001","","0","","joy","0.2","3","","3016","","130160026"
"1.67","","","","0","","93","","3016","","130160027"
"1000001","","1","","run_gatein","0","3","","3016","","130160028"
"se_travel","","0","","se_travel_treasure_cha_run","","23","","3016","","130160029"
"1000001","","-195","1","450","","2","0","3016","","130160030"
"0.5","","","","1","","93","","3016","","130160031"
"1000001","","1","1","1","0.4","6","0","3016","0","130160032"
"0.4","","","","0","","93","","3016","","130160033"
"1","","","","","","113","","3016","","130160034"
"310000","","345.4","0","310000","0","31","1","3017","","130170001"
"310001","","0","0","310001","0","31","1","3017","","130170002"
"301700","","345.4","0","301700","0","31","1","3017","","130170003"
"301701","","740","-115","301701","0","31","1","3017","","130170004"
"301702","","345.4","0","301702","0","31","1","3017","","130170005"
"301703","","345.4","0","301703","0","31","1","3017","","130170006"
"5","empty","100","610","15","0.44","5","-235","3017","0","130170007"
"5","empty","55","610","16","0.44","5","-235","3017","0","130170008"
"0","","","","","","91","","3017","","130170009"
"1.05","","1.05","1.05","1.05","0","123","7.4","3017","","130170010"
"1000001","","0","","wait","0.2","3","","3017","","130170011"
"2","","","","1","","35","","3017","","130170012"
"5.4","","","","0","","93","","3017","","130170013"
"0.95","","0.95","0.95","0.95","0","123","0.3","3017","","130170014"
"310000","","","","1","","32","","3017","","130170015"
"310001","","","","1","","32","","3017","","130170016"
"0.2","","","","0","","93","","3017","","130170017"
"50","","0.6","","50","","122","","3017","","130170018"
"1000001","","0","","shock","0.2","3","","3017","","130170019"
"1.6","","","","0","","93","","3017","","130170020"
"301700","","","","1","","32","","3017","","130170021"
"1.2","","","","0","","93","","3017","","130170022"
"se_travel","","0","","se_travel_treasure_croce_ui","","23","","3017","","130170023"
"15","","0","","punch","","3","","3017","","130170024"
"16","","0","","punch_B","","3","","3017","","130170025"
"0.2","","","","0","","93","","3017","","130170026"
"1.05","","1.05","1.05","1.05","11","123","0.1","3017","","130170027"
"0.1","","","","0","","93","","3017","","130170028"
"0.95","","0.95","0.95","0.95","0","123","0.3","3017","","130170029"
"1","","","","0","","93","","3017","","130170030"
"se_travel","","0","","se_travel_treasure_croce_door","","23","","3017","","130170031"
"0.4","","","","0","","93","","3017","","130170032"
"301701","","","","1","","32","","3017","","130170033"
"0.9","","","","0","","93","","3017","","130170034"
"1.05","","1.05","1.05","1.05","0","123","0","3017","","130170035"
"75","","0.6","","75","","122","","3017","","130170036"
"301702","","","","1","","32","","3017","","130170037"
"0.4","","","","0","","93","","3017","","130170038"
"2","","","","0","","32","","3017","","130170039"
"310000","","","","0","","32","","3017","","130170040"
"0.4","","","","0","","93","","3017","","130170041"
"0.95","","0.95","0.95","0.95","11","123","2","3017","","130170042"
"0.2","","","","0","","93","","3017","","130170043"
"1000001","","0","","glad","0.2","3","","3017","","130170044"
"301703","","","","1","","32","","3017","","130170045"
"0.1","","","","0","","93","","3017","","130170046"
"996","","","","1","","32","","3017","","130170047"
"0.9","","","","0","","93","","3017","","130170048"
"1000001","","0","","joy","0.2","3","","3017","","130170049"
"1.7","","","","0","","93","","3017","","130170050"
"1000001","","1","","run_gatein","0","3","","3017","","130170051"
"se_travel","","","","se_travel_treasure_cha_run","","23","","3017","","130170052"
"1000001","","-195","1","450","","2","0","3017","","130170053"
"0.5","","","","1","","93","","3017","","130170054"
"1000001","","1","1","1","0.4","6","0","3017","0","130170055"
"0.4","","","","0","","93","","3017","","130170056"
"1","","","","","","113","","3017","","130170057"
"310000","","345.4","0","310000","0","31","1","3100","","131000001"
"310001","","0","0","310001","0","31","1","3100","","131000002"
"0","","","","","","91","","3100","","131000003"
"1.05","","1.05","1.05","1.05","0","123","7.4","3100","","131000004"
"1000001","","0","","wait","0.2","3","","3100","","131000005"
"2","","","","1","","35","","3100","","131000006"
"5.4","","","","0","","93","","3100","","131000007"
"0.95","","0.95","0.95","0.95","0","123","0.3","3100","","131000008"
"310000","","","","1","","32","","3100","","131000009"
"310001","","","","1","","32","","3100","","131000010"
"0.2","","","","0","","93","","3100","","131000011"
"50","","0.6","","50","","122","","3100","","131000012"
"1000001","","0","","shock","0.2","3","","3100","","131000013"
"1.6","","","","0","","93","","3100","","131000014"
"2","","","","","","113","","3100","","131000015"
"6","","345.4","0","6","0","31","1","3111","","131110001"
"7","","345.4","0","7","0","31","1","3111","","131110002"
"8","","345.4","0","8","0","31","1","3111","","131110003"
"3","appear","55","8000","13","1.3","5","0","3111","0","131110004"
"0","","","","","","91","","3111","","131110005"
"13","","1","1","1","0","6","0","3111","0","131110006"
"13","","-250","0","95","","2","0","3111","","131110007"
"1.05","","1.05","1.05","1.05","0","123","7.4","3111","","131110008"
"1000001","","0","","wait","0.2","3","","3111","","131110009"
"2","","","","1","","35","","3111","","131110010"
"4.9","","","","0","","93","","3111","","131110011"
"0.95","","0.95","0.95","0.95","0","123","0.3","3111","","131110012"
"se_travel","","0","","se_travel_treasure_ghost_fail","","23","","3111","","131110013"
"8","","","","1","","32","","3111","","131110014"
"8","","","","0","","35","","3111","","131110015"
"6","","","","1","","32","","3111","","131110016"
"0.1","","","","0","","93","","3111","","131110017"
"2","","","","0","","32","","3111","","131110018"
"3","","","","0","","32","","3111","","131110019"
"1000001","","0","","dotEyes","","3","","3111","","131110020"
"0.3","","","","0","","93","","3111","","131110021"
"13","","0","","appear","","3","","3111","","131110022"
"13","","1","1","1","0","6","1","3111","0","131110023"
"0.67","","","","0","","93","","3111","","131110024"
"1000001","","0","","shock_jump","","3","","3111","","131110025"
"1000001","","-250","1","70","","2","0","3111","","131110026"
"1.1","","","","0","","93","","3111","","131110027"
"1000001","","1","","escape","","3","","3111","","131110028"
"1000001","","-250","1.2","-350","","2","0","3111","","131110029"
"13","","0","","march","","3","","3111","","131110030"
"0.2","","","","0","","93","","3111","","131110031"
"7","","","","1","","32","","3111","","131110032"
"0.1","","","","0","","93","","3111","","131110033"
"6","","","","0","","32","","3111","","131110034"
"1.6","","","","0","","93","","3111","","131110035"
"2","","","","","","113","","3111","","131110036"
"1000001","","1","","idle","0.2","3","","3112","","131120001"
"301200","","0","0","13","0","31","1","3112","","131120002"
"101","","0","0","14","0","31","1","3112","","131120003"
"301205","","0","0","15","0","31","1","3112","","131120004"
"301206","","130","-170","16","0","31","1","3112","","131120005"
"6","","345.4","0","18","0","31","1","3112","","131120006"
"301201","","345.4","0","20","0","31","1","3112","","131120007"
"301202","","345.4","0","21","0","31","1","3112","","131120008"
"1","round_monster_walk","55","9340","3","1","5","-234","3112","0","131120009"
"0","","","","","","91","","3112","","131120010"
"3","","1","1","1","0","6","0","3112","0","131120011"
"3","","-234","0","345","0","2","0","3112","0","131120012"
"1.05","","1.05","1.05","1.05","0","123","7.4","3112","0","131120013"
"1000001","","0","","wait","0.2","3","","3112","","131120014"
"2","","","","1","","35","","3112","","131120015"
"4.3","","","","0","","93","","3112","","131120016"
"0.95","","0.95","0.95","0.95","0","123","0.4","3112","","131120017"
"21","","","","1","","32","","3112","","131120018"
"21","","","","0","","35","","3112","","131120019"
"se_travel","","","","se_travel_treasure_monster_failure","","23","","3112","","131120020"
"18","","","","1","","32","","3112","","131120021"
"0.1","","","","0","","93","","3112","","131120022"
"2","","","","0","","32","","3112","","131120023"
"3","","1","1","1","0.3","6","1","3112","0","131120024"
"13","","","","1","","32","","3112","","131120025"
"3","","0","","round_monster_appear","","3","","3112","","131120026"
"1000001","","0","","back","","3","","3112","","131120027"
"0.67","","","","0","","93","","3112","","131120028"
"3","","0","","round_monster_walk","0.2","3","","3112","","131120029"
"3","","-234","1.4","220","0","2","0","3112","0","131120030"
"20","","","","1","","32","","3112","","131120031"
"0.1","","","","0","","93","","3112","","131120032"
"18","","","","0","","32","","3112","","131120033"
"1","","","","0","","93","","3112","","131120034"
"3","","0","","round_monster_attack","0.3","3","","3112","","131120035"
"0.5","","","","0","","93","","3112","","131120036"
"15","","","","1","","32","","3112","","131120037"
"1000001","","1","","back_loop","0.2","3","","3112","","131120038"
"1","","","","0","","93","","3112","","131120039"
"16","","","","1","","32","","3112","","131120040"
"0","","0.5","","50","","122","","3112","","131120041"
"1000001","","-250","0","40","","2","0","3112","","131120042"
