41faa269632b8a66bf5561ea3536bc25373155c37f0240e00613260ad90bbfcb,5cdde249995dc8d86220719a891ee27e98940cea4b2bff1cb51392071a048066,20d5efdf31d966ebd1a918a0999fdcf5d0332d33b33c060c1d448a268b9c0dea,70e9dc0f89da03a4afda7f6a42b4b8c6855593f4836b1266df9793f8b12b3cf2,ebccd8d624a72a00c67fb5f2f28c3d26145814c240fc1105e4b4e88a3c71a6a9,23d9826736c9eb07dbc70c6eb9e8ae32a506105d2e05ad14426f21ab156c2d2d,185e20755eca61d7bfd0ea81db579fdc22dd92c9c11c784d3191c9e35adfcc3b,8ece71231e770d490818df4bf1e9bd9896ea2ca5ebbbccaf10c256f4dfe30dd2,75c2ce01ebe97b9b4ac00ee9fe692e0f5e77d29bb54932de9c6a633b75e4e218,458042676d13e79d98af16df06e76a6a21733b363db6ba0dc1a9ccf3a88758d3,e3a9a5a2395566be76cfde89b0f2eb7529de04431ff5c20b117ac92fdc360f34
"vo_minigame_1008_drama_0306","0","vo_minigame_1008","","","2","","2011","21","","0"
"psy_talk_sad","","106011","","","2","","2012","3","0.2","1"
"って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","1","106011","0.5","0","2","0","2013","11","0","8"
"1","","4","","","2","","2014","93","",""
"psy_talk_sad","","106011","","","2","","2015","3","0.2","1"
"","","2013","","","2","","2016","91","",""
"psy_idle_sad","","106011","","","2","","2017","3","0.2","1"
"psy_miyako_appear","psy_miyako_thinking4","119931","","0.2","2","1","2018","3","0.2","0"
"psy_smoke_appear","psy_smoke_start","1","","0","2","0","2019","3","0","0"
"vo_minigame_1008_drama_0301","0","vo_minigame_1008","","","2","","2020","21","","0"
"プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","1","119931","1","0","2","0","2021","11","0","4"
"1","","1","","","2","","2022","93","",""
"psy_surprise","psy_idle_surprise2","106011","","0.2","2","1","2023","3","0.2","0"
"","","2021","","","2","","2024","91","",""
"0","","0","","","2","","2025","22","",""
"psy_miyako_idle_thinking","","119931","","","2","","2026","3","0.2","1"
"psy_talk_surprise2","","106011","","","2","","2027","3","0.2","1"
"vo_minigame_1008_drama_0307","0","vo_minigame_1008","","","2","","2028","21","","0"
"キャッ！？\nいきなり出てきてなんなのよあんた！","1","106011","0.5","0","2","0","2029","11","0","8"
"","","0","","","2","","2030","91","",""
"psy_idle_surprise2","","106011","","","2","","2031","3","0.2","1"
"psy_miyako_anger1","","119931","","","2","","2032","3","0.2","1"
"vo_minigame_1008_drama_0302","0","vo_minigame_1008","","","2","","2033","21","","0"
"オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","1","119931","1","0","2","0","2034","11","0","5"
"1","","8","","","2","","2035","93","",""
"psy_miyako_thinking2","","119931","","","2","","2036","3","0.2","1"
"","","2034","","","2","","2037","91","",""
"0","","0","","","2","","2038","22","",""
"psy_talk_sad","","106011","","","2","","2039","3","0.2","1"
"vo_minigame_1008_drama_0308","0","vo_minigame_1008","","","2","","2040","21","","0"
"な、何よ……","1","106011","0.5","0","2","0","2041","11","0","8"
"","","0","","","2","","2042","91","",""
"psy_idle_sad","","106011","","","2","","2043","3","0.2","1"
"psy_miyako_run","","119931","","","2","","2044","3","0.2","1"
"0","2","119931","","","2","0","2045","2","","-200"
"","","2","","","2","","2046","93","",""
"psy_miyako_thinking2","","119931","","","2","","2047","3","0.2","1"
"vo_minigame_1008_drama_0303","0","vo_minigame_1008","","","2","","2048","21","","0"
"むむむむむ……\nオマエ、なんかおいしそうなの……","1","119931","1","0","2","0","2049","11","0","6"
"","","0","","","2","","2050","91","",""
"0","","0","","","2","","2051","22","",""
"","","0.5","","","2","","2052","93","",""
"psy_talk_sad","","106011","","","2","","2053","3","0.2","1"
"vo_minigame_1008_drama_0309","0","vo_minigame_1008","","","2","","2054","21","","0"
"はぁ～？","1","106011","0.5","0","2","0","2055","11","0","8"
"","","0","","","2","","2056","91","",""
"psy_idle_sad","","106011","","","2","","2057","3","0.2","1"
"vo_minigame_1008_drama_0304","0","vo_minigame_1008","","","2","","2058","21","","0"
"オマエをプリンにしてやるの～～！！","1","119931","0.5","0","2","0","2059","11","0","6"
"1","","0.5","","","2","","2060","93","",""
"psy_miyako_attack_in","psy_miyako_attack_loop","119931","","0","2","1","2061","3","0.2","0"
"1","","0.2","","","2","","2062","93","",""
"psy_surprise","psy_idle_surprise2","106011","","0.2","2","1","2063","3","0.2","0"
"","","2059","","","2","","2064","91","",""
"0","","0","","","2","","2065","22","",""
"psy_talk_surprise2","","106011","","","2","","2066","3","0.2","1"
"vo_minigame_1008_drama_0310","0","vo_minigame_1008","","","2","","2067","21","","0"
"な、なんなのよこの店～～！！","1","106011","0.5","0","2","0","2068","11","0","8"
"","","0","","","2","","2069","91","",""
"0","","106011","","","2","","2070","4","",""
"psy_run_shy","","106011","","","2","","2071","3","0.2","1"
"psy_miyako_attack_loop_move","","119931","","","2","","2072","3","0.2","1"
"1000","3","106011","","","2","0","2073","2","","-220"
"1000","5","119931","","","2","0","2074","2","","-220"
"","","3.5","","","2","","2075","93","",""
"0","","0","","","2","","2076","22","",""
"","","0","","","2","","2077","91","",""
"119931","-250","1","psy_miyako_gasagoso_B","1","3","-150","3001","1","1.65","100"
"105511","340","1","psy_walk","1","3","-180","3002","1","1.7","100"
"11","0","1","","","3","1","3003","31","1","0"
"1","-300","1","psy_smoke_start","0","3","-220","3004","5","1.7","101"
"225","2","105511","","","3","0","3005","2","","-180"
"","","2","","","3","","3006","93","",""
"psy_talk_wish","","105511","","","3","","3007","3","0.2","1"
"vo_minigame_1008_drama_0203","0","vo_minigame_1008","","","3","","3008","21","","0"
"こ、ここで先輩が働いてるんですよね？","1","105511","0.5","0","3","0","3009","11","0","8"
"","","0","","","3","","3010","91","",""
"psy_ayumi_kyoro_in","psy_ayumi_kyoro_loop","105511","","0","3","1","3011","3","0.2","0"
"","","1.8","","","3","","3012","93","",""
"psy_talk_joy1","","105511","","","3","","3013","3","0.2","1"
"vo_minigame_1008_drama_0204","0","vo_minigame_1008","","","3","","3014","21","","0"
"わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","1","105511","0.5","0","3","0","3015","11","0","8"
"","","0","","","3","","3016","91","",""
"psy_talk_call","","105511","","","3","","3017","3","0.2","1"
"vo_minigame_1008_drama_0205","0","vo_minigame_1008","","","3","","3018","21","","0"
"あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","1","105511","0.5","0","3","0","3019","11","0","8"
"1","","3","","","3","","3020","93","",""
"5","1","119931","0","0","3","0","3021","12","0","0.8"
"0","","119931","","","3","","3022","4","",""
"psy_miyako_idle_thinking","","119931","","","3","","3023","3","0","1"
"1","","1.5","","","3","","3024","93","",""
"1","","119931","","","3","","3025","4","",""
"psy_miyako_gasagoso_B","","119931","","","3","","3026","3","0","1"
"1","","0.5","","","3","","3027","93","",""
"psy_talk_sad","","105511","","","3","","3028","3","0.2","1"
"","","3019","","","3","","3029","91","",""
"psy_talk_wish","","105511","","","3","","3030","3","0.2","1"
"vo_minigame_1008_drama_0206","0","vo_minigame_1008","","","3","","3031","21","","0"
"と、とりあえずお金はおいておきますね\n失礼します！","1","105511","0.5","0","3","0","3032","11","0","8"
"1","","2","","","3","","3033","93","",""
"psy_gasagoso_B2","","105511","","","3","","3034","3","0.2","1"
"1","","1","","","3","","3035","93","",""
"psy_pekori","psy_idle_normal","105511","","0.2","3","1","3036","3","0.2","0"
"","","3032","","","3","","3037","91","",""
"0","","105511","","","3","","3038","4","",""
"psy_run","","105511","","","3","","3039","3","0.2","1"
"1000","3","105511","","","3","0","3040","2","","-180"
"","","3","","","3","","3041","93","",""
"","","0.5","","","3","","3042","93","",""
"psy_miyako_idle_thinking","","119931","","","3","","3043","3","0","1"
"","","2","","","3","","3044","93","",""
"0","","119931","","","3","","3045","4","",""
"psy_miyako_run","","119931","","","3","","3046","3","0.2","1"
"0","2","119931","","","3","0","3047","2","","-165"
"","","2","","","3","","3048","93","",""
"psy_miyako_thinking4","","119931","","","3","","3049","3","0.2","1"
"vo_minigame_1008_drama_0201","0","vo_minigame_1008","","","3","","3050","21","","0"
"……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","1","119931","0.5","0","3","0","3051","11","0","5"
"1","","4","","","3","","3052","93","",""
"psy_miyako_panic1","","119931","","","3","","3053","3","0.2","1"
"","","3051","","","3","","3054","91","",""
"0","","0","","","3","","3055","22","",""
"psy_miyako_surprise2_in","psy_miyako_surprise2_loop","119931","","0","3","1","3056","3","0.2","0"
"vo_minigame_1008_drama_0202","0","vo_minigame_1008","","","3","","3057","21","","0"
"……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","1","119931","1","0","3","0","3058","11","0","5"
"1","","4","","","3","","3059","93","",""
"psy_miyako_thinking4","","119931","","","3","","3060","3","0.2","1"
"","","3058","","","3","","3061","91","",""
"0","","0","","","3","","3062","22","",""
"","","1","","","3","","3063","93","",""
"","","0","","","3","","3064","91","",""
"119931","-300","1","psy_miyako_start","0","4","-200","4001","1","1.7","100"
"107131","300","1","psy_walk","1","4","-220","4002","1","1.7","100"
"11","0","1","","","4","1","4003","31","1","0"
"1","-300","1","psy_smoke_start","0","4","-200","4004","5","1.7","101"
"185","2","107131","","","4","0","4005","2","","-220"
"","","2","","","4","","4006","93","",""
"psy_talk_doya","psy_talk_doya_loop","107131","","0.2","4","1","4007","3","0.2","0"
"vo_minigame_1008_drama_0405","0","vo_minigame_1008","","","4","","4008","21","","0"
"この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","1","107131","0.5","0","4","0","4009","11","0","8"
"","","0","","","4","","4010","91","",""
"psy_idle_doya","","107131","","","4","","4011","3","0.2","1"
"psy_talk_sad","","107131","","","4","","4012","3","0.2","1"
"vo_minigame_1008_drama_0406","0","vo_minigame_1008","","","4","","4013","21","","0"
"……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","1","107131","0.5","0","4","0","4014","11","0","8"
"1","","6","","","4","","4015","93","",""
"psy_talk_call","","107131","","","4","","4016","3","0.2","1"
"","","4014","","","4","","4017","91","",""
"psy_idle_arm_crossed","","107131","","","4","","4018","3","0.2","1"
"psy_miyako_appear","psy_miyako_talk_joy1","119931","","0.2","4","1","4019","3","0","0"
"psy_smoke_appear","psy_smoke_start","1","","0","4","0","4020","3","0","0"
"vo_minigame_1008_drama_0401","0","vo_minigame_1008","","","4","","4021","21","","0"
"あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？","1","119931","0.5","0","4","0","4022","11","0","6"
"","","0","","","4","","4023","91","",""
"0","","0","","","4","","4024","22","",""
"psy_miyako_idle","","119931","","","4","","4025","3","0.2","1"
"psy_talk_normal","","107131","","","4","","4026","3","0.2","1"
"vo_minigame_1008_drama_0407","0","vo_minigame_1008","","","4","","4027","21","","0"
"おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。","1","107131","0.5","0","4","0","4028","11","0","8"
"","","0","","","4","","4029","91","",""
"psy_idle_normal","","107131","","","4","","4030","3","0.2","1"
"psy_miyako_sad1","","119931","","","4","","4031","3","0.2","1"
"vo_minigame_1008_drama_0402","0","vo_minigame_1008","","","4","","4032","21","","0"
"プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。","1","119931","0.5","0","4","0","4033","11","0","6"
"1","","5","","","4","","4034","93","",""
"psy_miyako_talk4","","119931","","","4","","4035","3","0.2","1"
"","","4033","","","4","","4036","91","",""
"0","","0","","","4","","4037","22","",""
"psy_miyako_idle2","","119931","","","4","","4038","3","0.2","1"
"psy_ahaha_in","psy_ahaha_loop","107131","","0.2","4","1","4039","3","0.2","0"
"vo_minigame_1008_drama_0408","0","vo_minigame_1008","","","4","","4040","21","","0"
"はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆","1","107131","0.5","0","4","0","4041","11","0","8"
"1","","1.7","","","4","","4042","93","",""
"psy_talk_joy1","","107131","","","4","","4043","3","0.2","1"
"","","4041","","","4","","4044","91","",""
"psy_talk_doya","psy_talk_doya_loop","107131","","0.2","4","1","4045","3","0.2","0"
"vo_minigame_1008_drama_0409","0","vo_minigame_1008","","","4","","4046","21","","0"
"なんとしてもおまえからお菓子を\n買わせてもらおう。","1","107131","0.5","0","4","0","4047","11","0","8"
"","","0","","","4","","4048","91","",""
"psy_idle_wish","","107131","","","4","","4049","3","0.2","1"
"psy_miyako_panic1","","119931","","","4","","4050","3","0.2","1"
"vo_minigame_1008_drama_0403","0","vo_minigame_1008","","","4","","4051","21","","0"
"なんでそうなるの！？\nいいから帰れなの！","1","119931","0.5","0","4","0","4052","11","0","6"
"","","0","","","4","","4053","91","",""
"0","","0","","","4","","4054","22","",""
"psy_miyako_idle_panic","","119931","","","4","","4055","3","0.2","1"
"psy_cris_approach_in","psy_cris_approach_loop","107131","","0","4","1","4056","3","0.2","0"
"vo_minigame_1008_drama_0410","0","vo_minigame_1008","","","4","","4057","21","","0"
"ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。","1","107131","0.5","0","4","0","4058","11","0","8"
"1","","4","","","4","","4059","93","",""
"psy_talk_arm_crossed","psy_talk_arm_crossed_loop","107131","","0","4","1","4060","3","0.2","0"
"","","4058","","","4","","4061","91","",""
"psy_talk_joy1","","107131","","","4","","4062","3","0.2","1"
"vo_minigame_1008_drama_0411","0","vo_minigame_1008","","","4","","4063","21","","0"
"よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。","1","107131","0.5","0","4","0","4064","11","0","8"
"","","0","","","4","","4065","91","",""
"psy_idle_joy1","","107131","","","4","","4066","3","0.2","1"
"psy_miyako_anger2","","119931","","","4","","4067","3","0.2","1"
"vo_minigame_1008_drama_0404","0","vo_minigame_1008","","","4","","4068","21","","0"
"な、なんでそうなるのーー！？","1","119931","0.5","0","4","0","4069","11","0","6"
"","","4","","","4","","4070","93","",""
"","","0","","","4","","4071","91","",""
"119931","-300","1","psy_miyako_start","0","5","-200","5001","1","1.7","100"
"104931","300","1","psy_walk","1","5","-220","5002","1","1.7","100"
"11","0","1","","","5","1","5003","31","1","0"
"1","-300","1","psy_smoke_start","0","5","-200","5004","5","1.7","101"
"185","2","104931","","","5","0","5005","2","","-220"
"","","2","","","5","","5006","93","",""
"psy_talk_wish","","104931","","","5","","5007","3","0.2","1"
"vo_minigame_1008_drama_0504","0","vo_minigame_1008","","","5","","5008","21","","0"
"ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！","1","104931","0.5","0","5","0","5009","11","0","8"
"1","","4.3","","","5","","5010","93","",""
"psy_talk_joy1","","104931","","","5","","5011","3","0.2","1"
"","","5009","","","5","","5012","91","",""
"psy_idle_joy1","","104931","","","5","","5013","3","0.2","1"
"psy_miyako_appear","psy_miyako_talk3","119931","","0.2","5","1","5014","3","0","0"
"psy_smoke_appear","psy_smoke_start","1","","0","5","0","5015","3","0","0"
"vo_minigame_1008_drama_0501","0","vo_minigame_1008","","","5","","5016","21","","0"
"うるさいの。\nいきなりなんなの？","1","119931","0.5","0","5","0","5017","11","0","6"
"","","0","","","5","","5018","91","",""
"0","","0","","","5","","5019","22","",""
"psy_miyako_idle","","119931","","","5","","5020","3","0.2","1"
"psy_talk_joy1","","104931","","","5","","5021","3","0.2","1"
"vo_minigame_1008_drama_0505","0","vo_minigame_1008","","","5","","5022","21","","0"
"あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！","1","104931","0.5","0","5","0","5023","11","0","8"
"","","4","","","5","","5024","93","",""
"psy_talk_wish","","104931","","","5","","5025","3","0.2","1"
"","","5023","","","5","","5026","91","",""
"","","0","","","5","","5027","91","",""
"psy_idle_wish","","104931","","","5","","5028","3","0.2","1"
"psy_miyako_anger3","","119931","","","5","","5029","3","0.2","1"
"vo_minigame_1008_drama_0502","0","vo_minigame_1008","","","5","","5030","21","","0"
"オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。","1","119931","0.5","0","5","0","5031","11","0","6"
"1","","5","","","5","","5032","93","",""
"psy_miyako_arm_crossed_in","psy_miyako_arm_crossed_loop","119931","","0","5","1]","5033","3","0.2","0"
"","","5031","","","5","","5034","91","",""
"0","","0","","","5","","5035","22","",""
"psy_miyako_arm_crossed_idle","","119931","","","5","","5036","3","0.2","1"
"psy_talk_wish","","104931","","","5","","5037","3","0.2","1"
"vo_minigame_1008_drama_0506","0","vo_minigame_1008","","","5","","5038","21","","0"
"どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！","1","104931","0.5","0","5","0","5039","11","0","8"
"","","0","","","5","","5040","91","",""
"psy_talk_joy2","","104931","","","5","","5041","3","0.2","1"
"vo_minigame_1008_drama_0507","0","vo_minigame_1008","","","5","","5042","21","","0"
"よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！","1","104931","0.5","0","5","0","5043","11","0","8"
"","","0","","","5","","5044","91","",""
"psy_talk_memory","","104931","","","5","","5045","3","0.2","1"
"vo_minigame_1008_drama_0508","0","vo_minigame_1008","","","5","","5046","21","","0"
"まずはそう、運命の出会いから……","1","104931","0.5","0","5","0","5047","11","0","8"
"","","0","","","5","","5048","91","",""
"psy_idle_memory","","104931","","","5","","5049","3","0.2","1"
"psy_miyako_sad1","","119931","","","5","","5050","3","0.2","1"
"vo_minigame_1008_drama_0503","0","vo_minigame_1008","","","5","","5051","21","","0"
"（なんか始まったの……\nめんどくさいからミヤコは消えるの……）","1","119931","0.5","0","5","0","5052","11","0","6"
"","","0","","","5","","5053","91","",""
"0","","0","","","5","","5054","22","",""
"psy_miyako_hide","","119931","","","5","","5055","3","0.2","0"
"psy_smoke_hide","psy_smoke_start","1","","0","5","0","5056","3","0","0"
"","","2","","","5","","5057","93","",""
"","","0","","","5","","5058","91","",""
"119931","-300","1","psy_miyako_idle_thinking","1","6","-200","6001","1","1.7","100"
"103131","300","1","psy_walk","1","6","-220","6002","1","1.7","100"
"11","0","1","","","6","1","6003","31","1","0"
"17","0","119931","0","0","6","0","6004","12","0","2"
"185","2","103131","","","6","0","6005","2","","-220"
"","","2","","","6","","6006","93","",""
"psy_talk_wish","","103131","","","6","","6007","3","0.2","1"
"vo_minigame_1008_drama_0605","0","vo_minigame_1008","","","6","","6008","21","","0"
"こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。","1","103131","0.5","0","6","0","6009","11","0","8"
"","","0","","","6","","6010","91","",""
"psy_idle_wish","","103131","","","6","","6011","3","0.2","1"
"0","","119931","","","6","","6012","4","",""
"psy_miyako_surprise2_in","psy_miyako_talk_joy2","119931","","0.2","6","1","6013","3","0.2","0"
"","","1","","","6","","6014","93","",""
"vo_minigame_1008_drama_0601","0","vo_minigame_1008","","","6","","6015","21","","0"
"シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！","1","119931","0.5","0","6","0","6016","11","0","6"
"1","","3","","","6","","6017","93","",""
"psy_miyako_talk2","","119931","","","6","","6018","3","0.2","1"
"","","6016","","","6","","6019","91","",""
"0","","0","","","6","","6020","22","",""
"psy_miyako_idle_sad","","119931","","","6","","6021","3","0.2","1"
"psy_talk_sad","","103131","","","6","","6022","3","0.2","1"
"vo_minigame_1008_drama_0606","0","vo_minigame_1008","","","6","","6023","21","","0"
"どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。","1","103131","0.5","0","6","0","6024","11","0","8"
"","","0","","","6","","6025","91","",""
"psy_idle_sad","","103131","","","6","","6026","3","0.2","1"
"psy_miyako_panic3","","119931","","","6","","6027","3","0.2","1"
"vo_minigame_1008_drama_0602","0","vo_minigame_1008","","","6","","6028","21","","0"
"違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……","1","119931","0.5","0","6","0","6029","11","0","5"
"1","","5.5","","","6","","6030","93","",""
"psy_miyako_sad2","","119931","","","6","","6031","3","0.2","1"
"","","6029","","","6","","6032","91","",""
"0","","0","","","6","","6033","22","",""
"psy_miyako_idle_sad","","119931","","","6","","6034","3","0.2","1"
"psy_surprise","psy_talk_surprise1","103131","","0.2","6","1","6035","3","0.2","0"
"vo_minigame_1008_drama_0607","0","vo_minigame_1008","","","6","","6036","21","","0"
"ミヤコさんが……自分で……\nプリンを……","1","103131","0.5","0","6","0","6037","11","0","8"
"","","0","","","6","","6038","91","",""
"psy_idle_surprise1","","103131","","","6","","6039","3","0.2","1"
"psy_miyako_talk2","","119931","","","6","","6040","3","0.2","1"
"vo_minigame_1008_drama_0603","0","vo_minigame_1008","","","6","","6041","21","","0"
"どうしたの？","1","119931","0.5","0","6","0","6042","11","0","6"
"","","0","","","6","","6043","91","",""
"0","","0","","","6","","6044","22","",""
"psy_miyako_idle","","119931","","","6","","6045","3","0.2","1"
"psy_talk_joy1","","103131","","","6","","6046","3","0.2","1"
"vo_minigame_1008_drama_0608","0","vo_minigame_1008","","","6","","6047","21","","0"
"ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。","1","103131","0.5","0","6","0","6048","11","0","8"
"1","","4","","","6","","6049","93","",""
"psy_talk_wish","","103131","","","6","","6050","3","0.2","1"
"","","6048","","","6","","6051","91","",""
"psy_idle_wish","","103131","","","6","","6052","3","0.2","1"
"psy_miyako_joy1","","119931","","","6","","6053","3","0.2","1"
"vo_minigame_1008_drama_0604","0","vo_minigame_1008","","","6","","6054","21","","0"
"ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！","1","119931","0.5","0","6","0","6055","11","0","6"
"1","","5","","","6","","6056","93","",""
"psy_miyako_guts1_in","psy_miyako_guts1_loop","119931","","0","6","1","6057","3","0.2","0"
"","","6055","","","6","","6058","91","",""
"0","","0","","","6","","6059","22","",""
"","","1.5","","","6","","6060","93","",""
"","","0","","","6","","6061","91","",""
"119931","-200","1","psy_miyako_idle","0","7","-200","7001","1","1.7","100"
