dc808f0215585e26ab05f68232786b080223326e683b279a9a2860674ddaf458,3305b8f896739c04bf2ba885e1b8958307cc9a40ac1c139ead8598f23570c503,02fb1ac20d19710dca1045c07d07165730c20a653353e57f79bc784339d0d0ef,0e3de9641c7fc6d1242e90ab52ba71dcdd9632f52d363f371dd43a5563709eea,d0efd454de454d68d3ff30d0cdc985c167ce7385d7b178f66bee0742e29686f1,c2eda6288d002665548482e6263f71c1e56a017c04dde0eb6aff2ede0316c2ae
"300225","110","803100256","1","2145065","212"
"300226","102","803100256","0","2145066","105"
"300227","103","803100256","0","2145067","106"
"300228","101","803100256","0","2145068","107"
"300301","100","803100257","0","2145071","104"
"300302","101","803100257","0","2145072","107"
"300303","101","803100257","0","2145073","107"
"300304","113","803100257","1","2145074","202"
"300305","114","803100257","1","2145075","203"
"300306","100","803100257","0","2145076","104"
"300307","101","803100257","0","2145077","107"
"300308","111","803100257","1","2145078","204"
"300309","112","803100257","1","2145079","205"
"300310","100","803100257","0","2145080","104"
"300311","101","803100258","0","2145081","107"
"300312","101","803100258","0","2145082","107"
"300313","113","803100258","1","2145083","202"
"300314","114","803100258","1","2145084","203"
"300315","100","803100258","0","2145085","104"
"300316","101","803100258","0","2145086","107"
"300317","111","803100258","1","2145087","204"
"300318","112","803100258","1","2145088","205"
"300319","100","803100258","0","2145089","104"
"300320","101","803100258","0","2145090","107"
"300321","100","803100259","0","2145091","104"
"300322","101","803100259","0","2145092","107"
"300323","113","803100259","1","2145093","202"
"300324","112","803100259","1","2145094","208"
"300325","100","803100259","0","2145095","104"
"300326","101","803100259","0","2145096","107"
"300327","111","803100259","1","2145097","204"
"300328","112","803100259","1","2145098","205"
"300401","102","803100260","0","2146011","105"
"300402","102","803100260","0","2146012","105"
"300403","113","803100260","1","2146013","202"
"300404","114","803100260","1","2146014","203"
"300405","102","803100260","0","2146015","105"
"300406","113","803100260","1","2146016","202"
"300407","114","803100260","1","2146017","203"
"300408","102","803100260","0","2146018","105"
"300409","102","803100260","0","2146019","105"
"300410","102","803100260","0","2146020","105"
"300411","102","803100261","0","2146021","105"
"300412","113","803100261","1","2146022","202"
"300413","114","803100261","1","2146023","203"
"300414","102","803100261","0","2146024","105"
"300415","113","803100261","1","2146025","202"
"300416","114","803100261","1","2146026","203"
"300417","102","803100261","0","2146027","105"
"300418","102","803100261","0","2146028","105"
"300419","113","803100261","1","2146029","202"
"300420","113","803100261","1","2146030","202"
"300421","113","803100262","1","2146031","202"
"300422","114","803100262","1","2146032","203"
"300423","102","803100262","0","2146033","105"
"300424","112","803100262","1","2146034","208"
"300425","110","803100262","1","2146035","212"
"300426","113","803100262","1","2146036","202"
"300427","113","803100262","1","2146037","202"
"300428","102","803100262","0","2146038","105"
"300501","100","803100264","0","2146051","104"
"300502","100","803100264","0","2146052","104"
"300503","100","803100264","0","2146053","104"
"300504","100","803100264","0","2146054","104"
"300505","102","803100264","0","2146055","105"
"300506","103","803100264","0","2146056","106"
"300507","100","803100264","0","2146057","104"
"300508","100","803100264","0","2146058","104"
"300509","102","803100264","0","2146059","105"
"300510","103","803100264","0","2146060","106"
"300511","100","803100265","0","2146061","104"
"300512","100","803100265","0","2146062","104"
"300513","100","803100265","0","2146063","104"
"300514","100","803100265","0","2146064","104"
"300515","102","803100265","0","2146065","105"
"300516","103","803100265","0","2146066","106"
"300517","100","803100265","0","2146067","104"
"300518","100","803100265","0","2146068","104"
"300519","102","803100265","0","2146069","105"
"300520","103","803100265","0","2146070","106"
"300521","100","803100266","0","2146071","104"
"300522","100","803100266","0","2146072","104"
"300523","113","803100266","1","2146073","202"
"300524","114","803100266","1","2146074","203"
"300525","100","803100266","0","2146075","104"
"300526","112","803100266","1","2146076","208"
"300527","110","803100266","1","2146077","212"
"300528","113","803100266","1","2146078","202"
"300529","114","803100266","1","2146079","203"
"300530","100","803100266","0","2146080","104"
"300601","114","803100268","1","2146091","203"
"300602","113","803100268","1","2146092","202"
"300603","102","803100268","0","2146093","105"
"300604","114","803100268","1","2146094","203"
"300605","103","803100268","0","2146095","106"
"300606","114","803100268","1","2146096","203"
"300607","111","803100268","1","2146097","204"
"300608","114","803100268","1","2146098","203"
"300609","113","803100268","1","2146099","202"
"300610","102","803100268","0","2146100","105"
"300611","114","803100269","1","2147011","203"
"300612","103","803100269","0","2147012","106"
"300613","114","803100269","1","2147013","203"
"300614","111","803100269","1","2147014","204"
"300615","110","803100269","1","2147015","212"
"300616","114","803100269","1","2147016","203"
"300617","102","803100269","0","2147017","105"
"300618","103","803100269","0","2147018","106"
"300701","111","803100270","1","2147021","204"
"300702","100","803100270","0","2147022","104"
"300703","101","803100270","0","2147023","107"
"300704","113","803100270","1","2147024","202"
"300705","114","803100270","1","2147025","203"
"300706","102","803100270","0","2147026","105"
"300707","112","803100270","1","2147027","205"
"300708","111","803100270","1","2147028","204"
"300709","100","803100270","0","2147029","104"
"300710","101","803100270","0","2147030","107"
"300711","113","803100271","1","2147031","202"
"300712","114","803100271","1","2147032","203"
"300713","102","803100271","0","2147033","105"
"300714","112","803100271","1","2147034","205"
"300715","107","803100271","0","2147035","110"
"300716","111","803100271","1","2147036","204"
"300717","100","803100271","0","2147037","104"
"300718","101","803100271","0","2147038","107"
