15bb538f6be0f11aa5e4733877b429efdc2218faced64ad0659ef8d566c28fca,cc1c7ab7ddb2a81c33025e747fb37665c7850429b8778bc242d37841097b47df,5cbbd11a26d2295770a48072156c552199936adfd6479bcb2d076024f8ce555c,d0e5464835007b4d0c5d490d522238569f210094c7b0fb559ba9160beb137398,d67b38be696b7cfa6180a7940606aa67a399c7c0a8a8cf2d0150d627891f0b78,d45d20ff7968e76d9b41458aa4fbaacea07b1af9990956421ee8c8fa596ef960,1082d8cdabc77f4a52c5c4924c319c44afc53ed0f959196efd74dab3c4b99e63,3b9324d8c5274d5d68d3ad3c4509eceaa7994f47e47e3f35a23e37d4a707eea9,4ac73e76b22b27362e4e5124df960be1044c38c6afe34307484c5008ab68d8ce,f54b646a7220e0881b86cef5eac54ef887c05d18e851705fba32f395eb47c8aa,5657ec3b63e0f760834b7573b96208e2dc573c47ee3c0bcfd4aba13104bec3b3
"psy_talk_sad","0.2","","3","2","","1","106011","2012","",""
"って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","0","1","11","2","0","8","106011","2013","0.5","0"
"1","","","93","2","","","4","2014","",""
"psy_talk_sad","0.2","","3","2","","1","106011","2015","",""
"","","","91","2","","","2013","2016","",""
"psy_idle_sad","0.2","","3","2","","1","106011","2017","",""
"psy_miyako_appear","0.2","psy_miyako_thinking4","3","2","0.2","0","119931","2018","","1"
"psy_smoke_appear","0","psy_smoke_start","3","2","0","0","1","2019","","0"
"vo_minigame_1008_drama_0301","","0","21","2","","0","vo_minigame_1008","2020","",""
"プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","0","1","11","2","0","4","119931","2021","1","0"
"1","","","93","2","","","1","2022","",""
"psy_surprise","0.2","psy_idle_surprise2","3","2","0.2","0","106011","2023","","1"
"","","","91","2","","","2021","2024","",""
"0","","","22","2","","","0","2025","",""
"psy_miyako_idle_thinking","0.2","","3","2","","1","119931","2026","",""
"psy_talk_surprise2","0.2","","3","2","","1","106011","2027","",""
"vo_minigame_1008_drama_0307","","0","21","2","","0","vo_minigame_1008","2028","",""
"キャッ！？\nいきなり出てきてなんなのよあんた！","0","1","11","2","0","8","106011","2029","0.5","0"
"","","","91","2","","","0","2030","",""
"psy_idle_surprise2","0.2","","3","2","","1","106011","2031","",""
"psy_miyako_anger1","0.2","","3","2","","1","119931","2032","",""
"vo_minigame_1008_drama_0302","","0","21","2","","0","vo_minigame_1008","2033","",""
"オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","0","1","11","2","0","5","119931","2034","1","0"
"1","","","93","2","","","8","2035","",""
"psy_miyako_thinking2","0.2","","3","2","","1","119931","2036","",""
"","","","91","2","","","2034","2037","",""
"0","","","22","2","","","0","2038","",""
"psy_talk_sad","0.2","","3","2","","1","106011","2039","",""
"vo_minigame_1008_drama_0308","","0","21","2","","0","vo_minigame_1008","2040","",""
"な、何よ……","0","1","11","2","0","8","106011","2041","0.5","0"
"","","","91","2","","","0","2042","",""
"psy_idle_sad","0.2","","3","2","","1","106011","2043","",""
"psy_miyako_run","0.2","","3","2","","1","119931","2044","",""
"0","","2","2","2","","-200","119931","2045","","0"
"","","","93","2","","","2","2046","",""
"psy_miyako_thinking2","0.2","","3","2","","1","119931","2047","",""
"vo_minigame_1008_drama_0303","","0","21","2","","0","vo_minigame_1008","2048","",""
"むむむむむ……\nオマエ、なんかおいしそうなの……","0","1","11","2","0","6","119931","2049","1","0"
"","","","91","2","","","0","2050","",""
"0","","","22","2","","","0","2051","",""
"","","","93","2","","","0.5","2052","",""
"psy_talk_sad","0.2","","3","2","","1","106011","2053","",""
"vo_minigame_1008_drama_0309","","0","21","2","","0","vo_minigame_1008","2054","",""
"はぁ～？","0","1","11","2","0","8","106011","2055","0.5","0"
"","","","91","2","","","0","2056","",""
"psy_idle_sad","0.2","","3","2","","1","106011","2057","",""
"vo_minigame_1008_drama_0304","","0","21","2","","0","vo_minigame_1008","2058","",""
"オマエをプリンにしてやるの～～！！","0","1","11","2","0","6","119931","2059","0.5","0"
"1","","","93","2","","","0.5","2060","",""
"psy_miyako_attack_in","0.2","psy_miyako_attack_loop","3","2","0","0","119931","2061","","1"
"1","","","93","2","","","0.2","2062","",""
"psy_surprise","0.2","psy_idle_surprise2","3","2","0.2","0","106011","2063","","1"
"","","","91","2","","","2059","2064","",""
"0","","","22","2","","","0","2065","",""
"psy_talk_surprise2","0.2","","3","2","","1","106011","2066","",""
"vo_minigame_1008_drama_0310","","0","21","2","","0","vo_minigame_1008","2067","",""
"な、なんなのよこの店～～！！","0","1","11","2","0","8","106011","2068","0.5","0"
"","","","91","2","","","0","2069","",""
"0","","","4","2","","","106011","2070","",""
"psy_run_shy","0.2","","3","2","","1","106011","2071","",""
"psy_miyako_attack_loop_move","0.2","","3","2","","1","119931","2072","",""
"1000","","3","2","2","","-220","106011","2073","","0"
"1000","","5","2","2","","-220","119931","2074","","0"
"","","","93","2","","","3.5","2075","",""
"0","","","22","2","","","0","2076","",""
"","","","91","2","","","0","2077","",""
"119931","1.65","-250","1","3","1","100","1","3001","psy_miyako_gasagoso_B","-150"
"105511","1.7","340","1","3","1","100","1","3002","psy_walk","-180"
"11","1","0","31","3","","0","1","3003","","1"
"1","1.7","-300","5","3","0","101","1","3004","psy_smoke_start","-220"
"225","","2","2","3","","-180","105511","3005","","0"
"","","","93","3","","","2","3006","",""
"psy_talk_wish","0.2","","3","3","","1","105511","3007","",""
"vo_minigame_1008_drama_0203","","0","21","3","","0","vo_minigame_1008","3008","",""
"こ、ここで先輩が働いてるんですよね？","0","1","11","3","0","8","105511","3009","0.5","0"
"","","","91","3","","","0","3010","",""
"psy_ayumi_kyoro_in","0.2","psy_ayumi_kyoro_loop","3","3","0","0","105511","3011","","1"
"","","","93","3","","","1.8","3012","",""
"psy_talk_joy1","0.2","","3","3","","1","105511","3013","",""
"vo_minigame_1008_drama_0204","","0","21","3","","0","vo_minigame_1008","3014","",""
"わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","0","1","11","3","0","8","105511","3015","0.5","0"
"","","","91","3","","","0","3016","",""
"psy_talk_call","0.2","","3","3","","1","105511","3017","",""
"vo_minigame_1008_drama_0205","","0","21","3","","0","vo_minigame_1008","3018","",""
"あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","0","1","11","3","0","8","105511","3019","0.5","0"
"1","","","93","3","","","3","3020","",""
"5","0","1","12","3","0","0.8","119931","3021","0","0"
"0","","","4","3","","","119931","3022","",""
"psy_miyako_idle_thinking","0","","3","3","","1","119931","3023","",""
"1","","","93","3","","","1.5","3024","",""
"1","","","4","3","","","119931","3025","",""
"psy_miyako_gasagoso_B","0","","3","3","","1","119931","3026","",""
"1","","","93","3","","","0.5","3027","",""
"psy_talk_sad","0.2","","3","3","","1","105511","3028","",""
"","","","91","3","","","3019","3029","",""
"psy_talk_wish","0.2","","3","3","","1","105511","3030","",""
"vo_minigame_1008_drama_0206","","0","21","3","","0","vo_minigame_1008","3031","",""
"と、とりあえずお金はおいておきますね\n失礼します！","0","1","11","3","0","8","105511","3032","0.5","0"
"1","","","93","3","","","2","3033","",""
"psy_gasagoso_B2","0.2","","3","3","","1","105511","3034","",""
"1","","","93","3","","","1","3035","",""
"psy_pekori","0.2","psy_idle_normal","3","3","0.2","0","105511","3036","","1"
"","","","91","3","","","3032","3037","",""
"0","","","4","3","","","105511","3038","",""
"psy_run","0.2","","3","3","","1","105511","3039","",""
"1000","","3","2","3","","-180","105511","3040","","0"
"","","","93","3","","","3","3041","",""
"","","","93","3","","","0.5","3042","",""
"psy_miyako_idle_thinking","0","","3","3","","1","119931","3043","",""
"","","","93","3","","","2","3044","",""
"0","","","4","3","","","119931","3045","",""
"psy_miyako_run","0.2","","3","3","","1","119931","3046","",""
"0","","2","2","3","","-165","119931","3047","","0"
"","","","93","3","","","2","3048","",""
"psy_miyako_thinking4","0.2","","3","3","","1","119931","3049","",""
"vo_minigame_1008_drama_0201","","0","21","3","","0","vo_minigame_1008","3050","",""
"……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","0","1","11","3","0","5","119931","3051","0.5","0"
"1","","","93","3","","","4","3052","",""
"psy_miyako_panic1","0.2","","3","3","","1","119931","3053","",""
"","","","91","3","","","3051","3054","",""
"0","","","22","3","","","0","3055","",""
"psy_miyako_surprise2_in","0.2","psy_miyako_surprise2_loop","3","3","0","0","119931","3056","","1"
"vo_minigame_1008_drama_0202","","0","21","3","","0","vo_minigame_1008","3057","",""
"……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","0","1","11","3","0","5","119931","3058","1","0"
"1","","","93","3","","","4","3059","",""
"psy_miyako_thinking4","0.2","","3","3","","1","119931","3060","",""
"","","","91","3","","","3058","3061","",""
"0","","","22","3","","","0","3062","",""
"","","","93","3","","","1","3063","",""
"","","","91","3","","","0","3064","",""
"119931","1.7","-300","1","4","0","100","1","4001","psy_miyako_start","-200"
"107131","1.7","300","1","4","1","100","1","4002","psy_walk","-220"
"11","1","0","31","4","","0","1","4003","","1"
"1","1.7","-300","5","4","0","101","1","4004","psy_smoke_start","-200"
"185","","2","2","4","","-220","107131","4005","","0"
"","","","93","4","","","2","4006","",""
"psy_talk_doya","0.2","psy_talk_doya_loop","3","4","0.2","0","107131","4007","","1"
"vo_minigame_1008_drama_0405","","0","21","4","","0","vo_minigame_1008","4008","",""
"この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","0","1","11","4","0","8","107131","4009","0.5","0"
"","","","91","4","","","0","4010","",""
"psy_idle_doya","0.2","","3","4","","1","107131","4011","",""
"psy_talk_sad","0.2","","3","4","","1","107131","4012","",""
"vo_minigame_1008_drama_0406","","0","21","4","","0","vo_minigame_1008","4013","",""
"……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","0","1","11","4","0","8","107131","4014","0.5","0"
"1","","","93","4","","","6","4015","",""
"psy_talk_call","0.2","","3","4","","1","107131","4016","",""
"","","","91","4","","","4014","4017","",""
"psy_idle_arm_crossed","0.2","","3","4","","1","107131","4018","",""
"psy_miyako_appear","0","psy_miyako_talk_joy1","3","4","0.2","0","119931","4019","","1"
"psy_smoke_appear","0","psy_smoke_start","3","4","0","0","1","4020","","0"
"vo_minigame_1008_drama_0401","","0","21","4","","0","vo_minigame_1008","4021","",""
"あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？","0","1","11","4","0","6","119931","4022","0.5","0"
"","","","91","4","","","0","4023","",""
"0","","","22","4","","","0","4024","",""
"psy_miyako_idle","0.2","","3","4","","1","119931","4025","",""
"psy_talk_normal","0.2","","3","4","","1","107131","4026","",""
"vo_minigame_1008_drama_0407","","0","21","4","","0","vo_minigame_1008","4027","",""
"おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。","0","1","11","4","0","8","107131","4028","0.5","0"
"","","","91","4","","","0","4029","",""
"psy_idle_normal","0.2","","3","4","","1","107131","4030","",""
"psy_miyako_sad1","0.2","","3","4","","1","119931","4031","",""
"vo_minigame_1008_drama_0402","","0","21","4","","0","vo_minigame_1008","4032","",""
"プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。","0","1","11","4","0","6","119931","4033","0.5","0"
"1","","","93","4","","","5","4034","",""
"psy_miyako_talk4","0.2","","3","4","","1","119931","4035","",""
"","","","91","4","","","4033","4036","",""
"0","","","22","4","","","0","4037","",""
"psy_miyako_idle2","0.2","","3","4","","1","119931","4038","",""
"psy_ahaha_in","0.2","psy_ahaha_loop","3","4","0.2","0","107131","4039","","1"
"vo_minigame_1008_drama_0408","","0","21","4","","0","vo_minigame_1008","4040","",""
"はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆","0","1","11","4","0","8","107131","4041","0.5","0"
"1","","","93","4","","","1.7","4042","",""
"psy_talk_joy1","0.2","","3","4","","1","107131","4043","",""
"","","","91","4","","","4041","4044","",""
"psy_talk_doya","0.2","psy_talk_doya_loop","3","4","0.2","0","107131","4045","","1"
"vo_minigame_1008_drama_0409","","0","21","4","","0","vo_minigame_1008","4046","",""
"なんとしてもおまえからお菓子を\n買わせてもらおう。","0","1","11","4","0","8","107131","4047","0.5","0"
"","","","91","4","","","0","4048","",""
"psy_idle_wish","0.2","","3","4","","1","107131","4049","",""
"psy_miyako_panic1","0.2","","3","4","","1","119931","4050","",""
"vo_minigame_1008_drama_0403","","0","21","4","","0","vo_minigame_1008","4051","",""
"なんでそうなるの！？\nいいから帰れなの！","0","1","11","4","0","6","119931","4052","0.5","0"
"","","","91","4","","","0","4053","",""
"0","","","22","4","","","0","4054","",""
"psy_miyako_idle_panic","0.2","","3","4","","1","119931","4055","",""
"psy_cris_approach_in","0.2","psy_cris_approach_loop","3","4","0","0","107131","4056","","1"
"vo_minigame_1008_drama_0410","","0","21","4","","0","vo_minigame_1008","4057","",""
"ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。","0","1","11","4","0","8","107131","4058","0.5","0"
"1","","","93","4","","","4","4059","",""
"psy_talk_arm_crossed","0.2","psy_talk_arm_crossed_loop","3","4","0","0","107131","4060","","1"
"","","","91","4","","","4058","4061","",""
"psy_talk_joy1","0.2","","3","4","","1","107131","4062","",""
"vo_minigame_1008_drama_0411","","0","21","4","","0","vo_minigame_1008","4063","",""
"よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。","0","1","11","4","0","8","107131","4064","0.5","0"
"","","","91","4","","","0","4065","",""
"psy_idle_joy1","0.2","","3","4","","1","107131","4066","",""
"psy_miyako_anger2","0.2","","3","4","","1","119931","4067","",""
"vo_minigame_1008_drama_0404","","0","21","4","","0","vo_minigame_1008","4068","",""
"な、なんでそうなるのーー！？","0","1","11","4","0","6","119931","4069","0.5","0"
"","","","93","4","","","4","4070","",""
"","","","91","4","","","0","4071","",""
"119931","1.7","-300","1","5","0","100","1","5001","psy_miyako_start","-200"
"104931","1.7","300","1","5","1","100","1","5002","psy_walk","-220"
"11","1","0","31","5","","0","1","5003","","1"
"1","1.7","-300","5","5","0","101","1","5004","psy_smoke_start","-200"
"185","","2","2","5","","-220","104931","5005","","0"
"","","","93","5","","","2","5006","",""
"psy_talk_wish","0.2","","3","5","","1","104931","5007","",""
"vo_minigame_1008_drama_0504","","0","21","5","","0","vo_minigame_1008","5008","",""
"ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！","0","1","11","5","0","8","104931","5009","0.5","0"
"1","","","93","5","","","4.3","5010","",""
"psy_talk_joy1","0.2","","3","5","","1","104931","5011","",""
"","","","91","5","","","5009","5012","",""
"psy_idle_joy1","0.2","","3","5","","1","104931","5013","",""
"psy_miyako_appear","0","psy_miyako_talk3","3","5","0.2","0","119931","5014","","1"
"psy_smoke_appear","0","psy_smoke_start","3","5","0","0","1","5015","","0"
"vo_minigame_1008_drama_0501","","0","21","5","","0","vo_minigame_1008","5016","",""
"うるさいの。\nいきなりなんなの？","0","1","11","5","0","6","119931","5017","0.5","0"
"","","","91","5","","","0","5018","",""
"0","","","22","5","","","0","5019","",""
"psy_miyako_idle","0.2","","3","5","","1","119931","5020","",""
"psy_talk_joy1","0.2","","3","5","","1","104931","5021","",""
"vo_minigame_1008_drama_0505","","0","21","5","","0","vo_minigame_1008","5022","",""
"あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！","0","1","11","5","0","8","104931","5023","0.5","0"
"","","","93","5","","","4","5024","",""
"psy_talk_wish","0.2","","3","5","","1","104931","5025","",""
"","","","91","5","","","5023","5026","",""
"","","","91","5","","","0","5027","",""
"psy_idle_wish","0.2","","3","5","","1","104931","5028","",""
"psy_miyako_anger3","0.2","","3","5","","1","119931","5029","",""
"vo_minigame_1008_drama_0502","","0","21","5","","0","vo_minigame_1008","5030","",""
"オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。","0","1","11","5","0","6","119931","5031","0.5","0"
"1","","","93","5","","","5","5032","",""
"psy_miyako_arm_crossed_in","0.2","psy_miyako_arm_crossed_loop","3","5","0","0","119931","5033","","1]"
"","","","91","5","","","5031","5034","",""
"0","","","22","5","","","0","5035","",""
"psy_miyako_arm_crossed_idle","0.2","","3","5","","1","119931","5036","",""
"psy_talk_wish","0.2","","3","5","","1","104931","5037","",""
"vo_minigame_1008_drama_0506","","0","21","5","","0","vo_minigame_1008","5038","",""
"どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！","0","1","11","5","0","8","104931","5039","0.5","0"
"","","","91","5","","","0","5040","",""
"psy_talk_joy2","0.2","","3","5","","1","104931","5041","",""
"vo_minigame_1008_drama_0507","","0","21","5","","0","vo_minigame_1008","5042","",""
"よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！","0","1","11","5","0","8","104931","5043","0.5","0"
"","","","91","5","","","0","5044","",""
"psy_talk_memory","0.2","","3","5","","1","104931","5045","",""
"vo_minigame_1008_drama_0508","","0","21","5","","0","vo_minigame_1008","5046","",""
"まずはそう、運命の出会いから……","0","1","11","5","0","8","104931","5047","0.5","0"
"","","","91","5","","","0","5048","",""
"psy_idle_memory","0.2","","3","5","","1","104931","5049","",""
"psy_miyako_sad1","0.2","","3","5","","1","119931","5050","",""
"vo_minigame_1008_drama_0503","","0","21","5","","0","vo_minigame_1008","5051","",""
"（なんか始まったの……\nめんどくさいからミヤコは消えるの……）","0","1","11","5","0","6","119931","5052","0.5","0"
"","","","91","5","","","0","5053","",""
"0","","","22","5","","","0","5054","",""
"psy_miyako_hide","0.2","","3","5","","0","119931","5055","",""
"psy_smoke_hide","0","psy_smoke_start","3","5","0","0","1","5056","","0"
"","","","93","5","","","2","5057","",""
"","","","91","5","","","0","5058","",""
"119931","1.7","-300","1","6","1","100","1","6001","psy_miyako_idle_thinking","-200"
"103131","1.7","300","1","6","1","100","1","6002","psy_walk","-220"
"11","1","0","31","6","","0","1","6003","","1"
"17","0","0","12","6","0","2","119931","6004","0","0"
"185","","2","2","6","","-220","103131","6005","","0"
"","","","93","6","","","2","6006","",""
"psy_talk_wish","0.2","","3","6","","1","103131","6007","",""
"vo_minigame_1008_drama_0605","","0","21","6","","0","vo_minigame_1008","6008","",""
"こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。","0","1","11","6","0","8","103131","6009","0.5","0"
"","","","91","6","","","0","6010","",""
"psy_idle_wish","0.2","","3","6","","1","103131","6011","",""
"0","","","4","6","","","119931","6012","",""
"psy_miyako_surprise2_in","0.2","psy_miyako_talk_joy2","3","6","0.2","0","119931","6013","","1"
"","","","93","6","","","1","6014","",""
"vo_minigame_1008_drama_0601","","0","21","6","","0","vo_minigame_1008","6015","",""
"シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！","0","1","11","6","0","6","119931","6016","0.5","0"
"1","","","93","6","","","3","6017","",""
"psy_miyako_talk2","0.2","","3","6","","1","119931","6018","",""
"","","","91","6","","","6016","6019","",""
"0","","","22","6","","","0","6020","",""
"psy_miyako_idle_sad","0.2","","3","6","","1","119931","6021","",""
"psy_talk_sad","0.2","","3","6","","1","103131","6022","",""
"vo_minigame_1008_drama_0606","","0","21","6","","0","vo_minigame_1008","6023","",""
"どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。","0","1","11","6","0","8","103131","6024","0.5","0"
"","","","91","6","","","0","6025","",""
"psy_idle_sad","0.2","","3","6","","1","103131","6026","",""
"psy_miyako_panic3","0.2","","3","6","","1","119931","6027","",""
"vo_minigame_1008_drama_0602","","0","21","6","","0","vo_minigame_1008","6028","",""
"違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……","0","1","11","6","0","5","119931","6029","0.5","0"
"1","","","93","6","","","5.5","6030","",""
"psy_miyako_sad2","0.2","","3","6","","1","119931","6031","",""
"","","","91","6","","","6029","6032","",""
"0","","","22","6","","","0","6033","",""
"psy_miyako_idle_sad","0.2","","3","6","","1","119931","6034","",""
"psy_surprise","0.2","psy_talk_surprise1","3","6","0.2","0","103131","6035","","1"
"vo_minigame_1008_drama_0607","","0","21","6","","0","vo_minigame_1008","6036","",""
"ミヤコさんが……自分で……\nプリンを……","0","1","11","6","0","8","103131","6037","0.5","0"
"","","","91","6","","","0","6038","",""
"psy_idle_surprise1","0.2","","3","6","","1","103131","6039","",""
"psy_miyako_talk2","0.2","","3","6","","1","119931","6040","",""
"vo_minigame_1008_drama_0603","","0","21","6","","0","vo_minigame_1008","6041","",""
"どうしたの？","0","1","11","6","0","6","119931","6042","0.5","0"
"","","","91","6","","","0","6043","",""
"0","","","22","6","","","0","6044","",""
"psy_miyako_idle","0.2","","3","6","","1","119931","6045","",""
"psy_talk_joy1","0.2","","3","6","","1","103131","6046","",""
"vo_minigame_1008_drama_0608","","0","21","6","","0","vo_minigame_1008","6047","",""
"ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。","0","1","11","6","0","8","103131","6048","0.5","0"
"1","","","93","6","","","4","6049","",""
"psy_talk_wish","0.2","","3","6","","1","103131","6050","",""
"","","","91","6","","","6048","6051","",""
"psy_idle_wish","0.2","","3","6","","1","103131","6052","",""
"psy_miyako_joy1","0.2","","3","6","","1","119931","6053","",""
"vo_minigame_1008_drama_0604","","0","21","6","","0","vo_minigame_1008","6054","",""
"ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！","0","1","11","6","0","6","119931","6055","0.5","0"
"1","","","93","6","","","5","6056","",""
"psy_miyako_guts1_in","0.2","psy_miyako_guts1_loop","3","6","0","0","119931","6057","","1"
"","","","91","6","","","6055","6058","",""
"0","","","22","6","","","0","6059","",""
"","","","93","6","","","1.5","6060","",""
"","","","91","6","","","0","6061","",""
"119931","1.7","-200","1","7","0","100","1","7001","psy_miyako_idle","-200"
"1","1.7","125","5","7","0","100","1","7002","psy_fairy_idle","-220"
"11","1","0","31","7","","0","1","7003","","1"
"","","","93","7","","","2","7004","",""
