aa96ae597b828a3b62644fa39441bd12e0e67bb7195c5ef800e640f9e7d1dc5d,9dfd04bce60dfa388d46460ca27c616a2b610c53aad8f9a29acdcae7e2635ac6,46770f903b4e69147526ae5c697bdc087e91a3c25812c7e24dfc41f1d0e4d8a9,47c166d8d8106523284e303226658bd9e5100f2b4c22a094c279a839c1eb1a0c,a358a3b06a4bdd893ba2aa8258e8c6e42a02af788178d3c85c53691d397c562d,1b98949e2f3654ae57b2ae065801ec43bfc6ed03c0ce15ad7b7a982ccaa7e9e1
"141","15","10201104","56011104","1002","1"
"142","15","10201105","56011105","1003","1"
"143","8","91002","56011105","0","50"
"144","15","10201106","56011106","1001","1"
"145","15","10201107","56011107","1002","1"
"146","15","10201108","56011108","1003","1"
"147","8","91002","56011108","0","50"
"148","15","10201109","56011109","1001","1"
"149","15","10201110","56011110","1002","1"
"150","15","10201111","56011111","1003","1"
"151","8","91002","56011111","0","50"
"152","15","10201112","56011112","1001","1"
"153","15","10201113","56011113","1002","1"
"154","15","10201114","56011114","1003","1"
"155","8","91002","56011114","0","50"
"156","15","10201115","56011115","1001","1"
"157","15","10201116","56011116","1002","1"
"158","15","10201117","56011117","1003","1"
"159","8","91002","56011117","0","50"
"160","15","10201118","56011118","1001","1"
"161","15","10201119","56011119","1002","1"
"162","15","10201120","56011120","1003","1"
"163","8","91002","56011120","0","50"
"164","15","10201121","56011121","1001","1"
"165","15","10201122","56011122","1002","1"
"166","15","10201123","56011123","1003","1"
"167","8","91002","56011123","0","50"
"168","15","10201124","56011124","1001","1"
"169","15","10201125","56011125","1002","1"
"170","15","10201126","56011126","1003","1"
"171","8","91002","56011126","0","50"
"172","15","10201127","56011127","1001","1"
"173","15","10201128","56011128","1002","1"
"174","15","10201129","56011129","1003","1"
"175","8","91002","56011129","0","50"
"176","15","10201130","56011130","1001","1"
"177","15","10201131","56011131","1002","1"
"178","15","10201132","56011132","1003","1"
"179","8","91002","56011132","0","50"
"180","15","10201133","56011133","1001","1"
"181","15","10201134","56011134","1002","1"
"182","15","10201135","56011135","1003","1"
"183","8","91002","56011135","0","50"
"184","15","10201136","56011136","1001","1"
"185","15","10201137","56011137","1002","1"
"186","15","10201138","56011138","1003","1"
"187","8","91002","56011138","0","50"
"188","15","10201139","56011139","1001","1"
"189","15","10201140","56011140","1002","1"
"190","15","10201141","56011141","1003","1"
"191","8","91002","56011141","0","50"
"192","15","10201142","56011142","1001","1"
"193","15","10201143","56011143","1002","1"
"194","15","10201144","56011144","1003","1"
"195","8","91002","56011144","0","50"
"196","15","10201145","56011145","1001","1"
"197","15","10201146","56011146","1002","1"
"198","15","10201147","56011147","1003","1"
"199","8","91002","56011147","0","50"
"200","15","10201148","56011148","1001","1"
"201","15","10201149","56011149","1002","1"
"202","15","10201150","56011150","1003","1"
"203","8","91002","56011150","0","50"
"204","15","10201151","56011151","1001","1"
"205","15","10201152","56011152","1002","1"
"206","15","10201153","56011153","1003","1"
"207","8","91002","56011153","0","50"
"208","15","10201154","56011154","1001","1"
"209","15","10201155","56011155","1002","1"
"210","15","10201156","56011156","1003","1"
"211","8","91002","56011156","0","50"
"212","15","10201157","56011157","1001","1"
"213","15","10201158","56011158","1002","1"
"214","15","10201159","56011159","1003","1"
"215","8","91002","56011159","0","50"
"216","15","10201160","56011160","1001","1"
"217","15","10201161","56011161","1002","1"
"218","15","10201162","56011162","1003","1"
"219","8","91002","56011162","0","50"
"220","15","10201163","56011163","1001","1"
"221","15","10201164","56011164","1002","1"
"222","15","10201165","56011165","1003","1"
"223","8","91002","56011165","0","50"
"224","15","10201166","56011166","1001","1"
"225","15","10201167","56011167","1002","1"
"226","15","10201168","56011168","1003","1"
"227","8","91002","56011168","0","50"
"228","15","10201169","56011169","1001","1"
"229","15","10201170","56011170","1002","1"
"230","15","10201171","56011171","1003","1"
"231","8","91002","56011171","0","50"
"232","15","10201172","56011172","1001","1"
"233","15","10201173","56011173","1002","1"
"234","15","10201174","56011174","1003","1"
"235","8","91002","56011174","0","50"
"236","15","10201175","56011175","1001","1"
"237","15","10201176","56011176","1002","1"
"238","15","10201177","56011177","1003","1"
"239","8","91002","56011177","0","50"
"240","15","10201178","56011178","1001","1"
"241","15","10201179","56011179","1002","1"
"242","15","10201180","56011180","1003","1"
"243","8","91002","56011180","0","50"
"244","15","10201181","56011181","1001","1"
"245","15","10201182","56011182","1002","1"
"246","15","10201183","56011183","1003","1"
"247","8","91002","56011183","0","50"
"248","15","10201184","56011184","1001","1"
"249","15","10201185","56011185","1002","1"
"250","15","10201186","56011186","1003","1"
"251","8","91002","56011186","0","50"
"252","15","10201187","56011187","1001","1"
"253","15","10201188","56011188","1002","1"
"254","15","10201189","56011189","1003","1"
"255","8","91002","56011189","0","50"
"256","15","10201190","56011190","1001","1"
"257","15","10201191","56011191","1002","1"
"258","15","10201192","56011192","1003","1"
"259","8","91002","56011192","0","50"
"260","15","10201193","56011193","1001","1"
"261","15","10201194","56011194","1002","1"
"262","15","10201195","56011195","1003","1"
"263","8","91002","56011195","0","50"
"264","15","10201196","56011196","1001","1"
"265","15","10201197","56011197","1002","1"
"266","15","10201198","56011198","1003","1"
"267","8","91002","56011198","0","50"
"268","15","10201199","56011199","1001","1"
"269","15","10201200","56011200","1002","1"
"270","15","10201201","56011201","1003","1"
"271","8","91002","56011201","0","50"
"272","15","10201202","56011202","1001","1"
"273","15","10201203","56011203","1002","1"
"274","15","10201204","56011204","1003","1"
"275","8","91002","56011204","0","50"
"276","15","10201205","56011205","1001","1"
"277","15","10201206","56011206","1002","1"
"278","15","10201207","56011207","1003","1"
"279","8","91002","56011207","0","50"
"280","15","10201208","56011208","1001","1"
"281","15","10201209","56011209","1002","1"
"282","15","10201210","56011210","1003","1"
"283","8","91002","56011210","0","50"
"284","15","10201211","56011211","1001","1"
"285","15","10201212","56011212","1002","1"
"286","15","10201213","56011213","1003","1"
"287","8","91002","56011213","0","50"
"288","15","10201214","56011214","1001","1"
"289","15","10201215","56011215","1002","1"
"290","15","10201216","56011216","1003","1"
"291","8","91002","56011216","0","50"
"292","15","10201217","56011217","1001","1"
"293","15","10201218","56011218","1002","1"
"294","15","10201219","56011219","1003","1"
"295","8","91002","56011219","0","50"
"296","15","10201220","56011220","1001","1"
"297","15","10201221","56011221","1002","1"
"298","15","10201222","56011222","1003","1"
"299","8","91002","56011222","0","50"
"300","15","10201223","56011223","1001","1"
"301","15","10201224","56011224","1002","1"
"302","15","10201225","56011225","1003","1"
"303","8","91002","56011225","0","50"
"304","15","10201226","56011226","1001","1"
"305","15","10201227","56011227","1002","1"
"306","15","10201228","56011228","1003","1"
"307","8","91002","56011228","0","50"
"308","15","10201229","56011229","1001","1"
"309","15","10201230","56011230","1002","1"
"310","15","10201231","56011231","1003","1"
"311","8","91002","56011231","0","50"
"312","15","10201232","56011232","1001","1"
"313","15","10201233","56011233","1002","1"
"314","15","10201234","56011234","1003","1"
"315","8","91002","56011234","0","50"
"316","15","10202001","56012001","1003","1"
"317","15","10202002","56012002","1003","1"
"318","15","10202003","56012003","1003","1"
"319","15","10202004","56012004","1003","1"
"320","15","10202005","56012005","1003","1"
"321","15","10202006","56012006","1003","1"
"322","15","10202007","56012007","1003","1"
"323","15","10202008","56012008","1003","1"
"324","15","10202009","56012009","1003","1"
"325","15","10202010","56012010","1003","1"
"326","15","10202011","56012011","1003","1"
"327","15","10202012","56012012","1003","1"
"328","15","10202013","56012013","1003","1"
"329","15","10202014","56012014","1003","1"
"330","15","10202015","56012015","1003","1"
"447","15","10501001","54002001","1001","1"
"448","8","91002","54002001","0","50"
"449","15","10501002","54002002","1002","1"
"450","8","91002","54002002","0","50"
"451","15","10501003","54002003","1003","1"
"452","8","91002","54002003","0","50"
"453","15","10502001","54004001","1001","1"
"454","8","91002","54004001","0","50"
"455","15","10502002","54004002","1002","1"
"456","8","91002","54004002","0","50"
"457","15","10502003","54004003","1003","1"
"458","8","91002","54004003","0","50"
"459","15","10601001","55006001","1001","1"
"460","8","91002","55006001","0","10"
"461","15","10601002","55006002","1002","1"
"462","8","91002","55006002","0","30"
"463","15","10601003","55006003","1003","1"
"464","8","91002","55006003","0","50"
"465","15","10201235","56011235","1001","1"
"466","15","10201236","56011236","1002","1"
"467","15","10201237","56011237","1003","1"
"468","8","91002","56011237","0","50"
"469","15","10201238","56011238","1001","1"
"470","15","10201239","56011239","1002","1"
"471","15","10201240","56011240","1003","1"
"472","8","91002","56011240","0","50"
"473","15","10201241","56011241","1001","1"
"474","15","10201242","56011242","1002","1"
"475","15","10201243","56011243","1003","1"
"476","8","91002","56011243","0","50"
"477","15","10201244","56011244","1001","1"
"478","15","10201245","56011245","1002","1"
"479","15","10201246","56011246","1003","1"
"480","8","91002","56011246","0","50"
"481","15","10201247","56011247","1001","1"
"482","15","10201248","56011248","1002","1"
"483","15","10201249","56011249","1003","1"
"484","8","91002","56011249","0","50"
"485","15","10201250","56011250","1001","1"
"486","15","10201251","56011251","1002","1"
"487","15","10201252","56011252","1003","1"
"488","8","91002","56011252","0","50"
"489","15","10201253","56011253","1001","1"
"490","15","10201254","56011254","1002","1"
"491","15","10201255","56011255","1003","1"
"492","8","91002","56011255","0","50"
"493","15","10201256","56011256","1001","1"
"494","15","10201257","56011257","1002","1"
"495","15","10201258","56011258","1003","1"
"496","8","91002","56011258","0","50"
"497","15","10201259","56011259","1001","1"
"498","15","10201260","56011260","1002","1"
"499","15","10201261","56011261","1003","1"
"500","8","91002","56011261","0","50"
"501","15","10201262","56011262","1001","1"
"502","15","10201263","56011263","1002","1"
"503","15","10201264","56011264","1003","1"
"504","8","91002","56011264","0","50"
"505","15","10201265","56011265","1001","1"
"506","15","10201266","56011266","1002","1"
"507","15","10201267","56011267","1003","1"
"508","8","91002","56011267","0","50"
"509","15","10201268","56011268","1001","1"
"510","15","10201269","56011269","1002","1"
"511","15","10201270","56011270","1003","1"
"512","8","91002","56011270","0","50"
"513","15","10201271","56011271","1003","1"
"514","8","91002","56011271","0","100"
"515","15","10201272","56011272","1003","1"
"516","8","91002","56011272","0","100"
"517","15","10201273","56011273","1003","1"
"518","8","91002","56011273","0","100"
"519","15","10201274","56011274","1001","1"
"520","15","10201275","56011275","1002","1"
"521","15","10201276","56011276","1003","1"
"522","8","91002","56011276","0","50"
"523","15","10201277","56011277","1001","1"
"524","15","10201278","56011278","1002","1"
"525","15","10201279","56011279","1003","1"
"526","8","91002","56011279","0","50"
"527","15","10201280","56011280","1001","1"
"528","15","10201281","56011281","1002","1"
"529","15","10201282","56011282","1003","1"
"530","8","91002","56011282","0","50"
"531","15","10201283","56011283","1001","1"
"532","15","10201284","56011284","1002","1"
"533","15","10201285","56011285","1003","1"
"534","8","91002","56011285","0","50"
"535","15","10201286","56011286","1003","1"
"536","8","91002","56011286","0","100"
"537","15","11101001","56014001","1001","1"
"538","8","91002","56014001","0","10"
"539","15","11101002","56014002","1002","1"
"540","8","91002","56014002","0","20"
"541","15","11101003","56014003","1003","1"
"542","8","91002","56014003","0","50"
"543","15","11201001","56015001","1001","1"
"544","8","91002","56015001","0","50"
"545","15","11201002","56015002","1002","1"
"546","8","91002","56015002","0","50"
"547","15","11201003","56015003","1003","1"
"548","8","91002","56015003","0","50"
"549","15","10201287","56011287","1001","1"
"550","15","10201288","56011288","1002","1"
"551","15","10201289","56011289","1003","1"
"552","8","91002","56011289","0","50"
"553","15","10201290","56011290","1001","1"
"554","15","10201291","56011291","1002","1"
"555","15","10201292","56011292","1003","1"
"556","8","91002","56011292","0","50"
"557","15","10201293","56011293","1003","1"
"558","8","91002","56011293","0","100"
"559","15","10201294","56011294","1001","1"
"560","15","10201295","56011295","1002","1"
"561","15","10201296","56011296","1003","1"
"562","8","91002","56011296","0","50"
"563","15","10201297","56011297","1001","1"
"564","15","10201298","56011298","1002","1"
"565","15","10201299","56011299","1003","1"
"566","8","91002","56011299","0","50"
"567","15","10201300","56011300","1001","1"
"568","15","10201301","56011301","1002","1"
"569","15","10201302","56011302","1003","1"
"570","8","91002","56011302","0","50"
"571","15","10201303","56011303","1003","1"
"572","8","91002","56011303","0","100"
"573","15","10201304","56011304","1001","1"
"574","15","10201305","56011305","1002","1"
"575","15","10201306","56011306","1003","1"
"576","8","91002","56011306","0","50"
"577","15","10301015","58008015","1003","1"
"578","8","91002","58008015","0","50"
"579","15","10201307","56011307","1001","1"
"580","15","10201308","56011308","1002","1"
"581","15","10201309","56011309","1003","1"
"582","8","91002","56011309","0","50"
"583","15","10201310","56011310","1001","1"
"584","15","10201311","56011311","1002","1"
"585","15","10201312","56011312","1003","1"
"586","8","91002","56011312","0","50"
"587","15","10201313","56011313","1003","1"
"588","8","91002","56011313","0","100"
"589","15","10201314","56011314","1001","1"
"590","15","10201315","56011315","1002","1"
"591","15","10201316","56011316","1003","1"
"592","8","91002","56011316","0","50"
"593","15","10201317","56011317","1001","1"
"594","15","10201318","56011318","1002","1"
"595","15","10201319","56011319","1003","1"
"596","8","91002","56011319","0","50"
"597","15","10201320","56011320","1001","1"
"598","15","10201321","56011321","1002","1"
"599","15","10201322","56011322","1003","1"
"600","8","91002","56011322","0","50"
"601","15","10201323","56011323","1003","1"
"602","8","91002","56011323","0","100"
"603","15","10201324","56011324","1001","1"
"604","15","10201325","56011325","1002","1"
"605","15","10201326","56011326","1003","1"
"606","8","91002","56011326","0","50"
"607","15","10201327","56011327","1001","1"
"608","15","10201328","56011328","1002","1"
"609","15","10201329","56011329","1003","1"
"610","8","91002","56011329","0","50"
"611","15","10201330","56011330","1001","1"
"612","15","10201331","56011331","1002","1"
"613","15","10201332","56011332","1003","1"
"614","8","91002","56011332","0","50"
"615","15","10201333","56011333","1003","1"
"616","8","91002","56011333","0","100"
"617","15","10201334","56011334","1003","1"
"618","8","91002","56011334","0","100"
"619","15","10201335","56011335","1003","1"
"620","8","91002","56011335","0","100"
"621","15","10202100","56012100","1003","1"
"622","15","10201336","56011336","1001","1"
"623","15","10201337","56011337","1002","1"
"624","15","10201338","56011338","1003","1"
"625","8","91002","56011338","0","50"
"626","15","10201339","56011339","1001","1"
"627","15","10201340","56011340","1002","1"
"628","15","10201341","56011341","1003","1"
"629","8","91002","56011341","0","50"
"630","15","10202016","56012016","1003","1"
"631","15","10201342","56011342","1003","1"
"632","8","91002","56011342","0","100"
"633","15","10201343","56011343","1001","1"
"634","15","10201344","56011344","1002","1"
"635","15","10201345","56011345","1003","1"
"636","8","91002","56011345","0","50"
"637","15","10201346","56011346","1001","1"
"638","15","10201347","56011347","1002","1"
"639","15","10201348","56011348","1003","1"
"640","8","91002","56011348","0","50"
"641","15","10201349","56011349","1003","1"
"642","8","91002","56011349","0","100"
"643","15","10603001","55008001","1001","1"
"644","8","91002","55008001","0","50"
"645","15","10603002","55008002","1001","1"
"646","8","91002","55008002","0","50"
"647","15","10603003","55008003","1002","1"
"648","8","91002","55008003","0","50"
"649","15","10603004","55008004","1002","1"
"650","8","91002","55008004","0","50"
"651","15","10603005","55008005","1003","1"
"652","8","91002","55008005","0","50"
"653","15","10603006","55008006","1003","1"
"654","8","91002","55008006","0","50"
"655","15","10201350","56011350","1001","1"
"656","15","10201351","56011351","1002","1"
"657","15","10201352","56011352","1003","1"
"658","8","91002","56011352","0","50"
"659","15","10201353","56011353","1001","1"
"660","15","10201354","56011354","1002","1"
"661","15","10201355","56011355","1003","1"
"662","8","91002","56011355","0","50"
"663","15","10201356","56011356","1001","1"
"664","15","10201357","56011357","1002","1"
"665","15","10201358","56011358","1003","1"
"666","8","91002","56011358","0","50"
"667","15","10201359","56011359","1003","1"
"668","8","91002","56011359","0","100"
"669","15","10201360","56011360","1001","1"
"670","15","10201361","56011361","1002","1"
"671","15","10201362","56011362","1003","1"
"672","8","91002","56011362","0","50"
"673","15","10201363","56011363","1001","1"
"674","15","10201364","56011364","1002","1"
"675","15","10201365","56011365","1003","1"
"676","8","91002","56011365","0","50"
"677","15","10202017","56012017","1003","1"
"678","15","10201366","56011366","1001","1"
"679","15","10201367","56011367","1002","1"
"680","15","10201368","56011368","1003","1"
"681","8","91002","56011368","0","50"
"682","15","10201369","56011369","1001","1"
"683","15","10201370","56011370","1002","1"
"684","15","10201371","56011371","1003","1"
"685","8","91002","56011371","0","50"
"686","15","10201372","56011372","1003","1"
"687","8","91002","56011372","0","100"
"688","15","10201373","56011373","1001","1"
"689","15","10201374","56011374","1002","1"
"690","15","10201375","56011375","1003","1"
"691","8","91002","56011375","0","50"
"692","15","10201376","56011376","1001","1"
"693","15","10201377","56011377","1002","1"
"694","15","10201378","56011378","1003","1"
"695","8","91002","56011378","0","50"
"696","15","10201379","56011379","1001","1"
"697","15","10201380","56011380","1002","1"
"698","15","10201381","56011381","1003","1"
"699","8","91002","56011381","0","50"
"700","15","10201382","56011382","1001","1"
"701","15","10201383","56011383","1002","1"
"702","15","10201384","56011384","1003","1"
"703","8","91002","56011384","0","50"
"704","15","10201385","56011385","1003","1"
"705","8","91002","56011385","0","100"
"706","15","10201386","56011386","1001","1"
"707","15","10201387","56011387","1002","1"
"708","15","10201388","56011388","1003","1"
"709","8","91002","56011388","0","50"
"710","15","10201389","56011389","1001","1"
"711","15","10201390","56011390","1002","1"
"712","15","10201391","56011391","1003","1"
"713","8","91002","56011391","0","50"
"714","15","10201392","56011392","1001","1"
"715","15","10201393","56011393","1002","1"
"716","15","10201394","56011394","1003","1"
"717","8","91002","56011394","0","50"
"718","15","10201395","56011395","1003","1"
"719","8","91002","56011395","0","100"
"720","15","10201396","56011396","1003","1"
"721","8","91002","56011396","0","100"
"722","15","10201397","56011397","1001","1"
"723","15","10201398","56011398","1002","1"
"724","15","10201399","56011399","1003","1"
"725","8","91002","56011399","0","50"
"726","15","10201400","56011400","1001","1"
"727","15","10201401","56011401","1002","1"
"728","15","10201402","56011402","1003","1"
"729","8","91002","56011402","0","50"
"730","15","10201403","56011403","1001","1"
"731","15","10201404","56011404","1002","1"
"732","15","10201405","56011405","1003","1"
"733","8","91002","56011405","0","50"
"734","15","10201406","56011406","1003","1"
"735","8","91002","56011406","0","100"
"736","15","10201407","56011407","1001","1"
"737","15","10201408","56011408","1002","1"
"738","15","10201409","56011409","1003","1"
"739","8","91002","56011409","0","50"
"740","15","10201410","56011410","1001","1"
"741","15","10201411","56011411","1002","1"
"742","15","10201412","56011412","1003","1"
"743","8","91002","56011412","0","50"
"744","15","10201413","56011413","1003","1"
"745","8","91002","56011413","0","100"
"746","15","10201414","56011414","1001","1"
"747","15","10201415","56011415","1002","1"
"748","15","10201416","56011416","1003","1"
"749","8","91002","56011416","0","50"
"750","15","10201417","56011417","1001","1"
"751","15","10201418","56011418","1002","1"
"752","15","10201419","56011419","1003","1"
"753","8","91002","56011419","0","50"
"754","15","10201420","56011420","1001","1"
"755","15","10201421","56011421","1002","1"
"756","15","10201422","56011422","1003","1"
"757","8","91002","56011422","0","50"
"758","15","10201423","56011423","1003","1"
"759","8","91002","56011423","0","100"
"760","15","10201424","56011424","1001","1"
"761","15","10201425","56011425","1002","1"
"762","15","10201426","56011426","1003","1"
"763","8","91002","56011426","0","50"
"764","15","10201427","56011427","1001","1"
"765","15","10201428","56011428","1002","1"
"766","15","10201429","56011429","1003","1"
"767","8","91002","56011429","0","50"
"768","15","10201430","56011430","1001","1"
"769","15","10201431","56011431","1002","1"
"770","15","10201432","56011432","1003","1"
"771","8","91002","56011432","0","50"
"772","15","10201433","56011433","1001","1"
"773","15","10201434","56011434","1002","1"
"774","15","10201435","56011435","1003","1"
"775","8","91002","56011435","0","50"
"776","15","10201436","56011436","1003","1"
"777","8","91002","56011436","0","100"
"778","15","10201437","56011437","1001","1"
"779","15","10201438","56011438","1002","1"
"780","15","10201439","56011439","1003","1"
"781","8","91002","56011439","0","50"
"782","15","10201440","56011440","1001","1"
"783","15","10201441","56011441","1002","1"
"784","15","10201442","56011442","1003","1"
"785","8","91002","56011442","0","50"
"786","15","10201443","56011443","1001","1"
"787","15","10201444","56011444","1002","1"
"788","15","10201445","56011445","1003","1"
"789","8","91002","56011445","0","50"
"790","15","10201446","56011446","1003","1"
"791","8","91002","56011446","0","100"
"792","15","10201447","56011447","1001","1"
"793","15","10201448","56011448","1002","1"
"794","15","10201449","56011449","1003","1"
"795","8","91002","56011449","0","50"
"796","15","10201450","56011450","1001","1"
"797","15","10201451","56011451","1002","1"
"798","15","10201452","56011452","1003","1"
"799","8","91002","56011452","0","50"
"800","15","10201453","56011453","1001","1"
"801","15","10201454","56011454","1002","1"
"802","15","10201455","56011455","1003","1"
"803","8","91002","56011455","0","50"
"804","15","10201456","56011456","1001","1"
"805","15","10201457","56011457","1002","1"
"806","15","10201458","56011458","1003","1"
"807","8","91002","56011458","0","50"
"808","15","10201459","56011459","1001","1"
"809","15","10201460","56011460","1002","1"
"810","15","10201461","56011461","1003","1"
"811","8","91002","56011461","0","50"
"812","15","10201462","56011462","1003","1"
"813","8","91002","56011462","0","100"
"814","15","10201463","56011463","1003","1"
"815","8","91002","56011463","0","100"
"816","15","10201464","56011464","1003","1"
"817","8","91002","56011464","0","100"
"818","15","10201465","56011465","1001","1"
"819","15","10201466","56011466","1002","1"
"820","15","10201467","56011467","1003","1"
"821","8","91002","56011467","0","50"
"822","15","10201468","56011468","1001","1"
"823","15","10201469","56011469","1002","1"
"824","15","10201470","56011470","1003","1"
"825","8","91002","56011470","0","50"
"826","15","10201471","56011471","1003","1"
"827","8","91002","56011471","0","100"
"828","15","10201472","56011472","1001","1"
"829","15","10201473","56011473","1002","1"
"830","15","10201474","56011474","1003","1"
"831","8","91002","56011474","0","50"
"832","15","10201475","56011475","1001","1"
"833","15","10201476","56011476","1002","1"
"834","15","10201477","56011477","1003","1"
"835","8","91002","56011477","0","50"
"836","15","10201484","56011484","1003","1"
"837","8","91002","56011484","0","100"
"838","15","10201485","56011485","1001","1"
"839","15","10201486","56011486","1002","1"
"840","15","10201487","56011487","1003","1"
"841","8","91002","56011487","0","50"
"842","15","10201488","56011488","1001","1"
"843","15","10201489","56011489","1002","1"
"844","15","10201490","56011490","1003","1"
"845","8","91002","56011490","0","50"
