ab509a5f76ab1d0ace3ad8bfb693c4afb4e3b2a28dac6e290f831974a8d074ed,8a3859a69bc62deb75ed2ee7cd25f8f912c23a02af7e5f5e00ee57295f332a1a,0b5ac3ec7c72a68f464ba0fbb089aa1aa4dbfc4f0454a92e84ab5fbd73ca4160,7d9d2ea8381c06bef4377813c5a969a09ac461a2ba021d0e88ccd0f45bea1e7c,05ad39b530604e22e482653917b3b9c931cc22aa12a38216090d1828ff0aa09a,7f7b66acf8c5dcbee626edeacd5bd92c2a1345e845d1719be60f1a54bee46aa7,e8b2e6dfc79b22cafcf90f42e0ca088199b74cf49dd985cf899ac64f4265935f,bad94c4524ba11a635b38c0a6999175b83b8200c1809052819a3045fcf1344ab,d806eeb78b383a847667a83290ff6e031880a3d0673a9598cf47bb0042802ad9,81b9eaf6f9232f3a970bb0e165611790b77e31e2d2fa94b164a34ba770e9efd3,591af33563da06cbed8c610c90edf4d6bddfe998f0dd1c9c6084f28555b0ca9c,1c531d177bfe5080650a9968489bbfc1299d78d2fd9cb4948bc29220a3a1f094
"1","0","4","0","0","0","0","1030001","3","3","0","1"
"2","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_000","1030002","3","0","0","0"
"3","2.61","1","0","0","332","0","1030003","3","0","1","0"
"4","0","4","0","0","0","0","1030004","3","1","0","3.007"
"5","1.47","1","0","0","233","0","1030005","3","0","2","0"
"6","0","4","0","0","0","0","1030006","3","1","0","2.171"
"7","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_001","1030007","3","0","0","0"
"8","2.1","1","0","0","322","0","1030008","3","0","3","0"
"9","0","4","0","0","0","0","1030009","3","1","0","2.579"
"10","2.298","1","0","0","349","0","1030010","3","0","4","0"
"11","0","4","0","0","0","0","1030011","3","1","0","3.18"
"12","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_002","1030012","3","0","0","0"
"13","1.262","1","0","0","173","0","1030013","3","0","5","0"
"14","0","4","0","0","0","0","1030014","3","1","0","1.993"
"15","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_003","1030015","3","0","0","0"
"16","0.373","1","173","0","243","0","1030016","3","0","5","0"
"17","0","4","0","0","0","0","1030017","3","1","0","0.69"
"18","1.045","1","243","0","362","0","1030018","3","0","5","0"
"19","0","4","0","0","0","0","1030019","3","1","0","2.131"
"20","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_004","1030020","3","0","0","0"
"21","2.147","1","0","0","289","0","1030021","3","0","6","0"
"22","0","4","0","0","0","0","1030022","3","1","0","2.618"
"23","1.445","1","0","0","202","0","1030023","3","0","7","0"
"24","0","4","0","0","0","0","1030024","3","1","0","2.552"
"25","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_005","1030025","3","0","0","0"
"26","0.876","1","0","0","123","0","1030026","3","0","8","0"
"27","0","4","0","0","0","0","1030027","3","1","0","1.252"
"28","1.306","1","123","0","324","0","1030028","3","0","8","0"
"29","0","4","0","0","0","0","1030029","3","1","0","1.507"
"30","1.319","1","0","0","186","0","1030030","3","0","9","0"
"31","0","4","0","0","0","0","1030031","3","1","0","2.549"
"32","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_006","1030032","3","0","0","0"
"33","2.728","1","0","0","383","0","1030033","3","0","10","0"
"34","0","4","0","0","0","0","1030034","3","1","0","3.023"
"35","0.91","1","0","0","123","0","1030035","3","0","11","0"
"36","0","4","0","0","0","0","1030036","3","1","0","1.977"
"37","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_007","1030037","3","0","0","0"
"38","0.558","1","123","0","208","0","1030038","3","0","11","0"
"39","0","4","0","0","0","0","1030039","3","1","0","0.973"
"40","1.35","1","208","0","392","0","1030040","3","0","11","0"
"41","0","4","0","0","0","0","1030041","3","1","0","2.103"
"42","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_008","1030042","3","0","0","0"
"43","0.935","1","0","0","150","0","1030043","3","0","12","0"
"44","0","4","0","0","0","0","1030044","3","1","0","2.435"
"1","0","4","0","0","0","0","1040001","4","3","0","1"
"2","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_000","1040002","4","0","0","0"
"3","1.597","1","0","0","222","0","1040003","4","0","1","0"
"4","0","4","0","0","0","0","1040004","4","1","0","1.881"
"5","1.46","1","0","0","239","0","1040005","4","0","2","0"
"6","0","4","0","0","0","0","1040006","4","1","0","2.457"
"7","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_001","1040007","4","0","0","0"
"8","1.208","1","0","0","171","0","1040008","4","0","3","0"
"9","0","4","0","0","0","0","1040009","4","1","0","1.578"
"10","0.673","1","171","0","270","0","1040010","4","0","3","0"
"11","0","4","0","0","0","0","1040011","4","1","0","1.009"
"12","0.65","1","270","0","352","0","1040012","4","0","3","0"
"13","0","4","0","0","0","0","1040013","4","1","0","0.729"
"14","0.976","1","0","0","166","0","1040014","4","0","4","0"
"15","0","4","0","0","0","0","1040015","4","1","0","1.993"
"16","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_002","1040016","4","0","0","0"
"17","0.396","1","166","0","220","0","1040017","4","0","4","0"
"18","0","4","0","0","0","0","1040018","4","1","0","0.864"
"19","0.74","1","220","0","352","0","1040019","4","0","4","0"
"20","0","4","0","0","0","0","1040020","4","1","0","1.855"
"21","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_003","1040021","4","0","0","0"
"22","0.437","1","0","0","52","0","1040022","4","0","5","0"
"23","0","4","0","0","0","0","1040023","4","1","0","0.497"
"24","1.776","1","52","0","289","0","1040024","4","0","5","0"
"25","0","4","0","0","0","0","1040025","4","1","0","2.233"
"26","1.29","1","0","0","153","0","1040026","4","0","6","0"
"27","0","4","0","0","0","0","1040027","4","1","0","1.638"
"28","1.137","1","153","0","329","0","1040028","4","0","6","0"
"29","0","4","0","0","0","0","1040029","4","1","0","2.3"
"30","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_004","1040030","4","0","0","0"
"31","0.336","1","0","0","55","0","1040031","4","0","7","0"
"32","0","4","0","0","0","0","1040032","4","1","0","0.826"
"33","1.223","1","55","0","252","0","1040033","4","0","7","0"
"34","0","4","0","0","0","0","1040034","4","1","0","1.223"
"35","0.994","1","0","0","179","0","1040035","4","0","8","0"
"36","0","4","0","0","0","0","1040036","4","1","0","1.487"
"37","0.89","1","179","0","312","0","1040037","4","0","8","0"
"38","0","4","0","0","0","0","1040038","4","1","0","1.567"
"39","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_005","1040039","4","0","0","0"
"40","0.74","1","0","0","151","0","1040040","4","0","9","0"
"41","0","4","0","0","0","0","1040041","4","1","0","1.731"
"42","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_006","1040042","4","0","0","0"
"43","1.937","1","0","0","278","0","1040043","4","0","10","0"
"44","0","4","0","0","0","0","1040044","4","1","0","2.435"
"45","0.822","1","0","0","126","0","1040045","4","0","11","0"
"46","0","4","0","0","0","0","1040046","4","1","0","1.376"
"47","0.576","1","126","0","199","0","1040047","4","0","11","0"
"48","0","4","0","0","0","0","1040048","4","1","0","0.923"
"49","0.785","1","199","0","353","0","1040049","4","0","11","0"
"50","0","4","0","0","0","0","1040050","4","1","0","2.285"
"1","0","4","0","0","0","0","1050001","5","3","0","1"
"2","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_000","1050002","5","0","0","0"
"3","1.419","1","0","0","183","0","1050003","5","0","1","0"
"4","0","4","0","0","0","0","1050004","5","1","0","1.662"
"5","1.614","1","0","0","265","0","1050005","5","0","2","0"
"6","0","4","0","0","0","0","1050006","5","1","0","2.394"
"7","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_001","1050007","5","0","0","0"
"8","2.658","1","0","0","394","0","1050008","5","0","3","0"
"9","0","4","0","0","0","0","1050009","5","1","0","3.202"
"10","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_002","1050010","5","0","0","0"
"11","1.745","1","0","0","298","0","1050011","5","0","4","0"
"12","0","4","0","0","0","0","1050012","5","1","0","2.545"
"13","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_003","1050013","5","0","0","0"
"14","0.964","1","0","0","115","0","1050014","5","0","5","0"
"15","0","4","0","0","0","0","1050015","5","1","0","1.34"
"16","1.919","1","115","0","394","0","1050016","5","0","5","0"
"17","0","4","0","0","0","0","1050017","5","1","0","2.719"
"18","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_004","1050018","5","0","0","0"
"19","0.434","1","0","0","60","0","1050019","5","0","6","0"
"20","0","4","0","0","0","0","1050020","5","1","0","0.903"
"21","1.262","1","60","0","250","0","1050021","5","0","6","0"
"22","0","4","0","0","0","0","1050022","5","1","0","1.758"
"23","2.473","1","0","0","309","0","1050023","5","0","7","0"
"24","0","4","0","0","0","0","1050024","5","1","0","3.315"
"25","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_005","1050025","5","0","0","0"
"26","0.509","1","0","0","82","0","1050026","5","0","8","0"
"27","0","4","0","0","0","0","1050027","5","1","0","0.988"
"28","1.775","1","82","0","364","0","1050028","5","0","8","0"
"29","0","4","0","0","0","0","1050029","5","1","0","2.507"
"30","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_006","1050030","5","0","0","0"
"31","1.139","1","0","0","201","0","1050031","5","0","9","0"
"32","0","4","0","0","0","0","1050032","5","1","0","2.066"
"33","0","2","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_007","1050033","5","0","0","0"
"34","0.665","1","0","0","94","0","1050034","5","0","10","0"
"35","0","4","0","0","0","0","1050035","5","1","0","1.144"
"36","1.389","1","94","0","271","0","1050036","5","0","10","0"
"37","0","4","0","0","0","0","1050037","5","1","0","1.789"
"38","0.823","1","271","0","376","0","1050038","5","0","10","0"
"39","0","4","0","0","0","0","1050039","5","1","0","2.023"
