46975641881532a3cbcab15667ace7c559d64698576107127114f4f3f8156b64,adc03e10aeb822d1768ff537381e536865ff69acc0700e57b559d8752aa12ac9,058f12616cd60e36399a58004cc6cccbe372f3f1703d2acc9cd72efc540d334e,5d3a5553d61fe035a04b59883884f69fc948deebe2302b6968a0db3cc068f263,f6eb66d560ccc4ed10b696a9a56c0c7d35b75006770917a2c4b5bfd847cfa92d,143b8f57e8ee1ed071d66d98d1d94908472c70d3404f722338638f433ab800fe,18c58a599c2ebefa0ebc49ca06fbfb87d3fb0a3b91fd9deb8e418687083ab957,3bfdca5de98b16431ba3afa07ce2856631f3f7d1e3ef4031bf0fd4b4c577c0fe,9180206a5db8abd221b2fd48d02d7797af45cfa95650f45ffdde7d7d15267bc9
"選ばれし","3","2","1","1","0","45","1","2"
"アルティメット","3","2","1","1","2","46","1","2"
"オーシャンブルー","3","2","1","1","1","47","1","2"
"海に愛された","3","2","1","1","2","48","1","2"
"大海を統べる","3","2","1","1","2","49","1","2"
"伝説の","3","2","1","1","0","50","1","2"
"世界を揺るがす","3","2","1","1","2","51","1","2"
"スーパーワイルド","3","2","1","1","1","52","1","2"
"神がかった","3","2","1","1","0","53","1","2"
"ぶっちぎりの","3","2","1","1","2","54","1","2"
"誰にも止められない","3","2","1","0","1","55","1","2"
"血湧き肉躍る","3","2","1","0","2","56","1","2"
"メガ","3","2","1","0","0","57","1","2"
"ナチュラルボーン","3","2","1","0","1","58","1","2"
"大海原の","3","2","1","0","0","59","1","2"
"アドレナリン全開の","3","2","1","0","1","60","1","2"
"オーマ産の","3","2","1","0","0","61","1","2"
"手練れの","3","2","1","0","0","62","1","2"
"歴戦の","3","2","1","0","0","63","1","2"
"水を得た","3","2","1","0","0","64","1","2"
"ド級の","3","2","1","0","0","65","1","2"
"ただ者ではない","3","2","0","1","2","66","1","2"
"勇猛なる","3","2","0","1","0","67","1","2"
"ひた走る","3","2","0","1","0","68","1","2"
"目にも留まらぬ","3","2","0","1","2","69","1","2"
"荒波の","3","2","0","1","0","70","1","2"
"レイジオブ","3","2","0","1","0","71","1","2"
"負けず嫌いの","3","2","0","1","2","72","1","2"
"伸び盛りの","3","2","0","1","0","73","1","2"
"型破りの","3","2","0","1","0","74","1","2"
"暴れる","3","2","0","1","0","75","1","2"
"荒れくるう","3","2","0","1","0","76","1","2"
"うわさの","3","2","0","0","0","77","1","2"
"ビーチサイドの","3","2","0","0","2","78","1","2"
"元気はつらつ","3","2","0","0","2","79","1","2"
"常夏を駆ける","3","2","0","0","2","80","1","2"
"マッスル","3","2","0","0","0","81","1","2"
"金波銀波の","3","2","0","0","0","82","1","2"
"生まれながらの","3","2","0","0","2","83","1","2"
"お騒がせの","3","2","0","0","0","84","1","2"
"未知数の","3","2","0","0","0","85","1","2"
"激ヤバ","3","2","0","0","0","86","1","2"
"負けるな","3","2","0","0","0","87","1","2"
"ライトスピード","3","3","1","1","2","88","1","2"
"プロフェッショナル","3","3","1","1","1","89","1","2"
"トップオブ","3","3","1","1","0","90","1","2"
"ゴールドメダル","3","3","1","1","2","91","1","2"
"アルティメット","3","3","1","1","2","92","1","2"
"ザ・ベスト","3","3","1","1","0","93","1","2"
"パーフェクト","3","3","1","1","2","94","1","2"
"100年に1人の","3","3","1","1","1","95","1","2"
"レジェンダリー","3","3","1","1","2","96","1","2"
"超一流の","3","3","1","1","0","97","1","2"
"世界の","3","3","1","1","0","98","1","2"
"選ばれし","3","3","1","1","0","99","1","2"
"アスレチック","3","3","1","0","2","100","1","2"
"偉大なる","3","3","1","0","0","101","1","2"
"スーパーソニック","3","3","1","0","1","102","1","2"
"ウルトラ","3","3","1","0","0","103","1","2"
"MVPの","3","3","1","0","0","104","1","2"
"ジェネラル","3","3","1","0","0","105","1","2"
"オールラウンド","3","3","1","0","2","106","1","2"
"シルバーメダル","3","3","1","0","2","107","1","2"
"聖なる","3","3","1","0","0","108","1","2"
"エクセレント","3","3","1","0","2","109","1","2"
"一流の","3","3","1","0","0","110","1","2"
"マーベラス","3","3","1","0","0","111","1","2"
"スーパー","3","3","0","1","0","112","1","2"
"フライング","3","3","0","1","0","113","1","2"
"グレート","3","3","0","1","0","114","1","2"
"アンストッパブル","3","3","0","1","1","115","1","2"
"カリスマ","3","3","0","1","0","116","1","2"
"万能","3","3","0","1","0","117","1","2"
"新世代の","3","3","0","1","0","118","1","2"
"栄えある","3","3","0","1","0","119","1","2"
"異彩を放つ","3","3","0","1","0","120","1","2"
"いぶし銀の","3","3","0","1","0","121","1","2"
"天下の","3","3","0","1","0","122","1","2"
"レッツゴー","3","3","0","0","0","123","1","2"
"グッド","3","3","0","0","0","124","1","2"
"ホップ・ステップ・","3","3","0","0","1","125","1","2"
"伸びしろのある","3","3","0","0","2","126","1","2"
"ブロンズメダル","3","3","0","0","2","127","1","2"
"期待の","3","3","0","0","0","128","1","2"
"ジャンピング","3","3","0","0","2","129","1","2"
"新時代の","3","3","0","0","0","130","1","2"
"知る人ぞ知る","3","3","0","0","2","131","1","2"
