2c1b4f192fea96973a079be721c521d68a900616527e4c05dc4d4f174f4da7d7,a06f934d2365274f1bb6f1b1656dbbef73b5977477fcf1d665d76edd49a616ab,5d627967b7093481719c8b330e52461054da996fbcbe285250c079cb6dd4dae1,357e9e3268b65e96bf76c393ffce6d92da8a00fdf0427c145f90d6ee061cfb8a,8205a24ae63084f6880c40de9d0cdc47922b4bce087e704d2a4fa67e343f7c30,a4a463dcd3ebe8018f0eb2ad7dba5681f13b51f754fbe0d8ea95d41bb660c111,c1ebfe58fa9b94a4e1980bf284b3e8e14d1765d06d34cf9e4fed5928d5eac587,0a49a5b719aff343de51e46a8163a9591c07602074a5f30f5804cc2bd71ea0c1,91368e27edd747efc6e142bfec1037d224f5c79b937ef1ee7627bbc1885e2530,fc42411fac693156faebfaa72614339bcb95ab8817cb0d6c20564a624f029bdc,a98d461ebd214aef00c3cf836955dd0033a185020e41ef8f67f41d1946f383d5,a111a1a7bd2b36b9f8de32e12a8c1a575847484ff5267d843a7c484fcacb712d,418d840e9157c22cdf9087b834b15a4ad35f42e2a4e7e8f73afc5f095b5a17cb
"アスパラガス","トマト","0","カボチャ","1","0","0","0","0","1","ナス","3120010","0"
"春","盆","0","夏","1","1","0","1","0","0","新年","3120011","0"
"東","西","0","南","1","0","0","0","0","1","瓜","3120012","0"
"馬の耳に念仏","豚に真珠","0","鬼に金棒","1","1","0","0","0","1","猫に小判","3120013","0"
"傍","半","0","全","1","1","0","0","0","0","自","3120014","0"
"がる","る","0","ろす","0","1","0","1","0","1","しい","3120015","0"
"申し上げる","いらっしゃる","0","なさる","1","1","0","0","0","0","存じ上げる","3120016","0"
"クソエルフ","クソ猫","0","クソ眼鏡","1","0","0","0","0","1","ロリババア","3121001","0"
"ミラー","クリエイション","0","アヴァロン","1","0","0","0","0","1","オブジェクト","3121002","0"
"暗","梅","0","倍","1","0","0","0","0","1","塩","3130001","0"
"秋","夏","0","冬","1","1","0","1","0","0","春","3130002","0"
"五里夢中","四面楚歌","0","良妻嫌母","1","0","0","0","0","1","前代未聞","3130004","0"
"自我自賛","公明正大","0","一期一得","1","0","0","0","0","1","無我夢中","3130005","0"
"危機一発","山止水明","0","単刀直入","1","1","0","0","0","1","怪刀乱麻","3130006","0"
"意気消沈","三位一体","0","興味深々","1","1","0","0","0","1","以心伝心","3130007","0"
"仁","念","0","温","1","1","0","0","0","1","朴","3130010","0"
"場","壇","0","独","1","1","0","0","0","1","土","3130011","0"
"多","楽","0","雑","1","1","0","0","0","1","我","3130013","0"
"りちぎ","まめ","0","ただみ","1","0","0","0","0","1","ちゅうじつ","3130014","0"
"たけのこ","もずく","0","たまねぎ","1","0","0","0","0","1","わかめ","3130016","0"
"戦記","血盟","0","冥空","1","0","0","0","0","1","煉獄","3131001","0"
"トリップ","トランス","0","妄想","1","0","0","0","0","1","エクスタシー","3131002","0"
"キュウリ","ナス","0","ダイコン","1","1","0","0","0","1","トマト","3210001","0"
"肝臓","腎臓","0","心臓","1","0","0","0","0","1","肺","3210002","0"
"循環器","排出器","0","消火器","1","1","0","0","0","1","呼吸器","3210003","0"
"ナマコ","タコ","0","イソギンチャク","1","0","0","0","0","1","イカ","3210005","0"
"イノシシ","コアラ","0","ナマケモノ","1","0","0","0","0","1","カンガルー","3210006","0"
"モイモイ","でんでんむし","0","がんがんむし","1","0","0","0","0","1","マイマイ","3210008","0"
"モンアオチョウ","モンシロチョウ","0","モンアカチョウ","1","0","0","0","0","1","モンキチョウ","3210009","0"
"人差し指","中指","0","親指","1","0","0","0","0","1","小指","3210010","0"
"C型","B型","0","D型","1","0","0","0","0","1","A型","3210011","0"
"ヤドカリ","ハマグリ","0","エビ","1","0","0","0","0","1","アサリ","3210013","0"
"ライオン","ウマ","0","オオカミ","1","0","0","0","0","1","ウサギ","3210014","0"
"クマ","シカ","0","コアラ","1","0","0","0","0","1","サイ","3210015","0"
"ミソギ","ハツネ","0","サレン","1","0","0","0","0","1","スズナ","3211001","0"
"イノリ","カヤ","0","ミフユ","1","1","0","0","0","1","ホマレ","3211002","0"
"アリ","クモ","0","アメンボ","1","0","0","0","0","1","ムカデ","3220001","0"
"カエル","ミミズ","0","ヒト","1","0","0","0","0","1","バッタ","3220002","0"
"トビウオ","メバル","0","チョウチンアンコウ","1","0","0","0","0","1","カワハギ","3220003","0"
"キンギョ","ベタ","0","メダカ","1","0","0","0","0","1","グッピー","3220006","0"
"ヒマワリ","ヒヤシンス","0","タンポポ","1","0","0","0","0","1","チューリップ","3220007","0"
"シロナガス","マッコウ","0","ジンベエ","1","1","0","0","0","1","セミ","3220009","0"
"ツキノワグマ","タンチョウ","0","オコジョ","1","0","0","0","0","1","トキ","3220011","0"
"イチゴ","メロン","0","リンゴ","1","1","0","0","0","1","スイカ","3220012","0"
"二酸化炭素","光","0","酸素","1","1","0","0","0","1","水","3220013","0"
"ボルボックス","ミジンコ","0","クツワムシ","1","1","0","0","0","1","アオミドロ","3220014","0"
"シーズー","パグ","0","ソマリ","1","1","0","0","0","1","チワワ","3220015","0"
"フナムシ","イモムシ","0","ミドリムシ","1","0","0","0","0","1","アオムシ","3220016","0"
"ユカリ","ミミ","0","キョウカ","1","0","0","0","0","1","モニカ","3221001","0"
"モニカ","シオリ","0","ハツネ","1","1","0","0","0","1","トモ","3221002","0"
"ねずみ","羊","0","獅子","1","0","0","0","0","1","牛","3230001","0"
"ライオン","ヤマネコ","0","トラ","0","1","0","1","0","1","ウミネコ","3230004","0"
"セメント質","エナメル質","0","神経質","1","1","0","0","0","1","象牙質","3230005","0"
"オオルリ","ウグイス","0","エトピリカ","1","1","0","0","0","1","コマドリ","3230006","0"
"一重咲き","カクタス咲き","0","ロゼッタ咲き","1","1","0","0","0","1","アネモネ咲き","3230007","0"
"イルカ","サンショウウオ","0","ニホンザル","1","0","0","0","0","1","ワニ","3230008","0"
"コンドル","コウモリ","0","ミミズク","1","0","0","0","0","1","モモンガ","3230010","0"
"ペンギン","イルカ","0","ダチョウ","1","0","0","0","0","1","ムササビ","3230011","0"
"コウモリ","イモリ","0","カタツムリ","0","1","0","1","0","1","ヤモリ","3230012","0"
"ハラ","ムネ","0","シリ","1","1","0","0","0","1","アタマ","3230013","0"
"マナヅル","オオハクチョウ","0","スズメ","1","1","0","0","0","1","ツバメ","3230014","0"
"コウモリ","カメ","0","ヒト","1","0","0","0","0","1","ヘビ","3230016","0"
"ペコリーヌ","シェフィ","0","キャル","1","0","0","0","0","1","コッコロ","3231001","0"
"ホマレ","レイ","0","ラビリスタ","1","1","0","0","0","1","コッコロ","3231002","0"
"1","4","0","3","1","0","0","0","0","1","2","3310001","0"
"銅","アルミニウム","0","金","1","0","0","0","0","1","銀","3310003","0"
"インチ","尺","0","ファラッド","1","1","0","0","0","1","メートル","3310005","0"
"タンジェント","コサイン","0","ヒロイン","1","1","0","0","0","1","サイン","3310006","0"
"長方形","ひし形","0","おうぎ形","1","1","0","0","0","1","正方形","3310007","0"
"827","215","0","112","1","0","0","0","0","1","405","3310008","0"
"D","E","0","A","1","1","0","0","0","1","L","3310009","0"
"金","アルミニウム","0","銀","0","1","0","1","0","1","鉄","3310010","0"
"蒸留水","水酸化ナトリウム水溶液","0","硝酸","1","0","0","0","0","1","石けん水","3310012","0"
"緑","藍","0","桃","1","1","0","0","0","1","赤","3310013","0"
"4","5","0","3","1","0","0","0","0","1","6","3310014","0"
"15:9","4:1","0","12:8","1","1","0","0","0","0","10:6","3310015","0"
"ランドソル","オーマ","0","キャッスル・オブ・パルフェ","1","1","0","0","0","1","ソルの塔","3311001","0"
"ソルの塔","キャッスル・オブ・パルフェ","0","オーマ","1","0","0","0","0","1","ふぁんふぁんファーム","3311002","0"
"うろこぐも","にゅうどうぐも","0","じょろうぐも","1","1","0","0","0","1","いわしぐも","3320001","0"
"ベガ","アルタイル","0","アンタレス","1","1","0","0","0","1","デネブ","3320002","0"
"作用点","力点","0","交点","1","1","0","0","0","1","支点","3320003","0"
"放射","対流","0","反射","1","1","0","0","0","1","伝導","3320004","0"
"111111","11111","0","1111","1","1","0","0","0","0","111","3320005","0"
"緑","青","0","黄","1","1","0","0","0","1","赤","3320007","0"
"海王星","天王星","0","冥王星","1","1","0","0","0","1","地球","3320008","0"
"こいぬ座","わし座","0","おおいぬ座","1","0","0","0","0","1","はくちょう座","3320010","0"
"塩水","塩酸","0","アンモニア水","1","0","0","0","0","1","レモンの果汁","3320011","0"
"酸素","臭素","0","二酸化炭素","1","0","0","0","0","1","塩素","3320014","0"
"水色である","最も軽い気体である","0","ツンとする臭いがある","1","0","0","0","0","1","酸素と混ぜて燃やすと音が出る","3320015","0"
"1","2","0","0","1","0","0","0","0","1","3","3320016","0"
"メルクリウス財団","ルーセント学院","0","王宮騎士団","1","0","0","0","0","1","リトルリリカル","3321001","0"
"美肌効果","のど・鼻の保湿効果","0","保温効果","1","0","0","0","0","1","清涼効果","3321002","0"
"おおぐま座","おおかみ座","0","おおやぎ座","1","1","0","0","0","1","おおいぬ座","3330001","0"
"アルタイル","リゲル","0","シリウス","1","0","0","0","0","1","ベテルギウス","3330002","0"
"安山岩","玄武岩","0","閃緑岩","1","1","0","0","0","1","流紋岩","3330003","0"
"アルミニウム","マグネシウム","0","カリウム","1","0","0","0","0","1","カルシウム","3330004","0"
"二素","炭素","0","化素","1","0","0","0","0","1","酸素","3330007","0"
"ルート1000","2×2×5×5","0","6！","1","0","0","0","0","1","10の2乗","3330010","0"
"2×3×4","ルート225","0","112÷7","1","0","0","0","0","1","4＋5＋6","3330011","0"
"酸素","水素","0","窒素","1","1","0","0","0","1","炭素","3330012","0"
"硫酸","硝酸","0","水酸化ナトリウム","1","0","0","0","0","1","塩酸","3330013","0"
"薄雲","霧","0","天気雨","1","1","0","0","0","1","雪","3330014","0"
"ケイ素","塩素","0","窒素","1","0","0","0","0","1","フッ素","3330015","0"
"フラーレン","ダイヤモンド","0","オゾン","1","1","0","0","0","1","黒鉛","3330016","0"
"ケレス森林","ペテロ大森林","0","イリス樹海","1","0","0","0","0","1","カスタリア樹林","3331001","0"
"イオカステ岩山","ヘリケ巨木","0","アルバ浜堤","1","1","0","0","0","1","スィオネ樹林","3331002","0"
"キッチン","トイレ","0","玄関","1","1","0","0","0","1","風呂場","3410001","0"
"弁護士","消防士","0","警備員","1","0","0","0","0","1","警察官","3410002","0"
"新聞紙","段ボール","0","蛍光灯","1","1","0","0","0","1","雑誌","3410003","0"
"オレンジ","緑","0","青","1","0","0","0","0","1","黄","3410004","0"
"放置","連絡","0","練習","1","0","0","0","0","1","報告","3410005","0"
"黄","青","0","紫","1","1","0","0","0","1","赤","3410006","0"
"リサイクル","リユース","0","リスタート","1","1","0","0","0","1","リデュース","3410007","0"
"孫","祖父","0","親友","1","1","0","0","0","1","妻","3410008","0"
"輪切り","せん切り","0","指切り","1","1","0","0","0","1","みじん切り","3410010","0"
"豆乳","豆腐","0","豆板醤","1","1","0","0","0","1","納豆","3410011","0"
"ピンクペッパー","ホワイトペッパー","0","レッドペッパー","1","1","0","0","0","1","ブラックペッパー","3410013","0"
"ジャスミン","プーアル","0","ブルーマウンテン","1","1","0","0","0","1","ウーロン","3410015","0"
"ヒヨリ","レイ","0","カオリ","1","1","0","0","0","1","ユイ","3411001","0"
"キョウカ","ミソギ","0","ユニ","1","1","0","0","0","1","ミミ","3411002","0"
"天然ガス","石炭","0","薪","1","1","0","0","0","1","石油","3420001","0"
"行政","立法","0","憲法","1","1","0","0","0","1","司法","3420002","0"
"電車賃","水道代","0","新聞代","1","0","0","0","0","1","電気代","3420003","0"
"迎春","賀正","0","惜春","1","1","0","0","0","1","謹賀新年","3420004","0"
"のち雨","一時雨","0","しばしば雨","1","1","0","0","0","1","ときどき雨","3420005","0"
"単5","単3","0","単7","1","1","0","0","0","1","単1","3420007","0"
"ボックス","プラス","0","スライス","1","1","0","0","0","1","マイナス","3420009","0"
"高野豆腐","木綿豆腐","0","喉ごし豆腐","1","1","0","0","0","1","絹ごし豆腐","3420010","0"
"ヨーグルト","バター","0","マヨネーズ","1","1","0","0","0","1","チーズ","3420011","0"
"エッグベネディクト","スクランブルエッグ","0","カルパッチョ","1","1","0","0","0","1","オムレツ","3420012","0"
"くち米","もち米","0","すだち米","1","0","0","0","0","1","うるち米","3420014","0"
"ひやむぎ","スパゲッティ","0","そば","1","1","0","0","0","1","うどん","3420015","0"
"リノ","ニノン","0","エリコ","1","0","0","0","0","1","キャル","3421001","0"
"キャラバンガチャ","レアガチャ","0","おにぎりガチャ","1","0","0","0","0","1","プレミアムガチャ","3421002","0"
"G","Z","0","P","1","0","0","0","0","1","E","3430001","0"
"ばあちゃん","じいちゃん","0","とうちゃん","1","1","0","0","0","1","かあちゃん","3430002","0"
"台所","キッチン","0","ベランダ","1","1","0","0","0","1","居間","3430004","0"
"布袋","大黒天","0","達磨","1","1","0","0","0","1","恵比寿","3430005","0"
"振動","騒音","0","インフルエンザ","1","1","0","0","0","1","地盤沈下","3430007","0"
"スロープ","歩行器","0","エスカレーター","1","1","0","0","0","1","車椅子","3430008","0"
"小学三年生","幼稚園児","0","中学三年生","1","0","0","0","0","1","生後半年","3430009","0"
"卵","油","0","牛乳","1","1","0","0","0","1","酢","3430010","0"
"ビール","ウィスキー","0","ワイン","1","1","0","0","0","1","焼酎","3430011","0"
"背脂","酢","0","酒","1","0","0","0","0","1","醤油","3430012","0"
"ナズナ","ハコベラ","0","ゴボウ","1","1","0","0","0","1","スズナ","3430013","0"
"オートミール","グラノーラ","0","サラミ","1","1","0","0","0","1","コーンフレーク","3430015","0"
"フラッグは譲れない","サマーゲームの覇者","0","砂浜のプリンセス","1","0","0","0","0","1","譲れないサマーゲーム","3431001","0"
"渚の不動の4番","渚のスラッガー","0","ぷうきちストライク","1","1","0","0","0","1","渚の4番見習い","3431002","0"
"チェス","囲碁","0","将棋","1","1","0","0","0","1","オセロ","3510001","0"
"リコーダー","フルート","0","バイオリン","1","1","0","0","0","1","尺八","3510002","0"
"尺八","クラリネット","0","インターネット","1","1","0","0","0","1","太鼓","3510003","0"
"ビショップ","クイーン","0","ジェネラル","1","1","0","0","0","1","ポーン","3510004","0"
"騎士","歩","0","塔","1","0","0","0","0","1","王将","3510005","0"
"ダーツ","ツイスター","0","トランプ","1","1","0","0","0","1","モノポリー","3510006","0"
"1","4","0","2","1","1","0","0","0","1","3","3510007","0"
"カン","チー","0","ツモ","1","1","0","0","0","1","ポン","3510008","0"
"シ","ラ","0","ミ","1","0","0","0","0","1","ファ","3510009","0"
"パイプオルガン","コントラバス","0","フルート","1","0","0","0","0","1","バイオリン","3510013","0"
"トライアングル","ティンパニー","0","ベース","1","1","0","0","0","1","タンバリン","3510014","0"
"トランペット","ファゴット","0","チューバ","1","0","0","0","0","1","フルート","3510015","0"
"","","3","","1","0","2","0","4","1","","3511001","1"
"メモリーピース","ピュアメモリーピース","0","プリンセスハート","1","1","0","0","0","1","プリンセスオーブ","3511002","0"
"キャスト","チェックメイト","0","ストレート","1","0","0","0","0","1","スティルメイト","3520001","0"
"麻雀","すごろく","0","花札","1","1","0","0","0","1","チンチロリン","3520002","0"
"スクリュードライバー","レッドアイ","0","ジントニック","1","0","0","0","0","1","ブラッディマリー","3520003","0"
"チェロ","バイオリン","0","ギター","1","1","0","0","0","1","ビオラ","3520004","0"
"刺し箸","渡し箸","0","伏せ箸","1","1","0","0","0","1","迷い箸","3520005","0"
"狂言","能","0","京劇","1","1","0","0","0","1","歌舞伎","3520006","0"
"金","角","0","歩","1","0","0","0","0","1","飛車","3520009","0"
"エレクトリック","グランド","0","グレート","1","1","0","0","0","1","アップライト","3520010","0"
"桃","梅","0","椿","1","0","0","0","0","1","桜","3520011","0"
"K","D","0","Q","1","0","0","0","0","1","C","3520012","0"
"灰色","白","0","赤","1","1","0","0","0","1","黒","3520015","0"
"V","U","0","E","1","1","0","0","0","1","S","3520016","0"
"チョコ","ミント","0","イチゴ","1","0","0","0","0","1","バニラ","3521001","0"
"キウイ","ブドウ","0","メロン","1","1","0","0","0","1","イチゴ","3521002","0"
"1～12","赤","0","40","1","1","0","0","0","1","奇数","3530001","0"
"猫間","腰板","0","犬間","1","1","0","0","0","1","水腰","3530002","0"
"ギター","バラライカ","0","ベース","1","0","0","0","0","1","三味線","3530003","0"
"9","A","0","2","1","0","0","0","0","1","J","3530005","0"
"Creative","Copy","0","Call","1","0","0","0","0","1","Carbon","3530006","0"
"真打","二ツ目","0","一ツ目","1","1","0","0","0","1","前座","3530007","0"
"カラット","カラー","0","カーボン","1","1","0","0","0","1","カット","3530008","0"
"1000","5000","0","2500","1","1","0","0","0","1","10000","3530010","0"
"オーボエ","ピッコロ","0","クラリネット","1","0","0","0","0","1","フルート","3530011","0"
"フルハウス","フラッシュ","0","スリーペア","1","1","0","0","0","1","ストレート","3530012","0"
"スピード","ダウト","0","ヨット","1","1","0","0","0","1","ポーカー","3530013","0"
"鯉","蝶","0","銀杏","1","0","0","0","0","1","猪","3530016","0"
"あかっご泣いても、蓋とるな","はじっめ、ちょろちょろ","0","な～か、ぱっぱ","0","1","0","1","0","1","うつっわに乗せて、ふーふーふー","3531001","0"
"レインボーたい焼き","贅沢たい焼き","0","プラチナたい焼き","1","0","0","0","0","1","ゼリー入りあんこたい焼き","3531002","0"
"平均台","鉄棒","0","吊り輪","0","1","0","1","0","1","ダンス","3610003","0"
"バット","ラケット","0","ミット","1","0","0","0","0","1","ミトン","3610004","0"
"サッカー","野球","0","バスケットボール","1","0","0","0","0","1","テニス","3610005","0"
"剣道","弓道","0","ラクロス","1","0","0","0","0","1","アーチェリー","3610006","0"
"レスリング","スキー","0","柔道","1","0","0","0","0","1","水泳","3610007","0"
"テニス","バドミントン","0","バスケットボール","1","1","0","0","0","1","バレーボール","3610008","0"
"テニス","スケート","0","サーフィン","1","0","0","0","0","1","スキー","3610010","0"
"ミッドフィルダー","フォワード","0","ディフェンダー","0","1","0","1","0","1","ゴールキーパー","3610011","0"
"テニス","サッカー","0","野球","1","0","0","0","0","1","アイスホッケー","3610012","0"
"レスリング","フェンシング","0","スカイダイビング","1","0","0","0","0","1","剣道","3610013","0"
"ボクシング","柔道","0","剣道","1","1","0","0","0","1","レスリング","3610014","0"
"スカイダイビング","シュノーケリング","0","ボクシング","1","0","0","0","0","1","サーフィン","3610015","0"
"ポセイドン・嵐撃の槍","黒月の守護像","0","ジャバウォック","1","1","0","0","0","1","ラースドラゴン","3611001","0"
"リマ","クウカ","0","ミヤコ","1","0","0","0","0","1","ノゾミ","3611002","0"
"100m","50m","0","15m","1","0","0","0","0","1","25m","3620001","0"
"足払い","突き","0","場外に出る","1","0","0","0","0","1","二刀流","3620002","0"
"小手","胴","0","すね","1","1","0","0","0","1","面","3620003","0"
"はさみ跳び","ベリーロール","0","三段跳び","1","1","0","0","0","1","背面跳び","3620006","0"
"ゼロワン","カウントアップ","0","カウントダウン","1","1","0","0","0","1","クリケット","3620007","0"
"正五角形","正四角形","0","正六角形","0","1","0","1","0","0","正三角形","3620008","0"
"黒","白","0","青","1","0","0","0","0","1","赤","3620009","0"
"長距離走","自転車","0","砲丸投げ","1","1","0","0","0","1","水泳","3620010","0"
"ファイブボール","セブンボール","0","イレブンボール","1","0","0","0","0","1","ナインボール","3620013","0"
"スクワット","デッドリフト","0","ベンチプレス","0","1","0","1","0","1","ボディビル","3620014","0"
"レフト","セカンド","0","ライト","1","0","0","0","0","1","ファースト","3620015","0"
"タッグ","フリースタイル","0","オールレンジ","1","0","0","0","0","1","グレコローマン","3620016","0"
"ガーゴイル・バースト","マグスガーゴイル","0","ガーゴイル","1","0","0","0","0","1","ガーゴイル・マギ","3621001","0"
"カリン","サレン（サマー）","0","アメス","1","1","0","0","0","1","モニカ","3621002","0"
"7番","5番","0","10番","0","1","0","1","0","0","1番","3630001","0"
"ブランケット","アルティメット","0","ロケット","1","0","0","0","0","1","クリケット","3630003","0"
"バドミントン","卓球","0","テニス","0","1","0","1","0","1","バレーボール","3630004","0"
"一丁投げ","二本背負い","0","二丁投げ","1","0","0","1","0","0","一本背負い","3630005","0"
"准将","副将","0","将軍","1","0","0","0","0","1","大将","3630006","0"
"セカンド","ファースト","0","サード","1","0","0","0","0","1","キャッチャー","3630007","0"
"小結","関脇","0","横綱","1","1","0","0","0","1","大関","3630008","0"
"鉄棒","跳馬","0","平行棒","1","0","0","0","0","1","床","3630010","0"
"グラップ","ペンホルダー","0","つまみ持ち","1","0","0","0","0","1","シェークハンド","3630012","0"
"リベロ","パワーフォワード","0","ディフェンダー","1","0","0","0","0","1","ポイントガード","3630013","0"
"ラインバッカー","センター","0","シューティングガード","1","1","0","0","0","1","ランニングバック","3630014","0"
"スパイカー","セッター","0","センターブロッカー","1","0","0","0","0","1","リベロ","3630016","0"
"ブルーブラッド","アクアスラッシャー","0","ガイアバルディッシュ","1","0","0","0","0","1","ターコイズ・ノア","3631001","0"
"レヴィアタンランス","タイフーン・ラブドリーム","0","覇海姫・竜征冥風裂波斬","1","1","0","0","0","1","スプレッドアフェクション","3631002","0"
