49c0c02847c909b91d62dca9f0dc3319fc4ea459faf6d7e10d740e7c10a29f8c,06f12058dfb81ea07f6f8ae7236182e6b53849647baaeaeb6a0e2bfee307cdcb,55afd183b2b4b41d0b7118efa3c15748eab091a0b163f120597e42cf51be7aac,ca8bf7ee9f5a84f8978d91a5cfe2445f18b2e806a97d394e55f460dde1c92ed4,93c0ef108617ed22e335ede0736752a4c38740b60f665a226106180971290161,9a8cf8bffe9d3d7f4f199ff58ce447fcd104724d32eda75f78846d12939dc6c6,eae2b229d40e4ae1712ca21df186879b96f70b36b1cf3e86ac9b213d78a4fac1,836dc32e0cab59211e8c6b8bab067f7f060b599eedca787554c5adde74ff4e68,b604455c5bae24c6cc8e8c30b8961a02c2ae441e570d3a3064054a440957b13d
"1","1001","1003","0","0","100301","全難易度合計で10000pt獲得しよう","10000","100301"
"1","1001","1003","0","0","100302","全難易度合計で30000pt獲得しよう","30000","100302"
"1","1001","1003","0","0","100303","全難易度合計で50000pt獲得しよう","50000","100303"
"1","1001","1003","0","0","100304","全難易度合計で70000pt獲得しよう","70000","100304"
"1","1001","1003","1","0","100305","全難易度合計で90000pt獲得しよう","90000","100305"
"1","1001","1003","1","0","100306","全難易度合計で105000pt獲得しよう","105000","100306"
"1","1001","1003","1","0","100307","全難易度合計で120000pt獲得しよう","120000","100307"
"1","1001","1003","1","0","100308","全難易度合計で135000pt獲得しよう","135000","100308"
"1","1002","1003","2","1","100309","難易度NORMAL1で1回戦おう","0","100309"
"1","1003","1003","2","1","100310","難易度NORMAL2で1回戦おう","0","100310"
"1","1004","1003","2","1","100311","難易度NORMAL3で1回戦おう","0","100311"
"1","1001","1003","3","1","100312","難易度NORMALで10000pt獲得しよう","10000","100312"
"1","1001","1003","3","1","100313","難易度NORMALで20000pt獲得しよう","20000","100313"
"1","1001","1003","3","1","100314","難易度NORMALで30000pt獲得しよう","30000","100314"
"1","1002","1003","4","2","100315","難易度HARD1で1回戦おう","0","100315"
"1","1003","1003","4","2","100316","難易度HARD2で1回戦おう","0","100316"
"1","1004","1003","4","2","100317","難易度HARD3で1回戦おう","0","100317"
"1","1001","1003","5","2","100318","難易度HARDで15000pt獲得しよう","15000","100318"
"1","1001","1003","5","2","100319","難易度HARDで30000pt獲得しよう","30000","100319"
"1","1001","1003","5","2","100320","難易度HARDで45000pt獲得しよう","45000","100320"
"1","1002","1003","6","3","100321","難易度EXTRA1で1回戦おう","0","100321"
"1","1003","1003","6","3","100322","難易度EXTRA2で1回戦おう","0","100322"
"1","1004","1003","6","3","100323","難易度EXTRA3で1回戦おう","0","100323"
"1","1001","1003","7","3","100324","難易度EXTRAで20000pt獲得しよう","20000","100324"
"1","1001","1003","7","3","100325","難易度EXTRAで40000pt獲得しよう","40000","100325"
"1","1001","1003","7","3","100326","難易度EXTRAで60000pt獲得しよう","60000","100326"
"1","1001","1004","0","0","100401","全難易度合計で10000pt獲得しよう","10000","100401"
"1","1001","1004","0","0","100402","全難易度合計で30000pt獲得しよう","30000","100402"
"1","1001","1004","0","0","100403","全難易度合計で50000pt獲得しよう","50000","100403"
"1","1001","1004","0","0","100404","全難易度合計で70000pt獲得しよう","70000","100404"
"1","1001","1004","1","0","100405","全難易度合計で90000pt獲得しよう","90000","100405"
"1","1001","1004","1","0","100406","全難易度合計で105000pt獲得しよう","105000","100406"
"1","1001","1004","1","0","100407","全難易度合計で120000pt獲得しよう","120000","100407"
"1","1001","1004","1","0","100408","全難易度合計で135000pt獲得しよう","135000","100408"
"1","1002","1004","2","1","100409","難易度NORMAL1で1回戦おう","0","100409"
"1","1003","1004","2","1","100410","難易度NORMAL2で1回戦おう","0","100410"
"1","1004","1004","2","1","100411","難易度NORMAL3で1回戦おう","0","100411"
"1","1001","1004","3","1","100412","難易度NORMALで10000pt獲得しよう","10000","100412"
"1","1001","1004","3","1","100413","難易度NORMALで20000pt獲得しよう","20000","100413"
"1","1001","1004","3","1","100414","難易度NORMALで30000pt獲得しよう","30000","100414"
"1","1002","1004","4","2","100415","難易度HARD1で1回戦おう","0","100415"
"1","1003","1004","4","2","100416","難易度HARD2で1回戦おう","0","100416"
"1","1004","1004","4","2","100417","難易度HARD3で1回戦おう","0","100417"
"1","1001","1004","5","2","100418","難易度HARDで15000pt獲得しよう","15000","100418"
"1","1001","1004","5","2","100419","難易度HARDで30000pt獲得しよう","30000","100419"
"1","1001","1004","5","2","100420","難易度HARDで45000pt獲得しよう","45000","100420"
"1","1002","1004","6","3","100421","難易度EXTRA1で1回戦おう","0","100421"
"1","1003","1004","6","3","100422","難易度EXTRA2で1回戦おう","0","100422"
"1","1004","1004","6","3","100423","難易度EXTRA3で1回戦おう","0","100423"
"1","1001","1004","7","3","100424","難易度EXTRAで20000pt獲得しよう","20000","100424"
"1","1001","1004","7","3","100425","難易度EXTRAで40000pt獲得しよう","40000","100425"
"1","1001","1004","7","3","100426","難易度EXTRAで60000pt獲得しよう","60000","100426"
"1","1001","1005","0","0","100501","全難易度合計で10000pt獲得しよう","10000","100501"
"1","1001","1005","0","0","100502","全難易度合計で30000pt獲得しよう","30000","100502"
"1","1001","1005","0","0","100503","全難易度合計で50000pt獲得しよう","50000","100503"
"1","1001","1005","0","0","100504","全難易度合計で70000pt獲得しよう","70000","100504"
"1","1001","1005","1","0","100505","全難易度合計で90000pt獲得しよう","90000","100505"
"1","1001","1005","1","0","100506","全難易度合計で105000pt獲得しよう","105000","100506"
"1","1001","1005","1","0","100507","全難易度合計で120000pt獲得しよう","120000","100507"
"1","1001","1005","1","0","100508","全難易度合計で135000pt獲得しよう","135000","100508"
"1","1002","1005","2","1","100509","難易度NORMAL1で1回戦おう","0","100509"
"1","1003","1005","2","1","100510","難易度NORMAL2で1回戦おう","0","100510"
"1","1004","1005","2","1","100511","難易度NORMAL3で1回戦おう","0","100511"
"1","1001","1005","3","1","100512","難易度NORMALで10000pt獲得しよう","10000","100512"
"1","1001","1005","3","1","100513","難易度NORMALで20000pt獲得しよう","20000","100513"
"1","1001","1005","3","1","100514","難易度NORMALで30000pt獲得しよう","30000","100514"
"1","1002","1005","4","2","100515","難易度HARD1で1回戦おう","0","100515"
"1","1003","1005","4","2","100516","難易度HARD2で1回戦おう","0","100516"
"1","1004","1005","4","2","100517","難易度HARD3で1回戦おう","0","100517"
"1","1001","1005","5","2","100518","難易度HARDで15000pt獲得しよう","15000","100518"
"1","1001","1005","5","2","100519","難易度HARDで30000pt獲得しよう","30000","100519"
"1","1001","1005","5","2","100520","難易度HARDで45000pt獲得しよう","45000","100520"
"1","1002","1005","6","3","100521","難易度EXTRA1で1回戦おう","0","100521"
"1","1003","1005","6","3","100522","難易度EXTRA2で1回戦おう","0","100522"
"1","1004","1005","6","3","100523","難易度EXTRA3で1回戦おう","0","100523"
"1","1001","1005","7","3","100524","難易度EXTRAで20000pt獲得しよう","20000","100524"
"1","1001","1005","7","3","100525","難易度EXTRAで40000pt獲得しよう","40000","100525"
"1","1001","1005","7","3","100526","難易度EXTRAで60000pt獲得しよう","60000","100526"
"1","1001","1006","0","0","100601","全難易度合計で10000pt獲得しよう","10000","100601"
"1","1001","1006","0","0","100602","全難易度合計で30000pt獲得しよう","30000","100602"
"1","1001","1006","0","0","100603","全難易度合計で50000pt獲得しよう","50000","100603"
"1","1001","1006","0","0","100604","全難易度合計で70000pt獲得しよう","70000","100604"
"1","1001","1006","1","0","100605","全難易度合計で90000pt獲得しよう","90000","100605"
"1","1001","1006","1","0","100606","全難易度合計で105000pt獲得しよう","105000","100606"
"1","1001","1006","1","0","100607","全難易度合計で120000pt獲得しよう","120000","100607"
"1","1001","1006","1","0","100608","全難易度合計で135000pt獲得しよう","135000","100608"
"1","1002","1006","2","1","100609","難易度NORMAL1で1回戦おう","0","100609"
"1","1003","1006","2","1","100610","難易度NORMAL2で1回戦おう","0","100610"
"1","1004","1006","2","1","100611","難易度NORMAL3で1回戦おう","0","100611"
"1","1001","1006","3","1","100612","難易度NORMALで10000pt獲得しよう","10000","100612"
"1","1001","1006","3","1","100613","難易度NORMALで20000pt獲得しよう","20000","100613"
"1","1001","1006","3","1","100614","難易度NORMALで30000pt獲得しよう","30000","100614"
"1","1002","1006","4","2","100615","難易度HARD1で1回戦おう","0","100615"
"1","1003","1006","4","2","100616","難易度HARD2で1回戦おう","0","100616"
"1","1004","1006","4","2","100617","難易度HARD3で1回戦おう","0","100617"
"1","1001","1006","5","2","100618","難易度HARDで15000pt獲得しよう","15000","100618"
"1","1001","1006","5","2","100619","難易度HARDで30000pt獲得しよう","30000","100619"
"1","1001","1006","5","2","100620","難易度HARDで45000pt獲得しよう","45000","100620"
"1","1002","1006","6","3","100621","難易度EXTRA1で1回戦おう","0","100621"
"1","1003","1006","6","3","100622","難易度EXTRA2で1回戦おう","0","100622"
"1","1004","1006","6","3","100623","難易度EXTRA3で1回戦おう","0","100623"
"1","1001","1006","7","3","100624","難易度EXTRAで20000pt獲得しよう","20000","100624"
"1","1001","1006","7","3","100625","難易度EXTRAで40000pt獲得しよう","40000","100625"
"1","1001","1006","7","3","100626","難易度EXTRAで60000pt獲得しよう","60000","100626"
"1","1001","1007","0","0","100701","全難易度合計で10000pt獲得しよう","10000","100701"
"1","1001","1007","0","0","100702","全難易度合計で30000pt獲得しよう","30000","100702"
"1","1001","1007","0","0","100703","全難易度合計で50000pt獲得しよう","50000","100703"
"1","1001","1007","0","0","100704","全難易度合計で70000pt獲得しよう","70000","100704"
"1","1001","1007","1","0","100705","全難易度合計で90000pt獲得しよう","90000","100705"
"1","1001","1007","1","0","100706","全難易度合計で105000pt獲得しよう","105000","100706"
"1","1001","1007","1","0","100707","全難易度合計で120000pt獲得しよう","120000","100707"
"1","1001","1007","1","0","100708","全難易度合計で135000pt獲得しよう","135000","100708"
"1","1002","1007","2","1","100709","難易度NORMAL1で1回戦おう","0","100709"
"1","1003","1007","2","1","100710","難易度NORMAL2で1回戦おう","0","100710"
"1","1004","1007","2","1","100711","難易度NORMAL3で1回戦おう","0","100711"
"1","1001","1007","3","1","100712","難易度NORMALで10000pt獲得しよう","10000","100712"
"1","1001","1007","3","1","100713","難易度NORMALで20000pt獲得しよう","20000","100713"
"1","1001","1007","3","1","100714","難易度NORMALで30000pt獲得しよう","30000","100714"
"1","1002","1007","4","2","100715","難易度HARD1で1回戦おう","0","100715"
"1","1003","1007","4","2","100716","難易度HARD2で1回戦おう","0","100716"
"1","1004","1007","4","2","100717","難易度HARD3で1回戦おう","0","100717"
"1","1001","1007","5","2","100718","難易度HARDで15000pt獲得しよう","15000","100718"
"1","1001","1007","5","2","100719","難易度HARDで30000pt獲得しよう","30000","100719"
"1","1001","1007","5","2","100720","難易度HARDで45000pt獲得しよう","45000","100720"
"1","1002","1007","6","3","100721","難易度EXTRA1で1回戦おう","0","100721"
"1","1003","1007","6","3","100722","難易度EXTRA2で1回戦おう","0","100722"
"1","1004","1007","6","3","100723","難易度EXTRA3で1回戦おう","0","100723"
"1","1001","1007","7","3","100724","難易度EXTRAで20000pt獲得しよう","20000","100724"
"1","1001","1007","7","3","100725","難易度EXTRAで40000pt獲得しよう","40000","100725"
"1","1001","1007","7","3","100726","難易度EXTRAで60000pt獲得しよう","60000","100726"
"1","1001","1008","0","0","100801","全難易度合計で10000pt獲得しよう","10000","100801"
"1","1001","1008","0","0","100802","全難易度合計で30000pt獲得しよう","30000","100802"
"1","1001","1008","0","0","100803","全難易度合計で50000pt獲得しよう","50000","100803"
"1","1001","1008","0","0","100804","全難易度合計で70000pt獲得しよう","70000","100804"
"1","1001","1008","1","0","100805","全難易度合計で90000pt獲得しよう","90000","100805"
"1","1001","1008","1","0","100806","全難易度合計で105000pt獲得しよう","105000","100806"
"1","1001","1008","1","0","100807","全難易度合計で120000pt獲得しよう","120000","100807"
"1","1001","1008","1","0","100808","全難易度合計で135000pt獲得しよう","135000","100808"
"1","1002","1008","2","1","100809","難易度NORMAL1で1回戦おう","0","100809"
"1","1003","1008","2","1","100810","難易度NORMAL2で1回戦おう","0","100810"
"1","1004","1008","2","1","100811","難易度NORMAL3で1回戦おう","0","100811"
"1","1001","1008","3","1","100812","難易度NORMALで10000pt獲得しよう","10000","100812"
"1","1001","1008","3","1","100813","難易度NORMALで20000pt獲得しよう","20000","100813"
"1","1001","1008","3","1","100814","難易度NORMALで30000pt獲得しよう","30000","100814"
"1","1002","1008","4","2","100815","難易度HARD1で1回戦おう","0","100815"
"1","1003","1008","4","2","100816","難易度HARD2で1回戦おう","0","100816"
"1","1004","1008","4","2","100817","難易度HARD3で1回戦おう","0","100817"
"1","1001","1008","5","2","100818","難易度HARDで15000pt獲得しよう","15000","100818"
"1","1001","1008","5","2","100819","難易度HARDで30000pt獲得しよう","30000","100819"
"1","1001","1008","5","2","100820","難易度HARDで45000pt獲得しよう","45000","100820"
"1","1002","1008","6","3","100821","難易度EXTRA1で1回戦おう","0","100821"
"1","1003","1008","6","3","100822","難易度EXTRA2で1回戦おう","0","100822"
"1","1004","1008","6","3","100823","難易度EXTRA3で1回戦おう","0","100823"
"1","1001","1008","7","3","100824","難易度EXTRAで20000pt獲得しよう","20000","100824"
"1","1001","1008","7","3","100825","難易度EXTRAで40000pt獲得しよう","40000","100825"
"1","1001","1008","7","3","100826","難易度EXTRAで60000pt獲得しよう","60000","100826"
"1","1001","1009","0","0","100901","全難易度合計で10000pt獲得しよう","10000","100901"
"1","1001","1009","0","0","100902","全難易度合計で30000pt獲得しよう","30000","100902"
"1","1001","1009","0","0","100903","全難易度合計で50000pt獲得しよう","50000","100903"
"1","1001","1009","0","0","100904","全難易度合計で70000pt獲得しよう","70000","100904"
"1","1001","1009","1","0","100905","全難易度合計で90000pt獲得しよう","90000","100905"
"1","1001","1009","1","0","100906","全難易度合計で105000pt獲得しよう","105000","100906"
"1","1001","1009","1","0","100907","全難易度合計で120000pt獲得しよう","120000","100907"
"1","1001","1009","1","0","100908","全難易度合計で135000pt獲得しよう","135000","100908"
"1","1002","1009","2","1","100909","難易度NORMAL1で1回戦おう","0","100909"
"1","1003","1009","2","1","100910","難易度NORMAL2で1回戦おう","0","100910"
"1","1004","1009","2","1","100911","難易度NORMAL3で1回戦おう","0","100911"
"1","1001","1009","3","1","100912","難易度NORMALで10000pt獲得しよう","10000","100912"
"1","1001","1009","3","1","100913","難易度NORMALで20000pt獲得しよう","20000","100913"
"1","1001","1009","3","1","100914","難易度NORMALで30000pt獲得しよう","30000","100914"
"1","1002","1009","4","2","100915","難易度HARD1で1回戦おう","0","100915"
"1","1003","1009","4","2","100916","難易度HARD2で1回戦おう","0","100916"
"1","1004","1009","4","2","100917","難易度HARD3で1回戦おう","0","100917"
"1","1001","1009","5","2","100918","難易度HARDで15000pt獲得しよう","15000","100918"
"1","1001","1009","5","2","100919","難易度HARDで30000pt獲得しよう","30000","100919"
"1","1001","1009","5","2","100920","難易度HARDで45000pt獲得しよう","45000","100920"
"1","1002","1009","6","3","100921","難易度EXTRA1で1回戦おう","0","100921"
"1","1003","1009","6","3","100922","難易度EXTRA2で1回戦おう","0","100922"
"1","1004","1009","6","3","100923","難易度EXTRA3で1回戦おう","0","100923"
"1","1001","1009","7","3","100924","難易度EXTRAで20000pt獲得しよう","20000","100924"
"1","1001","1009","7","3","100925","難易度EXTRAで40000pt獲得しよう","40000","100925"
"1","1001","1009","7","3","100926","難易度EXTRAで60000pt獲得しよう","60000","100926"
