4a0b6a981a32a391179a6c359128355779b2ba799601f8b897b151ff7f858210,5d71a72be369557cf5042ff5d9e4ecda24efc9e4f88cddfb969f4e731b55ae96,28fd2fb5cb3cc884340a8d0e47e499568ae95e106269934d0ef9c41a8b89be4b,c3b56bd62550474c2ec4ddaee4564c9141ffab655598f17c6cc91d3e015aa239,f0b38bdf6aac58d7399db366b910d24c63080ed8a8d4ba2141c17d469d1a9184,f070a7085262b3560ace7bfdbcc1002c42b59973189a7eb7d754006399935d6f,887d3a167688cbbe866b4799d767f7ec87719bd9681d1375b841edd21d00168d,359906779c87b91000204753d696f73cbc6febe9f2b7d05924b40d4a3ef4faf9,ce1e353719b5f79e3ed362625d5117845fdf012f98465fe297427997dbb64e3c,13aa8e24844b0d48495422fcff6c8e03ed416249b28d1c42e16439bb36e43d17
"ユキノ","3","0","","135801","1056","料理を{0}つ入手する","1","","1"
"レイ","8","0","ダイスの表と裏\nどちらを適用するか選択できる","100301","1057","ダイスの表と裏\nどちらを適用するか選択できる","0","","2"
"ホマレ","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","106701","1058","ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3"
"ルイズマリー","6","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","132301","1059","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1"
"リマ","13","1","出たダイスの目が{0}だった場合、\n+{1}進める","105201","1060","出たダイスの目が{0}だった場合、\n+{1}進める","1","","3"
"ヨリ","1","0","","102201","1061","最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1"
"アカリ","2","0","","100601","1062","最大2000マイルを入手する","10002","","1"
"ナーナ","12","0","","136201","1063","福引券を{0}枚入手する","1","","1"
"チエル","3","0","","110901","1064","料理を{0}つ入手する","1","","1"
"シオリ","5","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","103801","1065","出目が{0}のダイスを同時に振って\nどちらか選択できる","4","","2"
"ミサト","4","0","ダイスの目を{0}回振りなおせる\n（あと{1}回）","101501","1066","ダイスの目を{0}回振りなおせる","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","3"
"ノゾミ","6","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","102901","1067","出目の合計が{0}以上になるまで\nダイスを追加で振れる","7","","1"
"カオリ","13","1","出たダイスの目が{0}だった場合、\n+{1}進める","101701","1068","出たダイスの目が{0}だった場合、\n+{1}進める","2","","3"
"ソノ","1","0","","132501","1069","最大50％割引確定のショップを開く（1品100％割引あり）","10001","","1"
"チカ","2","0","","104201","1070","最大2000マイルを入手する","10002","","1"
"リノ","12","0","","101101","1071","福引券を{0}枚入手する","1","","1"
"シズル","3","0","","104901","1072","料理を{0}つ入手する","1","","1"
