0d3f31ad1e661f5abdb224427ec2018e9c4430fb20787c5fcc45dd6796eed35b,461b69fa88daf6e14101f701c4028fcb72d46d5eea7da7bf1c65fc6b020086f3,3ac2df7dff23ac3a3c23e5c7d1ed2b38f38ead4c2ab069685f59684180ef49e3,e5cc31f05466e285a41f918ee84a41a0f3172248f9bb3aa765a0fde2770adc74,873d603748533b2444fc951791a4c6ef78d248dd2ca5404a9601236825c7c94a,4ff40f9f969bcf08ca7bd1975d7b3cd957a115fd3a4114bfbff4121fc11301ae,ccc3f425b766d500272c2b220b9d32d46d880889cce4ce932d7c06e66742c06f,f080acef577176e91a3b3d5a3c32d6cd88a6276a5b66298f9845ab1b266b7477,f471def54f4408edc7fc6aaafcc4eeceecc26d50f5b7d5e2492682f206211dc7
"1","0","190","-80","","1.03","1","0","610203203"
"1","0","190","-42","","0.66","1","0","610203301"
"1","0","190","-80","","1.03","1","0","610203302"
"1","0","190","-80","","1.03","1","0","610203303"
"2","0","0","0","","0.78","0","-200","610203401"
"3","0","0","0","","0.78","0","-140","610203402"
"4","0","0","0","","0.78","0","-60","610203403"
"5","0","0","0","","0.78","0","-30","610203404"
"2","0","0","0","","0.78","0","-200","610203501"
"3","0","0","0","","0.78","0","-140","610203502"
"4","0","0","0","","0.78","0","-60","610203503"
"5","0","0","0","","0.78","0","-30","610203504"
"1","0","305","-65","","1.75","1","0","610204101"
"1","0","305","-55","","1.4","1","0","610204201"
"1","0","305","-65","","1.75","1","0","610204202"
"1","0","305","-65","","1.75","1","0","610204203"
"1","0","305","-55","","1.4","1","0","610204301"
"1","0","305","-65","","1.75","1","0","610204302"
"1","0","305","-65","","1.75","1","0","610204303"
"2","0","0","0","","0.85","0","-200","610204401"
"3","0","0","0","","0.85","0","-140","610204402"
"4","0","0","0","","1","0","-60","610204403"
"5","0","0","0","","1","0","-60","610204404"
"2","0","0","0","","0.85","0","-200","610204501"
"3","0","0","0","","0.85","0","-140","610204502"
"4","0","0","0","","1","0","-60","610204503"
"5","0","0","0","","1","0","-60","610204504"
"1","0","160","-60","","1.38","1","0","610205101"
"1","0","160","0","","0.94","1","0","610205201"
"1","0","160","-60","","1.38","1","0","610205202"
"1","0","160","-60","","1.38","1","0","610205203"
"1","0","160","0","","0.94","1","0","610205301"
"1","0","160","-60","","1.38","1","0","610205302"
"1","0","160","-60","","1.38","1","0","610205303"
"2","0","0","0","","0.9","0","-200","610205401"
"3","0","0","0","","0.9","0","-140","610205402"
"4","0","0","0","","0.9","0","-60","610205403"
"5","0","0","0","","0.9","0","-60","610205404"
"2","0","0","0","","0.9","0","-200","610205501"
"3","0","0","0","","0.9","0","-140","610205502"
"4","0","0","0","","0.9","0","-60","610205503"
"5","0","0","0","","0.9","0","-60","610205504"
"1","0","295","-80","","0.86","1","0","610206101"
"1","0","295","-50","","0.68","1","0","610206201"
"1","0","295","-50","","0.68","1","0","610206202"
"1","0","295","-80","","0.86","1","0","610206203"
"1","0","295","-50","","0.68","1","0","610206301"
"1","0","295","-50","","0.68","1","0","610206302"
"1","0","295","-80","","0.86","1","0","610206303"
"2","0","0","0","","0.85","0","-200","610206401"
"3","0","0","0","","1","0","-140","610206402"
"4","0","0","0","","1","0","-60","610206403"
"5","0","0","0","","1","0","-60","610206404"
"6","0","0","0","","0.78","0","-200","610206405"
"7","0","0","0","","0.78","0","-140","610206406"
"8","0","0","0","","0.78","0","-60","610206407"
"9","0","0","0","","0.78","0","-60","610206408"
"2","0","0","0","","0.85","0","-200","610206501"
"3","0","0","0","","1","0","-140","610206502"
"4","0","0","0","","1","0","-60","610206503"
"5","0","0","0","","1","0","-60","610206504"
"6","0","0","0","","0.78","0","-200","610206505"
"7","0","0","0","","0.78","0","-140","610206506"
"8","0","0","0","","0.78","0","-60","610206507"
"9","0","0","0","","0.78","0","-60","610206508"
"1","0","250","-17","","1.35","1","0","610207101"
"1","0","250","0","","0.95","1","0","610207201"
"1","0","250","-17","","1.35","1","0","610207202"
"1","0","250","-17","","1.35","1","0","610207203"
"1","0","250","0","","0.95","1","0","610207301"
"1","0","250","-17","","1.35","1","0","610207302"
"1","0","250","-17","","1.35","1","0","610207303"
"2","0","0","-21","","0.85","0","-200","610207401"
"3","0","0","-21","","0.85","0","-140","610207402"
"4","0","0","-21","","0.85","0","-60","610207403"
"5","0","0","-21","","0.73","0","-60","610207404"
"2","0","0","-21","","0.85","0","-200","610207501"
"3","0","0","-21","","0.85","0","-140","610207502"
"4","0","0","-21","","0.85","0","-60","610207503"
"5","0","0","-21","","0.73","0","-60","610207504"
"1","0","405","-90","","1.01","1","0","610208101"
"4","0","0","0","","0","0","0","610208103"
"1","0","405","-90","","0.9","1","0","610208201"
"1","0","405","-90","","1.01","1","0","610208202"
"1","0","405","-90","","1.01","1","0","610208203"
"1","0","405","-90","","0.9","1","0","610208301"
"1","0","405","-90","","1.01","1","0","610208302"
"1","0","405","-90","","1.01","1","0","610208303"
"2","0","0","0","","0.78","0","-140","610208401"
"3","0","0","0","","0.78","0","-60","610208402"
"2","0","0","0","","0.78","0","-140","610208501"
"3","0","0","0","","0.78","0","-60","610208502"
"1","0","140","-14","","1.3","1","0","610209101"
"1","0","140","-15","","1.15","1","0","610209201"
"1","0","140","-14","","1.3","1","0","610209202"
"1","0","140","-14","","1.3","1","0","610209203"
"1","0","140","-15","","1.15","1","0","610209301"
"1","0","140","-14","","1.3","1","0","610209302"
"1","0","140","-14","","1.3","1","0","610209303"
"2","0","0","0","","1","0","-200","610209401"
"3","0","0","0","","1","0","-140","610209402"
"4","0","0","0","","1","0","-60","610209403"
"5","0","0","0","","1","0","-60","610209404"
"2","0","0","0","","1","0","-200","610209501"
"3","0","0","0","","1","0","-140","610209502"
"4","0","0","0","","1","0","-60","610209503"
"5","0","0","0","","1","0","-60","610209504"
"1","0","165","-15","","1.15","1","0","610210101"
"1","0","165","0","","0.92","1","0","610210201"
"1","0","165","-15","","1.15","1","0","610210202"
"1","0","165","-15","","1.15","1","0","610210203"
"1","0","165","0","","0.92","1","0","610210301"
"1","0","165","-15","","1.15","1","0","610210302"
"1","0","165","-15","","1.15","1","0","610210303"
"2","0","0","0","","0.68","0","-200","610210401"
"3","0","0","0","","0.68","0","-140","610210402"
"4","0","0","0","","0.68","0","-60","610210403"
"5","0","0","0","","0.68","0","-60","610210404"
"2","0","0","0","","0.68","0","-200","610210501"
"3","0","0","0","","0.68","0","-140","610210502"
"4","0","0","0","","0.68","0","-60","610210503"
"5","0","0","0","","0.68","0","-60","610210504"
"1","0","55","30","","0.9","1","0","610211101"
"1","0","55","-5","","0.9","1","0","610211201"
"1","0","55","30","","0.9","1","0","610211202"
"1","0","55","30","","0.9","1","0","610211203"
"1","0","55","-5","","0.9","1","0","610211301"
"1","0","55","30","","0.9","1","0","610211302"
"1","0","55","30","","0.9","1","0","610211303"
"2","0","0","0","","0.78","0","-40","610211401"
"3","0","0","0","","0.78","0","-10","610211402"
"4","0","0","0","","0.78","0","50","610211403"
"5","0","0","0","","0.78","0","50","610211404"
"2","0","0","0","","0.78","0","-40","610211501"
"3","0","0","0","","0.78","0","-10","610211502"
"4","0","0","0","","0.78","0","50","610211503"
"5","0","0","0","","0.78","0","50","610211504"
"1","0","35","45","","0.9","1","0","610212101"
"1","0","35","0","","0.8","1","0","610212201"
"1","0","35","45","","0.9","1","0","610212202"
"1","0","35","45","","0.9","1","0","610212203"
"1","0","35","0","","0.8","1","0","610212301"
"1","0","35","45","","0.9","1","0","610212302"
"1","0","35","45","","0.9","1","0","610212303"
"2","0","0","0","","0.6","0","-220","610212401"
"3","0","0","0","","0.6","0","-200","610212402"
"4","0","0","0","","0.6","0","-140","610212403"
"5","0","0","0","","0.6","0","-140","610212404"
"2","0","0","0","","0.6","0","-60","610212405"
"3","0","0","0","","0.6","0","-60","610212406"
"4","0","0","0","","0.6","0","-220","610212501"
"5","0","0","0","","0.6","0","-200","610212502"
"2","0","0","0","","0.6","0","-140","610212503"
"3","0","0","0","","0.6","0","-140","610212504"
"4","0","0","0","","0.6","0","-60","610212505"
"5","0","0","0","","0.6","0","-60","610212506"
"1","0","250","-75","","1.35","1","0","610213101"
"1","0","0","-125","","0.9","1","0","610213151"
"1","0","250","-70","","1.1","1","0","610213201"
"1","0","250","-75","","1.35","1","0","610213204"
"1","0","250","-75","","1.35","1","0","610213207"
"1","0","0","-125","","0.71","1","0","610213251"
"1","0","0","-125","","0.9","1","0","610213252"
"1","0","0","-125","","0.9","1","0","610213253"
"1","0","250","-70","","1.1","1","0","610213301"
"1","0","250","-75","","1.35","1","0","610213304"
"1","0","250","-75","","1.35","1","0","610213307"
"1","0","0","-125","","0.71","1","0","610213351"
"1","0","0","-125","","0.9","1","0","610213352"
"1","0","0","-125","","0.9","1","0","610213353"
"2","0","0","-20","","0.7","0","-200","610213401"
"3","0","0","-20","","0.7","0","-140","610213402"
"4","0","0","-20","","0.7","0","-60","610213403"
"5","0","0","-20","","0.7","0","-60","610213404"
"2","0","0","0","","0.78","0","-50","610213451"
"3","0","0","0","","0.78","0","0","610213452"
"4","0","0","0","","0.78","0","100","610213453"
"5","0","0","0","","0.78","0","300","610213454"
"2","0","0","-20","","0.7","0","-200","610213501"
"3","0","0","-20","","0.7","0","-140","610213502"
"4","0","0","-20","","0.7","0","-60","610213503"
"5","0","0","-20","","0.7","0","-60","610213504"
"2","0","0","0","","0.78","0","-50","610213551"
"3","0","0","0","","0.78","0","0","610213552"
"4","0","0","0","","0.78","0","100","610213553"
"5","0","0","0","","0.78","0","300","610213554"
"6","0","0","0","","0.78","0","0","610213555"
"1","0","30","15","","1.26","1","0","610214101"
"1","0","30","-10","","1","1","0","610214201"
"1","0","30","-10","","1","1","0","610214202"
"1","0","30","15","","1.26","1","0","610214203"
"1","0","30","-10","","1","1","0","610214301"
"1","0","30","-10","","1","1","0","610214302"
"1","0","30","15","","1.26","1","0","610214303"
"2","0","0","0","","0.82","0","-40","610214401"
"3","0","0","0","","0.82","0","-10","610214402"
"4","0","0","0","","0.82","0","50","610214403"
"5","0","0","0","","0.82","0","50","610214404"
"6","0","0","0","","0.85","0","-40","610214405"
"7","0","0","-10","","0.85","0","-10","610214406"
"8","0","0","-10","","0.85","0","50","610214407"
"9","0","0","-10","","0.85","0","50","610214408"
"2","0","0","0","","0.82","0","-40","610214501"
"3","0","0","0","","0.82","0","-10","610214502"
"4","0","0","0","","0.82","0","50","610214503"
"5","0","0","0","","0.82","0","50","610214504"
"6","0","0","0","","0.85","0","-40","610214505"
"7","0","0","-10","","0.85","0","-10","610214506"
"8","0","0","-10","","0.85","0","50","610214507"
"9","0","0","-10","","0.85","0","50","610214508"
"1","0","140","-50","","1.5","1","0","610215101"
"1","0","140","-69","","1.2","1","0","610215201"
"1","0","140","-67","","1.3","1","0","610215202"
"1","0","140","-50","","1.5","1","0","610215203"
"1","0","140","-69","","1.2","1","0","610215301"
"1","0","140","-67","","1.3","1","0","610215302"
"1","0","140","-50","","1.5","1","0","610215303"
"2","0","0","0","","0.85","0","-40","610215401"
"3","0","0","0","","0.85","0","-10","610215402"
"4","0","0","0","","0.85","0","50","610215403"
"5","0","0","0","","0.85","0","50","610215404"
"6","0","0","0","","0.8","0","-10","610215405"
"7","0","0","0","","0.8","0","50","610215406"
"8","0","0","0","","0.8","0","-40","610215407"
"2","0","0","0","","0.85","0","-40","610215501"
"3","0","0","0","","0.85","0","-10","610215502"
"4","0","0","0","","0.85","0","50","610215503"
"5","0","0","0","","0.85","0","50","610215504"
"6","0","0","0","","0.8","0","-10","610215505"
"7","0","0","0","","0.8","0","50","610215506"
"8","0","0","0","","0.8","0","-40","610215507"
"1","0","170","0","","1.12","1","0","610216101"
"1","0","170","-29","","0.91","1","0","610216201"
"1","0","170","0","","1.12","1","0","610216202"
"1","0","170","0","","1.12","1","0","610216203"
"1","0","170","-29","","0.91","1","0","610216301"
"1","0","170","0","","1.12","1","0","610216302"
"1","0","170","0","","1.12","1","0","610216303"
"2","0","0","-13","","0.85","0","0","610216401"
"3","0","0","-13","","0.85","0","0","610216402"
"4","0","0","-13","","0.85","0","-40","610216403"
"2","0","0","-13","","0.85","0","0","610216501"
"3","0","0","-13","","0.85","0","0","610216502"
"4","0","0","-13","","0.85","0","-40","610216503"
"1","0","205","-22","","0.95","1","0","610217101"
"1","0","205","-22","","0.95","1","0","610217201"
"1","0","205","-22","","0.95","1","0","610217202"
"1","0","205","-22","","0.95","1","0","610217203"
"1","0","205","-22","","0.95","1","0","610217301"
"1","0","205","-22","","0.95","1","0","610217302"
"1","0","205","-22","","0.95","1","0","610217303"
"1","0","171","-35","","1.7","1","0","610218101"
"1","0","171","0","","1.47","1","0","610218201"
"1","0","171","-35","","1.7","1","0","610218202"
"1","0","171","-35","","1.7","1","0","610218203"
"1","0","171","0","","1.47","1","0","610218301"
"1","0","171","-35","","1.7","1","0","610218302"
"1","0","171","-35","","1.7","1","0","610218303"
"2","0","0","0","","0.85","0","-80","610218401"
"3","0","0","0","","0.85","0","-40","610218402"
"4","0","0","-30","","0.85","0","0","610218403"
"5","0","0","-45","","0.85","0","0","610218404"
"2","0","0","0","","0.85","0","-80","610218501"
"3","0","0","0","","0.85","0","-40","610218502"
"4","0","0","-30","","0.85","0","0","610218503"
"5","0","0","-45","","0.85","0","0","610218504"
"1","0","375","-25","","1.07","1","0","610219101"
"1","0","375","-45","","0.85","1","0","610219201"
"1","0","375","-25","","1.07","1","0","610219202"
"1","0","375","-25","","1.07","1","0","610219203"
"1","0","375","-45","","0.85","1","0","610219301"
"1","0","375","-25","","1.07","1","0","610219302"
"1","0","375","-25","","1.07","1","0","610219303"
"2","0","0","0","","0.8","0","-300","610219401"
"3","0","0","0","","0.8","0","-150","610219402"
"4","0","0","0","","0.8","0","40","610219403"
"5","0","0","0","","0.8","0","180","610219404"
"2","0","0","0","","0.8","0","-400","610219501"
"3","0","0","0","","0.8","0","-200","610219502"
"4","0","0","0","","0.8","0","0","610219503"
"5","0","0","0","","0.8","0","180","610219504"
"2","1","0","0","","1","0","0","610219601"
"3","1","0","0","","1","0","0","610219602"
"4","1","0","0","","1","0","0","610219603"
"2","1","0","0","","1","0","0","610219701"
"3","1","0","0","","1","0","0","610219702"
"4","1","0","0","","1","0","0","610219703"
