762295bd407e68bca3dd03c824409338ef63845dae3dce40199bd885e611903e,ea996646a47fc073e22cfc04de0c3838b4a2ea4ba10451e4899fea5d80d8f6ce,ec1c870f4dccac5c6363f8b54a11709f3bb1201daddc3f24384f2d5d1cdd3211,c4715b23fa838e475396e5873b3524617c0a3af9274cab49ed8a835ef43b5247,0893398c848b3cc3bbf11982c7b7e01025caa310926cbd8a184d42cd13162a9c,6d2a8b5cef268a13854584065483c3783af65dc06eebe5c18b2e776cc481e03b,3ecb01c6178586ca4d693a5c733da676af6107ca64be2c02514b0d811900f45a,9a2385e471536410d855817bda450867cbe420f2bbe0f86e0446311c813679fd
"2","197","6","1","286","-470","14","3801"
"3","134","-123","2","89","-520","14","3811"
"1","204","103","3","236","-369","14","3821"
"5","176","-74","4","241","-283","14","3861"
"6","156","-83","5","236","-151","14","3891"
"4","219","108","6","226","-174","14","3911"
"10","107","-130","7","96","-51","14","3921"
"9","179","50","8","251","-5","14","3931"
"11","113","-106","9","102","100","14","3941"
"12","242","-41","10","317","268","14","3951"
"7","209","79","11","240","138","14","3961"
"8","209","79","12","240","138","14","3971"
"14","125","-125","13","93","441","14","4021"
"13","219","22","14","279","485","14","4031"
