1c5e968d3ea26bd645d1f6c3e75fcc90a7e238f7f73a696bf9bb5b0ea0fa969a,5965969655f63a7af1cebf899bd78509db5a0fa3efa6a5273ecdc8be9b24612a,a543a15379611d41345c3e1f7259599f1e91ee438f91f963ab6b3e65e038c6ff,bf08feab0d50df4e99d9012b815359f953dfe01be49305692608cc360dfac525,2c8726d7680a571d041ba805f9473834255b22c1d5d590f47307b26a707ee5d8,c9df042729d5d58c3e11b0905e02741237cf12c761a7ebd8cab40b4f4ab911cd,07bb6c6bd1bf68fc868ef1e37481908c2d731588fc62b77df9be5ad68014189c,e77cc2580684b109309a88dd280d2eb04597dfb4c2ed14e3c029693c36b0d628,0d00e594c083077d24c055d02fc933118cdcecbdbc5f4eb64fe6da17225b21e9,651697e9f4b9fa5d225731db1383436c993716aa3494a6adc80924e8e31d81dc,8deddf53e05180b0637a37ea873e34b206da9302ad1fd53aeabe3ffe8714e840
"61043","0.2","122711","","","talk_normal","","1","3","5152061",""
"61044","","vo_rag","","","vo_rag_6002","0","0","21","5152061",""
"61045","","3","","0","-110","0","142","2","5152061",""
"61046","0","3","","","1002_in","","0","3","5152061",""
"61047","","1.9","","","1","","","93","5152061",""
"61048","0","3","","","1002_mid","","0","3","5152061",""
"61049","","","","","","","","92","5152061",""
"61050","0","3","","","1002_out","","0","3","5152061",""
"61051","0.2","102311","","","gutsB_idle","","1","3","5152061",""
"61052","0.2","102111","","","wish_idle","","1","3","5152061",""
"61053","0.2","131911","","","idle_normal","","1","3","5152061",""
"61054","0.2","107711","","","sad_idle_normal","","1","3","5152061",""
"61055","0.2","122811","","","cool_idle","","1","3","5152061",""
"61056","0.2","122911","","","idle_normal_joy1R","","1","3","5152061",""
"61057","0.2","122711","","","wish_idle","","1","3","5152061",""
"61058","0.2","110311","0","1","gutsB_in","gutsB_talk","0","3","5152061",""
"61059","","vo_rag","","","vo_rag_6003","0","0","21","5152061",""
"61060","0","110311","15","1","おっきいお友達も元気でとてもいいわ！\nさっそく体操はじめましょう！","1","10","11","5152061","0"
"61061","","0","","","","0","0","91","5152061",""
"61062","","bgm_MC175B","","","bgm_MC175B","","","25","5152061",""
"61063","","2","","","1","","","32","5152061",""
"61064","0.2","110311","0","1","kids_gungun_in","kids_gungun_loop","0","3","5152061",""
"61065","","vo_rag","","","vo_rag_6004","0","0","21","5152061",""
"61066","0","110311","0","0","まずは空に向かって\n腕をグングン伸ばしてー！","1","10","11","5152061","1.7"
"61067","","0.1","","","0","","","93","5152061",""
"61068","0.2","131911","0","1","kids_gungun_in","kids_gungun_loop","0","3","5152061",""
"61069","0.2","102311","0","1","kids_gungun_in","kids_gungun_loop","0","3","5152061",""
"61070","0.2","102111","0","1","kids_gungun_in","kids_gungun_loop","0","3","5152061",""
"61071","0.2","107711","0","1","kids_gungun_in","kids_gungun_loop","0","3","5152061",""
"61072","0.2","122811","0","1","kids_gungun_in","kids_gungun_loop","0","3","5152061",""
"61073","0.2","122911","0","1","kids_gungun_in","kids_gungun_loop","0","3","5152061",""
"61074","0.2","122711","0","1","kids_gungun_in","kids_gungun_loop","0","3","5152061",""
"61075","","5.2","","","0","","","93","5152061",""
"61076","","61066","","","","0","0","91","5152061",""
"61077","","vo_rag","","","vo_rag_6005","0","0","21","5152061",""
"61078","13","102311","60","0","グーン、グーン！\nあはは、思い切り体動かすの楽しいね！","1","10","11","5152061","2.3"
"61079","","7.8","","","0","","","93","5152061",""
"61080","","61078","","","","0","0","91","5152061",""
"61081","0.3","110311","","","kids_furifuri","","1","3","5152061",""
"61082","","vo_rag","","","vo_rag_6006","0","0","21","5152061",""
"61083","21","110311","17","0","今度は腰を左右にフリフリ！\nキュートに、そしてリズミカルにね！","1","10","11","5152061","1.7"
"61084","","0.1","","","0","","","93","5152061",""
"61085","0.3","131911","","","kids_furifuri","","1","3","5152061",""
"61086","0.3","102311","","","kids_furifuriB","","1","3","5152061",""
"61087","0.3","102111","","","kids_furifuri","","1","3","5152061",""
"61088","0.3","107711","","","kids_furifuriB","","1","3","5152061",""
"61089","0.3","122811","","","kids_furifuri","","1","3","5152061",""
"61090","0.3","122911","","","kids_furifuriB","","1","3","5152061",""
"61091","0.3","122711","","","kids_furifuri","","1","3","5152061",""
"61092","","7.3","","","0","","","93","5152061",""
"61093","","61083","","","","0","0","91","5152061",""
"61094","","vo_rag","","","vo_rag_6007","0","0","21","5152061",""
"61095","0","102111","60","0","フリフリ～、楽しくなってきましたぁ♪","1","10","11","5152061","0.5"
"61096","","5.2","","","0","","","93","5152061",""
"61097","","61095","","","","0","0","91","5152061",""
"61098","0.2","131911","","","joy_idle","","1","3","5152061",""
"61099","0.2","102311","","","joy_idle","","1","3","5152061",""
"61100","0.2","102111","","","joy_idle","","1","3","5152061",""
"61101","0.2","107711","","","joy_idle","","1","3","5152061",""
"61102","0.2","122811","","","joy_idle","","1","3","5152061",""
"61103","0.2","122911","","","joy_idle","","1","3","5152061",""
"61104","0.2","122711","","","joy_idle","","1","3","5152061",""
"61105","0.2","110311","0","0","kids_jump_in_saren","kids_jump_sideHair_out","0","3","5152061",""
"61106","","vo_rag","","","vo_rag_6008","0","0","21","5152061",""
"61107","0","110311","0","0","最後はみんなで大きく…ジャーンプ！","1","10","11","5152061","1"
"61108","","0.1","","","0","","","93","5152061",""
"61109","0.2","131911","0","1","kids_jump_in","kids_jump_mid","0","3","5152061",""
"61110","0.2","102311","0","1","kids_jump_in","kids_jump_mid","0","3","5152061",""
"61111","0.2","102111","0","1","kids_jump_in","kids_jump_mid","0","3","5152061",""
"61112","0.2","107711","0","1","kids_jump_in","kids_jump_mid","0","3","5152061",""
"61113","0.2","122811","0","1","kids_jump_in","kids_jump_mid","0","3","5152061",""
"61114","0.2","122911","0","1","kids_jump_in","kids_jump_mid","0","3","5152061",""
"61115","0.2","122711","0","1","kids_jump_in","kids_jump_mid","0","3","5152061",""
"61116","","4.1","","","0","","","93","5152061",""
"61117","","61107","","","","0","0","91","5152061",""
"61118","","2","","","finish","","","37","5152061",""
"61119","","se_10058300","","","se_10058300_kids_finish","","0","23","5152061",""
"61120","0","131911","","","kids_jump_out","","0","3","5152061",""
"61121","0","102311","","","kids_jump_out","","0","3","5152061",""
"61122","0","102111","","","kids_jump_out","","0","3","5152061",""
"61123","0","107711","","","kids_jump_sideHair_out","","0","3","5152061",""
"61124","0","122811","","","kids_jump_out","","0","3","5152061",""
"61125","0","122911","","","kids_jump_out","","0","3","5152061",""
"61126","0","122711","","","kids_jump_sideHair_out","","0","3","5152061",""
"61127","","vo_rag","","","vo_rag_6009","0","0","21","5152061",""
"61128","0","2","","","1009_in","","0","3","5152061",""
"61129","","0.4","","","1","","","93","5152061",""
"61130","0","2","","","1009_mid","","0","3","5152061",""
"61131","","","","","","","","92","5152061",""
"61132","0","2","","","1009_out","","0","3","5152061",""
"61133","","0.2","","","0","","","93","5152061",""
"61134","0","131911","0.2","1","kids_jump_end","idle_normal","0","3","5152061",""
"61135","0","102311","0.2","1","kids_jump_end","joy_idle_normal","0","3","5152061",""
"61136","0","102111","0.2","1","kids_jump_end","wish_idle","0","3","5152061",""
"61137","0","107711","0.2","1","kids_jump_sideHair_end","idle_normal","0","3","5152061",""
"61138","0","122811","0.2","1","kids_jump_end","doya_idle","0","3","5152061",""
"61139","0","122911","0.2","1","kids_jump_end","idle_normal","0","3","5152061",""
"61140","0","122711","0.2","1","kids_jump_sideHair_end","idle_normal","0","3","5152061",""
"61141","0","bgm_MC173B","1","0","bgm_MC173B","0.5","0.5","27","5152061",""
"61142","0","110311","0.2","1","kids_jump_sideHair_end","talk_normal","0","3","5152061",""
"61143","","vo_rag","","","vo_rag_6010","0","0","21","5152061",""
"61144","0","110311","0","1","はい、お疲れさま\nみんな、楽しかったかしら？","1","10","11","5152061","0"
"61145","","0","","","","0","0","91","5152061",""
"61146","0.2","110311","","","idle_normal","","1","3","5152061",""
"61147","0.2","131911","0","1","gutsB_in","gutsB_talk","0","3","5152061",""
"61148","0.2","102311","0","1","surprise3_in_joy2","surprise3_loop_joy2","0","3","5152061",""
"61149","0.2","102111","","","memory_talk","","1","3","5152061",""
"61150","0.2","107711","","","wish_talk_joy_shy","","1","3","5152061",""
"61151","0.2","122811","0","1","eieio_in","eieio_loop","0","3","5152061",""
"61152","0.2","122911","","","anger_talk_joy","","1","3","5152061",""
"61153","0.2","122711","","","sad_talk_dere2","","1","3","5152061",""
"61154","","vo_rag","","","vo_rag_6011","0","0","21","5152061",""
"61155","0","131911","60","1","ええ、とっても！\nすごーく新鮮な\nラジーオタイソーだったわ！","1","10","11","5152061","0"
"61156","","0","","","","0","0","91","5152061",""
"61157","0.2","131911","","","gutsB_idle","","1","3","5152061",""
"61158","0.2","102111","","","memory_talk","","1","3","5152061",""
"61159","","vo_rag","","","vo_rag_6012","0","0","21","5152061",""
"61160","0","102111","56","1","かわいくて元気が出て♪\nママ・サレンの体操、すごいですぅ♪","1","10","11","5152061","0"
"61161","","0","","","","0","0","91","5152061",""
"61162","0.2","102111","","","memory_talk","","1","3","5152061",""
"61163","","se_10058300","","","se_10058300_emotion_laugh","","0","23","5152061",""
"61164","","11","","","1","","","32","5152061",""
"61165","0.2","110311","","","sad_talk_normal","","1","3","5152061",""
"61166","","vo_rag","","","vo_rag_6013","0","0","21","5152061",""
"61167","0","110311","0","1","あはは、\nそんなに喜んでもらえるなんて、\n悪い気はしないわね","1","10","11","5152061","0"
"61168","","0","","","","0","0","91","5152061",""
"61169","","11","","","0","","","32","5152061",""
"61170","","0","","","0","","","22","5152061",""
"61171","","0.1","","","0","","","93","5152061",""
"61172","0.2","110311","","","wish_talk_joy_shy","","1","3","5152061",""
"61173","0.2","131911","0","1","smile2_joy","sad_idle_joy","0","3","5152061",""
"61174","0.2","102311","","","joy_idle","","1","3","5152061",""
"61175","0.2","102111","","","memory_idle","","1","3","5152061",""
"61176","0.2","107711","","","wish_idle_dere","","1","3","5152061",""
"61177","0.2","122811","","","cool_talk_dere2","","1","3","5152061",""
"61178","0.2","122911","","","anger_idle_normal2","","1","3","5152061",""
"61179","0.2","122711","","","sad_idle_dere","","1","3","5152061",""
"61180","","se_10058300","","","se_10058300_emotion_kids","","0","23","5152061",""
"61181","0","110311","0","0","9","0","2","12","5152061","0"
"61182","0","131911","0","0","7","0","2","12","5152061","0"
"61183","0","102311","0","0","10","0","2","12","5152061","0"
"61184","0","102111","0","0","6","0","2","12","5152061","0"
"61185","","2.5","","","0","","","93","5152061",""
"61186","","61187","","","","","","101","5152061",""
"61187","","bgm_MC173B","","","bgm_MC173B","","","25","5152061",""
"61188","","0","","","0","","","22","5152061",""
"62001","1.55","1","1","-280","107111","382","110","1","5152062","doya_idle"
"62002","1.5","1","0","-210","107611","145","105","1","5152062","idle_normal"
"62003","1.57","1","0","-296","131911","-22","107","1","5152062","joy_idle_normal"
"62004","1.57","1","0","-311","107511","-217","109","1","5152062","wish_idle_joy"
"62005","1.53","1","0","-255","107811","-440","108","1","5152062","cool_idle"
"62006","1.45","1","0","-136","131411","34","103","1","5152062","idle_normal"
"62007","1.45","1","0","-146","131311","-163","104","1","5152062","riri_idle"
"62008","1.45","1","0","-166","131511","-350","105","1","5152062","sad_idle_surprise1"
"62009","1.5","5","1","-235","5","-13","106","5","5152062","empty"
"62010","1.5","1","0","-210","11","145","110","5","5152062","empty"
"62011","1.57","1","0","-296","12","-22","110","5","5152062","empty"
"62012","1.57","1","0","-311","13","-217","110","5","5152062","empty"
"62013","1.53","1","0","-255","14","-440","110","5","5152062","empty"
"62014","1.45","1","0","-136","15","34","107","5","5152062","empty"
"62015","1.45","1","0","-146","16","-163","107","5","5152062","empty"
"62016","1.45","1","0","-166","17","-350","107","5","5152062","empty"
"62017","","107111","","","210","","","13","5152062",""
"62018","","131911","","","207","","","13","5152062",""
"62019","","107511","","","209","","","13","5152062",""
"62020","","107611","","","205","","","13","5152062",""
"62021","","107811","","","208","","","13","5152062",""
"62022","","131411","","","203","","","13","5152062",""
"62023","","131311","","","204","","","13","5152062",""
"62024","","131511","","","205","","","13","5152062",""
"62025","1.57","1","0","-235","1","-13","108","5","5152062","empty"
"62026","1","2","0","11","2","382","210","5","5152062","empty"
"62027","1","1","","1","1","0","0","31","5152062",""
"62028","0","2","","1","2","0","0","31","5152062",""
"62029","0","12","","1","12","0","0","31","5152062",""
"62030","1","3","","1","3","0","0","31","5152062",""
"62031","","0","","","","","","91","5152062",""
"62032","","3","","","telop_2","","","37","5152062",""
"62033","","0","","","0","","0","102","5152062",""
"62034","","1","","","0","","","93","5152062",""
"62035","0.2","107111","","","doya_talk","","1","3","5152062",""
"62036","","vo_rag","","","vo_rag_2001","0","0","21","5152062",""
"62037","0","107111","35","1","早朝にもかかわらず、よく集まった","1","10","11","5152062","0"
"62038","","0","","","","0","0","91","5152062",""
"62039","0.2","107111","0","1","cool_in_joy","cool_talk_joy","0","3","5152062",""
"62040","","vo_rag","","","vo_rag_2002","0","0","21","5152062",""
"62041","0","107111","35","1","オマエたちにとっておきの体操を\n伝授してやろう♪","1","10","11","5152062","0"
"62042","","0","","","","0","0","91","5152062",""
"62043","0.2","107111","","","cool_idle","","1","3","5152062",""
"62044","0.2","131311","","","gutsB_talk_anger","","1","3","5152062",""
"62045","","vo_rag","","","vo_rag_2003","0","0","21","5152062",""
"62046","0","131311","0","1","どんな苛烈な体操でも…\n頑張りぬく所存です…！","1","10","11","5152062","0"
"62047","","0","","","","0","0","91","5152062",""
"62048","0.2","131311","","","riri_idle","","1","3","5152062",""
"62049","","1","","","","","","26","5152062",""
"62050","0.2","107111","","","joy_talk_normal","","1","3","5152062",""
"62051","0.2","131911","","","idle_normal","","1","3","5152062",""
"62052","0.2","107511","","","idle_normal","","1","3","5152062",""
"62053","0.2","107611","","","idle_normal","","1","3","5152062",""
"62054","0.2","107811","","","idle_normal","","1","3","5152062",""
"62055","0.2","131411","","","idle_normal","","1","3","5152062",""
"62056","0.2","131311","","","idle_normal","","1","3","5152062",""
"62057","0.2","131511","","","idle_normal","","1","3","5152062",""
"62058","","vo_rag","","","vo_rag_2004","0","0","21","5152062",""
"62059","0","107111","0","0","ではいくぞ\nそれ、ワンツーワンツー\nもっと腕を高く！","1","10","11","5152062","2"
"62060","","1.1","","","0","0","0","93","5152062",""
"62061","","bgm_MC175A","","","bgm_MC175A","","","25","5152062",""
"62062","","2","","","1","","","32","5152062",""
"62063","0.2","107111","0","1","clapping_in","clapping_loop","0","3","5152062",""
"62064","0.2","131911","","","idol_before_dance","","0","3","5152062",""
"62065","0.2","107511","","","idol_before_dance","","0","3","5152062",""
"62066","0.2","107611","","","idol_before_dance","","0","3","5152062",""
"62067","0.2","107811","","","idol_before_dance","","0","3","5152062",""
"62068","0.2","131411","","","idol_before_dance","","0","3","5152062",""
"62069","0.2","131311","","","idol_before_dance","","0","3","5152062",""
"62070","0.2","131511","","","idol_before_dance","","0","3","5152062",""
"62071","","0","","","","","","91","5152062",""
"62072","","12","","","1","","","32","5152062",""
"62073","0.2","131911","","","idol_danceF","","1","3","5152062",""
"62074","0.2","107511","","","idol_danceF","","1","3","5152062",""
"62075","0.2","107611","","","idol_danceF","","1","3","5152062",""
"62076","0.2","107811","","","idol_danceF","","1","3","5152062",""
"62077","0.2","131411","0","1","idol_danceB_in","idol_danceB_loop","0","3","5152062",""
"62078","0.2","131311","0","1","idol_danceB_in","idol_danceB_loop","0","3","5152062",""
"62079","0.2","131511","0","1","idol_danceB_in","idol_danceB_loop","0","3","5152062",""
"62080","0.2","12","","","idol_danceF","","1","3","5152062",""
"62081","0.2","13","","","idol_danceF","","1","3","5152062",""
"62082","0.2","11","","","idol_danceF","","1","3","5152062",""
"62083","0.2","14","","","idol_danceF","","1","3","5152062",""
"62084","0.2","15","","","idol_danceB_loop","","1","3","5152062",""
"62085","0.2","16","","","idol_danceB_loop","","1","3","5152062",""
"62086","0.2","17","","","idol_danceB_loop","","1","3","5152062",""
"62087","","2.8","","","0","0","0","93","5152062",""
"62088","","0.1","","","0","0","0","93","5152062",""
"62089","0.2","107111","0","1","pointing_in_anger","pointing_loop_anger","0","3","5152062",""
"62090","","0.5","","","0","0","0","93","5152062",""
"62091","","vo_rag","","","vo_rag_2005","0","0","21","5152062",""
"62092","0","2","","","0204_in","","0","3","5152062",""
"62093","","2.5","","","0","","","93","5152062",""
"62094","0","2","","","0204_out","","0","3","5152062",""
"62095","","0.2","","","0","","","93","5152062",""
"62096","0.2","107111","","","angry_loop","","1","3","5152062",""
"62097","","vo_rag","","","vo_rag_2006","0","0","21","5152062",""
"62098","0","2","","","0205_in","","0","3","5152062",""
"62099","","2.2","","","0","","","93","5152062",""
"62100","0","2","","","0205_out","","0","3","5152062",""
"62101","","0.3","","","0","","","93","5152062",""
"62102","0.2","107111","0","1","clapping_in_talk2","clapping_loop_talk2","0","3","5152062",""
"62103","","2.1","","","0","","","93","5152062",""
"62104","","12","","","out","","","37","5152062",""
"62105","0.1","131911","0","1","idol_poseF_in","idol_poseF_loop","0","3","5152062",""
"62106","0.1","107511","0","1","idol_poseF_in","idol_poseF_loop","0","3","5152062",""
"62107","0.1","107611","0","1","idol_poseF_in","idol_poseF_loop","0","3","5152062",""
"62108","0.1","107811","0","1","idol_poseF_in","idol_poseF_loop","0","3","5152062",""
"62109","0.1","131411","0","1","idol_poseB_in","idol_poseB_loop","0","3","5152062",""
"62110","0.1","131311","0","1","idol_poseB_in","idol_poseB_loop","0","3","5152062",""
"62111","0.1","131511","0","1","idol_poseB_in","idol_poseB_loop","0","3","5152062",""
"62112","0.2","12","","","empty","","1","3","5152062",""
"62113","0.2","13","","","empty","","1","3","5152062",""
"62114","0.2","11","","","empty","","1","3","5152062",""
"62115","0.2","14","","","empty","","1","3","5152062",""
"62116","0.2","15","","","empty","","1","3","5152062",""
"62117","0.2","16","","","empty","","1","3","5152062",""
"62118","0.2","17","","","empty","","1","3","5152062",""
"62119","","107611","","11","93","0.7","-206","2","5152062",""
"62120","","131911","","11","-13","0.7","-235","2","5152062",""
"62121","","107511","","11","-152","0.7","-248","2","5152062",""
"62122","","107811","","11","-277","0.7","-243","2","5152062",""
"62123","","131411","","11","8","0.7","-151","2","5152062",""
"62124","","131311","","11","-102","0.7","-154","2","5152062",""
"62125","","131511","","11","-222","0.7","-167","2","5152062",""
"62126","","1.6","","","0","","","93","5152062",""
"62127","","2","","","finish","","","37","5152062",""
"62128","","se_10058300","","","se_10058300_idle_finish","","0","23","5152062",""
"62129","0","bgm_MC173B","1","0","bgm_MC173B","0.5","0.5","27","5152062",""
"62130","","0","","","0","","","93","5152062",""
"62131","0.1","107111","","","clapping_end","","0","3","5152062",""
"62132","","2","","","0","","","93","5152062",""
"62133","0.2","107111","0","1","armcrossed_in","armcrossed_talk","0","3","5152062",""
"62134","","vo_rag","","","vo_rag_2007","0","0","21","5152062",""
"62135","0","107111","35","1","これでフィニッシュ！　…見事だ☆\nアイドルの道は険しいが\nオマエたちならやれるだろう","1","10","11","5152062","0"
"62136","","0","","","","0","0","91","5152062",""
"62137","0.2","107111","","","armcrossed_idle","","1","3","5152062",""
"62138","0","5","0","1","pack_in","pack_talk","0","3","5152062",""
"62139","","se_10058300","","","se_10058300_pack_appear","","0","23","5152062",""
"62140","0.2","131911","0","1","idol_poseF_end_emilia_in","idol_poseF_end_emilia_loop","0","3","5152062",""
"62141","","1","","","0","","","93","5152062",""
"62142","","vo_rag","","","vo_rag_2008","0","0","21","5152062",""
"62143","5","5","24","1","ねえリア、\nこれってラジーオタイソーなの？","1","10","11","5152062","0"
"62144","","0","","","","0","0","91","5152062",""
"62145","","0","","","0","","","22","5152062",""
"62146","0.2","131911","","","idol_poseF_end_emilia_loop_nervous","","1","3","5152062",""
"62147","0","1","0","1","idol_poseF_end_emilia_nervous_in","idol_poseF_end_emilia_loop","0","3","5152062",""
"62148","0.2","5","","","pack_idle","","1","3","5152062",""
"62149","0.2","107111","","","chris_laugh","","1","3","5152062",""
"62150","","se_10058300","","","se_10058300_emotion_idol","","0","23","5152062",""
"62151","5","5","5","0","5","0","2","12","5152062","0"
"62152","0","107111","0","0","10","0","2","12","5152062","0"
"62153","","2.5","","","0","","","93","5152062",""
"62154","","62155","","","","","","101","5152062",""
"62155","","bgm_MC173B","","","bgm_MC173B","","","25","5152062",""
"62156","","0","","","0","","","22","5152062",""
"63001","1.8","1","1","-215","131711","124","109","1","5152063","ames_sit_idle"
"63002","1.8","1","0","-215","132011","-119","108","1","5152063","echidna_sit_thinking_idle"
"63003","1.8","1","0","-215","1","-119","109","5","5152063","empty"
"63004","","131711","","","209","","","13","5152063",""
"63005","","132011","","","208","","","13","5152063",""
"63006","1","1","","1.16","1","0","0","31","5152063",""
"63007","1","10","","1","10","0","0","31","5152063",""
"63008","0","5","","1","5","0","0","31","5152063",""
"63009","1","3","","1","3","0","0","31","5152063",""
"63010","","0","","","0","","","91","5152063",""
"63011","","3","","","telop_3","","","37","5152063",""
"63012","","0","","","0","","0","102","5152063",""
"63013","","1","","","0","","","93","5152063",""
"63014","0.2","132011","","","echidna_sit_thinking_talk","","1","3","5152063",""
"63015","","vo_rag","","","vo_rag_5001","0","0","21","5152063",""
"63016","-20","132011","50","1","この世界には『アイドル』という\n種族にのみ伝わる、伝統の\nタイソーとやらがあるらしいね","1","10","11","5152063","0"
"63017","","0","","","","0","0","91","5152063",""
"63018","0.2","132011","","","echidna_sit_talk","","1","3","5152063",""
"63019","","vo_rag","","","vo_rag_5002","0","0","21","5152063",""
"63020","-20","132011","50","1","君は智に長けた存在だろう？\nボクにもその動きを\n教えてもらえないかな？","1","10","11","5152063","0"
"63021","","0","","","","0","0","91","5152063",""
"63022","0.2","132011","","","echidna_sit_idle","","1","3","5152063",""
"63023","0.2","131711","0","1","ames_yareyare_in","ames_yareyare_talk","0","3","5152063",""
"63024","","vo_rag","","","vo_rag_5003","0","0","21","5152063",""
"63025","20","131711","50","1","随分と面倒なこと言ってくれちゃって","1","10","11","5152063","0"
"63026","","0","","","","0","0","91","5152063",""
"63027","0.2","131711","","","ames_sit_talk","","1","3","5152063",""
"63028","","vo_rag","","","vo_rag_5004","0","0","21","5152063",""
"63029","20","131711","50","1","色々誤解があるみたいだけど、\nまあいいわ","1","10","11","5152063","0"
"63030","","0","","","","0","0","91","5152063",""
"63031","","vo_rag","","","vo_rag_5005","0","0","21","5152063",""
"63032","20","131711","50","1","それじゃ、\nあたしと同じ動きをやってみて","1","10","11","5152063","0"
"63033","","0","","","","0","0","91","5152063",""
"63034","0.2","131711","0","1","ames_sit_out","idle_normal","0","3","5152063",""
"63035","","0.1","","","0","","","93","5152063",""
"63036","0.2","132011","0","1","echidna_sit_out","idle_normal","0","3","5152063",""
"63037","","10","","","out","","","37","5152063",""
"63038","","1","","","0","","","93","5152063",""
"63039","","0","","","","0","0","91","5152063",""
"63040","","bgm_MC175A","","","bgm_MC175A","","","25","5152063",""
"63041","","5","","","1","","","32","5152063",""
"63042","0.2","131711","","","isekai_dance","","1","3","5152063",""
"63043","","0.1","","","0","","","93","5152063",""
"63044","0.2","132011","","","isekai_dance","","1","3","5152063",""
"63045","","vo_rag","","","vo_rag_5006","0","0","21","5152063",""
"63046","0","131711","0","0","はい、ワンツーワンツー、\nステップステップ…","1","10","11","5152063","1.7"
"63047","","7","","","0","","","93","5152063",""
"63048","","0","","","","0","0","91","5152063",""
"63049","","vo_rag","","","vo_rag_5007","0","0","21","5152063",""
"63050","0","132011","0","1","ワン、ツー…ワン、ツ…\nはぁ、はぁ…\n今日のところは、ここまで、だね…","1","10","11","5152063","0"
"63051","","3.4","","","0","","","93","5152063",""
"63052","0","bgm_MC173B","1","0","bgm_MC173B","0.5","0.5","27","5152063",""
"63053","","5","","","out","","","37","5152063",""
"63054","0","1","0","1","tired_in","tired_talk","0","3","5152063",""
"63055","0","132011","0","1","echidna_tired_in","echidna_tired_talk","0","3","5152063",""
"63056","","se_10058300","","","se_10058300_isekai_breath","","0","23","5152063",""
"63057","","7.6","","","0","","","93","5152063",""
"63058","","63050","","","","0","0","91","5152063",""
"63059","0.2","1","","","tired_idle","","1","3","5152063",""
"63060","0.2","132011","","","echidna_tired_idle","","1","3","5152063",""
"63061","0","131711","0","1","shock_in","shock_talk","0","3","5152063",""
"63062","","vo_rag","","","vo_rag_5008","0","0","21","5152063",""
"63063","0","131711","0","1","ウソでしょ！　まだちょっとしか\nやってないわよ！","1","10","11","5152063","0"
"63064","","0","","","","0","0","91","5152063",""
