5c2e13fefe5919af462358bd8a31c6244369b4cffa538a3ae7e4de9eff67c16e,1d71e9dd7eaef89cc1572ed53f8acd42d43a605f0f6bf94de2d4db071d009f32,7afdec528462ff6f945827b322dba6104a39f81baaf8f44e823ce68d77e96a17,df811f95c929d99a322d0d2d57bca684e19dc7a4f30b41335ea66c96a573a029,08fee1e0a64a974f8dc81db0fb99ebc427da1f11f20a299d906f800850b84c7c,575e6bb56336135db3206c49f52daf19955c96be3a4f95fa3cfbc57d8a433ed2,7211a740a715f812f30a37a49c47c782c4e80e916de25b986093e443b75bff46,29d5293654ed816e5cebd1327963eb00b7bafe833f9ef1c8d1c30f193e06f524
"1","11","0","52030","0","3","【料理】「マイルマス」を「トレジャーマス」に変化させる","41"
"1","1","0","52031","0","1","【料理】ダイスの目が\n「1・6・6・6・8・8」になる","42"
"1","10","0","52032","0","2","【料理】移動時に料理マスをスキップできる","43"
"1","8","0","52034","0","1","【料理】移動時にマイルマスをスキップできる","44"
"1","1","0","52036","0","1","【料理】ダイスの目が1ターン目は必ず「12」に、2・3ターン目は必ず「1」になる","45"
"1","6","0","52037","0","2","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","46"
"3","99","0","1","0","1","最大ｎマイルを入手する","1001"
"3","99","0","2","0","1","ダイスを1回振りなおせる","1002"
"3","99","0","3","0","1","ダイスを1回振りなおせる_有効ターン2","1003"
"3","126501","0","1001","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11001"
"3","105301","0","1002","0","1","【仲間】最大1000マイルを入手する","11002"
"3","126401","0","1003","0","1","【仲間】料理を1つ入手する","11003"
"3","100501","0","1004","0","1","【仲間】ダイスの目を1回振りなおせる","11004"
"3","101301","0","1005","0","1","【仲間】ダイスの目を2回振りなおせる","11005"
"3","104301","0","1006","0","1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","11006"
"3","102701","0","1007","0","1","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","11007"
"3","100901","0","1008","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11008"
"3","105101","0","1009","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11009"
"3","101801","0","1010","0","1","【仲間】最大1000マイルを入手する","11010"
"3","129701","0","1011","0","1","【仲間】ダイスの表と裏どちらを適用するか選択できる","11011"
"3","101601","0","1012","0","1","【仲間】ダイスの目を1回振りなおせる","11012"
"3","105601","0","1013","0","1","【仲間】ダイスの目を2回振りなおせる","11013"
"3","102001","0","1014","0","1","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","11014"
"3","129601","0","1015","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11015"
"3","100401","0","1016","0","1","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","11016"
"3","127701","0","1017","0","1","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","11017"
"3","127801","0","1018","0","1","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","11018"
"3","104801","0","1019","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11019"
"3","104701","0","1020","0","1","【仲間】ダイスの目を2回振りなおせる","11020"
"3","105001","0","1021","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11021"
"3","103201","0","1022","0","1","【仲間】最大2000マイルを入手する","11022"
"3","130901","0","1023","0","1","【仲間】福引券を1枚入手する","11023"
"3","102501","0","1024","0","1","【仲間】料理を1つ入手する","11024"
"3","100801","0","1025","0","1","【仲間】ダイスの表と裏どちらを適用するか選択できる","11025"
"3","123301","0","1026","0","1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","11026"
"3","104601","0","1027","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11027"
"3","118101","0","1028","0","1","【仲間】ダイスの目を2回振りなおせる","11028"
"3","103401","0","1029","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11029"
"3","118001","0","1030","0","1","【仲間】最大2000マイルを入手する","11030"
"3","102801","0","1031","0","1","【仲間】福引券を1枚入手する","11031"
"3","100201","0","1032","0","1","【仲間】料理を1つ入手する","11032"
"3","101201","0","1033","0","1","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","11033"
"3","118201","0","1034","0","1","【仲間】ダイスの目を1回振りなおせる","11034"
"3","106101","0","1035","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11035"
"3","103101","0","1036","0","1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","11036"
"3","103301","0","1037","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11037"
"3","103601","0","1038","0","1","【仲間】最大2000マイルを入手する","11038"
"3","133001","0","1039","0","1","【仲間】福引券を1枚入手する","11039"
"3","133101","0","1040","0","1","【仲間】料理を1つ入手する","11040"
"3","106801","0","1041","0","1","【仲間】ダイスの表と裏どちらを適用するか選択できる","11041"
"3","107101","0","1042","0","1","【仲間】ダイスの目を1回振りなおせる","11042"
"3","107001","0","1043","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11043"
"3","106501","0","1044","0","1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","11044"
"3","111001","0","1045","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11045"
"3","134901","0","1046","0","1","【仲間】最大2000マイルを入手する","11046"
"3","105401","0","1047","0","1","【仲間】福引券を1枚入手する","11047"
"3","134701","0","1048","0","1","【仲間】料理を1つ入手する","11048"
"3","100101","0","1049","0","1","【仲間】ダイスの表と裏どちらを適用するか選択できる","11049"
"3","100701","0","1050","0","1","【仲間】ダイスの目を1回振りなおせる","11050"
"3","103001","0","1051","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","11051"
"3","101401","0","1052","0","1","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","11052"
"3","135901","0","1053","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","11053"
"3","102601","0","1054","0","1","【仲間】最大2000マイルを入手する","11054"
"3","132401","0","1055","0","1","【仲間】福引券を1枚入手する","11055"
"3","135801","0","1056","0","1","【仲間】料理を1つ入手する","11056"
