23c38d2751f44eef01f03ceaf21e2ab6852fe4b91f8ebdee915513580f096df1,5d517eced234f3081a03e60808cd9d13f5db1d9d5eeaee867e3e36042eb55a79,18c5b48d806c2df403327bba09f9c1e8c11a80aced776c55093f8912c49b3d9b,602ad4db957b9b17b2a36c55389ff0fe7a2ebcce0f5a3f76d51b957e8ab8e0ef,888a03e72dc665e1e1c697cdbd687bbdd5b34aef9958e52a7a1c96e16244c989,238233365599d654f45af066e916944891a1fa2df97080a138c7aeb2adc7afdb,9eab5542623d8219a774652737018311312dcd5aeda550cc49dd352f33f9ce71,229137d8406ce4a13bf29a43c09c83450d773a85fc80892f8cf75439a4bf558d,e3aab2d081be4444f43bce3b70142f19d9b1ff0d26e46c360aaf519946b35bc7
"2","15","0","1","0","0","3000","2","1208001"
"1","25","0","1","0","0","3000","2","1209001"
"2","10","0","1","0","0","3000","2","1210001"
"3000","1210003","0","0","0","0","0","21","1210002"
"1","15","0","1","0","0","30000","2","1210003"
"2","-10","0","1","0","0","3000","2","1211001"
"3000","1211003","0","0","0","0","0","21","1211002"
"1","-15","0","2","0","0","30000","2","1211003"
"1","-10","0","2","0","0","30000","2","1213001"
"2","-10","0","2","0","0","30000","2","1213002"
"3","-25","0","2","0","0","1500","2","1214001"
"3","-20","0","2","0","0","3000","2","1216001"
"3","20","0","1","0","0","30000","2","1218001"
"3","15","0","1","0","0","30000","2","1219001"
"3","15","0","1","0","0","30000","2","1220001"
"3","15","0","1","0","0","30000","2","1221001"
"2","20","0","1","0","0","3000","2","1222001"
"1","30","0","1","0","0","3000","2","1223001"
"2","15","0","1","0","0","3000","2","1224001"
"3000","1224003","0","0","0","0","0","21","1224002"
"1","20","0","1","0","0","30000","2","1224003"
"2","-10","0","1","0","0","3000","2","1225001"
"3000","1225003","0","0","0","0","0","21","1225002"
"1","-20","0","2","0","0","30000","2","1225003"
"1","-15","0","2","0","0","30000","2","1227001"
"2","-15","0","2","0","0","30000","2","1227002"
"3","-35","0","2","0","0","1500","2","1228001"
"3","20","0","1","0","0","30000","2","1229001"
"2","20","0","1","0","0","3000","2","1230001"
"3000","1230003","0","0","0","0","0","21","1230002"
"1","50","0","1","0","0","30000","2","1230003"
"3","-25","0","2","0","0","3000","2","1232001"
"3","25","0","1","0","0","30000","2","1234001"
"3","20","0","1","0","0","30000","2","1235001"
"3","20","0","1","0","0","30000","2","1236001"
"3","20","0","1","0","0","30000","2","1237001"
"2","25","0","1","0","0","3000","2","1238001"
"1","35","0","1","0","0","3000","2","1239001"
"2","20","0","1","0","0","3000","2","1240001"
"3000","1240003","0","0","0","0","0","21","1240002"
"1","25","0","1","0","0","30000","2","1240003"
"2","-10","0","1","0","0","3000","2","1241001"
"3000","1241003","0","0","0","0","0","21","1241002"
"1","-25","0","2","0","0","30000","2","1241003"
"1","-20","0","2","0","0","30000","2","1242001"
"2","-20","0","2","0","0","30000","2","1242002"
"3","-75","0","2","0","0","1500","2","1244001"
"3","20","0","1","0","0","30000","2","1246001"
"3","30","0","1","0","0","30000","2","1247001"
"3000","1247003","0","0","0","0","0","21","1247002"
"1","25","0","1","0","0","3000","2","1247003"
"1","75","0","1","0","0","3000","2","1248001"
"3","-90","0","2","0","0","1500","2","1249001"
"2","10","0","1","0","0","30000","2","2101001"
"2","10","0","1","0","0","30000","2","2102001"
"2","-15","0","2","0","0","3000","2","2103001"
"3","-15","0","2","0","0","3000","2","2103002"
"3","-25","0","2","0","0","3000","2","2105001"
"3","25","0","1","0","0","30000","2","2107001"
"3","10","0","1","0","0","30000","2","2108001"
"3","10","0","1","0","0","30000","2","2109001"
"3","10","0","1","0","0","30000","2","2110001"
"2","15","0","1","0","0","3000","2","2111001"
"1","25","0","1","0","0","3000","2","2112001"
"2","10","0","1","0","0","3000","2","2113001"
"3000","2113003","0","0","0","0","0","21","2113002"
"1","25","0","1","0","0","30000","2","2113003"
"2","-10","0","1","0","0","3000","2","2114001"
"3000","2114003","0","1","0","0","0","21","2114002"
"1","-25","0","2","0","0","30000","2","2114003"
"1","-10","0","2","0","0","30000","2","2116001"
"2","-10","0","2","0","0","30000","2","2116002"
"3","-50","0","2","0","0","1500","2","2117001"
"300","3301002","0","0","0","0","0","21","3301001"
"2","1","0","0","0","20","30","20","3301002"
"1","0","0","2","0","100","1","1","3301101"
"1","0","0","2","0","40","1","1","3302001"
"1","0","0","2","0","60","1","1","3302002"
"1","0","0","2","0","12","1","1","3303001"
"1","0","0","2","0","28","1","1","3303002"
"1","0","0","2","0","40","1","1","3304001"
"1","0","0","2","0","100","1","1","3304002"
"200","3305011","0","0","0","0","0","21","3305001"
"200","3305012","0","0","0","0","0","21","3305002"
"200","3305013","0","0","0","0","0","21","3305003"
"200","3305014","0","0","0","0","0","21","3305004"
"200","3305015","0","0","0","0","0","21","3305005"
"200","3305016","0","0","0","0","0","21","3305006"
"2","1","30","0","0","15","26","20","3305011"
"2","1","15","0","0","8","29","20","3305012"
"2","1","0","0","0","0","30","20","3305013"
"2","1","-15","0","0","-8","29","20","3305014"
"2","1","-30","0","0","-15","26","20","3305015"
"1","30000","0","1","0","0","180","10","3305016"
"1","0","0","2","0","20","1","1","3305101"
"2","1","0","0","0","29","274","20","3402001"
"2000","500000","0","3","0","0","0","11","3402101"
"200","3403002","0","0","0","0","0","21","3403001"
"1","200000","0","1","0","0","0","10","3403002"
"0","0","0","3","0","0","0","4","4001001"
"0","99999","0","3","0","0","0","1","4001002"
"9","99999","9","3","9","9","9","1","4002001"
