c6540dbcee850c9ee836a7e3f0f8fb342beb3f5d8963a819c53f95984311bf73,f7ab3ad553aed6ace0b32e9e02ded71d9d472f82319d078c7de918d3f45e24c1,5bf429cdebca9c5e2f2d357c101a254db465f5864238b32ceef26e861e714717,f061e584b84a07dd23f4bcc5121c5a34c4dce0498e7b0ec4b168b9687e0771e6,bfaea96e4e4f01cb9916fe7a611067d9e9679df21f70aa94159e7b8b2be12eb9,bee8126e4f752d77f987a4cdee83b6434b87b6a17cfa9389164e2869ec2c8b4c,ec917786461fb3ed96f3be7af2c68b4a1440a79e02a3920ae5c8aebe7d337baf,105f33992ca8198b025bb3afb06eaed60707f60873409783a0d1d18ead2b27d2,e7f05dfacb5a699d42baaffab41974f7b1809ad0b3adb667ccdd70e9c4bcc618,9164e371bfbde53cc88478d655fdd759286d4f998407fa5127ead8d9863ed018,a5ddb276b442d50c74d01c1e49f3e45bc541664f17e3647ce552e689c5712fa7
"","103016","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_3_006","103"
"0","103017","0","100111","0","0","11","0","5","そうだねユイちゃん！\nよーっし、どんどん\n回しまくるよー！\nぐるぐるぐるー♪","103"
"","103018","","1","","","3","0.2","1","cgg_idle_reaction5","103"
"","103019","","100111","","","3","0.2","1","cgg_talk_joy1","103"
"","103020","","2.5","","","93","","","0","103"
"","103021","0","100111","1","cgg_idle_guts","3","0.2","0","cgg_talk_guts_NoBlink","103"
"","103022","","4","","","93","","","0","103"
"","103023","0.2","1","1","cgg_idle_reaction3","3","0.2","0","cgg_joy","103"
"","103024","","100111","","","3","0.2","1","cgg_talk_joy2","103"
"","103025","","103017","","","91","","","","103"
"","103026","","0.7","","","93","","","0","103"
"","103027","","1","","","3","0.2","1","cgg_idle_normal","103"
"","103028","","100111","","","3","0.2","1","cgg_idle_def","103"
"","103029","","100211","","","3","0.2","1","cgg_idle_bitter3","103"
"","103030","","100211","","","12","0.2","1.4","1","103"
"","103031","","3","","","93","","","0","103"
"","103032","","100211","","","3","0.2","1","cgg_idle_def","103"
"","103033","0.2","1","1","cgg_idle_reaction1","3","0.2","0","cgg_talk_handsup","103"
"","103034","","1","","","12","0.2","1.4","10","103"
"","103035","","3","","","93","","","0","103"
"","103036","","1","","","3","0.2","1","cgg_idle_normal","103"
"","103037","","100111","","","3","0.2","1","cgg_idle_joy3","103"
"","103038","","100111","","","12","0.2","1.4","6","103"
"","103039","","3","","","93","","","0","103"
"","103040","","103028","","","101","","","0","103"
"","103041","","0","","","22","","","0.5","103"
"","103042","0","1","0","1","6","0.1","1","1","103"
"","103043","0","100211","0","1","6","0.1","1","1","103"
"","103044","0","100111","0","1","6","0.1","1","1","103"
"","103045","","0.1","","","93","","","0","103"
"","103046","","1","","","3","0","1","cgg_idle_normal","103"
"","103047","","100211","","","3","0","1","cgg_idle_def","103"
"","103048","","100111","","","3","0","1","cgg_idle_def","103"
"cgg_idle_normal","104001","0","1","-230","-420","5","160","100","1","104"
"cgg_idle_def","104002","1","1","-230","375","1","1.6","100","100111","104"
"cgg_idle_def","104003","1","1","-230","490","1","1.6","101","100311","104"
"","104004","0","1","1","1","6","0.1","1","1","104"
"","104005","0","100111","1","1","6","0.1","1","1","104"
"","104006","0","100311","1","1","6","0.1","1","1","104"
"","104007","","0.2","","","93","","","0","104"
"","104008","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_4_007","104"
"0","104009","0","100111","0","0","11","0","5","ねーねーレイさん、\nもっかい引いていい？","104"
"","104010","","1","","","3","0.2","1","cgg_idle_reaction2","104"
"","104011","","100111","","","3","0.2","1","cgg_talk_joy3_dere","104"
"","104012","","2.7","","","93","","","0","104"
"","104013","0","1","1","cgg_idle_guts2","3","0.2","0","cgg_talk_guts2","104"
"","104014","","100111","","","3","0.2","1","cgg_talk_normal_dere2","104"
"","104015","","104009","","","91","","","","104"
"","104016","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_4_008","104"
"0","104017","0","100311","0","0","11","0","5","ダメだよヒヨリ。\n次は私の番なんだから\n…ふふ、意外に夢中に\nなってしまうね","104"
"","104018","","1","","","3","0.2","1","cgg_idle_reaction2","104"
"","104019","0","100311","1","cgg_idle_def","3","0.2","0","cgg_No","104"
"","104020","","0.8","","","93","","","0","104"
"","104021","","100111","","","3","0.2","1","cgg_idle_surprise2","104"
"","104022","","0.9","","","93","","","0","104"
"","104023","0","1","1","cgg_idle_surprise2","3","0.2","0","cgg_surprise2","104"
"","104024","0","100311","1","cgg_idle_arm_crossed2","3","0.2","0","cgg_talk_arm_crossed2","104"
"","104025","","2.5","","","93","","","0","104"
"","104026","","100311","","","3","0.2","1","cgg_idle_bitter","104"
"","104027","","2","","","93","","","0","104"
"","104028","0","1","1","cgg_idle_nod","3","0.2","0","cgg_talk_nod","104"
"","104029","","104017","","","91","","","","104"
"","104030","","0.5","","","93","","","0","104"
"","104031","","100311","","","3","0.2","1","cgg_idle_def","104"
"","104032","","1","","","3","0.2","1","cgg_idle_normal","104"
"","104033","","100111","","","3","0.2","1","cgg_idle_anger","104"
"","104034","","100111","","","12","0.2","1.4","17","104"
"","104035","","3","","","93","","","0","104"
"","104036","","100111","","","3","0.2","1","cgg_idle_def","104"
"","104037","","100311","","","3","0.2","1","cgg_idle_bitter4","104"
"","104038","","100311","","","12","0.2","1.4","2","104"
"","104039","","3","","","93","","","0","104"
"","104040","","100311","","","3","0.2","1","cgg_idle_def","104"
"","104041","","1","","","3","0.2","1","cgg_idle_surprise2","104"
"","104042","","1","","","12","0.2","1.4","1","104"
"","104043","","3","","","93","","","0","104"
"","104044","","104032","","","101","","","0","104"
"","104045","","0","","","22","","","0.5","104"
"","104046","0","1","0","1","6","0.1","1","1","104"
"","104047","0","100111","0","1","6","0.1","1","1","104"
"","104048","0","100311","0","1","6","0.1","1","1","104"
"","104049","","0.1","","","93","","","0","104"
"","104050","","1","","","3","0","1","cgg_idle_normal","104"
"","104051","","100111","","","3","0","1","cgg_idle_def","104"
"","104052","","100311","","","3","0","1","cgg_idle_def","104"
"cgg_idle_normal","105001","0","1","-230","-420","5","160","100","1","105"
"cgg_idle_def","105002","1","1","-230","375","1","1.6","100","100211","105"
"cgg_idle_def","105003","1","1","-230","490","1","1.6","101","105811","105"
"","105004","0","1","1","1","6","0.1","1","1","105"
"","105005","0","100211","1","1","6","0.1","1","1","105"
"","105006","0","105811","1","1","6","0.1","1","1","105"
"","105007","","0.2","","","93","","","0","105"
"","105008","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_5_009","105"
"0","105009","0","100211","0","0","11","0","7","グッズは種類が\nいっぱいあるから\n全種類揃えるまで\n頑張ろうね！","105"
"","105010","","1","","","3","0.2","1","cgg_idle_reaction1","105"
"","105011","","100211","","","3","0.2","1","cgg_talk_normal","105"
"","105012","","2.4","","","93","","","0","105"
"","105013","","100211","","","3","0.2","1","cgg_talk_joy3","105"
"","105014","","1.1","","","93","","","0","105"
"","105015","0.2","1","1","cgg_idle_reaction1","3","0.2","0","cgg_talk_handsup","105"
"","105016","","105009","","","91","","","","105"
"","105017","","100211","","","3","0.2","1","cgg_idle_def","105"
"","105018","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_5_010","105"
"0","105019","0","105811","0","0","11","0","6","集めたグッズは\n棚に飾って、あとで\nじっくり鑑賞です♪\nやばいですね☆","105"
"","105020","0","1","0","cgg_idle_arm_crossed","3","0.2","0","cgg_talk_arm_crossed","105"
"","105021","","105811","","","3","0.2","1","cgg_talk_joy1","105"
"","105022","","5","","","93","","","0","105"
"","105023","0","1","1","cgg_idle_guts2","3","0.2","0","cgg_talk_guts2","105"
"","105024","0.2","105811","1","cgg_idle_def","3","0.2","0","cgg_jump_def_N","105"
"","105025","","105019","","","91","","","","105"
"","105026","","0.5","","","93","","","0","105"
"","105027","","1","","","3","0.2","1","cgg_idle_normal","105"
"","105028","","100211","","","3","0.2","1","cgg_talk_joy3","105"
"","105029","","100211","","","12","0.2","1.4","10","105"
"","105030","","3","","","93","","","0","105"
"","105031","","100211","","","3","0.2","1","cgg_idle_def","105"
"","105032","0","105811","1","cgg_idle_guts_anger","3","0.2","0","cgg_talk_guts_anger","105"
"","105033","","105811","","","12","0.2","1.4","4","105"
"","105034","","3","","","93","","","0","105"
"","105035","","105811","","","3","0.2","1","cgg_idle_def","105"
"","105036","0","1","1","cgg_idle_guts2","3","0.2","0","cgg_talk_guts2","105"
"","105037","","1","","","12","0.2","1.4","7","105"
"","105038","","3","","","93","","","0","105"
"","105039","","105027","","","101","","","0","105"
"","105040","","0","","","22","","","0.5","105"
"","105041","0","1","0","1","6","0.1","1","1","105"
"","105042","0","100211","0","1","6","0.1","1","1","105"
"","105043","0","105811","0","1","6","0.1","1","1","105"
"","105044","","0.1","","","93","","","0","105"
"","105045","","1","","","3","0","1","cgg_idle_normal","105"
"","105046","","100211","","","3","0","1","cgg_idle_def","105"
"","105047","","105811","","","3","0","1","cgg_idle_def","105"
"cgg_idle_normal","106001","0","1","-230","-420","5","160","100","1","106"
"cgg_idle_def","106002","1","1","-230","420","1","1.6","100","110911","106"
"","106003","0","1","1","1","6","0.1","1","1","106"
"","106004","0","110911","1","1","6","0.1","1","1","106"
"","106005","","0.2","","","93","","","0","106"
"","106006","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_6_011","106"
"0","106007","0","110911","0","0","11","0","6","え…うそでしょ先輩…\nカルミナグッズまだ\nフルコンしてないとか\nありえないんですけど","106"
"","106008","","1","","","3","0.2","1","cgg_idle_reaction2","106"
"","106009","","110911","","","3","0.2","0","cgg_shock","106"
"","106010","","1","","","93","","","0","106"
"","106011","","110911","","","3","0.2","1","cgg_idle_bitter2","106"
"","106012","","4.2","","","93","","","0","106"
"","106013","0","1","1","cgg_idle_shock","3","0.2","0","cgg_shock","106"
"","106014","","106007","","","91","","","","106"
"","106015","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_6_012","106"
"0","106016","0","110911","0","0","11","0","6","いい加減にして下さい\n呑気に一般美少女と\n話してる暇があったら\nほら、早く回す！","106"
"","106017","0","110911","1","","3","0.2","1","cgg_talk_tsun_pain","106"
"","106018","","0.7","","","93","","","0","106"
"","106019","0","1","1","cgg_idle_surprise2","3","0.2","0","cgg_surprise2","106"
"","106020","","1.3","","","93","","","0","106"
"","106021","0","110911","1","","3","0.2","1","cgg_talk_joy1_sad","106"
"","106022","","3","","","93","","","0","106"
"","106023","","110911","1","cgg_idle_guts_anger","3","0.2","0","cgg_talk_guts_anger","106"
"","106024","","0.7","","","93","","","0","106"
"","106025","0","1","1","cgg_idle_guts2","3","0.2","0","cgg_talk_guts2","106"
"","106026","","106016","","","91","","","","106"
"","106027","","0.5","","","93","","","0","106"
"","106028","","110911","","","3","0.2","1","cgg_idle_def","106"
"","106029","0","1","1","cgg_idle_doya","3","0.2","0","cgg_talk_doya","106"
"","106030","","1","","","12","0.2","1.4","6","106"
"","106031","","3","","","93","","","0","106"
"","106032","","1","","","3","0.2","1","cgg_idle_normal","106"
"","106033","0","110911","1","cgg_idle_guts_anger","3","0.2","0","cgg_talk_guts_anger","106"
"","106034","","110911","","","12","0.2","1.4","11","106"
"","106035","","3","","","93","","","0","106"
"","106036","","110911","","","3","0.2","1","cgg_idle_def","106"
"","106037","0","1","1","cgg_idle_surprise1","3","0.2","0","cgg_surprise1","106"
"","106038","","1","","","12","0.2","1.4","4","106"
"","106039","","3","","","93","","","0","106"
"","106040","","1","","","3","0.2","1","cgg_idle_normal","106"
"","106041","","110911","","","3","0.2","1","cgg_talk_joy3_blink","106"
"","106042","","110911","","","12","0.2","1.4","10","106"
"","106043","","3","","","93","","","0","106"
"","106044","","106028","","","101","","","0","106"
"","106045","","0","","","22","","","0.5","106"
"","106046","0","1","0","1","6","0.1","1","1","106"
"","106047","0","110911","0","1","6","0.1","1","1","106"
"","106048","","0.1","","","93","","","0","106"
"","106049","","1","","","3","0","1","cgg_idle_normal","106"
"","106050","","110911","","","3","0","1","cgg_idle_def","106"
"cgg_idle_normal","201001","0","1","-230","-420","5","160","100","1","201"
"cgg_idle_def","201002","1","1","-230","420","1","1.6","100","100411","201"
"","201003","0","1","1","1","6","0.1","1","1","201"
"","201004","0","100411","1","1","6","0.1","1","1","201"
"","201005","","0.2","","","93","","","0","201"
"","201006","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_7_013","201"
"0","201007","0","100411","0","0","11","0","7","ねぇねぇにいちゃん！\nグッズが半分くらい\n集まってるよ！\nあとちょっとだね！","201"
"","201008","","1","","","3","0.2","1","cgg_idle_reaction2","201"
"","201009","","100411","","","3","0.2","1","cgg_talk_joy1_normal","201"
"","201010","","1.3","","","93","","","0","201"
"","201011","0","1","1","cgg_idle_doya","3","0.2","0","cgg_talk_doya","201"
"","201012","","100411","","","3","0.2","1","cgg_talk_surprise_kira","201"
"","201013","","2.7","","","93","","","0","201"
"","201014","0.2","1","1","cgg_idle_reaction1","3","0.2","0","cgg_talk_handsup","201"
"","201015","0","100411","1","cgg_idle_guts","3","0.2","0","cgg_talk_guts","201"
"","201016","","201007","","","91","","","","201"
"","201017","","0.5","","","93","","","0","201"
"","201018","","100411","","","3","0.2","1","cgg_idle_def","201"
"","201019","","1","","","3","0.2","1","cgg_idle_surprise3","201"
"","201020","","1","","","12","0.2","1.4","6","201"
"","201021","","3","","","93","","","0","201"
"","201022","","1","","","3","0.2","1","cgg_idle_normal","201"
"","201023","","100411","","","3","0.2","1","cgg_talk_surprise_kira","201"
"","201024","","100411","","","12","0.2","1.4","7","201"
"","201025","","3","","","93","","","0","201"
"","201026","","100411","","","3","0.2","1","cgg_idle_def","201"
"","201027","0","1","1","cgg_idle_reaction1","3","0.2","0","cgg_talk_handsup","201"
"","201028","","1","","","12","0.2","1.4","11","201"
"","201029","","3","","","93","","","0","201"
"","201030","","1","","","3","0.2","1","cgg_idle_normal","201"
"","201031","","100411","","","3","0.2","1","cgg_talk_joy1","201"
"","201032","","100411","","","12","0.2","1.4","10","201"
"","201033","","3","","","93","","","0","201"
"","201034","","201018","","","101","","","0","201"
"","201035","","0","","","22","","","0.5","201"
"","201036","0","1","0","1","6","0.1","1","1","201"
"","201037","0","100411","0","1","6","0.1","1","1","201"
"","201038","","0.1","","","93","","","0","201"
"","201039","","1","","","3","0","1","cgg_idle_normal","201"
"","201040","","100411","","","3","0","1","cgg_idle_def","201"
"cgg_idle_normal","202001","0","1","-230","-420","5","160","100","1","202"
"cgg_idle_def","202002","1","1","-230","420","1","1.6","100","102011","202"
"","202003","0","1","1","1","6","0.1","1","1","202"
"","202004","0","102011","1","1","6","0.1","1","1","202"
"","202005","","0.2","","","93","","","0","202"
"","202006","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_8_014","202"
"0","202007","0","102011","0","0","11","0","5","すごいね～♪\n全部そろったところが\n見てみたいな～♪","202"
"","202008","","1","","","3","0.2","1","cgg_idle_reaction1","202"
"","202009","","102011","","","3","0.2","1","cgg_talk_joy3","202"
"","202010","","2","","","93","","","0","202"
"","202011","","1","","","3","0.2","1","cgg_idle_nod","202"
"","202012","","102011","","","3","0.2","1","cgg_talk_wish","202"
"","202013","","202007","","","91","","","","202"
"","202014","","0.5","","","93","","","0","202"
"","202015","","102011","","","3","0.2","1","cgg_idle_def","202"
"","202016","","1","","","3","0.2","1","cgg_idle_reaction3","202"
"","202017","","1","","","12","0.2","1.4","6","202"
"","202018","","3","","","93","","","0","202"
"","202019","","1","","","3","0.2","1","cgg_idle_normal","202"
"","202020","","102011","","","3","0.2","1","cgg_talk_joy1_normal","202"
"","202021","","102011","","","12","0.2","1.4","11","202"
"","202022","","3","","","93","","","0","202"
"","202023","","102011","","","3","0.2","1","cgg_idle_def","202"
"","202024","0","1","1","cgg_idle_guts2","3","0.2","0","cgg_talk_guts2","202"
"","202025","","1","","","12","0.2","1.4","11","202"
"","202026","","3","","","93","","","0","202"
"","202027","","1","","","3","0.2","1","cgg_idle_normal","202"
"","202028","","102011","","","3","0.2","1","cgg_talk_joy3","202"
"","202029","","102011","","","12","0.2","1.4","7","202"
"","202030","","3","","","93","","","0","202"
"","202031","","202015","","","101","","","0","202"
"","202032","","0","","","22","","","0.5","202"
"","202033","0","1","0","1","6","0.1","1","1","202"
"","202034","0","102011","0","1","6","0.1","1","1","202"
"","202035","","0.1","","","93","","","0","202"
"","202036","","1","","","3","0","1","cgg_idle_normal","202"
"","202037","","102011","","","3","0","1","cgg_idle_def","202"
"cgg_idle_normal","203001","0","1","-230","-420","5","160","100","1","203"
"cgg_idle_def","203002","1","1","-230","420","1","1.6","100","103611","203"
"","203003","0","1","1","1","6","0.1","1","1","203"
"","203004","0","103611","1","1","6","0.1","1","1","203"
"","203005","","0.2","","","93","","","0","203"
"","203006","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_9_015","203"
"0","203007","0","103611","0","0","11","0","6","あと少しですね\n全部揃えられたら\n褒めてあげます\n…頑張ってください","203"
"","203008","0","1","1","cgg_idle_arm_crossed","3","0.2","0","cgg_talk_arm_crossed","203"
"","203009","","103611","","","3","0.2","1","cgg_talk_normal","203"
"","203010","","1.9","","","93","","","0","203"
"","203011","","1","","","3","0.2","1","cgg_idle_surprise1","203"
"","203012","","103611","","","3","0.2","1","cgg_talk_joy3_blink","203"
"","203013","","3.1","","","93","","","0","203"
"","203014","0","1","1","cgg_idle_guts2","3","0.2","0","cgg_talk_guts2","203"
"","203015","","103611","","","3","0.2","1","cgg_talk_surprise_dere","203"
"","203016","","203007","","","91","","","","203"
"","203017","","0.5","","","93","","","0","203"
"","203018","","103611","","","3","0.2","1","cgg_idle_def","203"
"","203019","0","1","1","cgg_idle_nod","3","0.2","0","cgg_talk_nod","203"
"","203020","","1","","","12","0.2","1.4","6","203"
"","203021","","3","","","93","","","0","203"
"","203022","","1","","","3","0.2","1","cgg_idle_normal","203"
"","203023","","103611","","","3","0.2","1","cgg_talk_joy1","203"
"","203024","","103611","","","12","0.2","1.4","10","203"
"","203025","","3","","","93","","","0","203"
"","203026","","103611","","","3","0.2","1","cgg_idle_def","203"
"","203027","0","1","1","cgg_idle_guts1","3","0.2","0","cgg_talk_guts1","203"
"","203028","","1","","","12","0.2","1.4","4","203"
"","203029","","3","","","93","","","0","203"
"","203030","","1","","","3","0.2","1","cgg_idle_normal","203"
"","203031","","103611","","","3","0.2","1","cgg_talk_joy3_dere","203"
"","203032","","103611","","","12","0.2","1.4","7","203"
"","203033","","3","","","93","","","0","203"
"","203034","","203018","","","101","","","0","203"
"","203035","","0","","","22","","","0.5","203"
"","203036","0","1","0","1","6","0.1","1","1","203"
"","203037","0","103611","0","1","6","0.1","1","1","203"
"","203038","","0.1","","","93","","","0","203"
"","203039","","1","","","3","0","1","cgg_idle_normal","203"
"","203040","","103611","","","3","0","1","cgg_idle_def","203"
"cgg_idle_normal","204001","0","1","-230","-420","5","160","100","1","204"
"cgg_idle_def","204002","1","1","-230","420","1","1.6","100","102811","204"
"","204003","0","1","1","1","6","0.1","1","1","204"
"","204004","0","102811","1","1","6","0.1","1","1","204"
"","204005","","0.2","","","93","","","0","204"
"","204006","","vo_minigame_1007","","0","21","","0","vo_minigame_1007_top_talk_10_016","204"
"0","204007","0","102811","0","0","11","0","6","こんなに\nグッズ集めたの？\nやるわね…あたしも\n集めようかしら","204"
"","204008","0","1","1","cgg_idle_doya","3","0.2","0","cgg_talk_doya","204"
"","204009","0","102811","1","cgg_talk_surprise1","3","0.2","0","cgg_surprise","204"
"","204010","","2.5","","","93","","","0","204"
"","204011","","1","","","3","0.2","1","cgg_idle_reaction5","204"
"","204012","","102811","","","3","0.2","1","cgg_talk_bitter","204"
"","204013","","204007","","","91","","","","204"
"","204014","","0.5","","","93","","","0","204"
"","204015","","102811","","","3","0.2","1","cgg_idle_def","204"
"","204016","0","1","1","cgg_idle_doya","3","0.2","0","cgg_talk_doya","204"
"","204017","","1","","","12","0.2","1.4","6","204"
"","204018","","3","","","93","","","0","204"
