0e1902c23eb8c310d4badab2703797f394f81b0d61dea994574a3722ae743b6f,5c6342ee59b11892a0dd8c3e0dc811b1459b641a31902467140e2dc805531d5f,6afcbf60c5b99fb367b2458c93044d4c3df57df5b1a3a18f7d16629512e46496,bec66a2b5ab931f9b54e06f5af3966bab49c5ed1ea5cbe5a3a4a3971c67ec302,fb1c8375f3ace8d018748989c4eb958d437fc705eea2085410bde0242cdf8968,1b867860ca4dccbfe0fc0b0519c256144f96ebfbe5f3f1a658a2aa120521b1da,7a0d4cdd7747410604434e36c9d65777849428631564116ae5ff9e2c510ebb62
"チカのポスター","11","チカの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","10603","0.365234375","3","0.470703125"
"カルミナのポスター","11","メンバー３人が写った大迫力の大型ポスター。部屋に貼っておけば\nおはようからおやすみまで、いつでも彼女たちの笑顔に会える。\n今日も明日も頑張ろう！","10604","0.365234375","3","0.470703125"
"会場限定会員カード","8","イベント会場でのみ入手できるサマーライブ限定デザインの会員\nカード。会場でしか手に入らないためプレミア度高め。真のファン\nならぜひともゲットしたい。","10701","0.953125","3","0.53125"
"ツムギのマフラータオル","12","ツムギのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","10801","0.443359375","2","0.4609375"
"ノゾミのマフラータオル","12","ノゾミのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","10802","0.443359375","2","0.4609375"
"チカのマフラータオル","13","チカのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","10803","0.443359375","2","0.4609375"
"カルミナのマフラータオル","13","カルミナのサマーライブデザインのマフラータオル。汎用性の高い\n定番アイテム。ライブの汗で濡れた肌を拭くことはもちろん、応援\nグッズとして使うことも可能。","10804","0.443359375","2","0.4609375"
"ツムギの応援うちわ","9","ツムギの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","10901","0.33046875","1","0.459375"
"ノゾミの応援うちわ","9","ノゾミの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","10902","0.33046875","1","0.459375"
"チカの応援うちわ","9","チカの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","10903","0.33046875","1","0.459375"
"カルミナの応援うちわ","9","カルミナの公式応援うちわ。シンプルなデザインのため、普段使い\nにも最適な一品。いつでもどこでも彼女たちを応援できるぞ。","10904","0.33046875","1","0.459375"
"ツムギのステッカー","5","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","11001","0.671875","1","0.8671875"
"ノゾミのステッカー","5","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","11002","0.671875","1","0.8671875"
"チカのステッカー","5","飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","11003","0.671875","1","0.8671875"
"ツムギの缶バッジ","5","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","11101","0.975","1","0.975"
"ノゾミの缶バッジ","5","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","11102","0.975","1","0.975"
"チカの缶バッジ","5","定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","11103","0.975","1","0.975"
"カルミナライブのペンライト","9","ライブで一緒に盛り上がるための必携アイテム。いろんな色に切り\n替えができ、場面や曲で使い分けることが可能。カラフルにライブ\nを盛り上げよう。","11201","0.39453125","2","0.49609375"
"ツムギのマグカップ","8","ツムギがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","11301","0.65625","2","0.671875"
"ノゾミのマグカップ","8","ノゾミがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","11302","0.65625","2","0.671875"
"チカのマグカップ","8","チカがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","11303","0.65625","2","0.671875"
"ツムギのペナント","4","思い出を振り返るアイテムと言えばこれ。サマー衣装のツムギが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","11401","0.984375","1","0.6328125"
"ノゾミのペナント","4","思い出を振り返るアイテムと言えばこれ。サマー衣装のノゾミが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","11402","0.984375","1","0.640625"
"チカのペナント","4","思い出を振り返るアイテムと言えばこれ。サマー衣装のチカが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","11403","0.984375","1","0.6328125"
"ツムギのピンバッジ","3","ポップでキュートに描かれたツムギのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","11501","1.21875","1","1.21875"
"ツムギのサマーピンバッジ","3","サマー衣装のツムギがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のツムギの表情\nが魅力的な一品。","11502","1.21875","1","1.21875"
"ノゾミのピンバッジ","3","ポップでキュートに描かれたノゾミのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","11503","1.21875","1","1.21875"
"ノゾミのサマーピンバッジ","3","サマー衣装のノゾミがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のノゾミの表情\nが魅力的な一品。","11504","1.21875","1","1.21875"
"チカのピンバッジ","3","ポップでキュートに描かれたチカのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","11505","1.21875","1","1.21875"
"チカのサマーピンバッジ","3","サマー衣装のチカがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のチカの表情\nが魅力的な一品。","11506","1.21875","1","1.21875"
"ツムギのボトルキャップ","6","ツムギ・オンステージ！ツムギがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","11601","0.625","1","0.75"
"ツムギのサマーボトルキャップ","6","サマー衣装のツムギが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","11602","0.625","1","0.75"
"ノゾミのボトルキャップ","6","ノゾミ・オンステージ！ノゾミがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","11603","0.625","1","0.75"
"ノゾミのサマーボトルキャップ","6","サマー衣装のノゾミが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","11604","0.625","1","0.75"
"チカのボトルキャップ","6","チカ・オンステージ！チカがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","11605","0.625","1","0.75"
"チカのサマーボトルキャップ","6","サマー衣装のチカが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","11606","0.625","1","0.75"
"ツムギのミニタペストリー","4","ツムギのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","11701","0.890625","1","0.8828125"
"ノゾミのミニタペストリー","4","ノゾミのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","11702","0.890625","1","0.8828125"
"チカのミニタペストリー","4","チカのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","11703","0.890625","1","0.8828125"
