b71d034e0dc060c05d3ccde3c61c0480cdcf7fb6265a8198e803428d4cb2c1fd,888384431533d434bee37d44aa54442aa262f2d306ef389e1dd243f9e78998ef,0303c14d759623fa2b1bc70d30cff2748dbad31f27ab07a44930ff3b2fc2dc13,baa730adb7436e9504e09574d34ed061f734398a14d347a5346dac550e683a39,f4596ad4ff6b6ff6afef88f40f3827689bbb6c56d6805a91329f241a52668b15,a7e5fe807ef9ddfb1a13f3803680f399bf5f073746ac1ea7fe1559d71e30aa17,ec556db36271b9051288d5dd8986ec66559507b3bd1d2b24f567590252dd838b,f5808958dc1dae26af19755b7fb318dc5019c120a8d25d77dab262f1fa474156,9839c408f463e2738d574fda0bff82fe1077b7d62c43de57b91e24473d2c808e,4aa3b238f0afcb156adabf5c7f34c577f3ab2d7587ada61ad67424c46e17edef,ca4b6c23b0a01d915787329a69ba925d8191eba017e4cce729ef84fb96e5cb14,84fa325d9cc597475d006c80c75c632cd52dd3b7e16b1bb529ca18ce8376c323,ed711bb2c2aeaebb6d74c8d0c824e6bd397eaf8efae866c37f2695b5f6775a19,6e449c5d8000b30941941494586fe8e5545a2ac9b011e9ff8dc9891f5c7d38c9,e8473074d09e373f59825f694d53c4bef1f729aab1262e678ad7dc4f705d6640
"CONQUEST！","0","1","32001005","80001","1004110","3200405","603","0","5","2015/04/01 15:00:00","スペシャルダンジョンを5回登頂しよう","2030/04/01 14:59:59","32004","0"
"1st Round Clear！","0","1","32001001","80001","1004110","3200501","603","0","1","2015/04/01 15:00:00","スペシャルダンジョンを1回登頂しよう","2030/04/01 14:59:59","32005","0"
"2nd Round Clear！","0","1","32001002","80001","1004110","3200502","603","0","2","2015/04/01 15:00:00","スペシャルダンジョンを2回登頂しよう","2030/04/01 14:59:59","32005","0"
"3rd Round Clear！","0","1","32001003","80001","1004110","3200503","603","0","3","2015/04/01 15:00:00","スペシャルダンジョンを3回登頂しよう","2030/04/01 14:59:59","32005","0"
"4th Round Clear！","0","1","32001004","80001","1004110","3200504","603","0","4","2015/04/01 15:00:00","スペシャルダンジョンを4回登頂しよう","2030/04/01 14:59:59","32005","0"
"CONQUEST！","0","1","32001005","80001","1004110","3200505","603","0","5","2015/04/01 15:00:00","スペシャルダンジョンを5回登頂しよう","2030/04/01 14:59:59","32005","0"
"1st Round Clear！","0","1","32001001","80001","1004110","3200601","603","0","1","2015/04/01 15:00:00","スペシャルダンジョンを1回登頂しよう","2030/04/01 14:59:59","32006","0"
"2nd Round Clear！","0","1","32001002","80001","1004110","3200602","603","0","2","2015/04/01 15:00:00","スペシャルダンジョンを2回登頂しよう","2030/04/01 14:59:59","32006","0"
"3rd Round Clear！","0","1","32001003","80001","1004110","3200603","603","0","3","2015/04/01 15:00:00","スペシャルダンジョンを3回登頂しよう","2030/04/01 14:59:59","32006","0"
"4th Round Clear！","0","1","32001004","80001","1004110","3200604","603","0","4","2015/04/01 15:00:00","スペシャルダンジョンを4回登頂しよう","2030/04/01 14:59:59","32006","0"
"CONQUEST！","0","1","32001005","80001","1004110","3200605","603","0","5","2015/04/01 15:00:00","スペシャルダンジョンを5回登頂しよう","2030/04/01 14:59:59","32006","0"
"1st Round Clear！","0","1","32001001","80001","1004110","3200701","603","0","1","2015/04/01 15:00:00","スペシャルダンジョンを1回登頂しよう","2030/04/01 14:59:59","32007","0"
"2nd Round Clear！","0","1","32001002","80001","1004110","3200702","603","0","2","2015/04/01 15:00:00","スペシャルダンジョンを2回登頂しよう","2030/04/01 14:59:59","32007","0"
"3rd Round Clear！","0","1","32001003","80001","1004110","3200703","603","0","3","2015/04/01 15:00:00","スペシャルダンジョンを3回登頂しよう","2030/04/01 14:59:59","32007","0"
"4th Round Clear！","0","1","32001004","80001","1004110","3200704","603","0","4","2015/04/01 15:00:00","スペシャルダンジョンを4回登頂しよう","2030/04/01 14:59:59","32007","0"
"CONQUEST！","0","1","32001005","80001","1004110","3200705","603","0","5","2015/04/01 15:00:00","スペシャルダンジョンを5回登頂しよう","2030/04/01 14:59:59","32007","0"
"1st Round Clear！","0","1","32001001","80001","1004110","3200801","603","0","1","2015/04/01 15:00:00","スペシャルダンジョンを1回登頂しよう","2030/04/01 14:59:59","32008","0"
"2nd Round Clear！","0","1","32001002","80001","1004110","3200802","603","0","2","2015/04/01 15:00:00","スペシャルダンジョンを2回登頂しよう","2030/04/01 14:59:59","32008","0"
"3rd Round Clear！","0","1","32001003","80001","1004110","3200803","603","0","3","2015/04/01 15:00:00","スペシャルダンジョンを3回登頂しよう","2030/04/01 14:59:59","32008","0"
"4th Round Clear！","0","1","32001004","80001","1004110","3200804","603","0","4","2015/04/01 15:00:00","スペシャルダンジョンを4回登頂しよう","2030/04/01 14:59:59","32008","0"
"CONQUEST！","0","1","32001005","80001","1004110","3200805","603","0","5","2015/04/01 15:00:00","スペシャルダンジョンを5回登頂しよう","2030/04/01 14:59:59","32008","0"
"1st Round Clear！","0","1","32001001","80001","1004110","3200901","603","0","1","2015/04/01 15:00:00","スペシャルダンジョンを1回登頂しよう","2030/04/01 14:59:59","32009","0"
"2nd Round Clear！","0","1","32001002","80001","1004110","3200902","603","0","2","2015/04/01 15:00:00","スペシャルダンジョンを2回登頂しよう","2030/04/01 14:59:59","32009","0"
"3rd Round Clear！","0","1","32001003","80001","1004110","3200903","603","0","3","2015/04/01 15:00:00","スペシャルダンジョンを3回登頂しよう","2030/04/01 14:59:59","32009","0"
"4th Round Clear！","0","1","32001004","80001","1004110","3200904","603","0","4","2015/04/01 15:00:00","スペシャルダンジョンを4回登頂しよう","2030/04/01 14:59:59","32009","0"
"CONQUEST！","0","1","32001005","80001","1004110","3200905","603","0","5","2015/04/01 15:00:00","スペシャルダンジョンを5回登頂しよう","2030/04/01 14:59:59","32009","0"
"1st Round Clear！","0","1","32001001","80001","1004110","3201001","603","0","1","2015/04/01 15:00:00","スペシャルダンジョンを1回登頂しよう","2030/04/01 14:59:59","32010","0"
"2nd Round Clear！","0","1","32001002","80001","1004110","3201002","603","0","2","2015/04/01 15:00:00","スペシャルダンジョンを2回登頂しよう","2030/04/01 14:59:59","32010","0"
"3rd Round Clear！","0","1","32001003","80001","1004110","3201003","603","0","3","2015/04/01 15:00:00","スペシャルダンジョンを3回登頂しよう","2030/04/01 14:59:59","32010","0"
"4th Round Clear！","0","1","32001004","80001","1004110","3201004","603","0","4","2015/04/01 15:00:00","スペシャルダンジョンを4回登頂しよう","2030/04/01 14:59:59","32010","0"
"CONQUEST！","0","1","32001005","80001","1004110","3201005","603","0","5","2015/04/01 15:00:00","スペシャルダンジョンを5回登頂しよう","2030/04/01 14:59:59","32010","0"
"1st Round Clear！","0","1","32001001","80001","1004110","3201101","603","0","1","2015/04/01 15:00:00","スペシャルダンジョンを1回登頂しよう","2030/04/01 14:59:59","32011","0"
"2nd Round Clear！","0","1","32001002","80001","1004110","3201102","603","0","2","2015/04/01 15:00:00","スペシャルダンジョンを2回登頂しよう","2030/04/01 14:59:59","32011","0"
"3rd Round Clear！","0","1","32001003","80001","1004110","3201103","603","0","3","2015/04/01 15:00:00","スペシャルダンジョンを3回登頂しよう","2030/04/01 14:59:59","32011","0"
"4th Round Clear！","0","1","32001004","80001","1004110","3201104","603","0","4","2015/04/01 15:00:00","スペシャルダンジョンを4回登頂しよう","2030/04/01 14:59:59","32011","0"
"CONQUEST！","0","1","32001005","80001","1004110","3201105","603","0","5","2015/04/01 15:00:00","スペシャルダンジョンを5回登頂しよう","2030/04/01 14:59:59","32011","0"
