c872cc330d6de032e0abc1b072a7ee544cc492e96cb91dca1a8b285dd8da2e16,33fabb1ee4c15a866659d94eefff6dc56527129bd2bf7b108fe1bd4e034f887c,a993327a52d8d698115f961c59bb15553e03823fdfbfcf4051fe702a07dcf0b9,384ca07489a0d78de8fab47235db3cc138146542adc75a647751a20254113160,7669f3b043af071989a2fd993eb56f2a8be52a17c234f3d229b15dda3354e658,51cab914385493d4831c1bc843bf7818675294b71e90f4cdabe81d0a64b6c0ae,d87502c812d719146682aaf826887c4bd885ebd86c2fb494583fd7e18657e29c,64f67b5d7f35ab96c66803b86730d847707677f7969c183d7b8b7af2e8723dc9,523a5d9603408884ad8079dd5646d78f328741f54be559bee42ea19e15e5d6b1
"難易度HARD3で1回戦おう","1004","2","0","1","100217","1002","4","100217"
"難易度HARDで15000pt獲得しよう","1001","2","15000","1","100218","1002","5","100218"
"難易度HARDで30000pt獲得しよう","1001","2","30000","1","100219","1002","5","100219"
"難易度HARDで45000pt獲得しよう","1001","2","45000","1","100220","1002","5","100220"
"難易度EXTRA1で1回戦おう","1002","3","0","1","100221","1002","6","100221"
"難易度EXTRA2で1回戦おう","1003","3","0","1","100222","1002","6","100222"
"難易度EXTRA3で1回戦おう","1004","3","0","1","100223","1002","6","100223"
"難易度EXTRAで20000pt獲得しよう","1001","3","20000","1","100224","1002","7","100224"
"難易度EXTRAで40000pt獲得しよう","1001","3","40000","1","100225","1002","7","100225"
"難易度EXTRAで60000pt獲得しよう","1001","3","60000","1","100226","1002","7","100226"
"全難易度合計で10000pt獲得しよう","1001","0","10000","1","100301","1003","0","100301"
"全難易度合計で30000pt獲得しよう","1001","0","30000","1","100302","1003","0","100302"
"全難易度合計で50000pt獲得しよう","1001","0","50000","1","100303","1003","0","100303"
"全難易度合計で70000pt獲得しよう","1001","0","70000","1","100304","1003","0","100304"
"全難易度合計で90000pt獲得しよう","1001","0","90000","1","100305","1003","1","100305"
"全難易度合計で105000pt獲得しよう","1001","0","105000","1","100306","1003","1","100306"
"全難易度合計で120000pt獲得しよう","1001","0","120000","1","100307","1003","1","100307"
"全難易度合計で135000pt獲得しよう","1001","0","135000","1","100308","1003","1","100308"
"難易度NORMAL1で1回戦おう","1002","1","0","1","100309","1003","2","100309"
"難易度NORMAL2で1回戦おう","1003","1","0","1","100310","1003","2","100310"
"難易度NORMAL3で1回戦おう","1004","1","0","1","100311","1003","2","100311"
"難易度NORMALで10000pt獲得しよう","1001","1","10000","1","100312","1003","3","100312"
"難易度NORMALで20000pt獲得しよう","1001","1","20000","1","100313","1003","3","100313"
"難易度NORMALで30000pt獲得しよう","1001","1","30000","1","100314","1003","3","100314"
"難易度HARD1で1回戦おう","1002","2","0","1","100315","1003","4","100315"
"難易度HARD2で1回戦おう","1003","2","0","1","100316","1003","4","100316"
"難易度HARD3で1回戦おう","1004","2","0","1","100317","1003","4","100317"
"難易度HARDで15000pt獲得しよう","1001","2","15000","1","100318","1003","5","100318"
"難易度HARDで30000pt獲得しよう","1001","2","30000","1","100319","1003","5","100319"
"難易度HARDで45000pt獲得しよう","1001","2","45000","1","100320","1003","5","100320"
"難易度EXTRA1で1回戦おう","1002","3","0","1","100321","1003","6","100321"
"難易度EXTRA2で1回戦おう","1003","3","0","1","100322","1003","6","100322"
"難易度EXTRA3で1回戦おう","1004","3","0","1","100323","1003","6","100323"
"難易度EXTRAで20000pt獲得しよう","1001","3","20000","1","100324","1003","7","100324"
"難易度EXTRAで40000pt獲得しよう","1001","3","40000","1","100325","1003","7","100325"
"難易度EXTRAで60000pt獲得しよう","1001","3","60000","1","100326","1003","7","100326"
"全難易度合計で10000pt獲得しよう","1001","0","10000","1","100401","1004","0","100401"
"全難易度合計で30000pt獲得しよう","1001","0","30000","1","100402","1004","0","100402"
"全難易度合計で50000pt獲得しよう","1001","0","50000","1","100403","1004","0","100403"
"全難易度合計で70000pt獲得しよう","1001","0","70000","1","100404","1004","0","100404"
"全難易度合計で90000pt獲得しよう","1001","0","90000","1","100405","1004","1","100405"
"全難易度合計で105000pt獲得しよう","1001","0","105000","1","100406","1004","1","100406"
"全難易度合計で120000pt獲得しよう","1001","0","120000","1","100407","1004","1","100407"
"全難易度合計で135000pt獲得しよう","1001","0","135000","1","100408","1004","1","100408"
"難易度NORMAL1で1回戦おう","1002","1","0","1","100409","1004","2","100409"
"難易度NORMAL2で1回戦おう","1003","1","0","1","100410","1004","2","100410"
"難易度NORMAL3で1回戦おう","1004","1","0","1","100411","1004","2","100411"
"難易度NORMALで10000pt獲得しよう","1001","1","10000","1","100412","1004","3","100412"
"難易度NORMALで20000pt獲得しよう","1001","1","20000","1","100413","1004","3","100413"
"難易度NORMALで30000pt獲得しよう","1001","1","30000","1","100414","1004","3","100414"
"難易度HARD1で1回戦おう","1002","2","0","1","100415","1004","4","100415"
"難易度HARD2で1回戦おう","1003","2","0","1","100416","1004","4","100416"
"難易度HARD3で1回戦おう","1004","2","0","1","100417","1004","4","100417"
"難易度HARDで15000pt獲得しよう","1001","2","15000","1","100418","1004","5","100418"
"難易度HARDで30000pt獲得しよう","1001","2","30000","1","100419","1004","5","100419"
"難易度HARDで45000pt獲得しよう","1001","2","45000","1","100420","1004","5","100420"
"難易度EXTRA1で1回戦おう","1002","3","0","1","100421","1004","6","100421"
"難易度EXTRA2で1回戦おう","1003","3","0","1","100422","1004","6","100422"
"難易度EXTRA3で1回戦おう","1004","3","0","1","100423","1004","6","100423"
"難易度EXTRAで20000pt獲得しよう","1001","3","20000","1","100424","1004","7","100424"
"難易度EXTRAで40000pt獲得しよう","1001","3","40000","1","100425","1004","7","100425"
"難易度EXTRAで60000pt獲得しよう","1001","3","60000","1","100426","1004","7","100426"
"全難易度合計で10000pt獲得しよう","1001","0","10000","1","100501","1005","0","100501"
"全難易度合計で30000pt獲得しよう","1001","0","30000","1","100502","1005","0","100502"
"全難易度合計で50000pt獲得しよう","1001","0","50000","1","100503","1005","0","100503"
"全難易度合計で70000pt獲得しよう","1001","0","70000","1","100504","1005","0","100504"
"全難易度合計で90000pt獲得しよう","1001","0","90000","1","100505","1005","1","100505"
"全難易度合計で105000pt獲得しよう","1001","0","105000","1","100506","1005","1","100506"
"全難易度合計で120000pt獲得しよう","1001","0","120000","1","100507","1005","1","100507"
"全難易度合計で135000pt獲得しよう","1001","0","135000","1","100508","1005","1","100508"
"難易度NORMAL1で1回戦おう","1002","1","0","1","100509","1005","2","100509"
"難易度NORMAL2で1回戦おう","1003","1","0","1","100510","1005","2","100510"
"難易度NORMAL3で1回戦おう","1004","1","0","1","100511","1005","2","100511"
"難易度NORMALで10000pt獲得しよう","1001","1","10000","1","100512","1005","3","100512"
"難易度NORMALで20000pt獲得しよう","1001","1","20000","1","100513","1005","3","100513"
"難易度NORMALで30000pt獲得しよう","1001","1","30000","1","100514","1005","3","100514"
"難易度HARD1で1回戦おう","1002","2","0","1","100515","1005","4","100515"
"難易度HARD2で1回戦おう","1003","2","0","1","100516","1005","4","100516"
"難易度HARD3で1回戦おう","1004","2","0","1","100517","1005","4","100517"
"難易度HARDで15000pt獲得しよう","1001","2","15000","1","100518","1005","5","100518"
"難易度HARDで30000pt獲得しよう","1001","2","30000","1","100519","1005","5","100519"
"難易度HARDで45000pt獲得しよう","1001","2","45000","1","100520","1005","5","100520"
"難易度EXTRA1で1回戦おう","1002","3","0","1","100521","1005","6","100521"
"難易度EXTRA2で1回戦おう","1003","3","0","1","100522","1005","6","100522"
"難易度EXTRA3で1回戦おう","1004","3","0","1","100523","1005","6","100523"
"難易度EXTRAで20000pt獲得しよう","1001","3","20000","1","100524","1005","7","100524"
"難易度EXTRAで40000pt獲得しよう","1001","3","40000","1","100525","1005","7","100525"
"難易度EXTRAで60000pt獲得しよう","1001","3","60000","1","100526","1005","7","100526"
"全難易度合計で10000pt獲得しよう","1001","0","10000","1","100601","1006","0","100601"
"全難易度合計で30000pt獲得しよう","1001","0","30000","1","100602","1006","0","100602"
"全難易度合計で50000pt獲得しよう","1001","0","50000","1","100603","1006","0","100603"
"全難易度合計で70000pt獲得しよう","1001","0","70000","1","100604","1006","0","100604"
"全難易度合計で90000pt獲得しよう","1001","0","90000","1","100605","1006","1","100605"
"全難易度合計で105000pt獲得しよう","1001","0","105000","1","100606","1006","1","100606"
"全難易度合計で120000pt獲得しよう","1001","0","120000","1","100607","1006","1","100607"
"全難易度合計で135000pt獲得しよう","1001","0","135000","1","100608","1006","1","100608"
"難易度NORMAL1で1回戦おう","1002","1","0","1","100609","1006","2","100609"
"難易度NORMAL2で1回戦おう","1003","1","0","1","100610","1006","2","100610"
"難易度NORMAL3で1回戦おう","1004","1","0","1","100611","1006","2","100611"
"難易度NORMALで10000pt獲得しよう","1001","1","10000","1","100612","1006","3","100612"
"難易度NORMALで20000pt獲得しよう","1001","1","20000","1","100613","1006","3","100613"
"難易度NORMALで30000pt獲得しよう","1001","1","30000","1","100614","1006","3","100614"
"難易度HARD1で1回戦おう","1002","2","0","1","100615","1006","4","100615"
"難易度HARD2で1回戦おう","1003","2","0","1","100616","1006","4","100616"
"難易度HARD3で1回戦おう","1004","2","0","1","100617","1006","4","100617"
"難易度HARDで15000pt獲得しよう","1001","2","15000","1","100618","1006","5","100618"
"難易度HARDで30000pt獲得しよう","1001","2","30000","1","100619","1006","5","100619"
"難易度HARDで45000pt獲得しよう","1001","2","45000","1","100620","1006","5","100620"
"難易度EXTRA1で1回戦おう","1002","3","0","1","100621","1006","6","100621"
"難易度EXTRA2で1回戦おう","1003","3","0","1","100622","1006","6","100622"
"難易度EXTRA3で1回戦おう","1004","3","0","1","100623","1006","6","100623"
"難易度EXTRAで20000pt獲得しよう","1001","3","20000","1","100624","1006","7","100624"
"難易度EXTRAで40000pt獲得しよう","1001","3","40000","1","100625","1006","7","100625"
"難易度EXTRAで60000pt獲得しよう","1001","3","60000","1","100626","1006","7","100626"
"全難易度合計で10000pt獲得しよう","1001","0","10000","1","100701","1007","0","100701"
"全難易度合計で30000pt獲得しよう","1001","0","30000","1","100702","1007","0","100702"
"全難易度合計で50000pt獲得しよう","1001","0","50000","1","100703","1007","0","100703"
"全難易度合計で70000pt獲得しよう","1001","0","70000","1","100704","1007","0","100704"
"全難易度合計で90000pt獲得しよう","1001","0","90000","1","100705","1007","1","100705"
"全難易度合計で105000pt獲得しよう","1001","0","105000","1","100706","1007","1","100706"
"全難易度合計で120000pt獲得しよう","1001","0","120000","1","100707","1007","1","100707"
"全難易度合計で135000pt獲得しよう","1001","0","135000","1","100708","1007","1","100708"
"難易度NORMAL1で1回戦おう","1002","1","0","1","100709","1007","2","100709"
"難易度NORMAL2で1回戦おう","1003","1","0","1","100710","1007","2","100710"
"難易度NORMAL3で1回戦おう","1004","1","0","1","100711","1007","2","100711"
"難易度NORMALで10000pt獲得しよう","1001","1","10000","1","100712","1007","3","100712"
"難易度NORMALで20000pt獲得しよう","1001","1","20000","1","100713","1007","3","100713"
"難易度NORMALで30000pt獲得しよう","1001","1","30000","1","100714","1007","3","100714"
"難易度HARD1で1回戦おう","1002","2","0","1","100715","1007","4","100715"
"難易度HARD2で1回戦おう","1003","2","0","1","100716","1007","4","100716"
"難易度HARD3で1回戦おう","1004","2","0","1","100717","1007","4","100717"
"難易度HARDで15000pt獲得しよう","1001","2","15000","1","100718","1007","5","100718"
"難易度HARDで30000pt獲得しよう","1001","2","30000","1","100719","1007","5","100719"
"難易度HARDで45000pt獲得しよう","1001","2","45000","1","100720","1007","5","100720"
"難易度EXTRA1で1回戦おう","1002","3","0","1","100721","1007","6","100721"
"難易度EXTRA2で1回戦おう","1003","3","0","1","100722","1007","6","100722"
"難易度EXTRA3で1回戦おう","1004","3","0","1","100723","1007","6","100723"
"難易度EXTRAで20000pt獲得しよう","1001","3","20000","1","100724","1007","7","100724"
"難易度EXTRAで40000pt獲得しよう","1001","3","40000","1","100725","1007","7","100725"
"難易度EXTRAで60000pt獲得しよう","1001","3","60000","1","100726","1007","7","100726"
"全難易度合計で10000pt獲得しよう","1001","0","10000","1","100801","1008","0","100801"
"全難易度合計で30000pt獲得しよう","1001","0","30000","1","100802","1008","0","100802"
"全難易度合計で50000pt獲得しよう","1001","0","50000","1","100803","1008","0","100803"
"全難易度合計で70000pt獲得しよう","1001","0","70000","1","100804","1008","0","100804"
"全難易度合計で90000pt獲得しよう","1001","0","90000","1","100805","1008","1","100805"
"全難易度合計で105000pt獲得しよう","1001","0","105000","1","100806","1008","1","100806"
"全難易度合計で120000pt獲得しよう","1001","0","120000","1","100807","1008","1","100807"
"全難易度合計で135000pt獲得しよう","1001","0","135000","1","100808","1008","1","100808"
"難易度NORMAL1で1回戦おう","1002","1","0","1","100809","1008","2","100809"
"難易度NORMAL2で1回戦おう","1003","1","0","1","100810","1008","2","100810"
"難易度NORMAL3で1回戦おう","1004","1","0","1","100811","1008","2","100811"
"難易度NORMALで10000pt獲得しよう","1001","1","10000","1","100812","1008","3","100812"
"難易度NORMALで20000pt獲得しよう","1001","1","20000","1","100813","1008","3","100813"
"難易度NORMALで30000pt獲得しよう","1001","1","30000","1","100814","1008","3","100814"
"難易度HARD1で1回戦おう","1002","2","0","1","100815","1008","4","100815"
"難易度HARD2で1回戦おう","1003","2","0","1","100816","1008","4","100816"
"難易度HARD3で1回戦おう","1004","2","0","1","100817","1008","4","100817"
"難易度HARDで15000pt獲得しよう","1001","2","15000","1","100818","1008","5","100818"
"難易度HARDで30000pt獲得しよう","1001","2","30000","1","100819","1008","5","100819"
"難易度HARDで45000pt獲得しよう","1001","2","45000","1","100820","1008","5","100820"
"難易度EXTRA1で1回戦おう","1002","3","0","1","100821","1008","6","100821"
"難易度EXTRA2で1回戦おう","1003","3","0","1","100822","1008","6","100822"
"難易度EXTRA3で1回戦おう","1004","3","0","1","100823","1008","6","100823"
"難易度EXTRAで20000pt獲得しよう","1001","3","20000","1","100824","1008","7","100824"
"難易度EXTRAで40000pt獲得しよう","1001","3","40000","1","100825","1008","7","100825"
"難易度EXTRAで60000pt獲得しよう","1001","3","60000","1","100826","1008","7","100826"
"全難易度合計で10000pt獲得しよう","1001","0","10000","1","100901","1009","0","100901"
"全難易度合計で30000pt獲得しよう","1001","0","30000","1","100902","1009","0","100902"
"全難易度合計で50000pt獲得しよう","1001","0","50000","1","100903","1009","0","100903"
"全難易度合計で70000pt獲得しよう","1001","0","70000","1","100904","1009","0","100904"
"全難易度合計で90000pt獲得しよう","1001","0","90000","1","100905","1009","1","100905"
"全難易度合計で105000pt獲得しよう","1001","0","105000","1","100906","1009","1","100906"
"全難易度合計で120000pt獲得しよう","1001","0","120000","1","100907","1009","1","100907"
"全難易度合計で135000pt獲得しよう","1001","0","135000","1","100908","1009","1","100908"
"難易度NORMAL1で1回戦おう","1002","1","0","1","100909","1009","2","100909"
"難易度NORMAL2で1回戦おう","1003","1","0","1","100910","1009","2","100910"
"難易度NORMAL3で1回戦おう","1004","1","0","1","100911","1009","2","100911"
"難易度NORMALで10000pt獲得しよう","1001","1","10000","1","100912","1009","3","100912"
"難易度NORMALで20000pt獲得しよう","1001","1","20000","1","100913","1009","3","100913"
"難易度NORMALで30000pt獲得しよう","1001","1","30000","1","100914","1009","3","100914"
"難易度HARD1で1回戦おう","1002","2","0","1","100915","1009","4","100915"
"難易度HARD2で1回戦おう","1003","2","0","1","100916","1009","4","100916"
"難易度HARD3で1回戦おう","1004","2","0","1","100917","1009","4","100917"
"難易度HARDで15000pt獲得しよう","1001","2","15000","1","100918","1009","5","100918"
"難易度HARDで30000pt獲得しよう","1001","2","30000","1","100919","1009","5","100919"
"難易度HARDで45000pt獲得しよう","1001","2","45000","1","100920","1009","5","100920"
"難易度EXTRA1で1回戦おう","1002","3","0","1","100921","1009","6","100921"
"難易度EXTRA2で1回戦おう","1003","3","0","1","100922","1009","6","100922"
"難易度EXTRA3で1回戦おう","1004","3","0","1","100923","1009","6","100923"
"難易度EXTRAで20000pt獲得しよう","1001","3","20000","1","100924","1009","7","100924"
"難易度EXTRAで40000pt獲得しよう","1001","3","40000","1","100925","1009","7","100925"
"難易度EXTRAで60000pt獲得しよう","1001","3","60000","1","100926","1009","7","100926"
