01fe468c1318e1fae6f7dfb2c1da651b86b8345e344efb3ba39716075f714051,be399a7d792d4c6cb78cae6c1b0e89a0f829d298399e256e53797d28e93530cb,7d913f1870dceccd1e109ba6fa347e093d6b25c3cc5cd63b3eac2bdd386211cb,6dc6d75168237ad8e1d3fb2860adba4d222dd283a52bced84e4d1c5933b18a01,26a5c27e899ef642fd0a48bd671b1418cba5f91ac5539102b6f1896e56e62501,2266ef61e3002ad728ad3304ae2a324a7b39134da35bd15df3e0d604be162e77,590f5e42f1bd4f87ad4294a023aebe618deffd47e29c9a22e0ee4934256e1632,24dbbd37d6bf8f9dbc5ec23f79be1a1d316ff5808bb4ee4de989cfa72a18bbf3,49342a31f426027ee8e6a8d0f73024ca85cf1a3eb9eff1496ebf8ec0393b9d44,bdb55769b6a5e8913104195669ce2012ad7d0d87abf713c77a0eed70d4866cf3,9a3c36195902d5def95e9a7fb6553d1755aa10c702051d8fba3ef45473daf88b
"0","","4045","0","idle_normal","3","top_iroha_walk_out","2","1","0.2","4"
"","","4046","","","93","0","0.4","","","4"
"0.2","","4047","0","","3","top_iroha_sit_in","2","","0.2","4"
"","","4048","","","93","0","4","","","4"
"","","4049","","","101","","4007","","","4"
"1","top_sono_readPaper","5001","100","350","5","3","3","-130","1.4","5"
"1","top_iroha_read_loop","5002","110","452","5","2","2","-130","1.4","5"
"","","5003","","","91","0","0","","","5"
"","","5004","1","","3","top_iroha_read_loop","2","","0.2","5"
"","","5005","1","","3","top_sono_readPaper","3","","0.2","5"
"","","5006","","","93","0","13.6","","","5"
"0","","5007","0","top_sono_stretch","3","top_sono_sit_out","3","1","0.2","5"
"","","5008","-130","0.3","2","287","3","0","","5"
"","","5009","","","93","0","3.5","","","5"
"","","5010","1","","3","top_sono_drink","3","","0.2","5"
"","","5011","","","93","0","2.6","","","5"
"","","5012","0","","3","top_iroha_read_look","2","","0.4","5"
"","","5013","","","93","0","7.9","","","5"
"","","5014","0","","3","top_sono_sit_in","3","","0.2","5"
"","","5015","","","93","0","0.1","","","5"
"","","5016","1","","3","top_iroha_read_loop","2","","0.2","5"
"","","5017","-130","0.3","2","350","3","0","","5"
"","","5018","","","93","0","2.5","","","5"
"","","5019","","","101","","5005","","","5"
"1","idle_normal","6001","100","-216","5","1","1","-103","1.4","6"
"1","top_sono_readPaper_loop","6002","101","350","5","3","3","-130","1.38","6"
"","","6003","475","-18","31","10","10","1","1","6"
"","","6004","56","-140","31","13","13","1","0","6"
"","","6005","56","-140","31","14","14","1","0","6"
"","","6006","","","91","0","0","","","6"
"","","6007","1","","3","top_sono_readPaper_loop","3","","0.2","6"
"0","","6008","0","top_luis_arm_crossed_idle","3","top_luis_arm_crossed_in","1","1","0.2","6"
"","","6009","","","93","0","4","","","6"
"0","","6010","0","top_luis_approach_idle","3","top_luis_approach_in","1","1","0.2","6"
"","","6011","","","93","0","3.5","","","6"
"","","6012","1","","3","top_luis_thinking","1","","0.2","6"
"","","6013","","","93","0","3.5","","","6"
"","","6014","1","","3","top_luis_walk_think","1","","0.2","6"
"","","6015","-103","2","2","-495","1","0","","6"
"","","6016","","","93","0","2","","","6"
"","","6017","","","4","0","1","","","6"
"","","6018","-103","2","2","-216","1","0","","6"
"","","6019","","","93","0","2","","","6"
"","","6020","1","","3","top_luis_notice","1","","0","6"
"","","6021","","","93","0","1","","","6"
"","","6022","1","","3","top_luis_walk_jog","1","","0.2","6"
"","","6023","-130","0.5","2","-100","1","0","","6"
"","","6024","","","93","0","0.5","","","6"
"","","6025","","","4","1","1","","","6"
"0","","6026","0","top_luis_sit_idle","3","top_luis_sit_in","1","1","0.2","6"
"","","6027","","","93","0","0.1","","","6"
"","","6028","-140","0.4","2","-57","1","0","","6"
"","","6029","","","93","0","0.4","","","6"
"","","6030","-140","0","2","-16","1","0","","6"
"","","6031","","","4","0","1","","","6"
"","","6032","","","93","0","0.6","","","6"
"","","6033","0","","3","top_luis_experiment_failer_in","1","","0.2","6"
"","","6034","","","93","0","2.3","","","6"
"","","6035","0","","3","top_luis_experiment_failer_mix","1","","0.1","6"
"","","6036","","","93","0","2.7","","","6"
"0","","6037","0","top_sono_notice_loop_surprise","3","top_sono_notice_in_surprise","3","1","0.2","6"
"","","6038","","","32","1","13","","","6"
"","","6039","0","","3","top_luis_experiment_failer_burst","1","","0.1","6"
"","","6040","","","93","0","2.7","","","6"
"","","6041","1","","3","top_sono_readPaper_loop","3","","0.2","6"
"","","6042","0","","3","top_luis_experiment_failer_out","1","","0.1","6"
"","","6043","","","93","0","1.1","","","6"
"0","","6044","0","idle_normal","3","top_luis_sit_out","1","1","0.2","6"
"","","6045","","","4","1","1","","","6"
"","","6046","-140","0","2","-57","1","0","","6"
"","","6047","-130","0.3","2","-100","1","0","","6"
"","","6048","","","93","0","1","","","6"
"","","6049","0","","3","walk_normal","1","","0.2","6"
"","","6050","-103","1","2","-216","1","0","","6"
"","","6051","","","93","0","1","","","6"
"","","6052","0","","3","idle_normal","1","","0.1","6"
"","","6053","","","93","0","0.8","","","6"
"","","6054","","","32","0","13","","","6"
"0","","6055","0","top_luis_arm_crossed_idle","3","top_luis_arm_crossed_in","1","1","0.2","6"
"","","6056","","","93","0","4","","","6"
"0","","6057","0","top_luis_approach_idle","3","top_luis_approach_in","1","1","0.2","6"
"","","6058","","","93","0","3.5","","","6"
"","","6059","1","","3","top_luis_thinking","1","","0.2","6"
"","","6060","","","93","0","3.5","","","6"
"","","6061","1","","3","top_luis_walk_think","1","","0.2","6"
"","","6062","-103","2","2","-495","1","0","","6"
"","","6063","","","93","0","2","","","6"
"","","6064","","","4","0","1","","","6"
"","","6065","-103","2","2","-216","1","0","","6"
"","","6066","","","93","0","2","","","6"
"","","6067","1","","3","top_luis_notice","1","","0","6"
"","","6068","","","93","0","1","","","6"
"","","6069","1","","3","top_luis_walk_jog","1","","0.2","6"
"","","6070","-130","0.5","2","-100","1","0","","6"
"","","6071","","","93","0","0.5","","","6"
"","","6072","","","4","1","1","","","6"
"0","","6073","0","top_luis_sit_idle","3","top_luis_sit_in","1","1","0.2","6"
"","","6074","","","93","0","0.1","","","6"
"","","6075","-140","0.4","2","-57","1","0","","6"
"","","6076","","","93","0","0.4","","","6"
"","","6077","-140","0","2","-16","1","0","","6"
"","","6078","","","4","0","1","","","6"
"","","6079","","","93","0","0.6","","","6"
"","","6080","0","","3","top_luis_experiment_success_in","1","","0.2","6"
"","","6081","","","93","0","2.3","","","6"
"","","6082","0","","3","top_luis_experiment_success_mix","1","","0.1","6"
"","","6083","","","93","0","2.7","","","6"
"0","","6084","0","top_sono_notice_loop_dere","3","top_sono_notice_in_dere","3","1","0.2","6"
"","","6085","","","32","1","14","","","6"
"","","6086","0","","3","top_luis_experiment_success_burst","1","","0.1","6"
"","","6087","","","93","0","2.7","","","6"
"","","6088","1","","3","top_sono_readPaper_loop","3","","0.2","6"
"","","6089","0","","3","top_luis_experiment_success_out","1","","0.1","6"
"","","6090","","","93","0","1.1","","","6"
"0","","6091","0","idle_normal","3","top_luis_sit_out","1","1","0.2","6"
"","","6092","","","4","1","1","","","6"
"","","6093","-140","0","2","-57","1","0","","6"
"","","6094","-130","0.3","2","-100","1","0","","6"
"","","6095","","","93","0","1","","","6"
"","","6096","0","","3","walk_normal","1","","0.2","6"
"","","6097","-103","1","2","-216","1","0","","6"
"","","6098","","","93","0","1","","","6"
"","","6099","0","","3","idle_normal","1","","0.1","6"
"","","6100","","","93","0","0.8","","","6"
"","","6101","","","32","0","14","","","6"
"","","6102","0","0","101","","6008","","","6"
"1","idle_normal","7001","100","-216","5","1","1","-103","1.4","7"
"1","top_iroha_read_loop","7002","110","452","5","2","2","-130","1.43","7"
"1","top_sono_readPaper_loop","7003","101","350","5","3","3","-130","1.38","7"
"1","butterfly","7004","111","980","5","11","11","130","1.4","7"
"","","7005","452","-130","31","11","11","1","0","7"
"","","7006","56","-140","31","14","14","1","0","7"
"","","7007","","","91","0","0","","","7"
"","","7008","1","","3","top_iroha_read_loop","2","","0.2","7"
"","","7009","1","","3","top_sono_readPaper_loop","3","","0.2","7"
"0","","7010","0","top_luis_arm_crossed_idle","3","top_luis_arm_crossed_in","1","1","0.2","7"
"","","7011","","","93","0","4","","","7"
"0","","7012","0","top_luis_approach_idle","3","top_luis_approach_in","1","1","0.2","7"
"","","7013","","","93","0","3.5","","","7"
"","","7014","1","","3","top_luis_thinking","1","","0.2","7"
"","","7015","","","93","0","3.5","","","7"
"","","7016","1","","3","top_luis_walk_think","1","","0.2","7"
"","","7017","-103","2","2","-495","1","0","","7"
"","","7018","","","93","0","2","","","7"
"","","7019","","","4","0","1","","","7"
"","","7020","-103","2","2","-216","1","0","","7"
"","","7021","","","93","0","2","","","7"
"","","7022","1","","3","top_luis_notice","1","","0","7"
"","","7023","","","93","0","1","","","7"
"","","7024","1","","3","top_luis_walk_jog","1","","0.2","7"
"","","7025","-130","0.5","2","-100","1","0","","7"
"","","7026","","","93","0","0.5","","","7"
"","","7027","","","4","1","1","","","7"
"0","","7028","0","top_luis_sit_idle","3","top_luis_sit_in","1","1","0.2","7"
"","","7029","","","93","0","0.1","","","7"
"","","7030","-140","0.4","2","-57","1","0","","7"
"","","7031","","","93","0","0.4","","","7"
"","","7032","-140","0","2","-16","1","0","","7"
"","","7033","","","4","0","1","","","7"
"","","7034","","","93","0","0.6","","","7"
"","","7035","0","","3","top_luis_experiment_success_in","1","","0.2","7"
"","","7036","","","93","0","2.3","","","7"
"","","7037","0","","3","top_luis_experiment_success_mix","1","","0.1","7"
"","","7038","","","93","0","2.7","","","7"
"0","","7039","0","top_sono_notice_loop_dere","3","top_sono_notice_in_dere","3","1","0.2","7"
"","","7040","1","","3","top_iroha_read_look_light","2","","0.2","7"
"","","7041","","","32","1","14","","","7"
"","","7042","0","","3","top_luis_experiment_success_burst","1","","0.1","7"
"","","7043","","","93","0","2.7","","","7"
"","","7044","1","","3","top_sono_readPaper_loop","3","","0.2","7"
"","","7045","1","","3","top_iroha_read","2","","0.2","7"
"","","7046","0","","3","top_luis_experiment_success_out","1","","0.1","7"
"","","7047","","","93","0","1.1","","","7"
"0","","7048","0","idle_normal","3","top_luis_sit_out","1","1","0.2","7"
"","","7049","","","4","1","1","","","7"
"","","7050","-140","0","2","-57","1","0","","7"
"","","7051","-130","0.3","2","-100","1","0","","7"
"","","7052","","","93","0","1","","","7"
"","","7053","0","","3","walk_normal","1","","0.2","7"
"","","7054","-103","1","2","-216","1","0","","7"
"","","7055","","","93","0","1","","","7"
"","","7056","0","","3","idle_normal","1","","0.1","7"
"","","7057","","","93","0","0.8","","","7"
"","","7058","","","32","0","14","","","7"
"","","7059","1","","3","top_luis_thinking","1","","0.2","7"
"","","7060","","","93","0","5.1","","","7"
"","","7061","","","4","1","11","","","7"
"","","7062","130","7","2","-980","11","0","","7"
"","","7063","","","93","0","2.5","","","7"
"","","7064","0","","3","top_iroha_read_notice","2","","0.2","7"
"","","7065","","","93","0","0.6","","","7"
"0","","7066","0","top_iroha_run","3","top_iroha_notice_to_run","2","1","0","7"
"","","7067","","","93","0","0.4","","","7"
"","","7068","","","32","1","11","","","7"
"","","7069","","","37","smokeR","11","","","7"
"","","7070","-130","4.2","33","-980","11","0","","7"
"","","7071","-130","4.2","2","-980","2","0","","7"
"","","7072","","","93","0","0.2","","","7"
"0","","7073","0","top_sono_notice_loop_surprise","3","top_sono_notice_in_surprise","3","1","0.2","7"
"","","7074","","","93","0","1.7","","","7"
"0","","7075","0","top_luis_surprise_idle","3","top_luis_surprise_in","1","1","0.2","7"
"","","7076","","","93","0","2.5","","","7"
"","","7077","","","32","0","11","","","7"
"","","7078","","","93","0","1","","","7"
"","","7079","","","4","0","11","","","7"
"","","7080","130","7","2","980","11","0","","7"
"","","7081","","","93","0","1.5","","","7"
"","","7082","","","32","1","11","","","7"
"","","7083","","","37","smokeL","11","","","7"
"","","7084","-130","5.964","33","980","11","0","","7"
"","","7085","1","","3","top_iroha_run_joy","2","","0","7"
"","","7086","","","4","0","2","","","7"
"","","7087","-130","5.964","2","980","2","0","","7"
"","","7088","","","93","0","2.2","","","7"
"","","7089","1","","3","top_luis_surprise_look","1","","0","7"
"","","7090","","","93","0","1.8","","","7"
"","","7091","1","","3","top_sono_notice_loop_look","3","","0","7"
"","","7092","","","93","0","1.964","","","7"
"","","7093","","","32","0","11","","","7"
"","","7094","","","93","0","0.5","","","7"
"","","7095","1","","3","top_luis_thinking","1","","0.2","7"
"","","7096","","","93","0","1.5","","","7"
"","","7097","1","","3","top_iroha_walk","2","","0","7"
"","","7098","","","4","1","2","","","7"
"","","7099","-130","0","2","1032","2","0","","7"
"","","7100","-130","0","33","1032","11","0","","7"
"","","7101","-130","3","2","452","2","0","","7"
"","","7102","-130","3","33","452","11","0","","7"
"","","7103","","","93","0","3","","","7"
"0","","7104","0","idle_normal","3","top_iroha_walk_out","2","1","0.2","7"
"","","7105","","","93","0","0.4","","","7"
"0.2","","7106","0","top_iroha_read_loop","3","top_iroha_sit_in","2","1","0.2","7"
"","","7107","1","","3","top_sono_readPaper","3","","0.2","7"
"","","7108","","","93","0","4","","","7"
"","","7109","","","93","0","9.6","","","7"
"0","","7110","0","top_sono_stretch","3","top_sono_sit_out","3","1","0.2","7"
"","","7111","-130","0.3","2","287","3","0","","7"
"","","7112","","","93","0","3.5","","","7"
"","","7113","1","","3","top_sono_drink","3","","0.2","7"
"","","7114","","","93","0","2.6","","","7"
"","","7115","0","","3","top_iroha_read_look","2","","0.4","7"
"","","7116","","","93","0","3.5","","","7"
"","","7117","1","","3","top_luis_thinking_look","1","","0.2","7"
"","","7118","","","93","0","2.9","","","7"
"","","7119","1","","3","top_luis_thinking","1","","0.2","7"
"","","7120","","","93","0","1.5","","","7"
"","","7121","0","","3","top_sono_sit_in","3","","0.2","7"
"","","7122","","","93","0","0.1","","","7"
"","","7123","1","","3","top_iroha_read_loop","2","","0.2","7"
"","","7124","-130","0.3","2","350","3","0","","7"
"","","7125","","","93","0","2.5","","","7"
"","","7126","1","","3","top_sono_readPaper_loop","3","","0.2","7"
"","","7127","","","93","0","1","","","7"
"","","7128","","","101","","7012","","","7"
"0","fantasize_all","8001","101","-16","5","1","1","-140","1.4","8"
"1","empty","8002","100","980","5","3","3","-130","1.38","8"
"0","fantasize_all","8003","102","-16","5","15","15","-140","1","8"
"","","8004","27","-140","31","11","11","1","0","8"
"","","8005","0","0","31","15","15","1","0","8"
"","","8006","","","91","0","0","","","8"
"0","","8007","0","fantasize_3","3","fantasize_all","1","1","0.2","8"
"0","","8008","0","fantasize_3","3","fantasize_all","15","1","0.2","8"
"","","8009","","","93","0","2","","","8"
"","","8010","0","","23","se_alces_fantasy1","se_alces","","","8"
"","","8011","","","93","0","10","","","8"
"","","8012","1","","3","walk","3","","0.2","8"
"","","8013","-130","3","2","350","3","0","","8"
"","","8014","","","93","0","3","","","8"
"","","8015","0","","3","sono_notice_in_anger2","3","","0.2","8"
"","","8016","","","93","0","1.5","","","8"
"0","","8017","0","idle_normal","3","kohon","3","1","0.2","8"
"","","8018","","","93","0","0.6","","","8"
"","","8019","0","","23","se_alces_fantasy2","se_alces","","","8"
"","","8020","0","","3","fantasize_out","15","","0","8"
"","","8021","","","32","1","15","","","8"
"","","8022","0","","3","fantasize_3_surprise","1","","0.2","8"
"","","8023","","","93","0","1.5","","","8"
"","","8024","0","","3","fantasize_sit_out","1","","0.2","8"
"","","8025","-140","0.3","2","27","1","0","","8"
"","","8026","","","93","0","0.8","","","8"
"0","","8027","0","fantasize_armcrossed_idle","3","fantasize_armcrossed_in","1","1","0.2","8"
"","","8028","","","93","0","0.5","","","8"
"","","8029","1","","3","idle_surprise","3","","0.2","8"
"","","8030","","","93","0","1.5","","","8"
"","","8031","0","","23","se_alces_run","se_alces","","","8"
"","","8032","1","","3","fantasize_run","1","","0","8"
"","","8033","-140","1.5","2","1080","1","0","","8"
"","","8034","","","32","1","11","","","8"
"","","8035","-140","1.5","33","1080","11","0","","8"
"","","8036","","","93","0","0.5","","","8"
"0","","8037","0","lookback_idle","3","lookback_in","3","1","0.2","8"
"","","8038","","","93","0","1.8","","","8"
"","","8039","0","","23","se_alces_sweat","se_alces","","","8"
"1","walk_jog_Ex3_shy","9001","101","560","5","1","1","-140","1.4","9"
"1","empty","9002","100","147","5","2","1","-114","1.4","9"
"","","9003","147","-114","31","16","16","1","0","9"
"","","9004","147","-114","31","17","17","1","0","9"
"","","9005","","","91","0","0","","","9"
"","","9006","1","","3","walk_jog_Ex3_shy","1","","0.2","9"
"","","9007","-140","1.2","2","270","1","0","","9"
"","","9008","","","93","0","1.2","","","9"
"","","9009","1","","3","idle_normal_Ex0003_shy","1","","0.2","9"
"","","9010","","","93","0","0.3","","","9"
"","","9011","0","","3","lookAround","1","","0.2","9"
"","","9012","","","93","0","2.7","","","9"
"","","9013","1","","3","walk_jog_anger_shy","1","","0.2","9"
"","","9014","-114","0.7","2","147","1","0","","9"
"","","9015","","","93","0","0.7","","","9"
"0","","9016","0","crouch_search_read_idle","3","crouch_search_read_F","1","1","0","9"
"","","9017","0","","3","crouch_search_read_B","2","","0","9"
"","","9018","","","93","0","0.9","","","9"
"","","9019","0","","23","se_alces_book_take","se_alces","","","9"
"","","9020","","","93","0","5.2","","","9"
"","","9021","0","","23","se_alces_book_open","se_alces","","","9"
"","","9022","","","93","0","0.5","","","9"
"","","9023","0","","23","se_alces_steam","se_alces","","","9"
"","","9024","","","32","1","17","","","9"
"","","9025","","","93","0","6.2","","","9"
"","","9026","","","32","1","16","","","9"
"0","iroha_sleep","10001","100","400","5","2","2","-130","1.4","10"
"0","iroha_sleep","10002","101","400","5","12","12","-130","1.4","10"
