d2aeaf53e49bd7a0531ac5f6405edff8924b86a26efbca4d75844d051c8d08d0,4808cf050ae0107ccfc64bdfb8bba528c74e3ca0eda59c2e16eecc3f087bf862,471f1193d89b74b1a40fd69b3ea89bc8ade53841369d0ff3e33174a07596667d,5e4e66a0bdd332a92306ee2de0f871afe847133b52665d2b223cc5301261607b,3eb2830ab7a3e31895c1c1eb8450bc240f13f82f2fc88a0d19034315aba56498,cd3d831416e7e51c4e43427689e0f74cd74418b7b3967ea0b9e8f5d225026260,8317d1730c958dd8321a5f96c02a8c5846d0271ecb89e8e3db823bfcc9c70bf9,780b8cd38e22a63144ff26f3b882f4b1746a4debfefb10076874e21692d4b69c,305cfd42646eba0a72e5b177e25d7680926ef73d03631a5277c6943cb54f2480,8d0d135eadd05929713fccc6f99f35a386cf0bc2fcb0b0971b4cdab13d49b8d3
"2200013","5037","34","5039","5038","2","2","10590","3","575"
"2200014","5040","34","5042","5041","2","2","10590","5","575"
"2200015","5043","34","5045","5044","2","2","10590","7","575"
"2200016","5046","34","5048","5047","2","2","10590","3","575"
"2200017","5049","34","5051","5050","2","2","10590","5","575"
"2200018","5052","34","5054","5053","2","2","10590","7","575"
"2200019","5055","34","5057","5056","2","2","10590","5","575"
"2200020","5058","34","5060","5059","2","2","10590","7","575"
"2300001","6001","33","6003","6002","3","2","9360","3","700"
"2300002","6004","33","6006","6005","3","2","9360","5","700"
"2300003","6007","33","6009","6008","3","2","9360","7","700"
"2300004","6010","33","6012","6011","3","2","9360","3","700"
"2300005","6013","33","6015","6014","3","2","9360","5","700"
"2300006","6016","33","6018","6017","3","2","9360","7","700"
"2300007","6019","33","6021","6020","3","2","9360","3","700"
"2300008","6022","33","6024","6023","3","2","9360","5","700"
"2300009","6025","33","6027","6026","3","2","9360","7","700"
"2300010","6028","33","6030","6029","3","2","9360","3","700"
"2300011","6031","33","6033","6032","3","2","9360","5","700"
"2300012","6034","33","6036","6035","3","2","9360","7","700"
"2300013","6037","33","6039","6038","3","2","9360","3","700"
"2300014","6040","33","6042","6041","3","2","9360","5","700"
"2300015","6043","33","6045","6044","3","2","9360","7","700"
"2300016","6046","33","6048","6047","3","2","9360","3","700"
"2300017","6049","33","6051","6050","3","2","9360","5","700"
"2300018","6052","33","6054","6053","3","2","9360","7","700"
"2300019","6055","34","6057","6056","3","2","10590","3","575"
"2300020","6058","34","6060","6059","3","2","10590","5","575"
"2300021","6061","34","6063","6062","3","2","10590","7","575"
"2300022","6064","34","6066","6065","3","2","10590","3","575"
"2300023","6067","34","6069","6068","3","2","10590","5","575"
"2300024","6070","34","6072","6071","3","2","10590","7","575"
"2300025","6073","34","6075","6074","3","2","10590","3","575"
"2300026","6076","34","6078","6077","3","2","10590","5","575"
"2300027","6079","34","6081","6080","3","2","10590","7","575"
"2300028","6082","34","6084","6083","3","2","10590","3","575"
"2300029","6085","34","6087","6086","3","2","10590","5","575"
"2300030","6088","34","6090","6089","3","2","10590","7","575"
"3100001","7001","39","7003","7002","1","3","14280","1","340"
"3100002","7004","39","7006","7005","1","3","14280","1","340"
"3100003","7007","39","7009","7008","1","3","14280","1","340"
"3100004","7010","39","7012","7011","1","3","14280","1","340"
"3100005","7013","39","7015","7014","1","3","14280","1","340"
"3100006","7016","39","7018","7017","1","3","14280","1","340"
"3100007","7019","36","7021","7020","1","3","13050","1","375"
"3100008","7022","36","7024","7023","1","3","13050","1","375"
"3100009","7025","36","7027","7026","1","3","13050","1","375"
"3100010","7028","36","7030","7029","1","3","13050","1","375"
"3200001","8001","41","8003","8002","2","3","14280","1","340"
"3200002","8004","41","8006","8005","2","3","14280","1","340"
"3200003","8007","41","8009","8008","2","3","14280","1","340"
"3200004","8010","41","8012","8011","2","3","14280","1","340"
"3200005","8013","41","8015","8014","2","3","14280","1","340"
"3200006","8016","41","8018","8017","2","3","14280","1","340"
"3200007","8019","41","8021","8020","2","3","14280","1","340"
"3200008","8022","41","8024","8023","2","3","14280","1","340"
"3200009","8025","41","8027","8026","2","3","14280","1","340"
"3200010","8028","41","8030","8029","2","3","14280","1","340"
"3200011","8031","41","8033","8032","2","3","14280","1","340"
"3200012","8034","41","8036","8035","2","3","14280","1","340"
"3200013","8037","38","8039","8038","2","3","13050","1","375"
"3200014","8040","38","8042","8041","2","3","13050","1","375"
"3200015","8043","38","8045","8044","2","3","13050","1","375"
"3200016","8046","38","8048","8047","2","3","13050","1","375"
"3200017","8049","38","8051","8050","2","3","13050","1","375"
"3200018","8052","38","8054","8053","2","3","13050","1","375"
"3200019","8055","38","8057","8056","2","3","13050","1","375"
"3200020","8058","38","8060","8059","2","3","13050","1","375"
"3300001","9001","40","9003","9002","3","3","14280","1","340"
"3300002","9004","40","9006","9005","3","3","14280","1","340"
"3300003","9007","40","9009","9008","3","3","14280","1","340"
"3300004","9010","40","9012","9011","3","3","14280","1","340"
"3300005","9013","40","9015","9014","3","3","14280","1","340"
"3300006","9016","40","9018","9017","3","3","14280","1","340"
"3300007","9019","40","9021","9020","3","3","14280","1","340"
"3300008","9022","40","9024","9023","3","3","14280","1","340"
"3300009","9025","40","9027","9026","3","3","14280","1","340"
"3300010","9028","40","9030","9029","3","3","14280","1","340"
"3300011","9031","40","9033","9032","3","3","14280","1","340"
"3300012","9034","40","9036","9035","3","3","14280","1","340"
"3300013","9037","40","9039","9038","3","3","14280","1","340"
"3300014","9040","40","9042","9041","3","3","14280","1","340"
"3300015","9043","40","9045","9044","3","3","14280","1","340"
"3300016","9046","40","9048","9047","3","3","14280","1","340"
"3300017","9049","40","9051","9050","3","3","14280","1","340"
"3300018","9052","40","9054","9053","3","3","14280","1","340"
"3300019","9055","39","9057","9056","3","3","13050","1","375"
"3300020","9058","39","9060","9059","3","3","13050","1","375"
"3300021","9061","39","9063","9062","3","3","13050","1","375"
"3300022","9064","39","9066","9065","3","3","13050","1","375"
"3300023","9067","39","9069","9068","3","3","13050","1","375"
"3300024","9070","39","9072","9071","3","3","13050","1","375"
"3300025","9073","39","9075","9074","3","3","13050","1","375"
"3300026","9076","39","9078","9077","3","3","13050","1","375"
"3300027","9079","39","9081","9080","3","3","13050","1","375"
"3300028","9082","39","9084","9083","3","3","13050","1","375"
"3300029","9085","39","9087","9086","3","3","13050","1","375"
"3300030","9088","39","9090","9089","3","3","13050","1","375"
