b4e241c54643ff9069a8cd8100ce7f8ac701dcce7afb554b680997e086172adb,b4efe5617f4a45ae8c0867db0d2e01f7f3d936635e533db1a52be61875e80139,715e81b9f250330b74d4326cbb01024b7d699aca5c0837f811276779969f164f,10ee22759ca386fefcf7fb762b1ce02becb981bf944d69f61c9e6ba1e8452d60,0f79e7f667cb70209968da43cc68532dfc39f113536c2707a8650d1c367f08b6,119da5971c705c2da0fdaff724b72807ae89d1439a180abbdf63a7fa5c79b956,128fc6bd7b8f01c03ac48eba4d442064218ede10fc3aa53106f505bb92b0f661,db517e0265d8d0ed39c192ef9ef7e666760c827b809464f4a26653a07a1ce206,38fa91dbb81ab85f3eff2f4cc037280b733e73f29626b2ff3313015d14be13a5
"0.78","5","610203404","0","-30","","0","0","0"
"0.78","2","610203501","0","-200","","0","0","0"
"0.78","3","610203502","0","-140","","0","0","0"
"0.78","4","610203503","0","-60","","0","0","0"
"0.78","5","610203504","0","-30","","0","0","0"
"1.75","1","610204101","-65","0","","305","1","0"
"1.4","1","610204201","-55","0","","305","1","0"
"1.75","1","610204202","-65","0","","305","1","0"
"1.75","1","610204203","-65","0","","305","1","0"
"1.4","1","610204301","-55","0","","305","1","0"
"1.75","1","610204302","-65","0","","305","1","0"
"1.75","1","610204303","-65","0","","305","1","0"
"0.85","2","610204401","0","-200","","0","0","0"
"0.85","3","610204402","0","-140","","0","0","0"
"1","4","610204403","0","-60","","0","0","0"
"1","5","610204404","0","-60","","0","0","0"
"0.85","2","610204501","0","-200","","0","0","0"
"0.85","3","610204502","0","-140","","0","0","0"
"1","4","610204503","0","-60","","0","0","0"
"1","5","610204504","0","-60","","0","0","0"
"1.38","1","610205101","-60","0","","160","1","0"
"0.94","1","610205201","0","0","","160","1","0"
"1.38","1","610205202","-60","0","","160","1","0"
"1.38","1","610205203","-60","0","","160","1","0"
"0.94","1","610205301","0","0","","160","1","0"
"1.38","1","610205302","-60","0","","160","1","0"
"1.38","1","610205303","-60","0","","160","1","0"
"0.9","2","610205401","0","-200","","0","0","0"
"0.9","3","610205402","0","-140","","0","0","0"
"0.9","4","610205403","0","-60","","0","0","0"
"0.9","5","610205404","0","-60","","0","0","0"
"0.9","2","610205501","0","-200","","0","0","0"
"0.9","3","610205502","0","-140","","0","0","0"
"0.9","4","610205503","0","-60","","0","0","0"
"0.9","5","610205504","0","-60","","0","0","0"
"0.86","1","610206101","-80","0","","295","1","0"
"0.68","1","610206201","-50","0","","295","1","0"
"0.68","1","610206202","-50","0","","295","1","0"
"0.86","1","610206203","-80","0","","295","1","0"
"0.68","1","610206301","-50","0","","295","1","0"
"0.68","1","610206302","-50","0","","295","1","0"
"0.86","1","610206303","-80","0","","295","1","0"
"0.85","2","610206401","0","-200","","0","0","0"
"1","3","610206402","0","-140","","0","0","0"
"1","4","610206403","0","-60","","0","0","0"
"1","5","610206404","0","-60","","0","0","0"
"0.78","6","610206405","0","-200","","0","0","0"
"0.78","7","610206406","0","-140","","0","0","0"
"0.78","8","610206407","0","-60","","0","0","0"
"0.78","9","610206408","0","-60","","0","0","0"
"0.85","2","610206501","0","-200","","0","0","0"
"1","3","610206502","0","-140","","0","0","0"
"1","4","610206503","0","-60","","0","0","0"
"1","5","610206504","0","-60","","0","0","0"
"0.78","6","610206505","0","-200","","0","0","0"
"0.78","7","610206506","0","-140","","0","0","0"
"0.78","8","610206507","0","-60","","0","0","0"
"0.78","9","610206508","0","-60","","0","0","0"
"1.35","1","610207101","-17","0","","250","1","0"
"0.95","1","610207201","0","0","","250","1","0"
"1.35","1","610207202","-17","0","","250","1","0"
"1.35","1","610207203","-17","0","","250","1","0"
"0.95","1","610207301","0","0","","250","1","0"
"1.35","1","610207302","-17","0","","250","1","0"
"1.35","1","610207303","-17","0","","250","1","0"
"0.85","2","610207401","-21","-200","","0","0","0"
"0.85","3","610207402","-21","-140","","0","0","0"
"0.85","4","610207403","-21","-60","","0","0","0"
"0.73","5","610207404","-21","-60","","0","0","0"
"0.85","2","610207501","-21","-200","","0","0","0"
"0.85","3","610207502","-21","-140","","0","0","0"
"0.85","4","610207503","-21","-60","","0","0","0"
"0.73","5","610207504","-21","-60","","0","0","0"
"1.01","1","610208101","-90","0","","405","1","0"
"0","4","610208103","0","0","","0","0","0"
"0.9","1","610208201","-90","0","","405","1","0"
"1.01","1","610208202","-90","0","","405","1","0"
"1.01","1","610208203","-90","0","","405","1","0"
"0.9","1","610208301","-90","0","","405","1","0"
"1.01","1","610208302","-90","0","","405","1","0"
"1.01","1","610208303","-90","0","","405","1","0"
"0.78","2","610208401","0","-140","","0","0","0"
"0.78","3","610208402","0","-60","","0","0","0"
"0.78","2","610208501","0","-140","","0","0","0"
"0.78","3","610208502","0","-60","","0","0","0"
