e0b6837fdafd1fe2da0eaf99eaa175047e64b453a4f296c44da480974c86a7a9,4ab9d632fd5e565e56483f5691dba5f788ca7d5334e65a6e01dabe29bd752a9b,ba114d7880937d8196c5b636470ff107e46c1bf848daa66c237b70ed8ad1009e,fa76170eea47a72b1a21c5a8e7f23b9596fdfec3c36f1321d34512ecace24c2f,9c8b28d4c49d837f86957e47a4ce15a0170d953099ab94eb53dc6a08b94c3ae3,78f9d07184b9585d128eaa68d7c1a4c8c9311f33dcb381ca3275b0b3576275dd,90262e08cd643ac883138795fba1d62261e00267c3a2ce08efa98bf893a65a2e,44d72bddac519dd74e2a1805da987677c8ef12c4b1312ec3ab8492e10535e6d5,39256866e38961adabbeb4d49c8f4fd772bcb9f2d74c7eab0d68b87bb7784a41,72645734f5f0e16bd4b124950a5e4d3535fc6f40025f64c5aeec7b5d9585a8ca,313259d91d7b300a4f788ff7df94e3e90dc33ac21816372279b925d6fedef0e7
"","","1","10","301","","1050","","2","-180","13010007"
"","","1","10","301","","1050","","33","-180","13010008"
"","","se_10053800","","302","","se_fpc_water_random","","23","","13020001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","302","0","<unit_id>","-180","1","23","13020002"
"1.75","cmn_swm_flutterKick_floatRing_blue","1","-850","302","0","1","-180","5","22","13020003"
"1","","1","-180","302","","1","1","31","-850","13020004"
"","","0","","302","","0","","91","","13020005"
"","","<unit_id>","10","302","","1050","","2","-180","13020006"
"","","1","10","302","","1050","","2","-180","13020007"
"","","1","10","302","","1050","","33","-180","13020008"
"","","se_10053800","","303","","se_fpc_water_random","","23","","13030001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","303","0","<unit_id>","-180","1","23","13030002"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","303","0","1","-180","5","22","13030003"
"1","","1","-180","303","","1","1","31","-850","13030004"
"","","0","","303","","0","","91","","13030005"
"","","<unit_id>","10","303","","1050","","2","-180","13030006"
"","","1","10","303","","1050","","2","-180","13030007"
"","","1","10","303","","1050","","33","-180","13030008"
"","","se_10053800","","351","","se_fpc_water_random","","23","","13510001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","351","0","<unit_id>","-180","1","23","13510002"
"1.75","cmn_swm_flutterKick_floatBoad","1","-850","351","0","1","-180","5","22","13510003"
"1","","1","-180","351","","1","1","31","-850","13510004"
"","","0","","351","","0","","91","","13510005"
"","","<unit_id>","10","351","","1050","","2","-180","13510006"
"","","1","10","351","","1050","","2","-180","13510007"
"","","1","10","351","","1050","","33","-180","13510008"
"","","se_10053800","","352","","se_fpc_water_random","","23","","13520001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","352","0","<unit_id>","-180","1","23","13520002"
"1.75","cmn_swm_flutterKick_floatBoad_blue","1","-850","352","0","1","-180","5","22","13520003"
"1","","1","-180","352","","1","1","31","-850","13520004"
"","","0","","352","","0","","91","","13520005"
"","","<unit_id>","10","352","","1050","","2","-180","13520006"
"","","1","10","352","","1050","","2","-180","13520007"
"","","1","10","352","","1050","","33","-180","13520008"
"","","se_10053800","","401","","se_fpc_water_random","","23","","14010001"
"1.75","cmn_float","1","-850","401","0","<unit_id>","-180","1","22","14010002"
"1","","6","-180","401","","6","1","31","-850","14010003"
"","","0","","401","","0","","91","","14010004"
"","","<unit_id>","10","401","","1050","","2","-180","14010005"
"","","6","10","401","","1050","","33","-180","14010006"
"","","se_10053800","","402","","se_fpc_water_random","","23","","14020001"
"1.75","cmn_float_4","1","-850","402","0","<unit_id>","-180","1","22","14020002"
"1","","6","-180","402","","6","1","31","-850","14020003"
"","","0","","402","","0","","91","","14020004"
"","","<unit_id>","10","402","","1050","","2","-180","14020005"
"","","6","10","402","","1050","","33","-180","14020006"
"","","se_10053800","","451","","se_fpc_water_random","","23","","14510001"
"1.75","cmn_crawl","1","-850","451","0","<unit_id>","-180","1","22","14510002"
"1","","1","-180","451","","1","1","31","-850","14510003"
"","","0","","451","","0","","91","","14510004"
"","","<unit_id>","10","451","","1050","","2","-180","14510005"
"","","1","10","451","","1050","","33","-180","14510006"
"","","se_10053800","","501","","se_fpc_water_random","","23","","15010001"
"1.75","cmn_surfing","1","-850","501","0","<unit_id>","-250","1","45","15010002"
"1.75","cmn_surfing","6","-850","501","0","6","-250","5","44","15010003"
"1","","11","-250","501","","11","1","31","-850","15010004"
"","","0","","501","","0","","91","","15010005"
"","","<unit_id>","6","501","","1800","","2","-250","15010006"
"","","6","6","501","","1800","","2","-250","15010007"
"","","11","6","501","","1800","","33","-250","15010008"
"","","se_10053800","","501","","se_10053800_surfing_wave","","23","","15010009"
"","","se_10053800","","851","","se_fpc_water_random","","23","","18510001"
"1.75","cmn_surfing","1","-850","851","0","107511","-125","1","45","18510002"
"1.75","cmn_surfing","1","-1100","851","0","107611","-250","1","45","18510003"
"1.75","cmn_surfing","1","-1350","851","0","107811","-125","1","45","18510004"
"1.75","cmn_surfing","6","-850","851","0","1","-125","5","44","18510005"
"1.75","cmn_surfing","6","-1100","851","0","2","-250","5","44","18510006"
"1.75","cmn_surfing","6","-1350","851","0","3","-125","5","44","18510007"
"1","","11","-125","851","","1","1","31","-850","18510008"
"1","","11","-250","851","","2","1","31","-1100","18510009"
"1","","11","-125","851","","3","1","31","-1350","18510010"
"","","107511","6","851","","2350","","2","-125","18510011"
"","","107611","6","851","","2100","","2","-250","18510012"
"","","107811","6","851","","1850","","2","-125","18510013"
"","","1","6","851","","2350","","2","-125","18510014"
"","","2","6","851","","2100","","2","-250","18510015"
"","","3","6","851","","1850","","2","-125","18510016"
"","","1","6","851","","2350","","33","-125","18510017"
"","","2","6","851","","2100","","33","-250","18510018"
"","","3","6","851","","1850","","33","-125","18510019"
"","","se_10053800","","851","","se_10053800_surfing_wave","","23","","18510020"
"","","0.3","","851","","","","93","","18510021"
"","","vo_fpc","0","851","","vo_fpc_85101","","21","","18510022"
"","","se_10053800","","852","","se_fpc_water_random","","23","","18520001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","852","0","122411","-125","1","13","18520002"
"1.75","cmn_swm_flutterKick_floatRing","1","-1100","852","0","122511","-250","1","33","18520003"
"1.75","cmn_swm_flutterKick_floatRing","1","-1350","852","0","122611","-125","1","13","18520004"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","852","0","1","-125","5","12","18520005"
"1.75","cmn_swm_flutterKick_floatRing_blue","1","-1100","852","0","2","-250","5","32","18520006"
"1.75","cmn_swm_flutterKick_floatRing_pink","1","-1350","852","0","3","-125","5","12","18520007"
"1","","7","-125","852","","1","1","31","-850","18520008"
"1","","1","-250","852","","2","1","31","-1100","18520009"
"1","","7","-125","852","","3","1","31","-1350","18520010"
"","","122411","10","852","","1750","","2","-125","18520011"
"","","122511","10","852","","1500","","2","-250","18520012"
"","","122611","10","852","","1250","","2","-125","18520013"
"","","1","10","852","","1750","","2","-125","18520014"
"","","2","10","852","","1500","","2","-250","18520015"
"","","3","10","852","","1250","","2","-125","18520016"
"","","1","10","852","","1750","","33","-125","18520017"
"","","2","10","852","","1500","","33","-250","18520018"
"","","3","10","852","","1250","","33","-125","18520019"
"","","se_10053800","","853","","se_fpc_water_random","","23","","18530001"
"1.75","cmn_swm_breastStroke","1","-850","853","0","117211","-125","1","12","18530002"
"1.75","cmn_swm_breastStroke","1","-1100","853","0","117311","-250","1","32","18530003"
"1.75","cmn_swm_breastStroke","1","-1350","853","0","117411","-125","1","12","18530004"
"1","","2","-125","853","","1","1","31","-850","18530005"
"1","","2","-250","853","","2","1","31","-1100","18530006"
"1","","2","-125","853","","3","1","31","-1350","18530007"
"","","117211","10","853","","1750","","2","-125","18530008"
"","","117311","10","853","","1500","","2","-250","18530009"
"","","117411","10","853","","1250","","2","-125","18530010"
"","","1","10","853","","1750","","33","-125","18530011"
"","","2","10","853","","1500","","33","-250","18530012"
"","","3","10","853","","1250","","33","-125","18530013"
"","","se_10053800","","854","","se_fpc_water_random","","23","","18540001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","854","0","122711","-125","1","13","18540002"
"1.75","cmn_swm_flutterKick_floatRing","1","-1100","854","0","122811","-250","1","33","18540003"
"1.75","cmn_swm_flutterKick_floatRing","1","-1350","854","0","122911","-125","1","13","18540004"
"1.75","cmn_swm_flutterKick_floatBoad","1","-850","854","0","1","-125","5","12","18540005"
"1.75","cmn_swm_flutterKick_floatBoad_blue","1","-1100","854","0","2","-250","5","32","18540006"
"1.75","cmn_swm_flutterKick_floatBoad","1","-1350","854","0","3","-125","5","12","18540007"
"1","","7","-125","854","","1","1","31","-850","18540008"
"1","","1","-250","854","","2","1","31","-1100","18540009"
"1","","7","-125","854","","3","1","31","-1350","18540010"
"","","122711","10","854","","1750","","2","-125","18540011"
"","","122811","10","854","","1500","","2","-250","18540012"
"","","122911","10","854","","1250","","2","-125","18540013"
"","","1","10","854","","1750","","2","-125","18540014"
"","","2","10","854","","1500","","2","-250","18540015"
"","","3","10","854","","1250","","2","-125","18540016"
"","","1","10","854","","1750","","33","-125","18540017"
"","","2","10","854","","1500","","33","-250","18540018"
"","","3","10","854","","1250","","33","-125","18540019"
"","","se_10053800","","855","","se_fpc_water_random","","23","","18550001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","855","0","113411","-125","1","13","18550002"
"1.75","cmn_swm_flutterKick_floatRing","1","-1100","855","0","113511","-250","1","33","18550003"
"1.75","cmn_swm_flutterKick_floatBoad","1","-850","855","0","1","-125","5","12","18550004"
"1.75","cmn_swm_flutterKick_floatBoad_blue","1","-1100","855","0","2","-250","5","32","18550005"
"1","","7","-125","855","","1","1","31","-850","18550006"
"1","","1","-250","855","","2","1","31","-1100","18550007"
"","","113411","10","855","","1750","","2","-125","18550008"
"","","113511","10","855","","1500","","2","-250","18550009"
"","","1","10","855","","1750","","2","-125","18550010"
"","","2","10","855","","1500","","2","-250","18550011"
"","","1","10","855","","1750","","33","-125","18550012"
"","","2","10","855","","1500","","33","-250","18550013"
"","","se_10053800","","856","","se_fpc_water_random","","23","","18560001"
"1.75","cmn_swm_tread","1","-850","856","0","110311","-125","1","13","18560002"
"1.75","cmn_swm_tread","1","-1100","856","0","107711","-250","1","33","18560003"
"1.75","cmn_swm_tread_pink","1","-850","856","0","1","-125","5","12","18560004"
"1.75","cmn_swm_tread","1","-1100","856","0","2","-250","5","32","18560005"
"1","","13","-125","856","","1","1","31","-850","18560006"
"1","","3","-250","856","","2","1","31","-1100","18560007"
"","","110311","13.5","856","","1750","","2","-125","18560008"
"","","107711","13.5","856","","1500","","2","-250","18560009"
"","","1","13.5","856","","1750","","2","-125","18560010"
"","","2","13.5","856","","1500","","2","-250","18560011"
"","","1","13.5","856","","1750","","33","-125","18560012"
"","","2","13.5","856","","1500","","33","-250","18560013"
"","","se_10053800","","857","","se_fpc_water_random","","23","","18570001"
"1.75","cmn_swm_tread","1","-850","857","0","110411","-125","1","13","18570002"
"1.75","cmn_swm_tread","1","-1100","857","0","110511","-250","1","33","18570003"
"1.75","cmn_swm_tread","1","-1350","857","0","115711","-125","1","13","18570004"
"1.75","cmn_boat_relax","1","-1600","857","0","110611","-250","1","33","18570005"
"1.75","cmn_swm_tread_blue","1","-850","857","0","1","-125","5","12","18570006"
"1.75","cmn_swm_tread","1","-1100","857","0","2","-250","5","32","18570007"
"1.75","cmn_swm_tread_pink","1","-1350","857","0","3","-125","5","12","18570008"
"1.75","cmn_boat_idle_l","2","-1600","857","0","4","-250","5","32","18570009"
"1","","13","-125","857","","1","1","31","-850","18570010"
"1","","3","-250","857","","2","1","31","-1100","18570011"
"1","","13","-125","857","","3","1","31","-1350","18570012"
"1","","116","-250","857","","4","1","31","-1600","18570013"
"","","110411","13.5","857","","1750","","2","-125","18570014"
"","","110511","13.5","857","","1500","","2","-250","18570015"
"","","115711","13.5","857","","1250","","2","-125","18570016"
"","","110611","13.5","857","","1000","","2","-250","18570017"
"","","1","13.5","857","","1750","","2","-125","18570018"
"","","2","13.5","857","","1500","","2","-250","18570019"
"","","3","13.5","857","","1250","","2","-125","18570020"
"","","4","13.5","857","","1000","","2","-250","18570021"
"","","1","13.5","857","","1750","","33","-125","18570022"
"","","2","13.5","857","","1500","","33","-250","18570023"
"","","3","13.5","857","","1250","","33","-125","18570024"
"","","4","13.5","857","","1000","","33","-250","18570025"
"","","se_10053800","","858","","se_fpc_water_random","","23","","18580001"
"1.75","cmn_swm_tread","1","-850","858","0","126711","-125","1","13","18580002"
"1.75","cmn_swm_tread","1","-850","858","0","126711","-125","1","13","18580003"
"1.75","cmn_swm_tread","1","-1100","858","0","126811","-250","1","33","18580004"
"1.75","cmn_swm_tread","1","-1350","858","0","108011","-125","1","13","18580005"
"1.75","cmn_boat_cat","1","-1600","858","0","107911","-250","1","33","18580006"
"1.75","cmn_swm_tread_pink","1","-850","858","0","1","-125","5","12","18580007"
"1.75","cmn_swm_tread","1","-1100","858","0","2","-250","5","32","18580008"
"1.75","cmn_swm_tread_blue","1","-1350","858","0","3","-125","5","12","18580009"
"1.75","cmn_boat_idle_l","2","-1600","858","0","4","-250","5","32","18580010"
"1","","13","-125","858","","1","1","31","-850","18580011"
"1","","3","-250","858","","2","1","31","-1100","18580012"
"1","","13","-125","858","","3","1","31","-1350","18580013"
"1","","116","-250","858","","4","1","31","-1600","18580014"
"","","126711","13.5","858","","1750","","2","-125","18580015"
"","","126811","13.5","858","","1500","","2","-250","18580016"
"","","108011","13.5","858","","1250","","2","-125","18580017"
"","","107911","13.5","858","","1000","","2","-250","18580018"
"","","1","13.5","858","","1750","","2","-125","18580019"
"","","2","13.5","858","","1500","","2","-250","18580020"
"","","3","13.5","858","","1250","","2","-125","18580021"
"","","4","13.5","858","","1000","","2","-250","18580022"
"","","1","13.5","858","","1750","","33","-125","18580023"
"","","2","13.5","858","","1500","","33","-250","18580024"
"","","3","13.5","858","","1250","","33","-125","18580025"
"","","4","13.5","858","","1000","","33","-250","18580026"
"","","se_10053800","","859","","se_fpc_water_random","","23","","18590001"
"1.75","cmn_surfing","1","-850","859","0","113111","-125","1","45","18590002"
"1.75","cmn_surfing","1","-1100","859","0","113211","-250","1","45","18590003"
"1.75","cmn_surfing","1","-1350","859","0","113311","-125","1","45","18590004"
"1.75","cmn_surfing","1","-1600","859","0","117011","-250","1","45","18590005"
"1.75","cmn_surfing","6","-850","859","0","1","-125","5","44","18590006"
"1.75","cmn_surfing","6","-1100","859","0","2","-250","5","44","18590007"
"1.75","cmn_surfing","6","-1350","859","0","3","-125","5","44","18590008"
"1.75","cmn_surfing","6","-1600","859","0","4","-250","5","44","18590009"
"1","","11","-125","859","","1","1","31","-850","18590010"
"1","","11","-250","859","","2","1","31","-1100","18590011"
"1","","11","-125","859","","3","1","31","-1350","18590012"
"1","","11","-250","859","","4","1","31","-1600","18590013"
"","","113111","6","859","","2350","","2","-125","18590014"
"","","113211","6","859","","2100","","2","-250","18590015"
"","","113311","6","859","","1850","","2","-125","18590016"
"","","117011","6","859","","1600","","2","-250","18590017"
"","","1","6","859","","2350","","2","-125","18590018"
"","","2","6","859","","2100","","2","-250","18590019"
"","","3","6","859","","1850","","2","-125","18590020"
"","","4","6","859","","1600","","2","-250","18590021"
"","","1","6","859","","2350","","33","-125","18590022"
"","","2","6","859","","2100","","33","-250","18590023"
"","","3","6","859","","1850","","33","-125","18590024"
"","","4","6","859","","1600","","33","-250","18590025"
"","","se_10053800","","859","","se_10053800_surfing_wave","","23","","18590026"
"","","0.3","","859","","","","93","","18590027"
"","","vo_fpc","0","859","","vo_fpc_85901","","21","","18590028"
"","","se_10053800","","860","","se_fpc_water_random","","23","","18600001"
"1.75","cmn_boat_relax_l","1","-850","860","0","110011","-180","1","23","18600002"
"1.75","cmn_boat_relax","1","-1200","860","0","110111","-180","1","23","18600003"
"1.75","cmn_boat_idle_blue","2","-850","860","0","1","-180","5","22","18600004"
"1.75","cmn_boat_idle_l","2","-1200","860","0","2","-180","5","22","18600005"
"1","","116","-180","860","","1","1","31","-850","18600006"
"1","","116","-180","860","","2","1","31","-1200","18600007"
"","","110011","13.5","860","","1750","","2","-180","18600008"
"","","110111","13.5","860","","1400","","2","-180","18600009"
"","","1","13.5","860","","1750","","2","-180","18600010"
"","","2","13.5","860","","1400","","2","-180","18600011"
"","","1","13.5","860","","1750","","33","-180","18600012"
"","","2","13.5","860","","1400","","33","-180","18600013"
"","","2.7","","860","","","","93","","18600014"
"","","vo_fpc","0","860","","vo_fpc_86001","","21","","18600015"
"","","se_10053800","","861","","se_fpc_water_random","","23","","18610001"
"1.75","cmn_swm_tread","1","-850","861","0","129511","-125","1","13","18610002"
"1.75","cmn_swm_tread","1","-1100","861","0","129411","-250","1","33","18610003"
"1.75","cmn_swm_tread","1","-1350","861","0","129311","-125","1","13","18610004"
"1.75","cmn_swm_tread_pink","1","-850","861","0","1","-125","5","12","18610005"
"1.75","cmn_swm_tread_blue","1","-1100","861","0","2","-250","5","32","18610006"
"1.75","cmn_swm_tread","1","-1350","861","0","3","-125","5","12","18610007"
"1","","13","-125","861","","1","1","31","-850","18610008"
"1","","3","-250","861","","2","1","31","-1100","18610009"
"1","","13","-125","861","","3","1","31","-1350","18610010"
"","","129511","13.5","861","","1750","","2","-125","18610011"
"","","129411","13.5","861","","1500","","2","-250","18610012"
"","","129311","13.5","861","","1250","","2","-125","18610013"
"","","1","13.5","861","","1750","","2","-125","18610014"
"","","2","13.5","861","","1500","","2","-250","18610015"
"","","3","13.5","861","","1250","","2","-125","18610016"
"","","1","13.5","861","","1750","","33","-125","18610017"
"","","2","13.5","861","","1500","","33","-250","18610018"
"","","3","13.5","861","","1250","","33","-125","18610019"
"","","se_10053800","","862","","se_fpc_water_random","","23","","18620001"
"1.75","cmn_swm_tread","1","-850","862","0","126711","-125","1","13","18620002"
"1.75","cmn_swm_tread","1","-1100","862","0","126811","-250","1","33","18620003"
"1.66","02_neneka_floatRing","21","-1350","862","0","21","-180","5","22","18620004"
"1.75","cmn_swm_tread","1","-850","862","0","1","-125","5","12","18620005"
"1.75","cmn_swm_tread_blue","1","-1100","862","0","2","-250","5","32","18620006"
"1","","13","-125","862","","1","1","31","-850","18620007"
"1","","3","-250","862","","2","1","31","-1100","18620008"
"1","","102","-180","862","","3","1","31","-1350","18620009"
"","","126711","13.5","862","","1750","","2","-125","18620010"
"","","126811","13.5","862","","1500","","2","-250","18620011"
"","","21","13.5","862","","1250","","2","-180","18620012"
"","","1","13.5","862","","1750","","2","-125","18620013"
"","","2","13.5","862","","1500","","2","-250","18620014"
"","","1","13.5","862","","1750","","33","-125","18620015"
"","","2","13.5","862","","1500","","33","-250","18620016"
"","","3","13.5","862","","1250","","33","-180","18620017"
"","","se_10053800","","863","","se_fpc_water_random","","23","","18630001"
"1.75","cmn_float","1","-1100","863","1","126911","-180","1","22","18630002"
"1.75","cmn_float","1","-1350","863","0","127011","-125","1","12","18630003"
"1.75","cmn_float","1","-1600","863","0","127111","-180","1","22","18630004"
"1","","6","-180","863","","2","1","31","-1070","18630005"
"1","","6","-125","863","","3","1","31","-1350","18630006"
"1","","6","-180","863","","4","1","31","-1600","18630007"
"","","126911","13.5","863","","1500","","2","-180","18630008"
"","","127011","13.5","863","","1250","","2","-125","18630009"
"","","127111","13.5","863","","1000","","2","-180","18630010"
"","","2","13.5","863","","1530","","33","-180","18630011"
"","","3","13.5","863","","1250","","33","-125","18630012"
"","","4","13.5","863","","1000","","33","-180","18630013"
"","","2.3","","863","","","","93","","18630014"
"","","vo_fpc","0","863","","vo_fpc_86301","","21","","18630015"
"","","se_10053800","","864","","se_fpc_water_random","","23","","18640001"
"1.75","cmn_surfing","1","-850","864","0","107811","-125","1","45","18640002"
"1.75","cmn_surfing","1","-1100","864","0","110011","-250","1","45","18640003"
"1.75","cmn_surfing","6","-850","864","0","1","-125","5","44","18640004"
"1.75","cmn_surfing","6","-1100","864","0","2","-250","5","44","18640005"
"1","","11","-125","864","","1","1","31","-850","18640006"
"1","","11","-250","864","","2","1","31","-1100","18640007"
"","","107811","6","864","","2350","","2","-125","18640008"
"","","110011","6","864","","2100","","2","-250","18640009"
"","","1","6","864","","2350","","2","-125","18640010"
"","","2","6","864","","2100","","2","-250","18640011"
"","","1","6","864","","2350","","33","-125","18640012"
"","","2","6","864","","2100","","33","-250","18640013"
"","","se_10053800","","864","","se_10053800_surfing_wave","","23","","18640014"
"","","0.2","","864","","","","93","","18640015"
"","","vo_fpc","0","864","","vo_fpc_86401","","21","","18640016"
"","","se_10053800","","865","","se_fpc_water_random","","23","","18650001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","865","0","110311","-125","1","13","18650002"
"1.75","cmn_swm_flutterKick_floatRing","1","-1100","865","0","113111","-250","1","33","18650003"
"1.75","cmn_swm_flutterKick_floatRing_pink","1","-850","865","0","1","-125","5","12","18650004"
"1.75","cmn_swm_flutterKick_floatRing_blue","1","-1100","865","0","2","-250","5","32","18650005"
"1","","7","-125","865","","1","1","31","-850","18650006"
"1","","1","-250","865","","2","1","31","-1100","18650007"
"","","110311","10","865","","1750","","2","-125","18650008"
"","","113111","10","865","","1500","","2","-250","18650009"
"","","1","10","865","","1750","","2","-125","18650010"
"","","2","10","865","","1500","","2","-250","18650011"
"","","1","10","865","","1750","","33","-125","18650012"
"","","2","10","865","","1500","","33","-250","18650013"
"","","se_10053800","","866","","se_fpc_water_random","","23","","18660001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","866","0","113411","-125","1","13","18660002"
"1.75","cmn_swm_flutterKick_floatRing","1","-1100","866","0","115711","-250","1","33","18660003"
"1.75","cmn_swm_flutterKick_floatRing_pink","1","-850","866","0","1","-125","5","12","18660004"
"1.75","cmn_swm_flutterKick_floatRing_blue","1","-1100","866","0","2","-250","5","32","18660005"
"1","","7","-125","866","","1","1","31","-850","18660006"
"1","","1","-250","866","","2","1","31","-1100","18660007"
"","","113411","10","866","","1750","","2","-125","18660008"
"","","115711","10","866","","1500","","2","-250","18660009"
"","","1","10","866","","1750","","2","-125","18660010"
"","","2","10","866","","1500","","2","-250","18660011"
"","","1","10","866","","1750","","33","-125","18660012"
"","","2","10","866","","1500","","33","-250","18660013"
"","","se_10053800","","867","","se_fpc_water_random","","23","","18670001"
"1.75","cmn_swm_tread","1","-850","867","0","113211","-125","1","13","18670002"
"1.75","cmn_swm_tread","1","-1100","867","0","127111","-250","1","33","18670003"
"1.75","cmn_swm_tread_pink","1","-850","867","0","1","-125","5","12","18670004"
"1.75","cmn_swm_tread_blue","1","-1100","867","0","2","-250","5","32","18670005"
"1","","13","-125","867","","1","1","31","-850","18670006"
"1","","3","-250","867","","2","1","31","-1100","18670007"
"","","113211","13.5","867","","1750","","2","-125","18670008"
"","","127111","13.5","867","","1500","","2","-250","18670009"
"","","1","13.5","867","","1750","","2","-125","18670010"
"","","2","13.5","867","","1500","","2","-250","18670011"
"","","1","13.5","867","","1750","","33","-125","18670012"
"","","2","13.5","867","","1500","","33","-250","18670013"
"","","se_10053800","","868","","se_fpc_water_random","","23","","18680001"
"1.75","cmn_swm_diving","1","-850","868","0","117011","-125","1","12","18680002"
"1.75","cmn_swm_diving","1","-1100","868","0","117111","-180","1","22","18680003"
"1","","9","-125","868","","1","1","31","-850","18680004"
"1","","9","-180","868","","2","1","31","-1100","18680005"
"","","117011","13.5","868","","1750","","2","-125","18680006"
"","","117111","13.5","868","","1500","","2","-180","18680007"
"","","1","13.5","868","","1750","","33","-125","18680008"
"","","2","13.5","868","","1500","","33","-180","18680009"
"","","se_10053800","","869","","se_fpc_water_random","","23","","18690001"
"1.75","cmn_swm_flutterKick_floatRing","1","-850","869","0","110511","-125","1","13","18690002"
"1.75","cmn_swm_flutterKick_floatRing","1","-1100","869","0","110011","-250","1","33","18690003"
"1.75","cmn_swm_flutterKick_floatBoad","1","-850","869","0","1","-125","5","12","18690004"
"1.75","cmn_swm_flutterKick_floatBoad_blue","1","-1100","869","0","2","-250","5","32","18690005"
