c605491e073841cad7b7d54c93f44ad7fdb8eb607624542d1db893dbcd13b5c7,f9ca22687eb95e3a442914a9ec254066cb7a2048f9958f65b4e58ef47b1ecfe1,bbaa6e47009cfa66d37571e8bc9f42efb81e8e81eddb1009bb9e4a824617126b,5c829d16cec84e1440e19f03aefce2ef1baf787628102f532b0d51d0bf6ac1a8,e5556a7dc7127ca5c22efbdddfc2c192a9b21099c9bfaa5fe63cd4ab4a5fa940,235794151f7c26a4ae2dbe44b34bd7b086b02085e184535033a5c88958379735,e30d751b709077b406705df40e19f358d74db96eb83ef0000b15ea4e29413695,da1075a770cb9be35fc7f9ceef1b409b23cee3f2d45cbbfd1b819a37740a7512,656db71b3f740c06c8445eb904d00001a87950ab6d6a76e244a8b1b7fac5ad2d,e27d45209d98c13252b4dc0de0d3116dfca9bf3a03eba9049d22289c2ee6af54,415a7b71753e5d75590071a10692429264b8865f10a35808a5148020c6be1273
"0","13","2","0","","","","0","0.3","2","13020"
"1","13","32","100","","","","","","","13021"
"0","13","93","0.6","","","","","","","13022"
"sad_talk_look_shy_riri","13","3","1","0.2","","","1","","","13023"
"vo_asb_1521","13","21","vo_asb","","","","0","0","","13024"
"実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。","13","11","1","0","0","0","10","1","1","13025"
"","13","91","0","","","","0","0","","13026"
"sad_idle_normal_look_shy_riri","13","3","1","0.2","","","1","","","13027"
"clear_talk_look_shy","13","3","2","0.2","","","1","","","13028"
"vo_asb_1522","13","21","vo_asb","","","","0","0","","13029"
"だって、楽しい思い出と同じくらい、\nヘマしたり、力及ばずなこともあって。\nそれを改めてお兄さんに見てもらうのは\n勇気がいるっていうか……","13","11","2","0","0","0","10","1","1","13030"
"","13","91","0","","","","0","0","","13031"
"clear_idle_look_shy","13","3","2","0.3","","","1","","","13032"
"sad_talk_look_precia","13","3","3","0.2","","","1","","","13033"
"vo_asb_1523","13","21","vo_asb","","","","0","0","","13034"
"せきらら\nぼうけんき。","13","11","3","0","0","0","10","1","1","13035"
"","13","91","0","","","","0","0","","13036"
"idle_look_precia","13","3","3","0.2","","","1","","","13037"
"talk_look_shy_riri","13","3","1","0.3","","","1","","","13038"
"vo_asb_1524","13","21","vo_asb","","","","0","0","","13039"
"でも……これも学びです。\n兄様。ぜひご覧になった感想を、\nお聞かせ願えませんでしょうか？","13","11","1","0","0","0","10","1","1","13040"
"","13","91","0","","","","0","0","","13041"
"wish_talk_look_shy_riri","13","3","1","0.2","","","1","","","13042"
"vo_asb_1525","13","21","vo_asb","","","","0","0","","13043"
"どんなに厳しい叱咤もご指導も、\n謹んでお受けいたしますので──\nって、…………え？","13","11","1","0","0","0","10","1","1","13044"
"","13","91","0","","","","0","0","","13045"
"idle_look_shy","13","3","2","0.2","","","1","","","13046"
"joy_idle_look_shy_precia","13","3","3","0.3","","","1","","","13047"
"wish_talk_Ex4","13","3","1","0.2","","","1","","","13048"
"vo_asb_1526","13","21","vo_asb","","","","0","0","","13049"
"…………\nま、まさか……\nそのようにお褒めいただけるなんて……","13","11","1","0","0","0","10","1","1","13050"
"","13","91","0","","","","0","0","","13051"
"idle_look_shy_riri","13","3","1","0.2","","","1","","","13052"
"surprise_idle_lookR_precia","13","3","3","0.4","","","1","","","13053"
"vo_asb_1527","13","21","vo_asb","","","","0","0","","13054"
"お兄……","13","11","3","0","0","0","10","1","1","13055"
"","13","91","0","","","","0","0","","13056"
"joy_idle_look_shy_precia2","13","3","3","0.4","","","1","","","13057"
"clear_talk2_look","13","3","2","0.2","","","1","","","13058"
"vo_asb_1528","13","21","vo_asb","","","","0","0","","13059"
"お兄さんは、\n結果云々ではなく、\nわたしたちががんばったこと、\nそれ自体を褒めてくれるんですね……","13","11","2","0","0","0","10","1","1","13060"
"","13","91","0","","","","0","0","","13061"
"wish_talk_Ex3","13","3","1","0.2","","","1","","","13062"
"joy_idle_look_shy_precia","13","3","3","0.3","","","1","","","13063"
"talk2ToWish_look","13","3","2","0.2","","0","0","clear_wish_talk_joy_look","1","13064"
"vo_asb_1529","13","21","vo_asb","","","","0","0","","13065"
"……ありがとうございます！","13","11","1","0","0","0","10","1","1","13066"
"","13","91","0","","","","0","0","","13067"
"idle_look_shy_riri","13","3","1","0.2","","","1","","","13068"
"idle_look_shy","13","3","2","0.2","","","1","","","13069"
"doya_in_precia","13","3","3","0.2","","0","0","doya_talk_precia","1","13070"
"vo_asb_1530","13","21","vo_asb","","","","0","0","","13071"
"むねはり。\nぼうけんき。","13","11","3","0","0","0","10","1","1","13072"
"","13","91","0","","","","0","0","","13073"
"idle_look_normal_precia","13","3","3","0.4","","","1","","","13074"
"riri_talk_look_shy","13","3","1","0.2","","","1","","","13075"
"vo_asb_1531","13","21","vo_asb","","","","0","0","","13076"
"ご覧の通り何事も拙く、\n未熟なわたくしたちですが……","13","11","1","0","0","0","10","1","1","13077"
"","13","91","0","","","","0","0","","13078"
"riri_idle_look_normal_shy","13","3","1","0.2","","","1","","","13079"
"clear_talk3_look","13","3","2","0.2","","","1","","","13080"
"vo_asb_1532","13","21","vo_asb","","","","0","0","","13081"
"こうしてお兄さんが\n温かく見守ってくれるおかげで、\n立派な冒険者になるという夢を、\n追い続けることができています。","13","11","2","0","0","0","10","1","1","13082"
"","13","91","0","","","","0","0","","13083"
"clear_wish_talk_joy_look","13","3","2","0.2","","","1","","","13084"
"vo_asb_1533","13","21","vo_asb","","","","0","0","","13085"
"お兄さん。\nこれからも、【アルターメイデン】の\n側にいてくださいね。","13","11","2","0","0","0","10","1","1","13086"
"","13","91","0","","","","0","0","","13087"
"clear_wish_idle_look","13","3","2","0.2","","","1","","","13088"
"agree","13","3","3","0.1","","0.2","0","joy_idle_look_shy_precia2","1","13089"
"vo_asb_1534","13","21","vo_asb","","","","0","0","","13090"
"よろしく。","13","11","3","0","0","0","10","1","1","13091"
"","13","91","0","","","","0","0","","13092"
"bow_riri","13","3","1","0.2","","0.2","0","idle_look_shy_riri","1","13093"
"vo_asb_1535","13","21","vo_asb","","","","0","0","","13094"
"お願いいたします……！","13","11","1","0","0","0","10","1","1","13095"
"","13","91","0","","","","0","0","","13096"
"","13","101","13098","","","","","","","13097"
"1","13","6","1","0.3","","0","1","1","0","13098"
"1","13","6","2","0.3","","0","1","1","0","13099"
"1","13","6","3","0.3","","0","1","1","0","13100"
"1","13","6","0","0.3","","0","1","1","0","13101"
"-130","13","2","1","","","","-230","0.3","1","13102"
"-290","13","2","2","","","","-255","0.3","1","13103"
"120","13","2","3","","","","-245","0.3","1","13104"
"-100","13","2","0","","","","0","0.3","1","13105"
"0","13","22","0","","","","","","","13106"
"1","13","35","100","","","","","","","13107"
"-100","13","33","100","","","","0","0.3","1","13108"
"0","13","93","0.4","","","","","","","13109"
"0","13","32","100","","","","","","","13110"
"1","22","5","3","2.2","surprise_idle_normal2_precia","0","52","30","-250","22001"
"1","22","6","1","0","","0","1","1","0","22002"
"0","22","5","0","1","black","0","29","50","0","22003"
"1","22","6","0","0","","0","1","1","0","22004"
"","22","91","0","","","","","","","22005"
"1","22","6","1","0.2","","0","1","1","1","22006"
"1","22","6","0","0.2","","0","1","1","1","22007"
"-20","22","2","1","","","","-250","0.3","2","22008"
"0","22","2","0","","","","0","0.3","2","22009"
"0","22","93","0.6","","","","","","","22010"
"vo_asb_0221","22","21","vo_asb","","","","0","0","","22011"
"ざぶとん。\nくっきー。\nいっぱいたべた。","22","11","1","0","0","0","10","1","1","22012"
"","22","91","0","","","","0","0","","22013"
"talk_surprise_precia","22","3","1","0.3","","","1","","","22014"
"vo_asb_0222","22","21","vo_asb","","","","0","0","","22015"
"スズメ。\nいろいろつくってる。\nらしい。","22","11","1","0","0","0","10","1","1","22016"
"","22","91","0","","","","0","0","","22017"
"think_idle_precia","22","3","1","0.3","","","1","","","22018"
"vo_asb_0223","22","21","vo_asb","","","","0","0","","22019"
"ざぶとん、ほっとけーき。\nとか？","22","11","1","0","0","0","10","1","1","22020"
"","22","91","0","","","","0","0","","22021"
"think_idle_dere_precia","22","3","1","0.3","","","1","","","22022"
"vo_asb_0224","22","21","vo_asb","","","","0","0","","22023"
"ざぶとん、まふぃん。\nとか？","22","11","1","0","0","0","10","1","1","22024"
"","22","91","0","","","","0","0","","22025"
"think_idle_angerR","22","3","1","0.3","","","1","","","22026"
"vo_asb_0225","22","21","vo_asb","","","","0","0","","22027"
"ざぶとん、にくまん……\nとか……（ごくり）","22","11","1","0","0","0","10","1","1","22028"
"","22","91","0","","","","0","0","","22029"
"thinkToSpeak_precia","22","3","1","0.1","","0","0","speak1_light_precia","1","22030"
"vo_asb_0226","22","21","vo_asb","","","","0","0","","22031"
"スズメ。\nすかうとする。\n【あるたーめいでん】に。","22","11","1","0","0","0","10","1","1","22032"
"","22","91","0","","","","0","0","","22033"
"","22","101","22035","","","","","","","22034"
"1","22","6","1","0.3","","0","1","1","0","22035"
"1","22","6","0","0.3","","0","1","1","0","22036"
"-120","22","2","1","","","","-250","0.3","1","22037"
"-100","22","2","0","","","","0","0.3","1","22038"
"0","22","22","0","","","","","","","22039"
"0","22","93","0.4","","","","","","","22040"
"1","32","5","1","2.2","riri_idle_look","0","52","20","-230","32001"
"2","32","5","2","2.2","clear_book_read","0","58","-140","-255","32002"
"3","32","5","3","2.2","joy_idle_precia","1","55","270","-245","32003"
"1","32","6","1","0","","0","1","1","0","32004"
"1","32","6","2","0","","0","1","1","0","32005"
"1","32","6","3","0","","0","1","1","0","32006"
"0","32","5","0","1","black","0","29","50","0","32007"
"1","32","6","0","0","","0","1","1","0","32008"
"","32","91","0","","","","","","","32009"
"1","32","6","1","0.2","","0","1","1","1","32010"
"1","32","6","2","0.2","","0","1","1","1","32011"
"1","32","6","3","0.2","","0","1","1","1","32012"
"1","32","6","0","0.2","","0","1","1","1","32013"
"-30","32","2","1","","","","-230","0.3","2","32014"
"-190","32","2","2","","","","-255","0.3","2","32015"
"220","32","2","3","","","","-245","0.3","2","32016"
"0","32","2","0","","","","0","0.3","2","32017"
"0","32","93","0.6","","","","","","","32018"
"clear_book_talk","32","3","2","0.2","","","1","","","32019"
"vo_asb_0321","32","21","vo_asb","","","","0","0","","32020"
"この牛さんの絵、\n上手すぎませんか！？","32","11","2","0","0","0","10","1","1","32021"
"","32","91","0","","","","0","0","","32022"
"clear_book_idle","32","3","2","0.4","","","1","","","32023"
"riri_talk_look","32","3","1","0.2","","","1","","","32024"
"vo_asb_0322","32","21","vo_asb","","","","0","0","","32025"
"プレシアさん作です。\n彼女は天才タイプなので。","32","11","1","0","0","0","10","1","1","32026"
"","32","91","0","","","","0","0","","32027"
"riri_idle_look","32","3","1","0.2","","","1","","","32028"
"clear_bookToTalk2","32","3","2","0.1","","0","0","clear_talk2_noShy","1","32029"
"vo_asb_0323","32","21","vo_asb","","","","0","0","","32030"
"そういえば、わたしとリリちゃんが、\n『腰に手』が上手くできなくて、\nマヒルさんに教わりながら、\n悪戦苦闘してた時も……","32","11","2","0","0","0","10","1","1","32031"
"","32","91","0","","","","0","0","","32032"
"talk2ToIdle_talkjoy2","32","3","2","0.1","","0","0","idle_talkjoy2","1","32033"
"sad_talk_joy2R","32","3","1","0.2","","","1","","","32034"
"vo_asb_0324","32","21","vo_asb","","","","0","0","","32035"
"はい。プレシアさんだけが、\n一発合格でしたね。\n素人のわたくしたちの目から見ても、\n実に完璧な『腰に手』でございました。","32","11","1","0","0","0","10","1","1","32036"
"","32","91","0","","","","0","0","","32037"
"sad_idle_normal_riri","32","3","1","0.2","","","1","","","32038"
"idle","32","3","2","0.2","","","1","","","32039"
"talk_precia","32","3","3","0.3","","","1","","","32040"
"vo_asb_0325","32","21","vo_asb","","","","0","0","","32041"
"みたい？","32","11","3","0","0","0","10","1","1","32042"
"","32","91","0","","","","0","0","","32043"
"joy_idle_precia","32","3","3","0.3","","","1","","","32044"
"guts2_talk_riri","32","3","1","0.2","","","1","","","32045"
"clear_hope_talk","32","3","2","0.2","","","1","","","32046"
"vo_asb_0326","32","21","vo_asb","","","","0","0","","32047"
"ぜひっ。","32","11","1","0","0","0","10","1","1","32048"
"","32","91","0","","","","0","0","","32049"
"guts2_idle_riri","32","3","1","0.2","","","1","","","32050"
"clear_hope_idle","32","3","2","0.2","","","1","","","32051"
"cool_in","32","3","3","0.2","","0","0","cool_idle","1","32052"
"vo_asb_0327","32","21","vo_asb","","","","0","0","","32053"
"びしっ。","32","11","3","0","0","0","10","1","1","32054"
"","32","91","0","","","","0","0","","32055"
"cool_idle_doya_in","32","3","3","0.2","","0.1","0","cool_idle_doya","1","32056"
"guts2_idle_joy_riri","32","3","1","0.2","","","1","","","32057"
"clear_hope_joy","32","3","2","0.2","","","1","","","32058"
"vo_asb_0328","32","21","vo_asb","","","","0","0","","32059"
"わぁ～♪","32","11","1","-85","0","-22","10","1","1","32060"
"","32","91","0","","","","0","0","","32061"
"","32","101","32063","","","","","","","32062"
"1","32","6","1","0.3","","0","1","1","0","32063"
"1","32","6","2","0.3","","0","1","1","0","32064"
"1","32","6","3","0.3","","0","1","1","0","32065"
"1","32","6","0","0.3","","0","1","1","0","32066"
"-130","32","2","1","","","","-230","0.3","1","32067"
"-290","32","2","2","","","","-255","0.3","1","32068"
"120","32","2","3","","","","-245","0.3","1","32069"
"-100","32","2","0","","","","0","0.3","1","32070"
"0","32","22","0","","","","","","","32071"
"0","32","93","0.4","","","","","","","32072"
"1","42","5","2","2.2","clear_wish_talk_joy_noShy","0","52","30","-250","42001"
"1","42","6","1","0","","0","1","1","0","42002"
"0","42","5","0","1","black","0","29","50","0","42003"
"1","42","6","0","0","","0","1","1","0","42004"
"","42","91","0","","","","","","","42005"
"1","42","6","1","0.2","","0","1","1","1","42006"
"1","42","6","0","0.2","","0","1","1","1","42007"
"-20","42","2","1","","","","-250","0.3","2","42008"
"0","42","2","0","","","","0","0.3","2","42009"
"0","42","93","0.6","","","","","","","42010"
"vo_asb_0421","42","21","vo_asb","","","","0","0","","42011"
"リンさんによるマヒルさんのモノマネ、\nとっても上手でした。","42","11","1","0","0","0","10","1","1","42012"
"","42","91","0","","","","0","0","","42013"
"clear_talk_normal","42","3","1","0.1","","","1","","","42014"
"vo_asb_0422","42","21","vo_asb","","","","0","0","","42015"
"ギルドも長くなると、\n絆を深めたメンバー同士、\nああして互いのモノマネも、\n難なくできるようになるんですね……","42","11","1","0","0","0","10","1","1","42016"
"","42","91","0","","","","0","0","","42017"
"clear_kohon_in","42","3","1","0.2","","0","0","clear_kohon_loop","1","42018"
"vo_asb_0423","42","21","vo_asb","","","","0","0","","42019"
"…………\n……こほん。","42","11","1","0","0","0","10","1","1","42020"
"","42","91","0","","","","0","0","","42021"
"clear_imitation_in","42","3","1","0.2","","0","0","clear_speak2_talk","1","42022"
"vo_asb_0424","42","21","vo_asb","","","","0","0","","42023"
"に、兄様。兄様……？　\nお、おに、お兄……お兄。\n…………","42","11","1","0","0","0","10","1","1","42024"
"","42","91","0","","","","0","0","","42025"
"clear_surprise_in_red","42","3","1","0.3","","0","0","clear_surprise_talk_red","1","42026"
"vo_asb_0425","42","21","vo_asb","","","","0","0","","42027"
"……はっ！\nギルドメンバーのモノマネを\nしていただけなのに、\nわたしってば、どうして赤く……！","42","11","1","0","0","0","10","1","1","42028"
"","42","91","0","","","","0","0","","42029"
"clear_wish_talk_pain_red","42","3","1","0.2","","","1","","","42030"
"vo_asb_0426","42","21","vo_asb","","","","0","0","","42031"
"色んな意味で、まだまだです……っ！","42","11","1","0","0","0","10","1","1","42032"
"","42","91","0","","","","0","0","","42033"
"","42","101","42035","","","","","","","42034"
"1","42","6","1","0.3","","0","1","1","0","42035"
"1","42","6","0","0.3","","0","1","1","0","42036"
"-120","42","2","1","","","","-250","0.3","1","42037"
"-100","42","2","0","","","","0","0.3","1","42038"
"0","42","22","0","","","","","","","42039"
"0","42","93","0.4","","","","","","","42040"
"1","52","5","1","2.2","dance_riri","0","55","70","-243","52001"
"2","52","5","2","2.2","dance_clear","1","52","320","-245","52002"
"3","52","5","3","2.2","dance_precia","0","58","-90","-255","52003"
"1","52","6","1","0","","0","1","1","0","52004"
"1","52","6","2","0","","0","1","1","0","52005"
"1","52","6","3","0","","0","1","1","0","52006"
"0","52","5","0","1","black","0","29","50","0","52007"
"1","52","6","0","0","","0","1","1","0","52008"
"","52","91","0","","","","","","","52009"
"dance_riri","52","3","1","0.1","","","0","","","52010"
"dance_clear","52","3","2","0.1","","0","0","idle","1","52011"
"dance_precia","52","3","3","0.1","","0","0","idle_precia","1","52012"
"1","52","6","1","0.2","","0","1","1","1","52013"
"1","52","6","2","0.2","","0","1","1","1","52014"
"1","52","6","3","0.2","","0","1","1","1","52015"
"1","52","6","0","0.2","","0","1","1","1","52016"
"-30","52","2","1","","","","-243","0.3","2","52017"
"220","52","2","2","","","","-245","0.3","2","52018"
"-190","52","2","3","","","","-255","0.3","2","52019"
"0","52","2","0","","","","0","0.3","2","52020"
"0","52","93","0.6","","","","","","","52021"
"vo_asb_0521","52","21","vo_asb","","","","0","0","","52022"
"くいっく、くいっく、すろー。","52","11","3","0","0.15","0","26","0","0","52023"
"","52","91","0","","","","0","0","","52024"
"vo_asb_0522","52","21","vo_asb","","","","0","0","","52025"
"ターンエン、ターンエン、\nクイッククイックスロー！","52","11","1","0","0.75","0","10","0","0","52026"
"","52","91","52010","","","","","","","52027"
"idle","52","3","1","0.1","","","1","","","52028"
"0","52","93","0.2","","","","","","","52029"
"smile_riri","52","3","1","0.1","","0.2","0","talk_joy","1","52030"
"vo_asb_0523","52","21","vo_asb","","","","0","0","","52031"
"……ふふふ。この掛け声があると、\n不思議と３人の息が、\nぴったり合うのですよね。","52","11","1","0","0","0","10","1","1","52032"
"","52","91","0","","","","","","","52033"
"riri_idle","52","3","1","0.2","","","1","","","52034"
"clear_talk2_noShy","52","3","2","0.2","","","1","","","52035"
"vo_asb_0524","52","21","vo_asb","","","","0","0","","52036"
"はい。だからその後も、\nけっこう使ってますよね。\n重い物を持ち上げる時とか。\n３人で体操をする時とか。","52","11","2","0","0","0","10","1","1","52037"
"","52","91","0","","","","0","0","","52038"
"talk2ToIdle","52","3","2","0.2","","0","0","idle","1","52039"
"riri_talk","52","3","1","0.2","","","1","","","52040"
"vo_asb_0525","52","21","vo_asb","","","","0","0","","52041"
"他にも、戦闘訓練で息を合わせる際や、\nあとは夜道を歩く時の、魔物避けにも！","52","11","1","0","0","0","10","1","1","52042"
"","52","91","0","","","","0","0","","52043"
"riri_idle_look","52","3","1","0.2","","","1","","","52044"
"idle_talkjoy2","52","3","2","0.2","","","1","","","52045"
"talk_precia","52","3","3","0.3","","","1","","","52046"
"vo_asb_0526","52","21","vo_asb","","","","0","0","","52047"
"はんようせい。\nありすぎ。","52","11","3","0","0","0","10","1","1","52048"
"","52","91","0","","","","0","0","","52049"
"","52","101","52051","","","","","","","52050"
"1","52","6","1","0.3","","0","1","1","0","52051"
"1","52","6","2","0.3","","0","1","1","0","52052"
"1","52","6","3","0.3","","0","1","1","0","52053"
"1","52","6","0","0.3","","0","1","1","0","52054"
"-130","52","2","1","","","","-230","0.3","1","52055"
"120","52","2","2","","","","-245","0.3","1","52056"
"-290","52","2","3","","","","-255","0.3","1","52057"
"-100","52","2","0","","","","0","0.3","1","52058"
"0","52","22","0","","","","","","","52059"
"0","52","93","0.4","","","","","","","52060"
"1","62","5","1","2.2","talk_joy","0","52","30","-250","62001"
"1","62","6","1","0","","0","1","1","0","62002"
"0","62","5","0","1","black","0","29","50","0","62003"
"1","62","6","0","0","","0","1","1","0","62004"
"","62","91","0","","","","","","","62005"
"1","62","6","1","0.2","","0","1","1","1","62006"
"1","62","6","0","0.2","","0","1","1","1","62007"
"-20","62","2","1","","","","-250","0.3","2","62008"
"0","62","2","0","","","","0","0.3","2","62009"
"0","62","93","0.6","","","","","","","62010"
"vo_asb_0621","62","21","vo_asb","","","","0","0","","62011"
"ライブ後、【カルミナ】の皆様が\n来てくださったのです。","62","11","1","0","0","0","10","1","1","62012"
"","62","91","0","","","","0","0","","62013"
"wish_talk_joyR_riri","62","3","1","0.2","","","1","","","62014"
"vo_asb_0622","62","21","vo_asb","","","","0","0","","62015"
"「また絶対一緒に踊ろうね」って、\n手まで、重ねさせていただいて……","62","11","1","0","0","0","10","1","1","62016"
"","62","91","0","","","","0","0","","62017"
"memoly_talk_joy","62","3","1","0.3","","","1","","","62018"
"vo_asb_0623","62","21","vo_asb","","","","0","0","","62019"
"お三方のあまりの可憐さと華やかさに、\nわたくし、もう、\nクラクラしてしまって……","62","11","1","0","0","0","10","1","1","62020"
"","62","91","0","","","","0","0","","62021"
"sad_talk2_dere","62","3","1","0.2","","","1","","","62022"
"vo_asb_0624","62","21","vo_asb","","","","0","0","","62023"
"実は、重ねさせていただいたこの手、\nあれ以来まだ一度も洗っておりません。","62","11","1","0","0","0","10","1","1","62024"
"","62","91","0","","","","0","0","","62025"
"wish_talk_nervous_riri","62","3","1","0.3","","","1","","","62026"
"vo_asb_0625","62","21","vo_asb","","","","0","0","","62027"
"リアさんには、やや呆れた目で\n見られている気が、\nしないでもありませんが……\nせめて、あと半日は……！","62","11","1","0","0","0","10","1","1","62028"
"","62","91","0","","","","0","0","","62029"
"","62","101","62031","","","","","","","62030"
"1","62","6","1","0.3","","0","1","1","0","62031"
"1","62","6","0","0.3","","0","1","1","0","62032"
"-120","62","2","1","","","","-250","0.3","1","62033"
"-100","62","2","0","","","","0","0.3","1","62034"
"0","62","22","0","","","","","","","62035"
"0","62","93","0.4","","","","","","","62036"
"1","72","5","2","2.2","idle","0","52","30","-250","72001"
"1","72","6","1","0","","0","1","1","0","72002"
"0","72","5","0","1","black","0","29","50","0","72003"
"1","72","6","0","0","","0","1","1","0","72004"
"","72","91","0","","","","","","","72005"
"1","72","6","1","0.2","","0","1","1","1","72006"
"1","72","6","0","0.2","","0","1","1","1","72007"
"-20","72","2","1","","","","-250","0.3","2","72008"
"0","72","2","0","","","","0","0.3","2","72009"
"0","72","93","0.6","","","","","","","72010"
"clear_talk_normal","72","3","1","0.2","","","1","","","72011"
"vo_asb_0721","72","21","vo_asb","","","","0","0","","72012"
"アオイさんて、すごくシャイみたいで。\nだけど、言うじゃないですか。\n共通の話題がある相手とは、\n打ち解けやすい、って。","72","11","1","0","0","0","10","1","1","72013"
"","72","91","0","","","","0","0","","72014"
"clear_kohon_talk_surprise","72","3","1","0.2","","","1","","","72015"
"vo_asb_0722","72","21","vo_asb","","","","0","0","","72016"
"直感、あったんですよね。\nアオイさんほど詳しくはないですが、\nわたしも草花が好きなので。\nこの人とは仲良くなれそう、みたいな。","72","11","1","0","0","0","10","1","1","72017"
"","72","91","0","","","","0","0","","72018"
"clear_talk2_noShy","72","3","1","0.2","","","1","","","72019"
"vo_asb_0723","72","21","vo_asb","","","","0","0","","72020"
"だからわたし、\n勇気を出して言ってみたんです！\nお友だちになりませんか、って。","72","11","1","0","0","0","10","1","1","72021"
"","72","91","0","","","","0","0","","72022"
"talk2ToWish","72","3","1","0.2","","0","0","clear_wish_talk_joy","1","72023"
"vo_asb_0724","72","21","vo_asb","","","","0","0","","72024"
"そしたらアオイさん、\n顔を真っ赤にして、ブンブン！　って、\n首を縦に振ってくれて。\nやった！　って思ったんですよね。","72","11","1","0","0","0","10","1","1","72025"
"","72","91","0","","","","0","0","","72026"
"clear_talk2_nervous","72","3","1","0.2","","","1","","","72027"
"vo_asb_0725","72","21","vo_asb","","","","0","0","","72028"
"……でもその後、\n心の準備が欲しいって言われちゃって。\n心の準備、300年くらいかかるかも\nしれないんだそうです……","72","11","1","0","0","0","10","1","1","72029"
"","72","91","0","","","","0","0","","72030"
