0a8d3c2992dbef5c16a4e1044f7660614af84c5bf58b6dd4a111a43c4fbf011e,b0915af863b6ffcb5fd6b905cff691318dbd579f5d3fa4ababd164f1b0f26252,8be87af8f32a343fa18b0de830d9edc67ce088c81a3d6bb40e9c42f9521b1dc8,f8b4b9aee5a690e5c04458afd936a137c23d08d4fcc64cc9927231e46a8cbc1d,7e457420f11e446147dbe53402090a94c031d207e6d964ff925c9ae858182069,543a1b93bdad341f7ebd04472f967e5c8e943d72a55d864dd89a56d6c42b2dfb,ca0eab53fc3eb2a68bab413ff91f2a364eac728f6efe810bb4275065a39ff252,d7edd7e682476342d837268be893da42cef9a96bb6afa02fcfe5cb5eea4d5f49,9e1c56f4b45eb6c8453fcb28b2688dda9d48964aea4ca4be6c59e7fb210cadde,1f53379008cf2f3c7feeac37f138c3c3226cd647689504df86352375cd65b37d,b0a8fd01c8567d8611baefbf1f60e95d39628985d39d747aa5decbbeec27adab
"","1","","15006","122411","15","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","16001","1","16","1","1","1.65","72","122611"
"-194","100","sjr_talk_idle","16002","1","16","0","1","1.65","-72","122511"
"","1","","16003","122611","16","","3","0.2","","sjr_talk_wish_doya"
"","0","","16004","vo_minigame_1010","16","","21","","0","vo_minigame_1010_top_talk_2_001"
"0","5","1","16005","122611","16","0","11","0","1","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから"
"","","","16006","0","16","","91","","",""
"","1","","16007","122611","16","","3","0.2","","sjr_talk_idle"
"1","0","","16008","122511","16","0","3","0.2","sjr_talk_arm_crossed_joy_loop","sjr_talk_arm_crossed_normal_joy"
"","0","","16009","vo_minigame_1010","16","","21","","0","vo_minigame_1010_top_talk_2_002"
"0","6","0.5","16010","122511","16","0","11","0","1","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう"
"","","","16011","0","16","","91","","",""
"","1","","16012","122511","16","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","17001","1","17","1","1","1.65","72","122611"
"-194","100","sjr_talk_idle","17002","1","17","0","1","1.65","-72","122511"
"","1","","17003","122511","17","","3","0.2","","sjr_talk_worry_shy"
"","0","","17004","vo_minigame_1010","17","","21","","0","vo_minigame_1010_top_talk_2_003"
"0","6","0.5","17005","122511","17","0","11","0","1","ねぇユイ\n水着で走るのって\nちょっと…"
"","","","17006","0","17","","91","","",""
"","1","","17007","122511","17","","3","0.2","","sjr_talk_idle"
"","1","","17008","122611","17","","3","0.2","","sjr_talk_wish_shy"
"","0","","17009","vo_minigame_1010","17","","21","","0","vo_minigame_1010_top_talk_2_004"
"0","5","0.5","17010","122611","17","0","11","0","1","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！"
"","","","17011","0","17","","91","","",""
"","1","","17012","122611","17","","3","0.2","","sjr_talk_idle"
"1","0","","17013","122511","17","0","3","0.2","sjr_talk_thinking_light","sjr_talk_thinking_blink_light"
"","0","","17014","vo_minigame_1010","17","","21","","0","vo_minigame_1010_top_talk_2_005"
"0","6","0.5","17015","122511","17","0","11","0","1","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！"
"","","","17016","0","17","","91","","",""
"","1","","17017","122511","17","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","18001","1","18","1","1","1.65","72","122611"
"-194","100","sjr_talk_idle","18002","1","18","0","1","1.65","-72","122511"
"","1","","18003","122611","18","","3","0.2","","sjr_talk_wish_surprise"
"","0","","18004","vo_minigame_1010","18","","21","","0","vo_minigame_1010_top_talk_2_006"
"0","7","0.5","18005","122611","18","0","11","0","1","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…"
"","","","18006","0","18","","91","","",""
"","1","","18007","122611","18","","3","0.2","","sjr_talk_idle"
"1","0","","18008","122511","18","0","3","0.2","sjr_talk_arm_crossed_normal2_loop","sjr_talk_arm_crossed_normal2"
"","0","","18009","vo_minigame_1010","18","","21","","0","vo_minigame_1010_top_talk_2_007"
"0","7","0.5","18010","122511","18","0","11","0","1","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ"
"","","","18011","0","18","","91","","",""
"","1","","18012","122511","18","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","19001","1","19","1","1","1.65","72","122611"
"-194","100","sjr_talk_idle","19002","1","19","0","1","1.65","-72","122411"
"1","0","","19003","122611","19","0","3","0.2","sjr_talk_idle_joy","sjr_talk_wave_hand"
"","0","","19004","vo_minigame_1010","19","","21","","0","vo_minigame_1010_top_talk_2_008"
"0","11","0.5","19005","122611","19","0","11","0","1","ヒヨリちゃん\n楽しんでる？"
"","","","19006","0","19","","91","","",""
"","1","","19007","122611","19","","3","0.2","","sjr_talk_idle"
"1","0","","19008","122411","19","0","3","0.2","sjr_talk_swing_joy2","sjr_talk_fun"
"","0","","19009","vo_minigame_1010","19","","21","","0","vo_minigame_1010_top_talk_2_009"
"0","8","0.5","19010","122411","19","0","11","0","1","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！"
"","","","19011","0","19","","91","","",""
"","1","","19012","122411","19","","3","0.2","","sjr_talk_idle"
"","1","","19013","122611","19","","3","0.2","","sjr_talk_laugh"
"","0","","19014","vo_minigame_1010","19","","21","","0","vo_minigame_1010_top_talk_2_010"
"0","8","0.5","19015","122611","19","0","11","0","1","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！"
"","","","19016","0","19","","91","","",""
"","1","","19017","122611","19","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","20001","1","20","1","1","1.65","72","122611"
"-194","100","sjr_talk_idle","20002","1","20","0","1","1.65","-72","122411"
"1","0","","20003","122411","20","0","3","0.2","sjr_talk_guts2_loop","sjr_talk_guts2"
"","0","","20004","vo_minigame_1010","20","","21","","0","vo_minigame_1010_top_talk_2_011"
"0","9","0.5","20005","122411","20","0","11","0","1","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー"
"","","","20006","0","20","","91","","",""
"","1","","20007","122411","20","","3","0.2","","sjr_talk_idle"
"1","0","","20008","122611","20","0","3","0.2","sjr_talk_mouth_hidden_guru","sjr_talk_mouth_hidden_dere_guru"
"","0","","20009","vo_minigame_1010","20","","21","","0","vo_minigame_1010_top_talk_2_012"
"0","5","0.5","20010","122611","20","0","11","0","1","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…"
"","","","20011","0","20","","91","","",""
"1","0","","20012","122411","20","0","3","0.2","sjr_talk_shock_loop","sjr_talk_shock"
"","0","","20013","vo_minigame_1010","20","","21","","0","vo_minigame_1010_top_talk_2_013"
"0","17","0.5","20014","122411","20","0","11","0","1","わーっ！？\nユイちゃん！？\n目がグルグルだー！？"
"","","","20015","0","20","","91","","",""
"","1","","20016","122611","20","","3","0.2","","sjr_talk_idle"
"","1","","20017","122411","20","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","21001","1","21","1","1","1.65","72","122611"
"-194","100","sjr_talk_idle","21002","1","21","0","1","1.65","-72","122411"
"","1","","21003","122611","21","","3","0.2","","sjr_talk_worry_sad"
"","0","","21004","vo_minigame_1010","21","","21","","0","vo_minigame_1010_top_talk_2_014"
"0","9","0.5","21005","122611","21","0","11","0","1","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？"
"","","","21006","0","21","","91","","",""
"","1","","21007","122611","21","","3","0.2","","sjr_talk_idle"
"0","0","","21008","122411","21","0","3","0.2","sjr_talk_guts2_joy_loop","sjr_talk_laugh_guts"
"","0","","21009","vo_minigame_1010","21","","21","","0","vo_minigame_1010_top_talk_2_015"
"0","6","0.5","21010","122411","21","0","11","0","1","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪"
"","","","21011","0","21","","91","","",""
"","1","","21012","122411","21","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","22001","1","22","1","1","1.65","72","122511"
"-194","100","sjr_talk_idle","22002","1","22","0","1","1.65","-72","122411"
"1","0","","22003","122511","22","0","3","0.2","sjr_talk_arm_crossed_normal_loop","sjr_talk_arm_crossed_normal"
"","0","","22004","vo_minigame_1010","22","","21","","0","vo_minigame_1010_top_talk_2_016"
"0","7","0.5","22005","122511","22","0","11","0","1","相手がヒヨリとはいえ\n負けるつもりは\nないからね"
"","","","22006","0","22","","91","","",""
"","1","","22007","122511","22","","3","0.2","","sjr_talk_idle"
"1","0","","22008","122411","22","0","3","0.2","sjr_talk_guts_loop","sjr_talk_guts"
"","0","","22009","vo_minigame_1010","22","","21","","0","vo_minigame_1010_top_talk_2_017"
"0","8","0.5","22010","122411","22","0","11","0","1","レイさんが相手なら\nあたしだって\n全力全開だよ！"
"","","","22011","0","22","","91","","",""
"","1","","22012","122411","22","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","23001","1","23","1","1","1.65","72","122511"
"-194","100","sjr_talk_idle","23002","1","23","0","1","1.65","-72","122411"
"1","0","","23003","122411","23","0","3","0.2","sjr_talk_eieio_loop","sjr_talk_fun_eieio"
"","0","","23004","vo_minigame_1010","23","","21","","0","vo_minigame_1010_top_talk_2_018"
"0","5","0.5","23005","122411","23","0","11","0","1","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！"
"","","","23006","0","23","","91","","",""
"","1","","23007","122411","23","","3","0.2","","sjr_talk_idle"
"","1","","23008","122511","23","","3","0.2","","sjr_talk_mouth_hidden_sad"
"","0","","23009","vo_minigame_1010","23","","21","","0","vo_minigame_1010_top_talk_2_019"
"0","7","0.5","23010","122511","23","0","11","0","1","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？"
"","","","23011","0","23","","91","","",""
"","1","","23012","122511","23","","3","0.2","","sjr_talk_idle"
"1","0","","23013","122411","23","0","3","0.2","sjr_talk_arm_opened_guru","sjr_talk_arm_opened_joy_guru"
"","0","","23014","vo_minigame_1010","23","","21","","0","vo_minigame_1010_top_talk_2_020"
"0","5","0.5","23015","122411","23","0","11","0","1","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？"
"","","","23016","0","23","","91","","",""
"","1","","23017","122411","23","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","24001","1","24","1","1","1.65","72","122511"
"-194","100","sjr_talk_idle","24002","1","24","0","1","1.65","-72","122411"
"","1","","24003","122411","24","","3","0.2","","sjr_talk_mouth_hidden_sad"
"","0","","24004","vo_minigame_1010","24","","21","","0","vo_minigame_1010_top_talk_2_021"
"0","7","1","24005","122411","24","0","11","0","1","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…"
"","","","24006","0","24","","91","","",""
"","1","","24007","122411","24","","3","0.2","","sjr_talk_idle"
"0","0","","24008","122511","24","0","3","0.2","sjr_talk_arm_crossed_joy_loop","sjr_talk_arm_crossed_normal_joy"
"","0","","24009","vo_minigame_1010","24","","21","","0","vo_minigame_1010_top_talk_2_022"
"0","5","0.5","24010","122511","24","0","11","0","1","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね"
"","","","24011","0","24","","91","","",""
"","1","","24012","122511","24","","3","0.2","","sjr_talk_idle"
"","1","","24013","122411","24","","3","0.2","","sjr_talk_laugh"
"","0","","24014","vo_minigame_1010","24","","21","","0","vo_minigame_1010_top_talk_2_023"
"0","7","0.5","24015","122411","24","0","11","0","1","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪"
"","","","24016","0","24","","91","","",""
"","1","","24017","122411","24","","3","0.2","","sjr_talk_idle"
