75556a4d4b2d5f0f41f886cfe1c08d8ce7c754ea826c6261de4efc21640e6ac8,44b05c7a7cbd663c06e4f2c8412821c9c3b36246d977803aa6ab6baf03fbd8fc,8c25c60bca72f85824530943a7a52dc510f52e0c321fe109ed1a7d625a1a62e3,ee2c9f1dbf9cca194e6e410d39cdae4c66f24ab441234f137f07c2396cee3b99,b8011ad1fe06a2eb5182f5f248c585c72f76d450a7268f6bb308b6822c1ad914,135092f4163ce78c1363570b98dbd2bf05ff45356f449b7d6b4cec7c80b5bb81,41aabb0e0cf985b8bf39b6a02e1aba4b61f83404e9449c0977ff1530d44011bd,34e2a82120ea32fdad9a92000cfa8419557ec2a3a40a54b9a0f641ee45627fba,a332aa9a59a5e79c770feb4db567768814994df633eee08f57ef845952442603,b2709945e6105a62162c4e4904e865aac6b87b2b1906bd558e4e0831bfa1aede,424132d75a0e39f32971ee572dbcc5aa098b9446542a0881dde246137e1524ce
"1","1010033","","","10","11","1","112411","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","","1"
"","1010034","","","","91","","0","","","1"
"","1010035","","","1","4","","112511","0","","1"
"","1010036","0","","1","3","","112411","omp_psn_20","","1"
"","1010037","0","","1","3","","112511","omp_idle_normal","","1"
"","1010038","","","0","21","0","vo_omp_7001","vo_omp_7001_006","","1"
"1","1010039","","","10","11","1","112511","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","","1"
"","1010040","","","","91","","0","","","1"
"","1010041","","","","93","","0.4","","","1"
"-195","1020001","1.8","0","1600","1","-180","1","112511","omp_idle_normal","2"
"-190","1020002","1.8","1","1500","1","20","1","112411","omp_talk_normal","2"
"-205","1020003","1.8","1","1600","1","220","1","112611","omp_idle_normal","2"
"1","1020004","1","","0","31","0","1","1","","2"
"","1020005","","","","93","","1","","","2"
"","1020006","","","0","21","0","vo_omp_7002","vo_omp_7002_000","","2"
"1","1020007","","","10","11","1","112411","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","","2"
"","1020008","","","","91","","0","","","2"
"","1020009","","","","4","","112411","0","","2"
"","1020010","0","","1","3","","112411","omp_idle_normal","","2"
"","1020011","0","","1","3","","112611","omp_talk_joy1","","2"
"","1020012","","","0","21","0","vo_omp_7002","vo_omp_7002_001","","2"
"1","1020013","","","10","11","1","112611","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","","2"
"","1020014","","","","91","","0","","","2"
"","1020015","0","","1","3","","112611","omp_idle_joy1","","2"
"","1020016","0","","1","3","","112411","omp_talk_surprise1","","2"
"","1020017","","","0","21","0","vo_omp_7002","vo_omp_7002_002","","2"
"1","1020018","","","10","11","1","112411","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","","2"
"","1020019","","","","91","","0","","","2"
"","1020020","","","","4","","112411","1","","2"
"","1020021","0","","1","3","","112411","omp_idle_surprise1","","2"
"","1020022","0","","1","3","","112511","omp_talk_normal","","2"
"","1020023","","","0","21","0","vo_omp_7002","vo_omp_7002_003","","2"
"1","1020024","","","10","11","1","112511","全然想像できない味だったね\nいい意味で","","2"
"","1020025","","","","91","","0","","","2"
"","1020026","0","","1","3","","112511","omp_talk_sad","","2"
"","1020027","","","0","21","0","vo_omp_7002","vo_omp_7002_004","","2"
"1","1020028","","","10","11","1","112511","でも魔物が調理されてるところは\nまあ、何て言うか…","","2"
"","1020029","","","","91","","0","","","2"
"","1020030","0","","1","3","","112511","omp_idle_sad","","2"
"","1020031","0","","1","3","","112411","omp_talk_bitter","","2"
"","1020032","","","0","21","0","vo_omp_7002","vo_omp_7002_005","","2"
"1","1020033","","","10","11","1","112411","…す、すごかったですよね","","2"
"","1020034","","","","91","","0","","","2"
"","1020035","0","","1","3","","112411","omp_idle_bitter","","2"
"","1020036","0","","1","3","","112611","omp_talk_joy1","","2"
"","1020037","","","0","21","0","vo_omp_7002","vo_omp_7002_006","","2"
"1","1020038","","","10","11","1","112611","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","","2"
"","1020039","","","","91","","0","","","2"
"","1020040","0","","1","3","","112611","omp_idle_joy1","","2"
"","1020041","0","","1","3","","112511","omp_talk_bitter","","2"
"","1020042","","","0","21","0","vo_omp_7002","vo_omp_7002_007","","2"
"1","1020043","","","10","11","1","112511","冒険って、奥が深いね…","","2"
"","1020044","","","","91","","0","","","2"
"","1020045","","","","93","","0.4","","","2"
"-190","1030001","1.8","0","1500","1","-140","1","112411","omp_talk_joy1","3"
"-190","1030002","1.8","1","1500","1","140","1","112611","omp_idle_normal","3"
"1","1030003","1","","0","31","0","1","1","","3"
"","1030004","","","","93","","1","","","3"
"","1030005","","","0","21","0","vo_omp_7003","vo_omp_7003_000","","3"
"1","1030006","","","10","11","1","112411","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","","3"
"","1030007","","","","91","","0","","","3"
"","1030008","0","","1","3","","112411","omp_psn_20","","3"
"","1030009","0","","1","3","","112611","omp_psn_19","","3"
"","1030010","","","0","21","0","vo_omp_7003","vo_omp_7003_001","","3"
"1","1030011","","","10","11","1","112611","た、楽しいかな～？","","3"
"","1030012","","","","91","","0","","","3"
"","1030013","0","","1","3","","112611","omp_psn_18","","3"
"","1030014","0","","1","3","","112411","omp_talk_joy1","","3"
"","1030015","","","0","21","0","vo_omp_7003","vo_omp_7003_002","","3"
"1","1030016","","","10","11","1","112411","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","","3"
"","1030017","","","","91","","0","","","3"
"","1030018","0","","1","3","","112411","omp_psn_20","","3"
"","1030019","0","","1","3","","112611","omp_talk_joy1","","3"
"","1030020","","","0","21","0","vo_omp_7003","vo_omp_7003_003","","3"
"1","1030021","","","10","11","1","112611","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","","3"
"","1030022","","","","93","","1.5","1","","3"
"","1030023","0.2","","1","3","","112611","omp_psn_19","","3"
"","1030024","","","","91","","1030021","","","3"
"","1030025","0","","1","3","","112611","omp_psn_18","","3"
"","1030026","0","","1","3","","112411","omp_talk_joy1","","3"
"","1030027","","","0","21","0","vo_omp_7003","vo_omp_7003_004","","3"
"1","1030028","","","10","11","1","112411","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","","3"
"","1030029","","","","91","","0","","","3"
"","1030030","0","","1","3","","112411","omp_psn_20","","3"
"","1030031","0","","1","3","","112611","omp_psn_19","","3"
"","1030032","","","0","21","0","vo_omp_7003","vo_omp_7003_005","","3"
"1","1030033","","","10","11","1","112611","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","","3"
"","1030034","","","","91","","0","","","3"
"","1030035","0","","1","3","","112611","omp_psn_18","","3"
"","1030036","0","","1","3","","112411","omp_talk_joy2","","3"
"","1030037","","","0","21","0","vo_omp_7003","vo_omp_7003_006","","3"
"1","1030038","","","10","11","1","112411","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","","3"
"","1030039","","","","91","","0","","","3"
"","1030040","0","","1","3","","112411","omp_psn_20","","3"
"","1030041","0","","1","3","","112611","omp_talk_sad","","3"
"","1030042","","","0","21","0","vo_omp_7003","vo_omp_7003_007","","3"
"1","1030043","","","10","11","1","112611","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","","3"
"","1030044","","","","93","","6","1","","3"
"","1030045","0.2","","1","3","","112611","omp_talk_joy2","","3"
"","1030046","","","","91","","1030043","","","3"
"","1030047","0","","1","3","","112611","omp_idle_joy2","","3"
"","1030048","0","","1","3","","112411","omp_talk_joy2","","3"
"","1030049","","","0","21","0","vo_omp_7003","vo_omp_7003_008","","3"
"1","1030050","","","10","11","1","112411","はい！\n一緒に頑張りましょう！","","3"
"","1030051","","","","91","","0","","","3"
"","1030052","","","","93","","0.4","","","3"
"-195","1040001","1.8","0","1600","1","-180","1","105831","omp_talk_normal","4"
"-190","1040002","1.8","1","1500","1","20","1","105931","omp_idle_normal","4"
"-205","1040003","1.8","1","1600","1","220","1","106031","omp_idle_normal","4"
"1","1040004","1","","0","31","0","1","1","","4"
"","1040005","","","","93","","1","","","4"
"","1040006","","","0","21","0","vo_omp_7004","vo_omp_7004_000","","4"
"1","1040007","","","10","11","1","105831","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","","4"
"","1040008","","","","91","","0","","","4"
"","1040009","0","","1","3","","105831","omp_idle_normal","","4"
"","1040010","0","","1","3","","105931","omp_talk_normal","","4"
"","1040011","","","0","21","0","vo_omp_7004","vo_omp_7004_001","","4"
"1","1040012","","","10","11","1","105931","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","","4"
"","1040013","","","","91","","0","","","4"
"","1040014","","","","4","","105931","0","","4"
"","1040015","0","","1","3","","105931","omp_idle_normal","","4"
"1","1040016","0","","0","3","omp_idle_surprise1","106031","omp_surprise","","4"
"","1040017","","","0","21","0","vo_omp_7004","vo_omp_7004_002","","4"
"1","1040018","","","10","11","1","106031","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","","4"
"","1040019","","","","93","","2","1","","4"
"","1040020","0.1","","1","3","","106031","omp_talk_tsun","","4"
"","1040021","","","","91","","1040018","","","4"
"","1040022","0","","1","3","","106031","omp_talk_tsun","","4"
"","1040023","","","0","21","0","vo_omp_7004","vo_omp_7004_003","","4"
"1","1040024","","","10","11","1","106031","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","","4"
"","1040025","","","","91","","0","","","4"
"","1040026","0","","1","3","","106031","omp_idle_tsun","","4"
"","1040027","0","","1","3","","105931","omp_talk_worry","","4"
"","1040028","","","0","21","0","vo_omp_7004","vo_omp_7004_004","","4"
"1","1040029","","","10","11","1","105931","それはそうでございますが…\n好奇心が勝ってしまいまして","","4"
"","1040030","","","","91","","0","","","4"
"","1040031","","","","4","","105931","1","","4"
"","1040032","0","","1","3","","105931","omp_idle_worry","","4"
"","1040033","0","","1","3","","105831","omp_talk_joy1","","4"
"","1040034","","","0","21","0","vo_omp_7004","vo_omp_7004_005","","4"
"1","1040035","","","10","11","1","105831","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","","4"
"","1040036","","","","93","","5.5","1","","4"
"","1040037","0.2","","0","3","","105831","omp_psn_11","","4"
"","1040038","","","","91","","1040035","","","4"
"","1040039","0","","1","3","","105931","omp_talk_normal","","4"
"","1040040","","","0","21","0","vo_omp_7004","vo_omp_7004_006","","4"
"1","1040041","","","10","11","1","105931","はい♪\nいえーい、でございます…！","","4"
"","1040042","","","","93","","1.5","1","","4"
"1","1040043","0.2","","0","3","","105931","omp_psn_11","","4"
"","1040044","","","","91","","1040041","","","4"
"","1040045","","","","4","","105931","0","","4"
"","1040046","0","","1","3","","105931","omp_idle_normal","","4"
"","1040047","0.2","","1","3","","105831","omp_idle_joy1","","4"
"","1040048","0","","1","3","","106031","omp_idle_tsun","","4"
"","1040049","","","0","21","0","vo_omp_7004","vo_omp_7004_007","","4"
"1","1040050","","","10","11","1","106031","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","","4"
"","1040051","","","","93","","7","1","","4"
"","1040052","0.1","","0","3","","106031","omp_psn_12","","4"
"","1040053","","","","93","","1.5","","","4"
"","1040054","","","","91","","1040050","","","4"
"","1040055","0.2","","1","3","","106031","omp_idle_normal","","4"
"","1040056","0","","1","3","","105831","omp_idle_surprise1","","4"
"","1040057","","","0","21","0","vo_omp_7004","vo_omp_7004_008","","4"
"1","1040058","","","10","11","1","105831","キャ、キャルちゃん…","","4"
"","1040059","","","","91","","0","","","4"
"","1040060","0","","1","3","","105831","omp_idle_surprise1","","4"
"","1040061","0","","1","3","","105931","omp_talk_sad","","4"
"","1040062","","","0","21","0","vo_omp_7004","vo_omp_7004_009","","4"
"1","1040063","","","10","11","1","105931","ものすごく、本気でございますね","","4"
"","1040064","","","","91","","0","","","4"
"","1040065","0","","1","3","","105931","omp_idle_sad","","4"
"1","1040066","0","0.1","0","3","omp_talk_surprise2","106031","omp_surprise","","4"
"","1040067","","","0","21","0","vo_omp_7004","vo_omp_7004_010","","4"
"1","1040068","","","10","11","1","106031","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","","4"
"","1040069","","","","93","","6.5","1","","4"
"","1040070","0.2","","1","3","","106031","omp_talk_tsun","","4"
"","1040071","","","","91","","1040068","","","4"
"","1040072","","","","93","","0.4","","","4"
"-190","1050001","1.8","0","1500","1","-140","1","112611","omp_talk_joy1","5"
"-190","1050002","1.8","1","1500","1","140","1","112511","omp_idle_normal","5"
"1","1050003","1","","0","31","0","1","1","","5"
"","1050004","","","","93","","1","","","5"
"","1050005","","","0","21","0","vo_omp_7005","vo_omp_7005_000","","5"
"1","1050006","","","10","11","1","112611","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","","5"
"","1050007","","","","91","","0","","","5"
"","1050008","0","","1","3","","112611","omp_idle_joy1","","5"
"","1050009","0","","1","3","","112511","omp_talk_normal","","5"
"","1050010","","","0","21","0","vo_omp_7005","vo_omp_7005_001","","5"
"1","1050011","","","10","11","1","112511","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","","5"
"","1050012","","","","91","","0","","","5"
"","1050013","0","","1","3","","112511","omp_idle_normal","","5"
"","1050014","0","","1","3","","112611","omp_talk_joy1","","5"
"","1050015","","","0","21","0","vo_omp_7005","vo_omp_7005_002","","5"
"1","1050016","","","10","11","1","112611","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","","5"
"","1050017","","","","93","","6.2","1","","5"
"","1050018","0.2","","1","3","","112611","omp_talk_thinking","","5"
"","1050019","","","","91","","1050016","","","5"
"","1050020","0","","1","3","","112611","omp_idle_thinking","","5"
"","1050021","0","","1","3","","112511","omp_talk_normal2","","5"
"","1050022","","","0","21","0","vo_omp_7005","vo_omp_7005_003","","5"
"1","1050023","","","10","11","1","112511","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","","5"
"","1050024","","","","91","","0","","","5"
"","1050025","0","","1","3","","112511","omp_idle_calm","","5"
"","1050026","0.1","","1","3","","112611","omp_talk_sad","","5"
"","1050027","","","0","21","0","vo_omp_7005","vo_omp_7005_004","","5"
"1","1050028","","","10","11","1","112611","し…し…","","5"
"","1050029","","","","91","","0","","","5"
"","1050030","0","","1","3","","112611","omp_idle_sad","","5"
"","1050031","0","","1","3","","112511","omp_psn_19","","5"
"","1050032","","","0","21","0","vo_omp_7005","vo_omp_7005_005","","5"
"1","1050033","","","10","11","1","112511","し…？","","5"
"","1050034","","","","91","","0","","","5"
"","1050035","0","","1","3","","112511","omp_psn_18","","5"
"","1050036","0","","1","3","","112611","omp_talk_sad","","5"
"","1050037","","","0","21","0","vo_omp_7005","vo_omp_7005_006","","5"
"1","1050038","","","10","11","1","112611","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","","5"
"","1050039","","","","93","","4.5","1","","5"
"","1050040","0.2","","1","3","","112611","omp_talk_surprise2","","5"
"","1050041","","","","91","","1050038","","","5"
"","1050042","0","","1","3","","112611","omp_idle_surprise2","","5"
"","1050043","0","","1","3","","112511","omp_talk_normal","","5"
"","1050044","","","0","21","0","vo_omp_7005","vo_omp_7005_007","","5"
"1","1050045","","","10","11","1","112511","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","","5"
"","1050046","","","","93","","3.5","1","","5"
"","1050047","0.2","","1","3","","112511","omp_talk_anger","","5"
"","1050048","","","","91","","1050045","","","5"
"","1050049","0","","1","3","","112511","omp_idle_anger","","5"
"","1050050","0","","1","3","","112611","omp_talk_joy1","","5"
"","1050051","","","0","21","0","vo_omp_7005","vo_omp_7005_008","","5"
"1","1050052","","","10","11","1","112611","えへへ、ごめんごめん☆","","5"
"","1050053","","","","91","","0","","","5"
"","1050054","0","","1","3","","112611","omp_idle_joy1","","5"
"","1050055","0","","1","3","","112511","omp_talk_sad","","5"
"","1050056","","","0","21","0","vo_omp_7005","vo_omp_7005_009","","5"
"1","1050057","","","10","11","1","112511","まったく\n…けど、さっきのは\nほんとのことだからね","","5"
"","1050058","","","","93","","2","1","","5"
"","1050059","0.2","","1","3","","112511","omp_talk_normal","","5"
"","1050060","","","","91","","1050057","","","5"
"","1050061","0","","1","3","","112511","omp_idle_normal","","5"
"","1050062","0","","1","3","","112611","omp_talk_joy2","","5"
"","1050063","","","0","21","0","vo_omp_7005","vo_omp_7005_010","","5"
"1","1050064","","","10","11","1","112611","うん！\nありがとっ、しぶりん！","","5"
"","1050065","","","","91","","0","","","5"
"","1050066","","","","93","","0.4","","","5"
"-195","1060001","1.8","0","1600","1","-180","1","112511","omp_talk_normal","6"
"-190","1060002","1.8","1","1500","1","20","1","112411","omp_idle_normal","6"
"-205","1060003","1.8","1","1600","1","220","1","112611","omp_idle_normal","6"
"1","1060004","1","","0","31","0","1","1","","6"
"","1060005","","","","93","","1","","","6"
"","1060006","","","0","21","0","vo_omp_7006","vo_omp_7006_000","","6"
"1","1060007","","","10","11","1","112511","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","","6"
"","1060008","","","","91","","0","","","6"
"","1060009","0","","1","3","","112511","omp_idle_normal","","6"
"","1060010","0","","1","3","","112611","omp_talk_joy1","","6"
"","1060011","","","0","21","0","vo_omp_7006","vo_omp_7006_001","","6"
"1","1060012","","","10","11","1","112611","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","","6"
"","1060013","","","","91","","0","","","6"
"","1060014","","","","4","","112411","0","","6"
"","1060015","0","","1","3","","112611","omp_idle_joy1","","6"
"","1060016","0","","1","3","","112411","omp_talk_joy1","","6"
"","1060017","","","0","21","0","vo_omp_7006","vo_omp_7006_002","","6"
"1","1060018","","","10","11","1","112411","えへへっ、ありがとうございます！\nえっと…","","6"
"","1060019","","","","91","","0","","","6"
"","1060020","0","","1","3","","112411","omp_talk_normal","","6"
"","1060021","","","0","21","0","vo_omp_7006","vo_omp_7006_003","","6"
"1","1060022","","","10","11","1","112411","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","","6"
"","1060023","","","","91","","0","","","6"
"","1060024","0","","1","3","","112411","omp_talk_thinking","","6"
"","1060025","","","0","21","0","vo_omp_7006","vo_omp_7006_004","","6"
"1","1060026","","","10","11","1","112411","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","","6"
"","1060027","","","","91","","0","","","6"
"","1060028","0","","1","3","","112411","omp_talk_normal2","","6"
"","1060029","","","0","21","0","vo_omp_7006","vo_omp_7006_005","","6"
"1","1060030","","","10","11","1","112411","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","","6"
"","1060031","","","","91","","0","","","6"
"","1060032","0","","1","3","","112411","omp_idle_calm","","6"
"","1060033","0","","1","3","","112611","omp_talk_sad","","6"
"","1060034","","","0","21","0","vo_omp_7006","vo_omp_7006_006","","6"
"1","1060035","","","10","11","1","112611","しまむー…！","","6"
"","1060036","","","","91","","0","","","6"
"","1060037","","","","4","","112411","1","","6"
"","1060038","0","","1","3","","112611","omp_idle_sad","","6"
"","1060039","0","","1","3","","112511","omp_talk_thinking","","6"
"","1060040","","","0","21","0","vo_omp_7006","vo_omp_7006_007","","6"
"1","1060041","","","10","11","1","112511","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","","6"
"","1060042","","","","91","","0","","","6"
"","1060043","","","","4","","112411","0","","6"
"","1060044","0","","1","3","","112511","omp_idle_thinking","","6"
"","1060045","0","","1","3","","112611","omp_talk_joy1","","6"
"","1060046","","","0","21","0","vo_omp_7006","vo_omp_7006_008","","6"
"1","1060047","","","10","11","1","112611","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","","6"
"","1060048","","","","91","","0","","","6"
"","1060049","","","","4","","112411","1","","6"
"","1060050","0","","1","3","","112611","omp_idle_joy1","","6"
"","1060051","0","","1","3","","112411","omp_talk_joy2","","6"
"","1060052","","","0","21","0","vo_omp_7006","vo_omp_7006_009","","6"
"1","1060053","","","10","11","1","112411","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","","6"
"","1060054","","","","93","","1.2","1","","6"
"","1060055","","","","4","","112411","0","","6"
"","1060056","","","","91","","1060053","","","6"
"1","1060057","","","-195","2","0","112511","-180","","6"
"1","1060058","","","-190","2","0","112411","0","","6"
"1","1060059","","","-195","2","0","112611","180","","6"
"","1060060","0.1","","0","3","","112511","omp_psn_dicision_rin","","6"
"","1060061","0.1","","0","3","","112411","omp_psn_dicision_uduki","","6"
"","1060062","0.1","","0","3","","112611","omp_psn_dicision_mio","","6"
"1","1060063","1","","0","31","0","2","2","","6"
"","1060064","","","","91","","1060062","","","6"
"","1060065","","","","93","","0.6","","","6"
"-205","1070001","1.8","0","1600","1","-100","1","105831","omp_idle_normal","7"
"-225","1070002","1.8","0","1600","1","-390","1","105931","omp_idle_normal","7"
"-190","1070003","1.8","0","1500","1","-260","1","106031","omp_idle_normal","7"
"-185","1070004","1.8","1","1500","1","250","1","112511","omp_idle_normal","7"
"-220","1070005","1.8","1","1600","1","385","1","112411","omp_idle_normal","7"
"-195","1070006","1.8","1","1600","1","100","1","112611","omp_idle_normal","7"
"1","1070007","1","","0","31","0","1","1","","7"
"","1070008","","","","93","","0.2","","","7"
"","1070009","0.1","","1","3","","112611","omp_idle_normal","","7"
"","1070010","0","","1","3","","112411","omp_talk_normal","","7"
"","1070011","0.1","","1","3","","112511","omp_idle_normal","","7"
"","1070012","0.1","","1","3","","105831","omp_idle_normal","","7"
"","1070013","","","","93","","0.1","","","7"
"","1070014","","","","93","","1","","","7"
"","1070015","","","0","21","0","vo_omp_7007","vo_omp_7007_000","","7"
"1","1070016","","","10","11","1","112411","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","","7"
"","1070017","","","","91","","0","","","7"
"","1070018","0.1","","1","3","","112411","omp_idle_normal","","7"
"","1070019","0.1","","1","3","","105831","omp_talk_normal","","7"
"","1070020","","","0","21","0","vo_omp_7007","vo_omp_7007_001","","7"
"1","1070021","","","10","11","1","105831","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","","7"
"","1070022","","","","91","","0","","","7"
"","1070023","0","","1","3","","105831","omp_idle_normal","","7"
"","1070024","0","","1","3","","105931","omp_talk_worry","","7"
"","1070025","","","0","21","0","vo_omp_7007","vo_omp_7007_002","","7"
"1","1070026","","","10","11","1","105931","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","","7"
"","1070027","","","","91","","0","","","7"
"","1070028","0","","1","3","","105931","omp_idle_worry","","7"
"","1070029","0","","1","3","","106031","omp_talk_normal","","7"
"","1070030","","","0","21","0","vo_omp_7007","vo_omp_7007_003","","7"
"1","1070031","","","10","11","1","106031","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","","7"
"","1070032","","","","91","","0","","","7"
"","1070033","0","","1","3","","106031","omp_idle_normal","","7"
"","1070034","0","","1","3","","112611","omp_talk_worry","","7"
"","1070035","","","0","21","0","vo_omp_7007","vo_omp_7007_004","","7"
"1","1070036","","","10","11","1","112611","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","","7"
"","1070037","","","","91","","0","","","7"
"","1070038","0","","1","3","","112611","omp_idle_worry","","7"
"","1070039","0","","1","3","","105931","omp_talk_normal2","","7"
"","1070040","","","0","21","0","vo_omp_7007","vo_omp_7007_005","","7"
"1","1070041","","","10","11","1","105931","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","","7"
"","1070042","","","","91","","0","","","7"
"","1070043","0","","1","3","","105931","omp_idle_calm","","7"
"","1070044","0","","1","3","","112511","omp_talk_normal2","","7"
"","1070045","","","0","21","0","vo_omp_7007","vo_omp_7007_006","","7"
