eb49dfa013bb84d576f8a45cd1b6f8ed0f186398909354a2d2fe6b12d2742e5f,059bee1a4f6152af4189d25a195e69199aaff4ffa5b6eb3c966fe05792754402,3fbe86707b929f95bbbbe93381209982ac6d569c15e5c2a3bf5a8edd9aa8e760,07ec3abadf3618991602ed88bd41feef7625b28a7da3fd74e2ca815bfa252628,87813031bf537cb7c3b16c88529740e4f4f517397acd26b3890663ef21139a59,1cec244565f3d6cf0715de57bb89d20ec54f9b6b32e50fd9bdf49cacae6b3301,47f403fdd3f6ef640601fd35437757e2b8a6cd6bd9ebe364d0714413848fbfce,46bd416e99c19ca231bb61370e821c2427f392b2466eedde1df8ab1f3f740180,580b879765410010c0abccd59322ec7b2a83009ffdb4ccb8e5c4627e0e57eaa6,fdf2e743442a510813ec9975029b8f9cdab68b82b1566720c7951c7c0127f2b6,ed10542e1dfb800aaf46b99da22a2a24a190f87aa67d0e9f096b751782f0f4df
"0","<weapon>_idle","1001003","2","0.68","102110007","63","-240","1","-105","211"
"0","<weapon>_idle","1001004","2","0.68","102110008","61","-310","1","-15","211"
"0","<weapon>_idle","1001005","2","0.68","102110009","62","-380","1","-90","211"
"0","","1001001","10012","1","102110010","-100","-90","31","0.68","211"
"0","","1001002","10012","1","102110011","-170","-15","31","0.68","211"
"0","","1001003","10012","1","102110012","-240","-105","31","0.68","211"
"0","","1001004","10012","1","102110013","-310","-15","31","0.68","211"
"0","","1001005","10012","1","102110014","-380","-90","31","0.68","211"
"0","<weapon>_idle","1002001","2","0.68","102110015","52","-500","1","-240","211"
"0","<weapon>_idle","1002002","2","0.68","102110016","51","-570","1","-165","211"
"0","<weapon>_idle","1002003","2","0.68","102110017","53","-640","1","-255","211"
"0","<weapon>_idle","1002004","2","0.68","102110018","51","-710","1","-165","211"
"0","<weapon>_idle","1002005","2","0.68","102110019","52","-780","1","-240","211"
"0","","1002001","10012","1","102110020","-500","-240","31","0.68","211"
"0","","1002002","10012","1","102110021","-570","-165","31","0.68","211"
"0","","1002003","10012","1","102110022","-640","-255","31","0.68","211"
"0","","1002004","10012","1","102110023","-710","-165","31","0.68","211"
"0","","1002005","10012","1","102110024","-780","-240","31","0.68","211"
"","","10030","10030","0","102110025","0","0","31","1","211"
"","","10031","10031","0","102110026","0","0","31","1","211"
"","","0","","","102110027","","","91","","211"
"","","1","10030","","102110028","","","32","","211"
"","","0","0","","102110029","","","91","","211"
"","","<weapon>_run","1001001","0","102110030","1","","3","0","211"
"","","<weapon>_run","1001002","0","102110031","1","","3","0","211"
"","","<weapon>_run","1001003","0","102110032","1","","3","0","211"
"","","<weapon>_run","1001004","0","102110033","1","","3","0","211"
"","","<weapon>_run","1001005","0","102110034","1","","3","0","211"
"","","850","1001001","","102110035","-90","3","2","0","211"
"","","780","1001002","","102110036","-15","3","2","0","211"
"","","710","1001003","","102110037","-105","3","2","0","211"
"","","640","1001004","","102110038","-15","3","2","0","211"
"","","570","1001005","","102110039","-90","3","2","0","211"
"","","850","1001001","","102110040","-90","3","33","0","211"
"","","780","1001002","","102110041","-15","3","33","0","211"
"","","710","1001003","","102110042","-105","3","33","0","211"
"","","640","1001004","","102110043","-15","3","33","0","211"
"","","570","1001005","","102110044","-90","3","33","0","211"
"","","<weapon>_run","1002001","0","102110045","1","","3","0","211"
"","","<weapon>_run","1002002","0","102110046","1","","3","0","211"
"","","<weapon>_run","1002003","0","102110047","1","","3","0","211"
"","","<weapon>_run","1002004","0","102110048","1","","3","0","211"
"","","<weapon>_run","1002005","0","102110049","1","","3","0","211"
"","","450","1002001","","102110050","-240","3","2","0","211"
"","","380","1002002","","102110051","-165","3","2","0","211"
"","","310","1002003","","102110052","-255","3","2","0","211"
"","","240","1002004","","102110053","-165","3","2","0","211"
"","","170","1002005","","102110054","-240","3","2","0","211"
"","","450","1002001","","102110055","-240","3","33","0","211"
"","","380","1002002","","102110056","-165","3","33","0","211"
"","","310","1002003","","102110057","-255","3","33","0","211"
"","","240","1002004","","102110058","-165","3","33","0","211"
"","","170","1002005","","102110059","-240","3","33","0","211"
"","","1","10020","","102110060","","","32","","211"
"","","0","2.5","","102110061","","","93","","211"
"","","1","10031","","102110062","","","32","","211"
"","","0","0.4","","102110063","","","93","","211"
"","","0","0","","102110064","","","91","","211"
"","","se_travel_start_3pt","se_travel","","103110001","0","","23","","311"
"","","10010","10010","1","103110002","0","0","31","1","311"
"","","10011","10011","1","103110003","0","0","31","1","311"
"","","10020","10020","0","103110004","0","0","31","1","311"
"0","<weapon>_idle","1001001","2","0.68","103110005","62","0","1","-240","311"
"0","<weapon>_idle","1001002","2","0.68","103110006","61","-70","1","-165","311"
"0","<weapon>_idle","1001003","2","0.68","103110007","63","-140","1","-255","311"
"0","<weapon>_idle","1001004","2","0.68","103110008","61","-210","1","-165","311"
"0","<weapon>_idle","1001005","2","0.68","103110009","62","-280","1","-240","311"
"0","","1001001","10012","1","103110010","0","-240","31","0.68","311"
"0","","1001002","10012","1","103110011","-70","-165","31","0.68","311"
"0","","1001003","10012","1","103110012","-140","-255","31","0.68","311"
"0","","1001004","10012","1","103110013","-210","-165","31","0.68","311"
"0","","1001005","10012","1","103110014","-280","-240","31","0.68","311"
"0","<weapon>_idle","1002001","2","0.68","103110015","52","-250","1","-60","311"
"0","<weapon>_idle","1002002","2","0.68","103110016","51","-320","1","15","311"
"0","<weapon>_idle","1002003","2","0.68","103110017","53","-390","1","-75","311"
"0","<weapon>_idle","1002004","2","0.68","103110018","51","-460","1","15","311"
"0","<weapon>_idle","1002005","2","0.68","103110019","52","-530","1","-60","311"
"0","","1002001","10012","1","103110020","-250","-60","31","0.68","311"
"0","","1002002","10012","1","103110021","-320","15","31","0.68","311"
"0","","1002003","10012","1","103110022","-390","-75","31","0.68","311"
"0","","1002004","10012","1","103110023","-460","15","31","0.68","311"
"0","","1002005","10012","1","103110024","-530","-60","31","0.68","311"
"0","<weapon>_idle","1003001","2","0.68","103110025","62","-500","1","-250","311"
"0","<weapon>_idle","1003002","2","0.68","103110026","61","-570","1","-175","311"
"0","<weapon>_idle","1003003","2","0.68","103110027","63","-640","1","-265","311"
"0","<weapon>_idle","1003004","2","0.68","103110028","61","-710","1","-175","311"
"0","<weapon>_idle","1003005","2","0.68","103110029","62","-780","1","-250","311"
"0","","1003001","10012","1","103110030","-500","-250","31","0.68","311"
"0","","1003002","10012","1","103110031","-570","-175","31","0.68","311"
"0","","1003003","10012","1","103110032","-640","-265","31","0.68","311"
"0","","1003004","10012","1","103110033","-710","-175","31","0.68","311"
"0","","1003005","10012","1","103110034","-780","-250","31","0.68","311"
"","","10030","10030","0","103110035","0","0","31","1","311"
"","","10031","10031","0","103110036","0","0","31","1","311"
"","","0","","","103110037","","","91","","311"
"","","1","10030","","103110038","","","32","","311"
"","","0","0","","103110039","","","91","","311"
"","","<weapon>_run","1001001","0","103110040","1","","3","0","311"
"","","<weapon>_run","1001002","0","103110041","1","","3","0","311"
"","","<weapon>_run","1001003","0","103110042","1","","3","0","311"
"","","<weapon>_run","1001004","0","103110043","1","","3","0","311"
"","","<weapon>_run","1001005","0","103110044","1","","3","0","311"
"","","950","1001001","","103110045","-240","3","2","0","311"
"","","880","1001002","","103110046","-165","3","2","0","311"
"","","810","1001003","","103110047","-255","3","2","0","311"
"","","740","1001004","","103110048","-165","3","2","0","311"
"","","670","1001005","","103110049","-240","3","2","0","311"
"","","950","1001001","","103110050","-240","3","33","0","311"
"","","880","1001002","","103110051","-165","3","33","0","311"
"","","810","1001003","","103110052","-255","3","33","0","311"
"","","740","1001004","","103110053","-165","3","33","0","311"
"","","670","1001005","","103110054","-240","3","33","0","311"
"","","<weapon>_run","1002001","0","103110055","1","","3","0","311"
"","","<weapon>_run","1002002","0","103110056","1","","3","0","311"
"","","<weapon>_run","1002003","0","103110057","1","","3","0","311"
"","","<weapon>_run","1002004","0","103110058","1","","3","0","311"
"","","<weapon>_run","1002005","0","103110059","1","","3","0","311"
"","","700","1002001","","103110060","-60","3","2","0","311"
"","","630","1002002","","103110061","15","3","2","0","311"
"","","560","1002003","","103110062","-75","3","2","0","311"
"","","490","1002004","","103110063","15","3","2","0","311"
"","","420","1002005","","103110064","-60","3","2","0","311"
"","","700","1002001","","103110065","-60","3","33","0","311"
"","","630","1002002","","103110066","15","3","33","0","311"
"","","560","1002003","","103110067","-75","3","33","0","311"
"","","490","1002004","","103110068","15","3","33","0","311"
"","","420","1002005","","103110069","-60","3","33","0","311"
"","","<weapon>_run","1003001","0","103110070","1","","3","0","311"
"","","<weapon>_run","1003002","0","103110071","1","","3","0","311"
"","","<weapon>_run","1003003","0","103110072","1","","3","0","311"
"","","<weapon>_run","1003004","0","103110073","1","","3","0","311"
"","","<weapon>_run","1003005","0","103110074","1","","3","0","311"
"","","450","1003001","","103110075","-250","3","2","0","311"
"","","380","1003002","","103110076","-175","3","2","0","311"
"","","310","1003003","","103110077","-265","3","2","0","311"
"","","240","1003004","","103110078","-175","3","2","0","311"
"","","170","1003005","","103110079","-250","3","2","0","311"
"","","450","1003001","","103110080","-250","3","33","0","311"
"","","380","1003002","","103110081","-175","3","33","0","311"
"","","310","1003003","","103110082","-265","3","33","0","311"
"","","240","1003004","","103110083","-175","3","33","0","311"
"","","170","1003005","","103110084","-250","3","33","0","311"
"","","1","10020","","103110085","","","32","","311"
"","","0","2.5","","103110086","","","93","","311"
"","","1","10031","","103110087","","","32","","311"
"","","0","0.4","","103110088","","","93","","311"
"","","0","0","","103110089","","","91","","311"
