de91574469bcff69bc8fb3500bbe362ece8cde7849b404352ce19e7dc7df7389,3d1f292780520ea87ff148b270fe20399a9ce0f0ff0916bfb9a389823a90a901,31d7fc44113d0acd2efa61f1136bc62ca857eb006319264c68a602ef8e1202ce,a3a4f86b1f837ad469f59f5813f9670adb062af56c1d092fc881937837a7b48a,29e18be8eb4e10bdbd243c07fee35771256424d9a2cf7d8174ebe32724233b90,49d87fd215e0bee895d2af78140de4282d7c39031cfd50820811055d310deb76,4dd50b9dc73f79a602c8cc71fd819bf593c5d892c3d61245f8d9613b772d3146,22142ff825435adfa4a777a3b56389357a0e9015923a2c5376a29181f7820314,860e625463f92a1837d14551164739763c00974a48c9ac1832bbc7b07641257d,99c85843532ef41b2d8e10568284e2403e9a091ecb1d01142d594caac724eb23,dd6110b8b34d485806ffc14f0610f681dd20b37849aedf06a87dcd63ed4fd160,a795e6b6ae3ff829fd1eeae1eee3c2aac849a422a0d9868fb6e4cf40c77b6287,107c4ee2bc90952b6d4c2d829765f9d4d2a9f5aef2c7a4574365d38ca1f837a9,fe93aa1c18617f01270333d34dda398426d320e084eec5c9e0bfd4bc03b99440,45cc7bd46ec2dc8eef156d461730dbcb9abefe471c3b1722f7d9a7ebd9551005,565ee3e20e2a68078e36096837bac8c248a92085a67fdba43aa4e3a5138c53ab,b57d139019b7c9608b4f0aa009644588e2da4a1bb40db8c78cb02aa877a073a6,e71b65ae497281b7f0428cb3abf31e836b1fa53df37476cc654c2f0a96009b44,7e60b8802882016f465acb93a262cca98a25473c87d9ca89e94e3dab25a083bd
"100313","6","3","1","-100","6","6","121401","6","100003","101401","90","123001","118501","0","6","121401","1003","118001"
"100321","4","1","2","-100","4","4","114701","5","100003","114701","90","103401","123001","0","4","106601","1003","110301"
"100322","5","2","2","-100","4","4","106901","4","100003","100701","90","110301","180201","0","4","117301","1003","106901"
"100323","4","3","2","-100","4","4","124501","5","100003","103401","90","105101","124501","0","4","117501","1003","113401"
"100331","1","1","3","-100","8","2","108101","3","100003","103401","90","117301","123001","0","1","108101","1003","102601"
"100332","2","2","3","-100","1","2","108201","8","100003","100701","90","112701","108201","0","1","103401","1003","123501"
"100333","1","3","3","-100","3","1","108301","8","100003","101401","90","101001","108301","0","1","123001","1003","100801"
"100411","6","1","1","-100","6","6","106601","6","100003","114701","90","103401","110301","0","6","106601","1004","100901"
"100412","6","2","1","-100","6","6","180401","6","100003","180401","90","105401","106901","0","6","100501","1004","103401"
"100413","6","3","1","-100","6","6","100801","6","100003","103401","90","101401","100801","0","6","105501","1004","123001"
"100421","4","1","2","-100","4","4","105401","4","100003","105401","90","180301","118001","0","4","106601","1004","110301"
"100422","5","2","2","-100","4","4","101801","4","100003","105301","90","110301","101801","0","4","113401","1004","124501"
"100423","4","3","2","-100","4","4","123301","5","100003","105201","90","103401","123001","0","4","123301","1004","105501"
"100431","2","1","3","-100","3","3","126101","8","100003","126001","90","126101","108301","0","3","125801","1004","110301"
"100432","3","2","3","-100","1","2","103301","8","100003","103301","90","121101","108301","0","7","103401","1004","123001"
"100433","3","3","3","-100","2","2","105801","7","100003","105801","90","180501","106001","0","7","117301","1004","123001"
"100511","6","1","1","-100","6","6","105501","6","100003","100701","90","105501","123001","0","6","103401","1005","112201"
"100512","6","2","1","-100","6","6","100901","6","100003","106601","90","100901","123001","0","6","103401","1005","105101"
"100513","6","3","1","-100","6","6","112701","6","100003","112701","90","110301","101801","0","6","113401","1005","106901"
"100521","4","1","2","-100","4","4","100101","4","100003","114701","90","100101","110301","0","4","106601","1005","123801"
"100522","4","2","2","-100","4","4","102601","4","100003","105201","90","105501","112201","0","4","103401","1005","102601"
"100523","4","3","2","-100","4","4","119201","4","100003","105401","90","105501","121401","0","4","119201","1005","110301"
"100531","8","1","3","-100","1","1","106601","8","100003","105201","90","103401","108301","0","1","106601","1005","107701"
"100532","3","2","3","-100","1","3","127901","8","100003","127901","90","126101","108301","0","3","103401","1005","123001"
"100533","3","3","3","-100","2","1","108401","8","100003","105801","90","102601","108401","0","7","123301","1005","123001"
"100611","6","1","1","-100","6","6","111401","6","100003","106601","90","117301","111401","0","6","103401","1006","105001"
"100612","6","2","1","-100","6","6","113401","6","100003","105201","90","113401","100801","0","6","105401","1006","123001"
"100613","6","3","1","-100","6","6","107701","6","100003","100501","90","105501","107701","0","6","103401","1006","123001"
"100621","4","1","2","-100","4","4","112201","4","100003","106601","90","112201","111401","0","4","103401","1006","105001"
"100622","4","2","2","-100","4","4","123001","5","100003","102901","90","105301","123001","0","4","105401","1006","105501"
"100623","4","3","2","-100","4","4","117301","5","100003","100701","90","101401","123001","0","4","117301","1006","112201"
"100631","7","1","3","-100","1","1","128301","8","100003","128301","90","105501","108301","0","3","103401","1006","106001"
"100632","3","2","3","-100","1","2","106501","8","100003","106501","90","123301","108301","0","1","106601","1006","123001"
"100633","3","3","3","-100","1","2","109001","8","100003","109001","90","110301","107701","0","8","102601","1006","123001"
"100711","6","1","1","-100","6","6","125101","6","100003","102901","90","103401","125101","1001","6","122801","1007","123001"
"100712","6","2","1","-100","6","6","111001","6","100003","105401","90","180301","111001","1001","6","106601","1007","110301"
"100713","6","3","1","-100","6","6","118001","6","100003","101401","90","123001","118501","1001","6","121401","1007","118001"
"100721","5","1","2","-100","4","4","100201","4","100003","102901","90","117301","100201","1001","4","103401","1007","123001"
"100722","4","2","2","-100","4","4","105101","4","100003","104801","90","105101","104001","1001","4","117301","1007","110301"
"100723","4","3","2","-100","4","4","100801","4","100003","101401","90","118501","111001","1001","4","118001","1007","100801"
"100731","3","1","3","-100","2","1","128801","3","100003","128801","90","102601","118501","1001","3","123301","1007","123001"
"100732","3","2","3","-100","1","1","128901","8","100003","104501","90","105501","108301","1001","1","103401","1007","128901"
"100733","3","3","3","-100","3","2","128701","8","100003","128301","90","117301","108301","1001","3","128701","1007","123001"
"100811","6","1","1","-100","6","6","100701","6","100003","100701","90","105501","123001","1002","6","103401","1008","112201"
"100812","6","2","1","-100","6","6","111401","6","100003","106601","90","117301","111401","1002","6","103401","1008","105001"
"100813","6","3","1","-100","6","6","102901","6","100003","102901","90","103401","125101","1002","6","122801","1008","123001"
"100821","4","1","2","-100","4","4","110301","4","100003","104601","90","110301","111401","1002","4","103401","1008","101201"
"100822","5","2","2","-100","4","4","106601","5","100003","105201","90","113401","123001","1002","4","106601","1008","106901"
"100823","5","3","2","-100","4","4","123001","4","100003","103401","90","101401","100801","1002","4","105501","1008","123001"
"100831","1","1","3","-100","1","2","108801","8","100003","108901","90","112201","108301","1002","1","103401","1008","108801"
"100832","8","2","3","-100","1","3","129001","3","100003","100701","90","126101","129001","1002","1","108901","1008","107701"
"100833","3","3","3","-100","3","1","100201","1","100003","103401","90","101401","100201","1002","1","126101","1008","123001"
"100911","6","1","1","-100","6","6","100901","6","100003","114701","90","103401","110301","1003","6","106601","1009","100901"
"100912","6","2","1","-100","6","6","106901","6","100003","180401","90","105401","106901","1003","6","100501","1009","103401"
"100913","6","3","1","-100","6","6","101401","6","100003","103401","90","101401","100801","1003","6","105501","1009","123001"
"100921","4","1","2","-100","4","4","122801","4","100003","122801","90","124101","119001","1003","4","103401","1009","100901"
"100922","4","2","2","-100","4","4","100501","5","100003","105201","90","103401","123001","1003","4","100501","1009","121101"
"100923","5","3","2","-100","4","4","103401","5","100003","100701","90","105501","118501","1003","4","103401","1009","123001"
"100931","7","1","3","-100","7","1","120001","8","100003","120001","90","103401","108301","1003","2","104901","1009","101601"
"100932","2","2","3","-100","1","1","112201","3","100003","108901","90","101801","129001","1003","1","100501","1009","112201"
"100933","3","3","3","-100","3","3","123001","3","100003","100701","90","126101","129001","1003","1","128801","1009","123001"
