a9870b17ecefa8d80f435400aea4daa82a65b2e47c705914c2fafbcc555a91c6,21350e71480b9c8cbacc28ed699ee69f20eccfe72b93e46e0fa9dfc8ced87ca5,6422d8796abadd46e5aa2293445e4a48ec5b3a0fdd3675589cac9152e2493ebf,cfa3ccf4cd7c89a5382852632c9c949b20b2dcb0bfae06731842f08f06496fd2,420e88d474885d1aef0e820d478ea3327328c95f944075c2b50223a1789accf9,d9a8c369acd2658a84b5d4c02587f4841cb05867a0e43532b91bb2ef99294a26
"0","1","10098111","1","10098102","77"
"501364","3","5072004","2","10099","78"
"501365","3","5072006","2","10099","79"
"500837","3","5100003","2","10100","80"
"501383","3","5074001","2","10101","82"
"501383","3","5074001","2","10101","83"
"501873","3","5102002","2","10102","84"
"0","1","10103112","1","10103101","85"
"505036","3","5076005","2","10103","86"
"501911","3","5108002","2","10108","88"
"500133","3","5104003","2","10104","89"
"501451","3","5078004","2","10105","90"
"501931","3","5110005","2","10110","93"
"500013","3","5111005","2","10111","94"
"501463","3","5080005","2","10107","95"
"0","1","10109105","1","10109101","96"
"0","1","10109108","1","10109102","97"
"0","1","10109111","1","10109103","98"
"501160","3","5082002","2","10109","99"
"501031","3","5082004","2","10109","100"
"501483","3","5082005","2","10109","101"
"500368","3","5084001","2","10112","103"
"510306","3","5084002","2","10112","104"
"500039","3","5084003","2","10112","105"
"500368","3","5085002","2","10113","106"
"510203","3","5085003","2","10113","107"
"500272","3","5085004","2","10113","108"
"501501","3","5085005","2","10113","109"
"0","2","1011001","1","10110101","110"
"0","1","20037112","1","20037101","111"
"501291","3","5066005","2","20037","112"
"501810","3","5088005","2","10115","113"
"500016","3","5114000","2","10114","114"
"501952","3","5114003","2","10114","115"
"501341","3","5068001","2","20038","116"
"501541","3","5090002","2","10117","117"
"501353","3","5070004","2","20039","121"
"500016","3","5070005","2","20039","122"
"500837","3","5116004","2","10116","123"
"501031","3","5092001","2","10119","124"
"501551","3","5092004","2","10119","125"
"500133","3","5118002","2","10118","126"
"500810","3","5118003","2","10118","127"
"500133","3","5118007","2","10118","128"
"501364","3","5072004","2","20040","129"
"501365","3","5072006","2","20040","130"
"501614","3","5124003","2","10124","132"
"501383","3","5074001","2","20041","133"
"501593","3","5094001","2","10121","135"
"502003","3","5122000","2","10122","136"
"502015","3","5122002","2","10122","137"
"501613","3","5096002","2","10123","138"
"505036","3","5076005","2","20042","139"
"501451","3","5078004","2","20043","140"
"501031","3","5098000","2","10125","141"
"500837","3","5100003","2","10127","143"
"501463","3","5080005","2","20044","144"
"502063","3","5128001","2","10128","145"
"501873","3","5102002","2","10129","146"
"0","1","20045105","1","20045101","147"
"0","1","20045108","1","20045102","148"
"0","1","20045111","1","20045103","149"
"501160","3","5082002","2","20045","150"
"501031","3","5082004","2","20045","151"
"501483","3","5082005","2","20045","152"
"500368","3","5084001","2","20046","153"
"510306","3","5084002","2","20046","154"
"500039","3","5084003","2","20046","155"
"500368","3","5085002","2","20047","156"
"510203","3","5085003","2","20047","157"
"500272","3","5085004","2","20047","158"
"501501","3","5085005","2","20047","159"
"500016","3","5130001","2","10130","160"
"500133","3","5130007","2","10130","161"
"500133","3","5104003","2","10131","162"
"500143","3","5136002","2","10136","163"
"500175","3","5136004","2","10136","164"
"501622","3","5137002","2","10137","165"
"500133","3","5137005","2","10137","166"
"501810","3","5088005","2","20048","167"
"500553","3","5134007","2","10134","168"
"501911","3","5108002","2","10135","169"
"501931","3","5110005","2","10138","170"
"500013","3","5111005","2","10139","171"
"501541","3","5090002","2","20049","172"
"0","2","1013801","1","10138101","173"
"500016","3","5114000","2","10141","174"
"501952","3","5114003","2","10141","175"
"502224","3","5140002","2","10140","180"
"501031","3","5092001","2","20050","181"
"501551","3","5092004","2","20050","182"
"501683","3","5142001","2","10142","183"
"500837","3","5116004","2","10143","184"
"500133","3","5118002","2","10145","185"
"500810","3","5118003","2","10145","186"
"500133","3","5118007","2","10145","187"
"501593","3","5094001","2","20051","188"
"501613","3","5096002","2","20052","189"
"502283","3","5146001","2","10146","1014601"
"502003","3","5122000","2","10149","1014901"
"502015","3","5122002","2","10149","1014902"
"501614","3","5124003","2","10151","1015101"
"502373","3","5154007","2","10154","1015401"
"502074","3","5156001","2","10156","1015601"
"502394","3","5156002","2","10156","1015602"
"502063","3","5128001","2","10157","1015701"
"500880","3","5158003","2","10158","1015801"
"500016","3","5130001","2","10159","1015901"
"500133","3","5130007","2","10159","1015902"
"500553","3","5134007","2","10163","1016301"
"500143","3","5136002","2","10164","1016401"
"500175","3","5136004","2","10164","1016402"
"501622","3","5137002","2","10165","1016501"
"500133","3","5137005","2","10165","1016502"
"502224","3","5140002","2","10166","1016601"
"501683","3","5142001","2","10167","1016701"
"502283","3","5146001","2","10169","1016901"
"501031","3","5098000","2","20053","2005301"
"500837","3","5100003","2","20054","2005401"
"501873","3","5102002","2","20055","2005501"
"500133","3","5104003","2","20056","2005601"
"501911","3","5108002","2","20058","2005801"
"501931","3","5110005","2","20059","2005901"
"500013","3","5111005","2","20060","2006001"
"500016","3","5114000","2","20061","2006101"
"501952","3","5114003","2","20061","2006102"
"500837","3","5116004","2","20062","2006201"
"500133","3","5118002","2","20063","2006301"
"500810","3","5118003","2","20063","2006302"
"500133","3","5118007","2","20063","2006303"
"502003","3","5122000","2","20065","2006501"
"502015","3","5122002","2","20065","2006502"
"501614","3","5124003","2","20066","2006601"
"500143","3","5136002","2","20067","2006701"
"500175","3","5136004","2","20067","2006702"
"501622","3","5137002","2","20068","2006801"
"500133","3","5137005","2","20068","2006802"
