a6bcc89881dc84607f7d08cf88a1dce3acfb736fd013244207af52b0ef2ba8fd,eb7fffd8eb1ff71f2a8516be69f5f489a6b593dffe5a457698c45e934cd16504,a0d69534f8c38a8b0365377eaaa46fd7e5fa25b7e9e8c314d0a1cc3ccaf06c92,4f73cc20f160bf8ed8f5e1103a8b5658c2b0d843edd518ce842ad464a55ca7dc,ec34c5c2b716ba649573d3a80f0fe30341b3c6a2411611ebe8c63a07c21068d5,d81da0e0076ddd242a64245871ae266d46df8862e4dfddd72cbc1cea350cd8cf,fb35139916ae51fb67327f0cae91cadf695376f7a106d7431e70f9e84175da77,7acff37e0d9c92699291e1fb15826b72345f5aeddc7bbe4a92ff53b2ec60ceaf,ec2c21366ad57995fdf8d238330936c922a7299810d07bfe35143eb8b1597f86
"2","3","","1","4260","","20004","31","21"
"2","3","","1","4080","","20004","32","22"
"2","3","","1","3960","","20004","33","22"
"2","3","","1","3840","","20004","34","23"
"2","3","","1","3720","","20004","35","24"
"2","3","","1","3600","","20004","36","24"
"2","3","","1","3480","","20004","37","25"
"2","3","","1","3420","","20004","38","26"
"12","4","","3000","21600","","94002","1","12000"
"12","4","","4500","21600","","94002","2","18000"
"12","4","","6000","21600","","94002","3","24000"
"12","4","","7500","21600","","94002","4","30000"
"12","4","","10500","21600","","94002","5","42000"
"12","4","","13500","21600","","94002","6","54000"
"12","4","","16500","21600","","94002","7","66000"
"12","4","","21000","21600","","94002","8","84000"
"12","4","","25500","21600","","94002","9","102000"
"12","4","","30000","21600","","94002","10","120000"
"12","4","","36000","21600","","94002","11","144000"
"12","4","","42000","21600","","94002","12","168000"
"12","4","","48000","21600","","94002","13","192000"
"12","4","","55500","21600","","94002","14","222000"
"12","4","","63000","21600","","94002","15","252000"
"12","4","","70500","21600","","94002","16","282000"
"12","4","","79500","21600","","94002","17","318000"
"12","4","","88500","21600","","94002","18","354000"
"12","4","","97500","21600","","94002","19","390000"
"12","4","","108000","21600","","94002","20","432000"
"12","4","","118500","21600","","94002","21","474000"
"12","4","","129000","21600","","94002","22","516000"
"12","4","","140500","21600","","94002","23","562000"
"12","4","","150000","21600","","94002","24","600000"
"12","4","","160500","21600","","94002","25","642000"
"12","4","","171000","21600","","94002","26","684000"
"12","4","","181500","21600","","94002","27","726000"
"12","4","","192000","21600","","94002","28","768000"
"12","4","","202500","21600","","94002","29","810000"
"12","4","","213000","21600","","94002","30","852000"
"12","4","","223500","21600","","94002","31","894000"
"12","4","","230000","21600","","94002","32","920000"
"12","4","","235000","21600","","94002","33","940000"
"12","4","","240000","21600","","94002","34","960000"
"12","4","","245000","21600","","94002","35","980000"
"12","4","","250000","21600","","94002","36","1000000"
"12","4","","255000","21600","","94002","37","1020000"
"12","4","","260000","21600","","94002","38","1040000"
"6","5","","12","21600","","93001","1","48"
"6","6","","12","21600","","93001","1","48"
"6","7","","12","21600","","93001","1","48"
"6","8","","12","21600","","93001","1","48"
"6","11","","12","21600","","93001","1","48"
"6","12","","12","21600","","93001","1","48"
"6","19","","12","21600","","93001","1","48"
"0","23","4999999999","1","0","14999999999","0","0","0"
"6","25","","12","21600","","93001","1","48"
"6","28","","12","21600","","93001","1","48"
"6","30","","12","21600","","93001","1","48"
