993d8e67637e1e0e2fc530e68e891c1b7af3e47607f1e3e99c79d8c00f1a4119,871de6b220d983ac08f3580501972b676032093364fd99a655317c5fc5c19800,6c0d3262ef62c7c3c37632fc90c71a41aa06c4083f5c77e42eabad97eb03da2d,31be1305431c37167ebd74661476572d75ca2ea85c8fce19cda8ed4f3144ad85,ab329d4b75bf3f7b6e0924239d4f22e2e6af1555871a3164e9ed1d788c185a8f,72db7c31948c02e8cd8994db7773b96834e43c68d0e826bc939ae58cd530fd41,dbdc2ff27c7308473004b11f39ecaddf1aa310acf00d07501b4cfa0abee96e65
"チカのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","0.4609375","13","チカのマフラータオル","0.443359375","10803"
"カルミナのサマーライブデザインのマフラータオル。汎用性の高い\n定番アイテム。ライブの汗で濡れた肌を拭くことはもちろん、応援\nグッズとして使うことも可能。","2","0.4609375","13","カルミナのマフラータオル","0.443359375","10804"
"ツムギの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","0.459375","9","ツムギの応援うちわ","0.33046875","10901"
"ノゾミの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","0.459375","9","ノゾミの応援うちわ","0.33046875","10902"
"チカの公式応援うちわ。推しへの全力アピールに最適な一品。\nライブ会場での熱狂のお供に！","1","0.459375","9","チカの応援うちわ","0.33046875","10903"
"カルミナの公式応援うちわ。シンプルなデザインのため、普段使い\nにも最適な一品。いつでもどこでも彼女たちを応援できるぞ。","1","0.459375","9","カルミナの応援うちわ","0.33046875","10904"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","0.8671875","5","ツムギのステッカー","0.671875","11001"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","0.8671875","5","ノゾミのステッカー","0.671875","11002"
"飾ってよし、貼ってよしのかわいいステッカー。目立つところに\nぺたっと貼れば、目に入るたび笑顔になれること間違いなし！","1","0.8671875","5","チカのステッカー","0.671875","11003"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","0.975","5","ツムギの缶バッジ","0.975","11101"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","0.975","5","ノゾミの缶バッジ","0.975","11102"
"定番グッズの１つ。全種類をコンプリートするのも、同じ種類をた\nくさん集めるのもあなた次第！自分だけのコレクションを作ろう。","1","0.975","5","チカの缶バッジ","0.975","11103"
"ライブで一緒に盛り上がるための必携アイテム。いろんな色に切り\n替えができ、場面や曲で使い分けることが可能。カラフルにライブ\nを盛り上げよう。","2","0.49609375","9","カルミナライブのペンライト","0.39453125","11201"
"ツムギがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","0.671875","8","ツムギのマグカップ","0.65625","11301"
"ノゾミがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","0.671875","8","ノゾミのマグカップ","0.65625","11302"
"チカがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","0.671875","8","チカのマグカップ","0.65625","11303"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のツムギが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","0.6328125","4","ツムギのペナント","0.984375","11401"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のノゾミが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","0.640625","4","ノゾミのペナント","0.984375","11402"
"思い出を振り返るアイテムと言えばこれ。サマー衣装のチカが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","0.6328125","4","チカのペナント","0.984375","11403"
"ポップでキュートに描かれたツムギのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","1.21875","3","ツムギのピンバッジ","1.21875","11501"
"サマー衣装のツムギがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のツムギの表情\nが魅力的な一品。","1","1.21875","3","ツムギのサマーピンバッジ","1.21875","11502"
"ポップでキュートに描かれたノゾミのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","1.21875","3","ノゾミのピンバッジ","1.21875","11503"
"サマー衣装のノゾミがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のノゾミの表情\nが魅力的な一品。","1","1.21875","3","ノゾミのサマーピンバッジ","1.21875","11504"
"ポップでキュートに描かれたチカのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","1.21875","3","チカのピンバッジ","1.21875","11505"
"サマー衣装のチカがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のチカの表情\nが魅力的な一品。","1","1.21875","3","チカのサマーピンバッジ","1.21875","11506"
"ツムギ・オンステージ！ツムギがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","0.75","6","ツムギのボトルキャップ","0.625","11601"
"サマー衣装のツムギが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","0.75","6","ツムギのサマーボトルキャップ","0.625","11602"
"ノゾミ・オンステージ！ノゾミがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","0.75","6","ノゾミのボトルキャップ","0.625","11603"
"サマー衣装のノゾミが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","0.75","6","ノゾミのサマーボトルキャップ","0.625","11604"
"チカ・オンステージ！チカがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","0.75","6","チカのボトルキャップ","0.625","11605"
"サマー衣装のチカが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","0.75","6","チカのサマーボトルキャップ","0.625","11606"
"ツムギのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","0.8828125","4","ツムギのミニタペストリー","0.890625","11701"
"ノゾミのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","0.8828125","4","ノゾミのミニタペストリー","0.890625","11702"
"チカのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","0.8828125","4","チカのミニタペストリー","0.890625","11703"
