29d982be059b96625a3a3afcad5a7050c2efd35d76ac71ffd444b92e8fd86057,29af8da8d252bd9a9433171a1107c027a601e976a77547d2e5a67c2dc78e9452,f07f71574cb1fc115fef42a349f2ff6e83b8f51ea0bea67569c2efe61d6ef241,55a2afc8322cddfc5a316df51aeaf53462b70404205256ac7c3d5a202db1231e,206b8268f4fe6517d12ff3639a09864d763e36124a6ad679ff16c72ff31e20e6,0d7c3520f886b61cfa09a7565a04f1ba29d2ef2ce3efb97cb880c6692b58bbdd,8d9614ca1d2bf8efa7398d08c1ec55ea3f853c6f0c28a6ccbd0910a895b8d463,98935049734707e96d2a5e276e898fd8ac2821bc629a103a44c88a53a6d5d81a,be8717f91218649c62907599ba7ad907e6be768ecf30c48801ef68fc1b3b3c8c,ea4bf613b6b51e52b4f69977e486befb8a7f246d7d37e784f8bbdaa1dd959665,66b40e746686e4ca407f9e1663845d1494f6944c560e83aa59bbfb2cd0b0d625,58caff96531fd00035fd46206fa0e7d19597d81d2192452477c3cd339255b652,2b2ebeacf3bca4c00bb33b39ac7617b0dff6a14a990e548ce3c3dfad5267835c,c46c96e4b06aaf164b691fd2d2d6fdf7285d6e1e4dbeb463843f8f9d98da0419
"105","17","3","130","113301","117","夏のトキメキに触れた、オタク魔法少女。多彩な魔法を操り、少しずつ他の走者の速度を落とし続ける。","0","0","1.5","17","105","1","0.043"
"105","18","2","130","113201","118","海獄に降臨せし、真夏の冥姫。　　レース後半に魔力を全解放し、　　蒼き疾風と成りて浜を駆け抜ける。","0","0","1.5","18","95","1","0.018"
"110","19","2","160","117001","119","夏の夕を火花で彩る、渚の壊し屋。『壊し屋』の異名と過激な愛情は、対戦相手にプレッシャーを与える。","0","1","2.5","19","108","0","0.021"
"110","20","1","255","113501","120","青春に生きる者を導く、夏の先生。夢へと邁進する聖母の加護が、その身をあらゆる困難から守る。","1","0","2.5","20","105","0","0.036"
"105","21","3","350","113401","121","笑顔の応援が眩しい、夏の超能力　ガール。超能力を駆使して、どんな障害物もひとっ飛びで乗り越える。","1","0","2.5","21","105","0","0.02"
"110","22","1","130","110101","122","海辺で大人の魅力を放つ、夏の　　セクシー先生。その魅力に囚われた対戦相手は、走りを乱してしまう。","0","0","2.5","22","105","1","0.018"
"105","23","3","160","110001","123","水着も絶対外さない、夏のカリスマモデル。走りのバイブスは超テンアゲで、スピードはおにやば。","0","1","3.5","23","111","0","0.03"
"110","24","1","130","117201","124","南の島も盛り上げる、真夏のアイドル。悪天候でも笑顔を絶やさず後半もリズムを上げて走り切る。","0","0","1.5","24","103","1","0.027"
"105","25","2","160","117301","125","海原に美声を響かす、渚の歌姫。　守護の賛歌と精霊の加護により、　障害物から身を守る。","0","1","3.5","25","108","0","0.02"
"110","26","3","350","117401","126","夏でも天邪鬼な、夕凪のテーラー。張り巡らされた魔法の糸で、他の走者の自由を奪う。","1","0","2.5","26","105","0","0.04"
"110","27","1","350","117101","127","向日葵が良く似合う、海辺の　　　お姉ちゃん。秘密結社の一員で、　抜群の身体能力が一番の武器。","1","0","3.5","27","105","0","0.009"
"120","28","1","255","122901","128","渚でおっとり、夏色うさぎっこ。　うさぎさんパワー全開で、ぴょん　ぴょんとコースを跳ね回る。","1","0","3.5","28","105","0","0.022"
"110","29","3","130","122801","129","無邪気さ弾ける、夏色いたずら娘。砂浜でも、いたずらの準備は万端！レースに大波乱が巻き起こる！？","0","0","2.5","29","105","1","0.028"
"105","30","2","130","122701","130","海でも真面目な、夏色優等生。　　高めた魔力を解き放ち、一瞬の内に他の走者を置き去りにする。","0","1","3.5","30","108","0","0.023"
