b9ec20b79cd2baa21d29571cdedca97c2c5d5f033065e3d79bef857d0aac3868,9a89d1040b744ef5a96bec8e42ea3185fa4a36558de2668c37e399fc96365c86,90efea31da74a1ce709b3c5f5bdfb56b199918abc4da1485ebc1c9b141691b45,ffcae350bd4ad4e783ac51fe32ac5ca83351b4d14abc76ae62d8bfe148c4582f,c09908fa2efe1b4a918651542e0d0b4e453e1d637b053b2e70c717a2c52e3330,600a6dc2b3aad3ba324fff951ee2ce50e9c95df8db816887fdaf42e38921a210,369ca0b88535f0f472c5c4c7421b3d6c9ca070f59bec02926fddbaefbe4b4a03
"待て！オレがバカみたいにいうな！！","1","vo_minigame_1004_top_2_015","2","vo_minigame_1004","10011","1001102"
"さあ、あたしたちの力を見せてやるです","1","vo_minigame_1004_top_2_016","1","vo_minigame_1004","10012","1001201"
"ぐも！（マカセロ！）","2","vo_minigame_1004_top_2_017","3","vo_minigame_1004","10012","1001202"
"よしよし、いいですようまくできたらチョコをあげるです！","1","vo_minigame_1004_top_2_018","1","vo_minigame_1004","10013","1001301"
"ぐも！（オデ チョコスキ）","2","vo_minigame_1004_top_2_019","3","vo_minigame_1004","10013","1001302"
"なあイノリ……もしかして当初の目的見失ってないよな？","1","vo_minigame_1004_top_2_023","2","vo_minigame_1004","10014","1001401"
"もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","2","vo_minigame_1004_top_2_024","1","vo_minigame_1004","10014","1001402"
"いくらイノリ相手でも勝ちを譲る気はないからな！","1","vo_minigame_1004_top_2_025","2","vo_minigame_1004","10015","1001501"
"望むところです手加減はなしですよ","2","vo_minigame_1004_top_2_026","1","vo_minigame_1004","10015","1001502"
"へっ、なかなかやるじゃねえか","1","vo_minigame_1004_top_2_027","2","vo_minigame_1004","10016","1001601"
"カヤぴぃも思ったよりやるですね！","2","vo_minigame_1004_top_2_028","1","vo_minigame_1004","10016","1001602"
"お～い、ドラゴンもどき？","1","vo_minigame_1004_top_2_029","2","vo_minigame_1004","10017","1001701"
"ぐもっ！？（ヒッ！）","2","vo_minigame_1004_top_2_030","3","vo_minigame_1004","10017","1001702"
"いやあ、あんときは悪かったなはっはっは","1","vo_minigame_1004_top_2_031","2","vo_minigame_1004","10018","1001801"
"ぐももも……（かやピィ コワカッタ）","2","vo_minigame_1004_top_2_032","3","vo_minigame_1004","10018","1001802"
"お前ってさ……ほんとマヌケな顔してるよな","1","vo_minigame_1004_top_2_033","2","vo_minigame_1004","10019","1001901"
"ぐも……（オマエガ イウカ）","2","vo_minigame_1004_top_2_034","3","vo_minigame_1004","10019","1001902"
"ぐも……（ハラヘッタ チョコホシイ）","2","vo_minigame_1004_top_2_044","3","vo_minigame_1004","10020","1002001"
"なんだ？眠いのか？","1","vo_minigame_1004_top_2_045","2","vo_minigame_1004","10020","1002002"
"ぐもも（コイツ……キケン）","2","vo_minigame_1004_top_2_046","3","vo_minigame_1004","10021","1002101"
"うん？　なんだ？オレの舎弟にでもなりたいのか？","1","vo_minigame_1004_top_2_047","2","vo_minigame_1004","10021","1002102"
"ぐも…（かやピィノウキン）","2","vo_minigame_1004_top_2_048","3","vo_minigame_1004","10022","1002201"
"おい、今失礼なこと考えてるだろ？","1","vo_minigame_1004_top_2_049","2","vo_minigame_1004","10022","1002202"
"なあ、これいつまで続けるんだ？","1","vo_minigame_1004_top_3_058","2","vo_minigame_1004","10023","1002301"
"カヤぴぃが降参するまでです！","2","vo_minigame_1004_top_3_059","1","vo_minigame_1004","10023","1002302"
"ぐもも！（コウサンシロ！）","2","vo_minigame_1004_top_3_060","3","vo_minigame_1004","10023","1002303"
"ぐも！（イノリ チョコホシイ）","2","vo_minigame_1004_top_3_065","3","vo_minigame_1004","10024","1002401"
"しょうがないですね、食べ過ぎはダメですよ","1","vo_minigame_1004_top_3_066","1","vo_minigame_1004","10024","1002402"
"土産のチョコ、そうとう気に入ったみたいだな","1","vo_minigame_1004_top_3_067","2","vo_minigame_1004","10024","1002403"
"ぐも！（かやピィニハ マケナイ！）","2","vo_minigame_1004_top_3_068","3","vo_minigame_1004","10025","1002501"
"お？なんだ？腹でも減ってるのか？","1","vo_minigame_1004_top_3_069","2","vo_minigame_1004","10025","1002502"
"……全然話が通じてないです","2","vo_minigame_1004_top_3_070","1","vo_minigame_1004","10025","1002503"
