8f01958cccb09ee7b6b3260a117113741c90d93f254816865fe3b9814d0440b2,3aeea28a5c197f661914c494d60f0f78250b71957baa4152cd2c826588178525,27e7f12b5e814d49e80c26fb95be6931047d85469066c191ce7e89bba4e3bfcd,80a10da109aea71d0ba43d69e8125458cd02d865a758458c009f10ab499db8bf,a572cc0c267e759d9e903b1693e8b8304e22821e8860cb3633854fdbdce93871,70ef46d3e7365464ad2d218ba0789d680628253c954f76dd954f45653d9704ad,75fe25ecfe1e809bc7a72e6f5e8cf3e0e52056121fb00a0918aa51ebad440a63,000ef64f266b996727c642978cc8a23aac476f8743db7f445619dd4cc8c91f12,0072a8db7e9114224b1ffcb7e3787b07439df226e343d06c08ae464321285b10,1f42e8aea4e441b4c3c106cc5d0ac9cf79e86eec5423917169da2179be86f69e,f6631650191c2888a76a627044e3d0ba4ef9ca8b7c9f7d3a776ad6379053eee7
"0","20","1","20002","-72","sjr_talk_idle","-194","1.65","100","1","122411"
"0","20","3","20003","sjr_talk_guts2_loop","","1","0.2","0","122411","sjr_talk_guts2"
"","20","21","20004","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_011"
"0","20","11","20005","1","0.5","0","0","9","122411","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー"
"","20","91","20006","","","","","","0",""
"","20","3","20007","","","","0.2","1","122411","sjr_talk_idle"
"0","20","3","20008","sjr_talk_mouth_hidden_guru","","1","0.2","0","122611","sjr_talk_mouth_hidden_dere_guru"
"","20","21","20009","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_012"
"0","20","11","20010","1","0.5","0","0","5","122611","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…"
"","20","91","20011","","","","","","0",""
"0","20","3","20012","sjr_talk_shock_loop","","1","0.2","0","122411","sjr_talk_shock"
"","20","21","20013","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_013"
"0","20","11","20014","1","0.5","0","0","17","122411","わーっ！？\nユイちゃん！？\n目がグルグルだー！？"
"","20","91","20015","","","","","","0",""
"","20","3","20016","","","","0.2","1","122611","sjr_talk_idle"
"","20","3","20017","","","","0.2","1","122411","sjr_talk_idle"
"1","21","1","21001","72","sjr_talk_idle","-194","1.65","100","1","122611"
"0","21","1","21002","-72","sjr_talk_idle","-194","1.65","100","1","122411"
"","21","3","21003","","","","0.2","1","122611","sjr_talk_worry_sad"
"","21","21","21004","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_014"
"0","21","11","21005","1","0.5","0","0","9","122611","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？"
"","21","91","21006","","","","","","0",""
"","21","3","21007","","","","0.2","1","122611","sjr_talk_idle"
"0","21","3","21008","sjr_talk_guts2_joy_loop","","0","0.2","0","122411","sjr_talk_laugh_guts"
"","21","21","21009","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_015"
"0","21","11","21010","1","0.5","0","0","6","122411","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪"
"","21","91","21011","","","","","","0",""
"","21","3","21012","","","","0.2","1","122411","sjr_talk_idle"
"1","22","1","22001","72","sjr_talk_idle","-194","1.65","100","1","122511"
"0","22","1","22002","-72","sjr_talk_idle","-194","1.65","100","1","122411"
"0","22","3","22003","sjr_talk_arm_crossed_normal_loop","","1","0.2","0","122511","sjr_talk_arm_crossed_normal"
"","22","21","22004","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_016"
"0","22","11","22005","1","0.5","0","0","7","122511","相手がヒヨリとはいえ\n負けるつもりは\nないからね"
"","22","91","22006","","","","","","0",""
"","22","3","22007","","","","0.2","1","122511","sjr_talk_idle"
"0","22","3","22008","sjr_talk_guts_loop","","1","0.2","0","122411","sjr_talk_guts"
"","22","21","22009","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_017"
"0","22","11","22010","1","0.5","0","0","8","122411","レイさんが相手なら\nあたしだって\n全力全開だよ！"
"","22","91","22011","","","","","","0",""
"","22","3","22012","","","","0.2","1","122411","sjr_talk_idle"
"1","23","1","23001","72","sjr_talk_idle","-194","1.65","100","1","122511"
"0","23","1","23002","-72","sjr_talk_idle","-194","1.65","100","1","122411"
"0","23","3","23003","sjr_talk_eieio_loop","","1","0.2","0","122411","sjr_talk_fun_eieio"
"","23","21","23004","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_018"
"0","23","11","23005","1","0.5","0","0","5","122411","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！"
"","23","91","23006","","","","","","0",""
"","23","3","23007","","","","0.2","1","122411","sjr_talk_idle"
"","23","3","23008","","","","0.2","1","122511","sjr_talk_mouth_hidden_sad"
"","23","21","23009","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_019"
"0","23","11","23010","1","0.5","0","0","7","122511","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？"
"","23","91","23011","","","","","","0",""
"","23","3","23012","","","","0.2","1","122511","sjr_talk_idle"
"0","23","3","23013","sjr_talk_arm_opened_guru","","1","0.2","0","122411","sjr_talk_arm_opened_joy_guru"
"","23","21","23014","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_020"
"0","23","11","23015","1","0.5","0","0","5","122411","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？"
"","23","91","23016","","","","","","0",""
"","23","3","23017","","","","0.2","1","122411","sjr_talk_idle"
"1","24","1","24001","72","sjr_talk_idle","-194","1.65","100","1","122511"
"0","24","1","24002","-72","sjr_talk_idle","-194","1.65","100","1","122411"
"","24","3","24003","","","","0.2","1","122411","sjr_talk_mouth_hidden_sad"
"","24","21","24004","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_021"
"0","24","11","24005","1","1","0","0","7","122411","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…"
"","24","91","24006","","","","","","0",""
"","24","3","24007","","","","0.2","1","122411","sjr_talk_idle"
"0","24","3","24008","sjr_talk_arm_crossed_joy_loop","","0","0.2","0","122511","sjr_talk_arm_crossed_normal_joy"
"","24","21","24009","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_022"
"0","24","11","24010","1","0.5","0","0","5","122511","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね"
"","24","91","24011","","","","","","0",""
"","24","3","24012","","","","0.2","1","122511","sjr_talk_idle"
"","24","3","24013","","","","0.2","1","122411","sjr_talk_laugh"
"","24","21","24014","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_023"
"0","24","11","24015","1","0.5","0","0","7","122411","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪"
"","24","91","24016","","","","","","0",""
"","24","3","24017","","","","0.2","1","122411","sjr_talk_idle"
